T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
700.0	0.0	1.0	2.37706	11.35271	0.0	66.93623	91.47353	0.26065	3.83663	0.0	50.34441	0.0	0.5	1.19212	1.19212	3.98425	3.98425	899.96829	30095.363	 	0.0
695.0	0.0	1.0	2.37871	11.34488	-0.0689921	67.04599	91.30656	0.25978	3.8494	0.0	50.40664	0.0	0.5	1.20475	1.20475	3.92224	3.92224	901.71794	29936.63	31.7466	0.0
690.0	0.0	1.0	2.38034	11.33707	-0.13776	67.15864	91.1396	0.25891	3.86231	0.0	50.46887	0.0	0.5	1.21764	1.21764	3.86067	3.86067	903.46759	29777.897	31.7466	0.0
685.0	0.0	1.0	2.38198	11.32929	-0.20632	67.27427	90.97264	0.25804	3.87535	0.0	50.5311	0.0	0.5	1.2308	1.2308	3.79954	3.79954	905.21724	29619.164	31.7466	0.0
680.0	0.0	1.0	2.38361	11.32153	-0.27465	67.39294	90.80568	0.25717	3.88853	0.0	50.59333	0.0	0.5	1.24425	1.24425	3.73886	3.73886	906.96689	29460.431	31.7466	0.0
675.0	0.0	1.0	2.38524	11.3138	-0.34276	67.51471	90.63872	0.25629	3.90185	0.0	50.65556	0.0	0.5	1.25799	1.25799	3.67862	3.67862	908.71653	29301.699	31.7464	0.0
670.0	0.0	1.0	2.38687	11.30609	-0.41065	67.63966	90.47176	0.25541	3.91531	0.0	50.71778	0.0	0.5	1.27204	1.27204	3.61883	3.61883	910.46618	29142.966	31.7466	0.0
665.0	0.0	1.0	2.38849	11.29841	-0.47832	67.76787	90.3048	0.25452	3.92891	0.0	50.78001	0.0	0.5	1.28638	1.28638	3.55949	3.55949	912.21583	28984.233	31.7466	0.0
660.11	0.0	1.0	2.39007	11.29093	-0.54424	67.89637	90.14164	0.25366	3.94235	0.0	50.84082	0.0	0.5	1.30071	1.30071	3.50194	3.50194	913.92565	28829.107	31.7488	0.0
660.0	0.38608	0.61392	2.45191	11.00617	-3.05249	52.9572	115.76163	0.19749	5.06346	0.71655	51.66529	0.24612	0.45567	1.30165	58.47187	3.499	0.0778917	913.97182	24690.767	36314.0	4134.723
655.0	1.0	0.0	2.55821	10.5485	-7.08391	29.15596	206.14901	0.11031	9.06561	38.40997	53.26522	13.91852	0.37982	 	2785.44488	 	0.00162634	 	18004.662	1337.22	10662.288
650.0	1.0	0.0	2.55953	10.54308	-7.13166	29.10004	206.56309	0.10949	9.13302	38.70858	53.48287	14.03121	0.37937	 	3060.1507	 	0.00147237	 	17784.302	44.072	 
645.0	1.0	0.0	2.56084	10.53767	-7.17926	29.04414	206.97626	0.10868	9.20112	39.00609	53.69832	14.14356	0.37893	 	3365.39432	 	0.00133157	 	17616.305	33.5994	 
640.0	1.0	0.0	2.56215	10.53229	-7.2267	28.98828	207.38849	0.10788	9.26993	39.30249	53.91159	14.25556	0.3785	 	3704.94109	 	0.00120295	 	17448.978	33.4654	 
635.0	1.0	0.0	2.56346	10.52692	-7.27399	28.93245	207.79979	0.10707	9.33945	39.5978	54.12272	14.36721	0.37806	 	4083.06534	 	0.00108557	 	17282.313	33.333	 
630.0	1.0	0.0	2.56476	10.52157	-7.32112	28.87666	208.21012	0.10627	9.4097	39.89201	54.33174	14.47851	0.37763	 	4504.62521	 	9.78561E-4	 	17116.302	33.2022	 
625.0	1.0	0.0	2.56606	10.51623	-7.36811	28.8209	208.61948	0.10548	9.48069	40.18512	54.5387	14.58946	0.3772	 	4975.1492	 	8.81109E-4	 	16950.937	33.073	 
620.0	1.0	0.0	2.56736	10.51092	-7.41494	28.76517	209.02784	0.10469	9.55243	40.47713	54.74361	14.70006	0.37677	 	5500.93671	 	7.92455E-4	 	16786.207	32.946	 
615.0	1.0	0.0	2.56866	10.50562	-7.46162	28.70947	209.4352	0.1039	9.62492	40.76804	54.94651	14.81031	0.37634	 	6089.17478	 	7.11893E-4	 	16622.106	32.8202	 
610.0	1.0	0.0	2.56995	10.50034	-7.50815	28.65381	209.84153	0.10311	9.69819	41.05785	55.14743	14.9202	0.37591	 	6748.07385	 	6.38765E-4	 	16458.625	32.6962	 
605.0	1.0	0.0	2.57124	10.49507	-7.55452	28.59817	210.24682	0.10233	9.77225	41.34656	55.3464	15.02974	0.37549	 	7487.02603	 	5.72461E-4	 	16295.754	32.5742	 
600.0	1.0	0.0	2.57252	10.48982	-7.60074	28.54258	210.65104	0.10155	9.84711	41.63417	55.54345	15.13892	0.37507	 	8316.78966	 	5.12413E-4	 	16133.487	32.4534	 
595.0	1.0	0.0	2.57381	10.48459	-7.64681	28.48701	211.0542	0.10078	9.92277	41.92068	55.73862	15.24775	0.37465	 	9249.705	 	4.58093E-4	 	15971.814	32.3346	 
590.0	1.0	0.0	2.57509	10.47938	-7.69273	28.43148	211.45625	0.10001	9.99927	42.20609	55.93191	15.35623	0.37423	 	10299.94658	 	4.09014E-4	 	15810.726	32.2176	 
585.0	1.0	0.0	2.57636	10.47418	-7.7385	28.37598	211.85719	0.0992398	10.0766	42.4904	56.12338	15.46434	0.37382	 	11483.81901	 	3.64723E-4	 	15650.217	32.1018	 
580.0	1.0	0.0	2.57764	10.469	-7.78412	28.32051	212.25699	0.0984758	10.15478	42.77361	56.31303	15.5721	0.37341	 	12820.10412	 	3.24803E-4	 	15490.276	31.9882	 
575.0	1.0	0.0	2.57891	10.46384	-7.82958	28.26507	212.65564	0.0977151	10.23383	43.05572	56.50091	15.6795	0.37299	 	14330.46907	 	2.88868E-4	 	15330.895	31.8762	 
570.0	1.0	0.0	2.58018	10.4587	-7.8749	28.20967	213.05311	0.0969579	10.31376	43.33673	56.68703	15.78654	0.37258	 	16039.94698	 	2.5656E-4	 	15172.067	31.7656	 
565.0	1.0	0.0	2.58144	10.45357	-7.92006	28.1543	213.44939	0.096204	10.39458	43.61664	56.87142	15.89322	0.37218	 	17977.50366	 	2.27551E-4	 	15013.782	31.657	 
560.0	1.0	0.0	2.58271	10.44846	-7.96507	28.09897	213.84446	0.0954534	10.47632	43.89546	57.0541	15.99954	0.37177	 	20176.70719	 	2.01539E-4	 	14856.033	31.5498	 
