T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
700.0	0.0	1.0	2.40371	11.37097	0.0	67.62635	89.35755	0.26682	3.74788	0.0	50.66032	0.0	0.5	1.24556	1.24556	3.8133	3.8133	754.52426	29250.444	 	0.0
695.0	0.0	1.0	2.40537	11.36311	-0.069124	67.74003	89.18961	0.26595	3.76015	0.0	50.7253	0.0	0.5	1.25897	1.25897	3.7533	3.7533	755.64213	29091.432	31.8024	0.0
690.0	0.0	1.0	2.40703	11.35528	-0.13803	67.85668	89.02167	0.26507	3.77256	0.0	50.79028	0.0	0.5	1.27267	1.27267	3.69373	3.69373	756.75823	28932.425	31.8014	0.0
685.0	0.0	1.0	2.40869	11.34747	-0.20671	67.97638	88.85373	0.26419	3.78509	0.0	50.85527	0.0	0.5	1.28666	1.28666	3.6346	3.6346	757.87255	28773.422	31.8006	0.0
680.0	0.0	1.0	2.41034	11.33968	-0.27517	68.09918	88.68579	0.26331	3.79775	0.0	50.92025	0.0	0.5	1.30095	1.30095	3.57591	3.57591	758.98502	28614.423	31.7998	0.0
675.0	0.0	1.0	2.412	11.33192	-0.3434	68.22517	88.51785	0.26243	3.81055	0.0	50.98523	0.0	0.5	1.31556	1.31556	3.51765	3.51765	760.09555	28455.428	31.799	0.0
670.0	0.0	1.0	2.41364	11.32419	-0.41142	68.35441	88.3499	0.26154	3.82348	0.0	51.05021	0.0	0.5	1.33049	1.33049	3.45985	3.45985	761.20409	28296.438	31.798	0.0
667.95	0.0	1.0	2.41432	11.32103	-0.43918	68.40825	88.28118	0.26118	3.82882	0.0	51.0768	0.0	0.5	1.33669	1.33669	3.43632	3.43632	761.6571	28231.381	31.7975	0.0
665.0	0.00395	0.99605	2.41608	11.3128	-0.51159	68.29527	88.19056	0.26063	3.83693	1.06313E-8	51.13127	3.54605E-9	0.49903	1.34366	1.34366	3.40775	3.40775	762.2985	28079.911	51.2759	57.543
660.0	0.01027	0.98973	2.41898	11.29921	-0.63114	68.11949	88.0358	0.25969	3.85072	4.89111E-7	51.22432	1.63311E-7	0.49749	1.35583	1.35583	3.35918	3.35918	763.38563	27828.924	50.1974	149.54
655.0	0.01615	0.98385	2.4218	11.28604	-0.74692	67.96363	87.87978	0.25876	3.8646	3.0167E-6	51.31843	1.00823E-6	0.49604	1.36845	1.36845	3.31036	3.31036	764.47435	27584.51	48.8828	235.161
650.0	0.02162	0.97838	2.42453	11.27338	-0.85826	67.83225	87.72335	0.25782	3.87862	9.76876E-6	51.41385	3.26779E-6	0.4947	1.38154	1.38154	3.26135	3.26135	765.56413	27346.39	47.624	314.829
647.68	0.02402	0.97598	2.42576	11.26763	-0.90884	67.77658	87.65041	0.25739	3.88513	1.49453E-5	51.45818	5.00138E-6	0.49411	1.38775	1.38775	3.2386	3.2386	765.78967	27238.158	 	349.809
645.0	0.30904	0.69096	2.47308	11.05207	-2.80457	56.48224	103.41154	0.21753	4.59716	0.23107	51.60637	0.0791849	0.45907	1.40049	32.04917	3.19978	0.13982	760.21168	24080.0	653.278	3423.11
640.0	0.57789	0.42211	2.52007	10.84602	-4.61661	45.77515	123.78385	0.18074	5.53294	3.76222	52.26303	1.32065	0.42438	1.42525	413.29451	3.12708	0.0107837	753.24968	21035.367	608.927	6309.981
635.0	0.70635	0.29365	2.54383	10.74471	-5.50754	40.61518	137.38458	0.16195	6.17468	9.22074	52.69539	3.27656	0.40707	1.4512	1016.08942	3.05434	0.00436227	748.59147	19506.376	305.798	7681.559
630.0	0.78003	0.21997	2.5582	10.68432	-6.03861	37.62415	146.55854	0.15098	6.62346	14.4011	53.03831	5.15502	0.3968	1.47826	1667.2104	2.98192	0.00264397	745.23926	18565.113	188.253	8465.759
625.0	0.82715	0.17285	2.56794	10.64374	-6.39556	35.68301	152.99354	0.14383	6.95277	18.78855	53.33687	6.75842	0.39001	1.50637	2328.46316	2.91007	0.00188264	742.72264	17906.929	131.637	8967.227
624.63	0.82988	0.17012	2.56853	10.64131	-6.41691	35.56999	153.38099	0.14341	6.97323	19.07248	53.35768	6.86252	0.38961	1.50849	2376.65402	2.9048	0.00184371	742.56068	17866.396	 	8996.257
624.63	0.82988	0.17012	2.56853	10.64131	-6.41691	35.56999	153.38099	0.14341	6.97323	19.07248	53.35768	6.86252	0.38961	1.50849	2376.65402	2.9048	0.00184371	742.56068	17866.396	 	8996.257
620.0	0.8623	0.1377	2.57554	10.61225	-6.67242	34.21947	158.10364	0.1384	7.22523	22.72407	53.62197	8.20478	0.38481	1.53375	3040.22024	2.84222	0.00143386	740.50489	17368.4	107.706	9349.388
615.0	0.88682	0.11318	2.58125	10.58869	-6.87961	33.17861	161.86101	0.13443	7.43858	25.88556	53.88758	9.37173	0.38104	1.56279	3764.76441	2.77377	0.00115142	738.80025	16945.105	84.659	9616.663
612.52	0.89619	0.10381	2.58359	10.57907	-6.96427	32.7728	163.35008	0.13284	7.52807	27.20273	54.01412	9.8592	0.37956	1.57795	4131.65513	2.73945	0.00104624	738.10466	16765.199	 	9719.165
610.0	0.90492	0.0950835	2.58582	10.56991	-7.04484	32.39174	164.75312	0.13133	7.61435	28.48097	54.14096	10.33297	0.37816	1.59247	4523.08197	2.70676	9.52986E-4	737.4674	16591.771	70.6668	9814.323
605.0	0.91916	0.0808412	2.5897	10.55399	-7.18482	31.75636	167.09877	0.12875	7.76673	30.70696	54.38597	11.15969	0.3758	1.62235	5341.28225	2.64186	8.02435E-4	736.43538	16280.439	62.2664	9970.327
600.0	0.93024	0.0697562	2.59301	10.54042	-7.30413	31.24611	168.98653	0.12659	7.89946	32.58222	54.6236	11.85783	0.37387	1.65357	6224.2858	2.57723	6.84677E-4	735.65431	16003.096	55.4686	10092.688
595.0	0.93909	0.0609104	2.59591	10.52853	-7.40872	30.82482	170.54191	0.12472	8.01808	34.18925	54.85542	12.45737	0.37225	1.68613	7189.25531	2.51299	5.89383E-4	735.07827	15749.893	50.6406	10191.251
590.0	0.94629	0.0537088	2.59852	10.51786	-7.50253	30.46834	171.84907	0.12306	8.12634	35.58781	55.0824	12.98013	0.37086	1.72006	8253.71895	2.44923	5.10415E-4	734.67349	15514.474	47.0838	10272.372
585.0	0.95225	0.0477544	2.6009	10.50814	-7.58806	30.16136	172.96515	0.12155	8.22673	36.82009	55.30513	13.44154	0.36964	1.75538	9435.18655	2.38606	4.43917E-4	734.41403	15292.741	 	10340.278
585.0	0.95225	0.0477544	2.6009	10.50814	-7.58806	30.16136	172.96515	0.12155	8.22673	36.82009	55.30513	13.44154	0.36964	1.75538	9435.18655	2.38606	4.43917E-4	734.41403	15292.741	 	10340.278
585.0	0.95228	0.0477202	2.6009	10.50811	-7.58829	30.15998	172.97053	0.12155	8.22703	36.82628	55.30554	13.44386	0.36963	1.75543	9437.40935	2.38597	4.4381E-4	734.41282	15292.193	44.4562	10340.696
580.0	0.97685	0.0231494	2.60564	10.48759	-7.76875	29.19945	176.99895	0.11809	8.46797	41.61064	55.68263	15.23623	0.36552	1.82023	11674.44432	2.28763	3.56678E-4	733.89781	14820.355	94.3676	10658.916
575.0	0.98675	0.0132463	2.60808	10.47638	-7.8673	28.78582	178.72472	0.11627	8.60094	43.82979	55.95229	16.07105	0.36363	1.88731	13590.07753	2.1934	3.04605E-4	734.12693	14535.987	56.8736	10790.004
570.0	0.992	0.00799638	2.6098	10.46813	-7.93987	28.54531	179.71053	0.11495	8.69967	45.1735	56.18693	16.57811	0.36244	1.95628	15538.6809	2.10358	2.64836E-4	734.62882	14311.275	44.9424	10861.77
565.0	0.99521	0.00478939	2.61121	10.46117	-8.00106	28.38013	180.37011	0.11385	8.78368	46.11998	56.40541	16.93627	0.36157	2.02684	17642.47434	2.01832	2.31872E-4	735.24923	14112.971	39.6608	10907.462
560.0	0.99735	0.00264762	2.61247	10.45489	-8.05633	28.25385	180.8576	0.11286	8.86028	46.85494	56.61478	17.21509	0.36087	2.09872	19971.85266	1.93756	2.03606E-4	735.92499	13928.68	36.8582	10939.471
555.0	0.99887	0.00112861	2.61365	10.449	-8.10813	28.15003	181.24425	0.11195	8.93283	47.46425	56.81823	17.44677	0.36026	2.17178	22583.29249	1.86115	1.78982E-4	736.62737	13752.767	35.1826	10963.431
550.0	1.0	0.0	2.6148	10.44336	-8.15774	28.05996	181.56721	0.11107	9.00311	47.99366	57.01747	17.64848	0.35971	 	25532.11227	 	1.57354E-4	 	13582.303	34.0928	10982.267
545.0	1.0	0.0	2.61606	10.4383	-8.20227	28.00529	181.70777	0.11031	9.06514	48.28531	57.21092	17.76063	0.35934	 	28777.80673	 	1.38759E-4	 	13352.919	45.8768	 
540.0	1.0	0.0	2.61733	10.43325	-8.24664	27.95065	181.84611	0.10956	9.12782	48.57579	57.40271	17.87239	0.35896	 	32483.87037	 	1.22177E-4	 	13197.294	31.125	 
535.0	1.0	0.0	2.61859	10.42822	-8.29086	27.89604	181.9822	0.1088	9.19117	48.86509	57.59286	17.98375	0.35859	 	36722.21254	 	1.07411E-4	 	13042.155	31.0278	 
530.0	1.0	0.0	2.61985	10.42321	-8.33494	27.84147	182.11603	0.10805	9.25519	49.15321	57.78139	18.09471	0.35822	 	41576.99174	 	9.42823E-5	 	12887.495	30.932	 
525.0	1.0	0.0	2.62111	10.41821	-8.37887	27.78692	182.24757	0.1073	9.3199	49.44016	57.96833	18.20527	0.35785	 	47146.87388	 	8.26263E-5	 	12733.305	30.838	 
