T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
700.0	0.0057	0.9943	2.32428	11.63028	0.0	65.19443	86.29041	0.2763	3.61923	2.79352E-8	48.69717	9.31996E-9	0.49868	1.22974	1.22974	3.86237	3.86237	731.39769	28739.733	 	0.0
695.0	0.00586	0.99414	2.32592	11.62205	-0.0707499	65.2825	86.1136	0.27545	3.63047	3.13654E-8	48.76214	1.04646E-8	0.49864	1.24284	1.24284	3.802	3.802	732.73617	28576.682	32.6102	3.343
690.0	0.00601	0.99399	2.32756	11.61388	-0.14104	65.37449	85.93674	0.27459	3.64182	3.49173E-8	48.82726	1.16499E-8	0.4986	1.25624	1.25624	3.74204	3.74204	734.07372	28413.811	32.5742	6.506
685.0	0.00615	0.99385	2.3292	11.60574	-0.21104	65.46955	85.75981	0.27373	3.65329	3.85756E-8	48.89247	1.28708E-8	0.49857	1.26992	1.26992	3.6825	3.6825	735.41025	28251.11	32.5402	9.5
680.0	0.00628	0.99372	2.33083	11.59763	-0.28073	65.56785	85.58281	0.27286	3.66488	4.23201E-8	48.9578	1.41204E-8	0.49854	1.28392	1.28392	3.62336	3.62336	736.74568	28088.573	32.5074	12.335
675.0	0.0064	0.9936	2.33245	11.58946	-0.35096	65.66454	85.40491	0.27199	3.67654	4.61343E-8	49.02274	1.53934E-8	0.49851	1.29822	1.29822	3.56464	3.56464	738.08015	27926.192	32.4762	15.016
670.0	0.00652	0.99348	2.33408	11.58144	-0.41993	65.77002	85.2278	0.27112	3.68837	4.99962E-8	49.08827	1.66823E-8	0.49848	1.31284	1.31284	3.50635	3.50635	739.41315	27763.959	32.4466	17.551
665.0	0.00663	0.99337	2.3357	11.57348	-0.48837	65.88034	85.0507	0.27025	3.70032	5.38888E-8	49.15393	1.79814E-8	0.49846	1.3278	1.3278	3.44848	3.44848	740.74478	27601.868	32.4182	19.946
660.0	0.00673	0.99327	2.33731	11.56543	-0.55765	65.98739	84.87264	0.26937	3.71236	5.77985E-8	49.21912	1.92863E-8	0.49843	1.34309	1.34309	3.39104	3.39104	742.07528	27439.903	32.393	22.209
655.0	0.00683	0.99317	2.33892	11.55742	-0.62653	66.09858	84.69455	0.26849	3.72453	6.17114E-8	49.28441	2.05923E-8	0.49841	1.35874	1.35874	3.33403	3.33403	743.40434	27278.254	32.3298	24.345
650.0	0.00692	0.99308	2.34053	11.54956	-0.69406	66.21964	84.51728	0.2676	3.73686	6.56117E-8	49.3503	2.18941E-8	0.49839	1.37474	1.37474	3.27746	3.27746	744.73161	27117.044	32.242	26.357
645.0	0.00701	0.99299	2.34213	11.54164	-0.7622	66.33894	84.33913	0.26672	3.74929	6.94877E-8	49.41573	2.31878E-8	0.49837	1.39112	1.39112	3.22133	3.22133	745.81448	26956.294	32.15	28.252
642.98	0.00704	0.99296	2.34278	11.53839	-0.79012	66.38574	84.26665	0.26636	3.75435	7.10462E-8	49.44203	2.3708E-8	0.49836	1.39786	1.39786	3.19874	3.19874	746.35656	26891.365	32.0824	28.987
640.0	0.00948	0.99052	2.34418	11.53154	-0.84899	66.34577	84.1653	0.26581	3.76205	7.5731E-8	49.49053	2.52811E-8	0.49778	1.40653	1.40653	3.1687	3.1687	747.16826	26760.174	44.0803	65.887
635.0	0.01332	0.98668	2.34647	11.5203	-0.94563	66.29182	83.99437	0.26489	3.77508	1.37522E-7	49.57373	4.59367E-8	0.49687	1.42148	1.42148	3.11821	3.11821	748.53082	26543.903	43.2542	124.042
630.0	0.01686	0.98314	2.3487	11.50932	-1.04003	66.2509	83.82252	0.26398	3.78822	4.31383E-7	49.65785	1.44177E-7	0.49602	1.43692	1.43692	3.06771	3.06771	749.89193	26332.517	42.2772	177.68
625.0	0.02011	0.97989	2.35089	11.49869	-1.1315	66.22776	83.65049	0.26305	3.80149	1.18732E-6	49.74279	3.97029E-7	0.49525	1.45287	1.45287	3.01723	3.01723	751.25113	26125.685	41.3664	227.133
623.81	0.02085	0.97915	2.3514	11.49615	-1.15329	66.22234	83.60909	0.26284	3.80466	1.46017E-6	49.76292	4.88327E-7	0.49507	1.45675	1.45675	3.00519	3.00519	751.57515	26076.989	 	238.341
623.81	0.02085	0.97915	2.3514	11.49615	-1.15331	66.22222	83.60919	0.26284	3.80466	1.46022E-6	49.76287	4.88343E-7	0.49507	1.45675	1.49243	3.00519	2.93336	751.5751	26076.963	 	238.365
620.0	0.09307	0.90693	2.36326	11.43845	-1.64939	63.49988	86.61761	0.25263	3.95836	7.81893E-4	49.73966	2.63033E-4	0.4863	1.46979	2.01076	2.96589	2.16796	750.3563	25202.716	184.594	993.089
615.0	0.21899	0.78101	2.38365	11.34059	-2.49082	58.6566	92.35896	0.2356	4.2445	0.0485691	50.10341	0.0165102	0.47088	1.48905	15.05046	2.91114	0.28802	747.26259	23743.578	291.828	2295.576
610.0	0.32974	0.67026	2.40197	11.2541	-3.23451	54.36093	97.94502	0.22091	4.5267	0.30652	50.48785	0.10519	0.45703	1.50966	78.37046	2.85523	0.0550008	744.03581	22447.239	259.268	3435.633
605.0	0.4177	0.5823	2.41694	11.18444	-3.83348	50.93275	102.91607	0.20905	4.78353	0.87776	50.84381	0.30356	0.44577	1.53119	221.93142	2.79916	0.0193124	741.14892	21388.941	211.66	4338.013
600.0	0.48742	0.51258	2.42918	11.12807	-4.31818	48.19483	107.2924	0.19938	5.0155	1.74421	51.17058	0.60704	0.43666	1.55351	457.05038	2.74322	0.0093242	738.63496	20520.239	173.74	5051.157
595.0	0.54358	0.45642	2.43935	11.08167	-4.71707	45.97699	110.77834	0.192	5.20828	2.83743	51.47431	0.99269	0.42917	1.57661	787.21631	2.68756	0.00538254	736.44673	19792.189	145.61	5624.009
590.0	0.58963	0.41037	2.44795	11.04275	-5.05176	44.14858	114.13555	0.18528	5.3972	4.08512	51.75974	1.43549	0.4229	1.60047	1215.20495	2.63224	0.00346676	734.53283	19168.887	124.66	6092.472
585.0	0.62798	0.37202	2.45536	11.00946	-5.338	42.614	117.09977	0.17954	5.56964	5.42682	52.0306	1.91412	0.41758	1.62511	1745.66134	2.57732	0.00239933	732.85198	18625.173	108.743	6481.701
581.45	0.6514	0.3486	2.46002	10.98854	-5.51782	41.66662	118.98474	0.17597	5.68281	6.40546	52.21517	2.26458	0.41427	1.64308	2186.79561	2.53858	0.0019074	731.78279	18278.323	 	6719.044
581.45	0.65141	0.34859	2.46002	10.98859	-5.51746	41.66911	118.98568	0.17597	5.68286	6.40578	52.21534	2.26469	0.41427	1.64308	2186.96424	2.53857	0.00190725	731.78229	18278.255	 	6719.09
580.0	0.66064	0.33936	2.46187	10.98031	-5.58859	41.29422	119.74942	0.17455	5.72904	6.82732	52.29126	2.41596	0.41296	1.65016	2389.48295	2.52341	0.00174264	731.35265	18139.681	97.0984	6813.063
575.0	0.68957	0.31043	2.46776	10.95405	-5.81445	40.12006	122.18939	0.17006	5.88024	8.29599	52.54717	2.9443	0.40882	1.67522	3172.91326	2.47108	0.00130467	729.98909	17692.747	89.3868	7106.218
571.06	0.70927	0.29073	2.47192	10.93569	-5.97228	39.31894	123.89603	0.16694	5.9902	9.43704	52.7419	3.35609	0.40596	1.69566	3883.06884	2.42996	0.00106111	729.03371	17372.556	 	7305.454
570.0	0.71802	0.28198	2.47347	10.9288	-6.0315	38.98537	124.6701	0.16569	6.0352	9.9851	52.82842	3.55429	0.40466	1.70004	4179.48363	2.42065	9.84621E-4	728.51353	17238.132	90.923	7407.404
565.0	0.75263	0.24737	2.47986	10.90068	-6.27329	37.65672	127.7744	0.16071	6.22237	12.41669	53.19516	4.43631	0.39944	1.72176	5666.30952	2.37594	7.21952E-4	726.36029	16687.479	110.131	7804.974
560.0	0.77864	0.22136	2.485	10.87812	-6.46725	36.64066	130.15231	0.15683	6.37621	14.55445	53.51044	5.21508	0.39542	1.74495	7295.39096	2.33038	5.57393E-4	724.60595	16241.008	89.2942	8098.708
555.0	0.79908	0.20092	2.48932	10.85921	-6.62989	35.82836	132.03386	0.15367	6.50744	16.45021	53.79292	5.90808	0.39218	1.76946	9104.54548	2.28431	4.43953E-4	723.1464	15861.347	75.9322	8325.971
550.0	0.81567	0.18433	2.49308	10.84284	-6.77064	35.15797	133.55844	0.151	6.62257	18.14864	54.05294	6.53075	0.38948	1.79518	11135.28094	2.23798	3.60798E-4	721.91552	15527.435	66.7824	8507.824
545.0	0.82949	0.17051	2.49643	10.82827	-6.89589	34.58714	134.81627	0.14868	6.72579	19.68587	54.29667	7.09574	0.38716	1.82208	13433.50591	2.19156	2.97256E-4	720.86922	15226.413	60.2044	8657.123
540.0	0.84122	0.15878	2.49947	10.81513	-7.00885	34.0953	135.86618	0.14663	6.81985	21.08791	54.52811	7.61219	0.38514	1.85011	16049.50546	2.14516	2.47284E-4	719.97514	14949.949	55.2928	8782.196
535.0	0.85134	0.14866	2.50226	10.80308	-7.11252	33.66251	136.75237	0.14478	6.9068	22.37788	54.75	8.08831	0.38335	1.87926	19042.76369	2.0989	2.07133E-4	719.21007	14692.384	51.513	8888.699
530.0	0.86019	0.13981	2.50485	10.79188	-7.20878	33.27655	137.50631	0.1431	6.98811	23.57346	54.96427	8.53041	0.38173	1.90953	22481.32895	2.05285	1.74366E-4	718.55595	14449.728	48.5312	8980.62
525.0	0.868	0.132	2.50729	10.7814	-7.29892	32.92909	138.15001	0.14155	7.06481	24.68788	55.1721	8.9432	0.38026	1.94092	26443.39644	2.00707	1.47317E-4	717.99868	14219.078	46.13	9060.858
520.0	0.87497	0.12503	2.50959	10.77148	-7.38415	32.61195	138.7031	0.1401	7.13781	25.7341	55.37467	9.33134	0.37891	1.97346	31023.20366	1.96161	1.24783E-4	717.52699	13998.268	44.162	9131.574
515.0	0.88124	0.11876	2.51179	10.76208	-7.46498	32.32227	139.17775	0.13874	7.20767	26.71976	55.57263	9.69756	0.37765	2.00717	36328.10205	1.91651	1.05889E-4	717.13135	13785.646	42.5244	9194.417
510.0	0.88692	0.11308	2.51389	10.75308	-7.54236	32.05344	139.58452	0.13746	7.27489	27.65267	55.76646	10.04468	0.37648	2.04206	42486.07092	1.87181	8.99674E-5	716.80471	13579.927	41.1438	9250.671
505.0	0.8921	0.1079	2.51591	10.74445	-7.61662	31.80356	139.93369	0.13624	7.33995	28.5404	55.9568	10.37543	0.37538	2.07818	49651.35327	1.82754	7.64925E-5	716.54	13380.094	39.9666	9301.345
500.0	0.89685	0.10315	2.51786	10.73614	-7.68807	31.57079	140.2307	0.13508	7.40309	29.38683	56.14388	10.6912	0.37435	2.11556	58002.24894	1.78372	6.50587E-5	716.33178	13185.333	38.9522	9347.253
495.0	0.90123	0.098774	2.51975	10.72809	-7.75725	31.35117	140.48315	0.13396	7.4647	30.19815	56.32813	10.99425	0.37336	2.15423	67756.63119	1.74036	5.53326E-5	716.17537	12994.981	38.0704	9389.051
490.0	0.90528	0.094721	2.52159	10.72026	-7.82457	31.142	140.69572	0.13289	7.52497	30.97852	56.50973	11.28609	0.37242	2.19426	79171.73368	1.6975	4.70464E-5	716.0668	12808.494	37.2974	9427.281
