T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
700.0	0.0	1.0	1.6377	15.05119	0.0	54.16173	78.64287	0.30317	3.29848	0.0	26.50576	0.0	0.5	1.22924	1.22924	3.86394	3.86394	550.06835	27116.653	 	0.0
695.0	1.0E-5	0.99999	1.639	15.0392	-0.079622	54.12635	78.31039	0.30289	3.3015	1.1712E-19	26.57327	3.90402E-20	0.5	1.24356	1.24356	3.79981	3.79981	551.79404	26945.945	34.1416	0.305
690.0	2.0E-5	0.99998	1.64029	15.02744	-0.15779	54.09851	77.97869	0.30261	3.30458	9.36433E-19	26.64094	3.12145E-19	0.5	1.2582	1.2582	3.7362	3.7362	553.51996	26775.267	34.1356	0.586
685.0	3.0E-5	0.99997	1.64158	15.01558	-0.23656	54.06687	77.64628	0.30233	3.30766	3.27494E-18	26.70843	1.09165E-18	0.49999	1.27317	1.27317	3.6731	3.6731	555.24617	26604.614	34.1306	0.838
680.0	3.0E-5	0.99997	1.64286	15.00393	-0.31397	54.04246	77.31463	0.30204	3.31081	7.83174E-18	26.77616	2.61058E-18	0.5	1.28848	1.28848	3.61052	3.61052	556.97259	26433.986	34.1256	1.067
675.0	4.0E-5	0.99996	1.64414	14.99219	-0.39199	54.0142	76.98227	0.30175	3.31396	1.50442E-17	26.8437	5.01475E-18	0.49999	1.30414	1.30414	3.54846	3.54846	558.69927	26263.38	34.1212	1.272
670.0	5.0E-5	0.99995	1.64542	14.98049	-0.46974	53.98702	76.64987	0.30146	3.31715	2.50742E-17	26.91119	8.35812E-18	0.49999	1.32016	1.32016	3.48692	3.48692	560.4262	26092.793	34.1174	1.458
665.0	5.0E-5	0.99995	1.6467	14.969	-0.54606	53.96769	76.31827	0.30117	3.3204	3.78358E-17	26.97898	1.2612E-17	0.49999	1.33655	1.33655	3.4259	3.4259	562.15331	25922.225	34.1136	1.624
660.0	5.0E-5	0.99995	1.64797	14.95741	-0.62307	53.94405	75.98592	0.30087	3.32365	5.30602E-17	27.04653	1.76868E-17	0.49999	1.35332	1.35332	3.36541	3.36541	563.88067	25751.671	34.1108	1.774
655.0	6.0E-5	0.99994	1.64924	14.94588	-0.69967	53.92243	75.65362	0.30058	3.32694	7.0377E-17	27.11413	2.34592E-17	0.49999	1.37049	1.37049	3.30544	3.30544	565.60824	25581.152	34.1038	1.909
