T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
700.0	0.0	1.0	1.5959	15.33945	0.0	52.69731	81.03409	0.29422	3.39877	0.0	24.67816	0.0	0.5	1.23278	1.23278	3.85284	3.85284	543.8811	27791.946	 	0.0
690.0	0.0	1.0	1.59844	15.31511	-0.15867	52.60957	80.344	0.2937	3.40481	0.0	24.81443	0.0	0.5	1.26208	1.26208	3.72473	3.72473	547.3728	27449.247	34.2699	0.0
680.0	0.0	1.0	1.60096	15.29097	-0.31605	52.52638	79.65392	0.29317	3.41099	0.0	24.95071	0.0	0.5	1.29271	1.29271	3.59872	3.59872	550.86465	27106.548	34.2699	0.0
672.09	0.0	1.0	1.60295	15.27201	-0.43961	52.46434	79.10784	0.29274	3.41596	0.0	25.0586	0.0	0.5	1.31795	1.31795	3.50049	3.50049	553.6282	26835.345	34.2696	0.0
670.0	0.0	1.0	1.60347	15.26716	-0.47125	52.45304	78.96456	0.29263	3.41732	0.0	25.08706	0.0	0.5	1.32475	1.32475	3.47484	3.47484	554.35442	26763.718	34.3339	0.124
660.0	2.0E-5	0.99998	1.60597	15.2434	-0.62616	52.37917	78.27483	0.29208	3.42377	4.78626E-19	25.22334	1.59542E-19	0.5	1.35828	1.35828	3.35312	3.35312	557.83607	26420.453	34.3265	0.686
650.0	3.0E-5	0.99997	1.60845	15.21972	-0.7805	52.30622	77.58442	0.29152	3.43033	3.6705E-18	25.35934	1.2235E-18	0.49999	1.39342	1.39342	3.23354	3.23354	561.31861	26077.307	34.3146	1.144
646.68	3.0E-5	0.99997	1.60928	15.21192	-0.83136	52.28361	77.35539	0.29133	3.43254	5.68423E-18	25.4045	1.89475E-18	0.49999	1.40545	1.40545	3.19434	3.19434	562.47251	25963.622	 	1.277
640.0	6.5E-4	0.99935	1.61098	15.19592	-0.93568	52.22587	76.90498	0.29091	3.43753	3.61785E-13	25.49327	1.20601E-13	0.49993	1.42945	1.42945	3.11788	3.11788	564.76443	25720.73	35.6577	16.393
636.63	9.5E-4	0.99905	1.61184	15.18783	-0.98842	52.19585	76.6771	0.29069	3.44005	1.75841E-12	25.53809	5.86177E-13	0.4999	1.44188	1.44295	3.07958	3.07729	565.92219	25598.898	 	23.701
630.0	0.48889	0.51111	1.64257	14.90357	-2.84155	41.4679	105.32046	0.21009	4.75978	1.38459	25.8859	0.4876	0.41982	1.46602	134.6227	3.00682	0.0327437	568.99549	21304.765	441.596	4093.741
620.0	0.73277	0.26723	1.65941	14.75221	-3.82826	36.04718	128.19313	0.1707	5.85834	7.39673	26.28701	2.68336	0.37826	1.50651	805.67129	2.8936	0.0054107	573.68267	18981.373	232.339	6081.144
612.56	0.80787	0.19213	1.66535	14.69949	-4.17201	34.34544	136.48704	0.15899	6.28976	11.18933	26.54603	4.0986	0.36502	1.53866	1368.02215	2.80953	0.00315998	577.19162	18137.686	 	6676.5
612.56	0.80787	0.19213	1.66535	14.69949	-4.17201	34.34543	136.48704	0.15899	6.28976	11.18933	26.54603	4.0986	0.36502	1.53866	1368.02215	2.80953	0.00315998	577.19162	18137.684	 	6676.503
610.0	0.82519	0.17481	1.66686	14.68609	-4.2593	33.94523	138.43952	0.15629	6.39823	12.26276	26.63121	4.50211	0.36189	1.55006	1563.50829	2.78082	0.0027569	578.40021	17917.366	106.401	6811.715
600.0	0.87394	0.12606	1.67155	14.64459	-4.52986	32.79972	143.68115	0.14889	6.71653	15.78108	26.95331	5.83233	0.3529	1.59631	2386.35989	2.66968	0.00178583	583.12119	17214.686	70.268	7183.43
590.0	0.90292	0.0970801	1.675	14.61422	-4.72784	32.08757	146.52624	0.14432	6.92888	18.33055	27.26168	6.80293	0.34725	1.64514	3315.05163	2.56078	0.00127082	587.8388	16673.625	54.1061	7395.924
580.0	0.92186	0.0781432	1.6778	14.58952	-4.88886	31.59546	148.12641	0.14111	7.08665	20.26553	27.55995	7.54308	0.34332	1.69658	4412.71188	2.45435	9.4364E-4	592.54966	16214.685	45.894	7528.623
579.19	0.92307	0.0769251	1.67801	14.58769	-4.90079	31.56232	148.22116	0.14089	7.09794	20.40019	27.58376	7.5947	0.34305	1.70087	4510.71212	2.44584	9.22261E-4	592.93175	16179.999	 	7536.932
560.0	0.94514	0.0548601	1.68247	14.54845	-5.1566	30.93045	149.44617	0.13659	7.32142	23.10586	28.13288	8.63485	0.33794	1.80797	7426.8185	2.24915	5.47529E-4	601.94643	15417.749	39.8468	7679.756
550.0	0.95243	0.0475705	1.68452	14.53042	-5.27415	30.69362	149.62493	0.13478	7.41923	24.17785	28.40871	9.04864	0.33599	1.86815	9525.85286	2.15057	4.21757E-4	606.63489	15055.076	36.2673	7722.718
540.0	0.95814	0.0418634	1.68647	14.51333	-5.38558	30.49141	149.61801	0.13315	7.51012	25.11404	28.67819	9.41084	0.33432	1.93162	12200.60305	2.05464	3.25294E-4	611.317	14706.046	34.903	7754.059
536.21	0.95997	0.0400339	1.68719	14.50706	-5.42647	30.42223	149.58245	0.13256	7.54348	25.43878	28.77864	9.53666	0.33374	1.95657	13400.0829	2.01899	2.94796E-4	613.08925	14576.699	 	7763.573
