T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
700.0	1.0E-5	0.99999	1.61631	15.19644	0.0	53.21083	79.76743	0.2989	3.34564	2.08662E-20	25.58407	6.9554E-21	0.5	1.23089	1.23089	3.85874	3.85874	546.96019	27451.18	 	0.0
695.0	2.0E-5	0.99998	1.61759	15.18449	-0.0785951	53.17477	79.42941	0.29863	3.34867	2.12473E-19	25.65204	7.08244E-20	0.5	1.24529	1.24529	3.79453	3.79453	548.69374	27280.057	34.2246	0.235
690.0	2.0E-5	0.99998	1.61887	15.17243	-0.15794	53.13401	79.09056	0.29836	3.3517	8.24047E-19	25.71972	2.74683E-19	0.5	1.26001	1.26001	3.73083	3.73083	550.42755	27108.953	34.2208	0.454
685.0	3.0E-5	0.99997	1.62014	15.16059	-0.23586	53.10062	78.75254	0.29808	3.35479	2.09735E-18	25.7877	6.99118E-19	0.5	1.27506	1.27506	3.66765	3.66765	552.16156	26937.869	34.2168	0.654
680.0	3.0E-5	0.99997	1.62141	15.14865	-0.31445	53.0629	78.41375	0.29781	3.35788	4.2133E-18	25.85544	1.40444E-18	0.5	1.29046	1.29046	3.60499	3.60499	553.89581	26766.802	34.2134	0.835
675.81	4.0E-5	0.99996	1.62248	15.13868	-0.38004	53.03258	78.12972	0.29758	3.3605	6.71249E-18	25.91227	2.2375E-18	0.49999	1.30363	1.30363	3.55286	3.55286	555.35006	26623.383	34.2103	0.975
675.0	1.0E-4	0.9999	1.62269	15.13677	-0.3926	53.0271	78.07631	0.29753	3.36106	5.50734E-17	25.92306	1.83579E-17	0.49999	1.30613	1.30613	3.54306	3.54306	555.62602	26594.217	36.1086	2.535
670.0	4.9E-4	0.99951	1.62399	15.12465	-0.47239	52.98142	77.74387	0.29722	3.36449	1.18469E-13	25.98945	3.9491E-14	0.49995	1.32178	1.32178	3.48265	3.48265	557.33484	26413.904	36.0626	11.962
665.0	8.7E-4	0.99913	1.62528	15.11257	-0.55185	52.93685	77.4111	0.29692	3.36794	1.31478E-12	26.05593	4.38287E-13	0.4999	1.33781	1.33781	3.42268	3.42268	559.04453	26233.985	35.9838	20.993
660.0	0.00123	0.99877	1.62657	15.10054	-0.63102	52.89333	77.07799	0.29661	3.37142	5.56841E-12	26.1225	1.85631E-12	0.49986	1.35423	1.35423	3.36315	3.36315	560.75506	26054.448	35.9074	29.643
655.0	0.00158	0.99842	1.62786	15.08871	-0.70891	52.85661	76.74528	0.2963	3.37495	1.5469E-11	26.18939	5.15693E-12	0.49983	1.37105	1.37105	3.30409	3.30409	562.46638	25875.291	35.8314	37.923
650.0	0.00191	0.99809	1.62914	15.07676	-0.78755	52.81483	76.41146	0.29599	3.37847	3.38775E-11	26.2561	1.12941E-11	0.49979	1.38829	1.38829	3.24548	3.24548	564.17852	25696.51	35.7562	45.847
645.0	0.00222	0.99778	1.63041	15.06498	-0.86504	52.77929	76.07798	0.29568	3.38204	6.36657E-11	26.32307	2.12254E-11	0.49976	1.40596	1.40596	3.18734	3.18734	565.88781	25518.408	35.6204	53.425
640.0	0.00252	0.99748	1.63169	15.05323	-0.94238	52.74403	75.74408	0.29537	3.38564	1.07508E-10	26.39006	3.58428E-11	0.49972	1.42407	1.42407	3.12966	3.12966	567.6017	25341.314	35.4188	60.67
635.0	0.00281	0.99719	1.63295	15.04166	-1.01853	52.71535	75.41055	0.29505	3.38929	1.67869E-10	26.45734	5.59677E-11	0.49969	1.44264	1.44264	3.07247	3.07247	569.31627	25165.208	35.2212	67.592
630.0	0.00309	0.99691	1.63422	15.02996	-1.09552	52.68115	75.07589	0.29473	3.39293	2.46672E-10	26.52444	8.22426E-11	0.49966	1.46168	1.46168	3.01575	3.01575	571.03156	24990.069	35.0278	74.203
625.0	0.00335	0.99665	1.63547	15.01841	-1.1715	52.65254	74.7415	0.29441	3.39662	3.45482E-10	26.59171	1.15189E-10	0.49963	1.4812	1.4812	2.95952	2.95952	572.74751	24815.877	34.8384	80.513
620.0	0.0036	0.9964	1.63673	15.00688	-1.24735	52.62429	74.4067	0.29409	3.40033	4.65521E-10	26.65904	1.55215E-10	0.4996	1.50123	1.50123	2.90379	2.90379	574.46412	24642.613	34.6528	86.532
616.82	0.00375	0.99625	1.63752	14.99963	-1.29507	52.60958	74.19378	0.29388	3.40273	5.53193E-10	26.70199	1.84448E-10	0.49959	1.51425	1.51425	2.86856	2.86856	575.5571	24532.81	 	90.208
615.0	0.0771704	0.92283	1.64233	14.95575	-1.58382	50.96446	77.27174	0.2816	3.55114	7.25705E-4	26.71751	2.43931E-4	0.48752	1.52168	1.78453	2.84872	2.42912	576.4236	23872.443	154.034	690.084
614.43	0.097971	0.90203	1.6437	14.94325	-1.66606	50.49823	78.15845	0.27823	3.59419	0.00197675	26.7438	6.65983E-4	0.48408	1.52401	2.00463	2.84254	2.16104	576.69359	23683.86	 	859.839
614.43	0.097971	0.90203	1.6437	14.94325	-1.6661	50.49802	78.15857	0.27823	3.59419	0.00197698	26.74381	6.66061E-4	0.48408	1.52401	2.00463	2.84254	2.16104	576.69359	23683.825	 	859.874
610.0	0.23869	0.76131	1.65315	14.85783	-2.22817	47.33296	84.36376	0.25647	3.89902	0.0785619	26.94015	0.0268923	0.46068	1.54256	12.96571	2.79433	0.33245	578.80645	22395.455	295.398	2001.072
605.0	0.3566	0.6434	1.66134	14.78454	-2.71049	44.67033	90.1094	0.23876	4.18828	0.40997	27.14456	0.14227	0.4408	1.56405	62.54952	2.74033	0.0685222	581.19031	21282.744	222.542	2948.391
600.0	0.44544	0.55456	1.66775	14.72773	-3.08431	42.65822	94.90835	0.2254	4.43659	1.02787	27.33609	0.36049	0.42564	1.58614	164.57058	2.6868	0.0258954	583.5749	20411.749	174.199	3654.593
595.0	0.51443	0.48557	1.67293	14.68207	-3.3848	41.08579	98.89854	0.21507	4.64974	1.86958	27.51781	0.66122	0.41372	1.60881	321.20513	2.63376	0.0131916	585.95962	19705.344	141.281	4196.795
590.0	0.56934	0.43066	1.67724	14.64438	-3.63277	39.8288	102.2745	0.20677	4.83632	2.85616	27.6921	1.01705	0.40414	1.63209	531.15561	2.58124	0.00793142	588.34398	19115.416	117.986	4623.1
585.0	0.6139	0.3861	1.68088	14.61249	-3.84266	38.80045	105.09507	0.20005	4.99865	3.92185	27.86011	1.40441	0.39627	1.65598	793.34607	2.52927	0.00527943	590.72767	18610.545	100.974	4964.923
583.35	0.6267	0.3733	1.68197	14.60309	-3.90452	38.50631	105.92008	0.19811	5.04762	4.27934	27.91459	1.53493	0.39399	1.66402	890.84976	2.5122	0.00469253	591.5162	18459.201	 	5062.446
575.0	0.68187	0.31813	1.68684	14.56077	-4.18297	37.22119	109.39811	0.18995	5.26467	6.12802	28.18258	2.21377	0.38407	1.70565	1481.2735	2.42699	0.00279463	595.49147	17774.691	83.5854	5476.36
570.0	0.70794	0.29206	1.68931	14.53937	-4.32383	36.60836	111.02093	0.18607	5.37445	7.20249	28.33774	2.61094	0.37929	1.73147	1910.36411	2.37671	0.00215415	597.87203	17420.787	70.7808	5668.879
565.0	0.7303	0.2697	1.69154	14.52008	-4.45077	36.07927	112.36811	0.18274	5.47212	8.24321	28.48977	2.9972	0.37515	1.75798	2404.21888	2.32699	0.00170151	600.25151	17097.123	64.7328	5831.691
560.0	0.74964	0.25036	1.69358	14.5025	-4.56644	35.61814	113.48494	0.17987	5.55967	9.24368	28.6389	3.36988	0.37151	1.78519	2970.53497	2.27785	0.00136891	602.62993	16797.811	59.8624	5970.682
555.0	0.76651	0.23349	1.69546	14.48629	-4.67312	35.21094	114.40751	0.17735	5.63871	10.20074	28.78536	3.72754	0.3683	1.81313	3618.55083	2.22928	0.00111702	605.00736	16518.361	55.89	6090.327
550.0	0.78136	0.21864	1.6972	14.47127	-4.77193	34.85129	115.16662	0.17511	5.7106	11.11371	28.92947	4.06969	0.36542	1.84184	4359.62377	2.1813	9.21545E-4	607.38376	16255.301	52.612	6194.092
545.0	0.79451	0.20549	1.69884	14.45719	-4.86458	34.52852	115.78808	0.17312	5.7765	11.98387	29.07127	4.39666	0.36284	1.87132	5207.59798	2.13388	7.668E-4	609.75931	16005.904	49.8794	6284.691
542.14	0.80135	0.19865	1.69973	14.44954	-4.91494	34.3601	116.09196	0.17206	5.812	12.46188	29.15155	4.57661	0.36147	1.88857	5746.65073	2.10699	6.9244E-4	611.11944	15868.526	 	6331.346
542.14	0.80135	0.19865	1.69973	14.44954	-4.91494	34.36009	116.09196	0.17206	5.812	12.46188	29.15155	4.57661	0.36147	1.88857	5746.65073	2.10699	6.9244E-4	611.11944	15868.526	 	6331.346
540.0	0.80624	0.19376	1.70039	14.44395	-4.95174	34.23877	116.3001	0.1713	5.83772	12.81335	29.21087	4.70908	0.36049	1.90156	6178.64219	2.08712	6.42339E-4	612.13281	15767.581	47.6646	6364.713
535.0	0.81687	0.18313	1.70186	14.43131	-5.03487	33.97256	116.71159	0.16965	5.89462	13.61089	29.34841	5.01013	0.35834	1.93257	7295.16837	2.041	5.40684E-4	614.50447	15538.123	45.8916	6436.368
530.0	0.82641	0.17359	1.70326	14.41932	-5.11384	33.73154	117.0349	0.16813	5.94775	14.36991	29.48413	5.29722	0.35636	1.96449	8575.41984	1.99542	4.57118E-4	616.87623	15317.428	44.139	6499.742
525.0	0.83505	0.16495	1.70461	14.40783	-5.18945	33.51048	117.28183	0.16673	5.99764	15.0934	29.6181	5.57139	0.35455	1.99735	10045.26891	1.95037	3.87802E-4	619.24808	15104.226	42.6404	6556.098
520.0	0.84289	0.15711	1.7059	14.3968	-5.262	33.30778	117.4634	0.16543	6.04479	15.78406	29.75038	5.83357	0.35286	2.03117	11735.41277	1.90588	3.29871E-4	621.61989	14897.485	41.3482	6606.464
515.0	0.85004	0.14996	1.70714	14.38618	-5.33188	33.121	117.588	0.16421	6.08959	16.44418	29.88103	6.08458	0.3513	2.066	13681.43537	1.86194	2.81167E-4	623.99165	14696.357	40.2256	6651.685
510.0	0.85661	0.14339	1.70835	14.37589	-5.39957	32.94711	117.66276	0.16307	6.13236	17.07662	30.01002	6.32544	0.34984	2.10186	15925.58572	1.81856	2.40014E-4	626.36343	14500.136	39.2442	6692.468
505.0	0.86264	0.13736	1.70952	14.36592	-5.46521	32.78542	117.69449	0.16198	6.17343	17.68401	30.13746	6.55709	0.34846	2.13881	18518.01379	1.77574	2.05095E-4	628.73523	14308.235	38.3802	6729.38
