T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
700.0	0.0	1.0	1.60452	15.2819	0.0	52.06279	80.61221	0.29576	3.38108	0.0	24.95581	0.0	0.5	1.24827	1.24827	3.80504	3.80504	544.81782	27609.71	 	0.0
695.0	0.0	1.0	1.60579	15.26976	-0.0794752	52.01423	80.26978	0.2955	3.3841	0.0	25.0239	0.0	0.5	1.26298	1.26298	3.74139	3.74139	546.56105	27438.79	34.184	0.0
690.0	0.0	1.0	1.60707	15.25766	-0.15863	51.96671	79.92735	0.29523	3.38716	0.0	25.09198	0.0	0.5	1.27802	1.27802	3.67827	3.67827	548.30438	27267.87	34.184	0.0
685.0	0.0	1.0	1.60834	15.24561	-0.23747	51.92026	79.58493	0.29496	3.39025	0.0	25.16006	0.0	0.5	1.2934	1.2934	3.61566	3.61566	550.04779	27096.951	34.1838	0.0
680.0	0.0	1.0	1.6096	15.23362	-0.31598	51.8749	79.2425	0.29469	3.39337	0.0	25.22815	0.0	0.5	1.30913	1.30913	3.55358	3.55358	551.79128	26926.033	34.1836	0.0
675.0	0.0	1.0	1.61087	15.22167	-0.39418	51.83066	78.90007	0.29442	3.39652	0.0	25.29623	0.0	0.5	1.32522	1.32522	3.49202	3.49202	553.53484	26755.115	34.1836	0.0
670.0	0.0	1.0	1.61213	15.20976	-0.47206	51.78755	78.55765	0.29414	3.39971	0.0	25.36431	0.0	0.5	1.34168	1.34168	3.43099	3.43099	555.27848	26584.198	34.1834	0.0
665.0	0.0	1.0	1.61339	15.19791	-0.54961	51.74561	78.21522	0.29386	3.40293	0.0	25.43239	0.0	0.5	1.35852	1.35852	3.37049	3.37049	557.02218	26413.282	34.1832	0.0
660.75	0.0	1.0	1.61445	15.18788	-0.61527	51.7109	77.9242	0.29363	3.40569	0.0	25.49025	0.0	0.5	1.37314	1.37314	3.31949	3.31949	558.50411	26268.03	34.1828	0.0
660.0	0.0	1.0	1.61464	15.18611	-0.62687	51.70477	77.87278	0.29358	3.40618	0.0	25.50043	0.0	0.5	1.37576	1.37576	3.31052	3.31052	558.76481	26242.319	34.248	0.043
655.0	1.0E-5	0.99999	1.61589	15.17426	-0.70442	51.66154	77.53009	0.2933	3.40946	3.33851E-20	25.56833	1.11284E-20	0.5	1.39339	1.39339	3.25112	3.25112	560.5013	26071.107	34.2424	0.344
650.0	2.0E-5	0.99998	1.61714	15.16263	-0.7805	51.62627	77.18825	0.29301	3.41282	3.36302E-19	25.6365	1.12101E-19	0.5	1.41145	1.41145	3.19224	3.19224	562.23809	25899.934	34.2346	0.617
645.0	2.0E-5	0.99998	1.61838	15.15091	-0.85718	51.58693	76.84567	0.29273	3.41617	1.28017E-18	25.70447	4.26725E-19	0.5	1.42994	1.42994	3.13389	3.13389	563.97275	25729.117	34.1634	0.862
640.0	3.0E-5	0.99997	1.61962	15.13939	-0.93257	51.55458	76.50383	0.29243	3.4196	3.19389E-18	25.77263	1.06463E-18	0.5	1.44888	1.44888	3.07608	3.07608	565.71028	25559.005	34.0224	1.083
635.0	3.0E-5	0.99997	1.62086	15.12778	-1.00856	51.51816	76.16127	0.29214	3.42303	6.28618E-18	25.84061	2.0954E-18	0.5	1.46828	1.46828	3.0188	3.0188	567.4481	25389.588	33.8834	1.281
631.49	4.0E-5	0.99996	1.62173	15.11966	-1.06167	51.49365	75.92081	0.29193	3.42546	9.20697E-18	25.88835	3.069E-18	0.49999	1.48219	1.48219	2.97891	2.97891	568.6682	25271.065	 	1.409
630.0	1.8E-4	0.99982	1.62211	15.1161	-1.08493	51.47878	75.82104	0.29183	3.4266	1.07634E-15	25.9081	3.58784E-16	0.49998	1.48798	1.48798	2.96245	2.96245	569.17795	25217.477	34.4222	4.836
627.89	3.8E-4	0.99962	1.62265	15.11118	-1.11716	51.4624	75.68	0.29169	3.42826	3.53136E-14	25.9363	1.17715E-14	0.49996	1.49626	1.49626	2.93915	2.93915	569.90155	25141.595	 	9.627
627.04	0.04604	0.95396	1.62555	15.08419	-1.29376	50.45364	77.83304	0.28336	3.52909	1.01627E-4	25.96951	3.40454E-5	0.49253	1.50044	1.60546	2.92822	2.73668	570.28357	24728.88	 	394.01
625.0	0.23899	0.76101	1.63711	14.9776	-1.9913	46.34157	87.48915	0.25151	3.97593	0.0723834	26.21679	0.0247734	0.46091	1.50753	10.3201	2.90783	0.42477	571.20805	22915.905	460.314	2138.502
620.0	0.51259	0.48741	1.65411	14.82365	-2.99867	40.49247	105.38974	0.20763	4.81624	1.68645	26.63901	0.59583	0.4152	1.5264	195.04654	2.85591	0.0223498	573.50442	20298.822	523.417	4588.322
615.0	0.64976	0.35024	1.66315	14.74298	-3.52656	37.53874	116.97155	0.18603	5.37561	4.58015	26.93147	1.64543	0.39178	1.54657	548.65578	2.80287	0.00790084	575.83623	18923.045	275.155	5797.468
610.0	0.731	0.269	1.66887	14.69236	-3.85778	35.77332	125.00029	0.1731	5.77711	7.5626	27.16791	2.74471	0.37767	1.56768	964.61557	2.74957	0.00446855	578.18763	18052.296	174.15	6502.208
605.84	0.77637	0.22363	1.67229	14.66223	-4.05493	34.77911	129.72202	0.16601	6.02373	9.79406	27.34149	3.57535	0.36966	1.58583	1328.61651	2.70527	0.00322901	580.15427	17526.705	 	6890.007
