T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
700.0	0.0	1.0	1.63853	15.13308	0.0	53.43029	79.40666	0.30025	3.33051	0.0	25.77118	0.0	0.5	1.24227	1.24227	3.8234	3.8234	547.69611	27260.795	 	0.0
695.0	0.0	1.0	1.63982	15.1211	-0.0791438	53.39267	79.06997	0.29998	3.33352	0.0	25.84023	0.0	0.5	1.25678	1.25678	3.75983	3.75983	549.42289	27089.728	34.2134	0.0
690.0	0.0	1.0	1.64112	15.10917	-0.15797	53.35625	78.73328	0.29971	3.33656	0.0	25.90927	0.0	0.5	1.27162	1.27162	3.69678	3.69678	551.14974	26918.652	34.2152	0.0
685.0	0.0	1.0	1.64241	15.09729	-0.23648	53.32106	78.3966	0.29943	3.33962	0.0	25.97831	0.0	0.5	1.28679	1.28679	3.63424	3.63424	552.87667	26747.566	34.2172	0.0
680.0	0.0	1.0	1.6437	15.08546	-0.31467	53.28712	78.05991	0.29916	3.34273	0.0	26.04735	0.0	0.5	1.3023	1.3023	3.57221	3.57221	554.60367	26576.471	34.219	0.0
677.18	0.0	1.0	1.64442	15.0788	-0.35866	53.26853	77.86987	0.299	3.34449	0.0	26.08631	0.0	0.5	1.31121	1.31121	3.53743	3.53743	555.57847	26479.897	34.2205	0.0
675.0	1.7E-4	0.99983	1.645	15.07357	-0.39324	53.2505	77.72615	0.29887	3.34599	2.73183E-15	26.1158	9.1062E-16	0.49998	1.31796	1.31796	3.51124	3.51124	556.32342	26401.209	36.1304	4.156
670.0	5.6E-4	0.99944	1.64631	15.06142	-0.47353	53.20347	77.39508	0.29856	3.3494	2.98843E-13	26.18336	9.96187E-14	0.49994	1.33373	1.33373	3.45142	3.45142	558.03417	26220.823	36.0772	13.428
665.0	9.3E-4	0.99907	1.64763	15.04946	-0.55257	53.16288	77.0644	0.29825	3.35286	2.29293E-12	26.2512	7.64364E-13	0.4999	1.34989	1.34989	3.39204	3.39204	559.74555	26040.808	36.003	22.32
660.0	0.00129	0.99871	1.64893	15.03754	-0.63135	53.12324	76.73336	0.29794	3.35635	8.40552E-12	26.31912	2.80211E-12	0.49986	1.36644	1.36644	3.33311	3.33311	561.45756	25861.15	35.9316	30.844
655.0	0.00163	0.99837	1.65023	15.02566	-0.70987	53.08444	76.40197	0.29763	3.35985	2.16241E-11	26.38711	7.2089E-12	0.49982	1.38339	1.38339	3.27462	3.27462	563.17018	25681.853	35.8594	39.011
650.0	0.00195	0.99805	1.65153	15.01395	-0.78722	53.05194	76.07092	0.29732	3.36341	4.51522E-11	26.45536	1.50529E-11	0.49978	1.40076	1.40076	3.21659	3.21659	564.88338	25502.913	35.788	46.834
645.0	0.00227	0.99773	1.65282	15.00212	-0.86536	53.01419	75.73876	0.297	3.36696	8.21385E-11	26.52343	2.73841E-11	0.49975	1.41856	1.41856	3.15903	3.15903	566.59577	25324.631	35.6564	54.322
640.0	0.00256	0.99744	1.65411	14.99047	-0.94238	52.98261	75.40692	0.29669	3.37057	1.35535E-10	26.59176	4.51868E-11	0.49971	1.4368	1.4368	3.10193	3.10193	568.31019	25147.331	35.46	61.486
635.0	0.00285	0.99715	1.6554	14.97883	-1.0193	52.95106	75.07466	0.29637	3.37419	2.07913E-10	26.66009	6.93189E-11	0.49968	1.45551	1.45551	3.0453	3.0453	570.02515	24970.994	35.2674	68.336
630.0	0.00312	0.99688	1.65668	14.96721	-1.09606	52.92	74.74201	0.29605	3.37784	3.01352E-10	26.72847	1.00474E-10	0.49965	1.47469	1.47469	2.98915	2.98915	571.74062	24795.602	35.0784	74.882
625.0	0.00338	0.99662	1.65795	14.95576	-1.17175	52.89501	74.40967	0.29572	3.38154	4.17428E-10	26.79708	1.39178E-10	0.49962	1.49435	1.49435	2.93348	2.93348	573.45657	24621.134	34.8936	81.135
620.0	0.00363	0.99637	1.65922	14.9443	-1.24747	52.8694	74.07684	0.2954	3.38526	5.5747E-10	26.86563	1.85874E-10	0.49959	1.51453	1.51453	2.87829	2.87829	575.17301	24447.572	34.7124	87.103
615.0	0.00386	0.99614	1.66049	14.93285	-1.3231	52.84397	73.74361	0.29507	3.389	7.21939E-10	26.93422	2.40716E-10	0.49957	1.53522	1.53522	2.8236	2.8236	576.88992	24274.896	34.5352	92.797
610.0	0.00409	0.99591	1.66175	14.92155	-1.39777	52.82408	73.41062	0.29474	3.3928	9.10948E-10	27.00297	3.03742E-10	0.49954	1.55645	1.55645	2.7694	2.7694	578.60726	24103.089	34.3614	98.225
607.44	0.0042	0.9958	1.66239	14.91574	-1.4362	52.81239	73.23993	0.29457	3.39474	1.0169E-9	27.03808	3.39074E-10	0.49953	1.56753	1.57286	2.74186	2.73257	579.48602	24015.523	 	100.903
605.0	0.0757904	0.92421	1.66731	14.87176	-1.72679	51.18397	76.11744	0.28265	3.53793	7.02084E-4	27.06147	2.35986E-4	0.48755	1.57916	1.86187	2.71411	2.302	580.63587	23349.904	150.637	685.624
