T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
700.0	0.0	1.0	1.63737	15.14064	0.0	53.38293	79.46885	0.30002	3.33312	0.0	25.72209	0.0	0.5	1.24229	1.24229	3.82334	3.82334	547.54236	27276.714	 	0.0
695.0	0.0	1.0	1.63867	15.12865	-0.0791589	53.34492	79.13183	0.29975	3.33613	0.0	25.79114	0.0	0.5	1.25681	1.25681	3.75976	3.75976	549.26965	27105.623	34.2182	0.0
690.0	0.0	1.0	1.63996	15.11672	-0.158	53.30809	78.7948	0.29948	3.33916	0.0	25.86019	0.0	0.5	1.27165	1.27165	3.6967	3.6967	550.99702	26934.522	34.2202	0.0
685.0	0.0	1.0	1.64125	15.10483	-0.23652	53.27249	78.45777	0.2992	3.34223	0.0	25.92924	0.0	0.5	1.28682	1.28682	3.63415	3.63415	552.72446	26763.412	34.222	0.0
680.0	0.0	1.0	1.64254	15.09299	-0.31473	53.23814	78.12075	0.29892	3.34533	0.0	25.99829	0.0	0.5	1.30233	1.30233	3.57212	3.57212	554.45198	26592.292	34.224	0.0
676.3	0.0	1.0	1.64349	15.08426	-0.37236	53.21356	77.8715	0.29872	3.34764	0.0	26.04936	0.0	0.5	1.31403	1.31403	3.52658	3.52658	555.72962	26465.734	34.2257	0.0
675.0	1.0E-4	0.9999	1.64383	15.08113	-0.39307	53.20246	77.78545	0.29864	3.34854	3.51015E-16	26.06696	1.17006E-16	0.49999	1.31808	1.31808	3.51093	3.51093	556.17514	26418.667	36.1428	2.495
670.0	4.9E-4	0.99951	1.64515	15.06909	-0.47256	53.1597	77.45474	0.29833	3.35198	1.78657E-13	26.13469	5.95546E-14	0.49995	1.33385	1.33385	3.45112	3.45112	557.88617	26238.186	36.0962	11.837
665.0	8.7E-4	0.99913	1.64646	15.0571	-0.55175	53.11794	77.12367	0.29802	3.35544	1.7109E-12	26.20251	5.70335E-13	0.4999	1.35001	1.35001	3.39174	3.39174	559.59786	26058.078	36.0216	20.796
660.0	0.00123	0.99877	1.64777	15.04514	-0.63073	53.0768	76.79222	0.29771	3.35892	6.85605E-12	26.27036	2.28556E-12	0.49986	1.36655	1.36655	3.33281	3.33281	561.31019	25878.331	35.9494	29.385
655.0	0.00157	0.99843	1.64907	15.03322	-0.70945	53.0365	76.46042	0.2974	3.36242	1.85045E-11	26.33829	6.16889E-12	0.49982	1.38351	1.38351	3.27434	3.27434	563.02315	25698.945	35.8772	37.616
650.0	0.0019	0.9981	1.65037	15.02149	-0.78693	53.00292	76.129	0.29709	3.36598	3.98081E-11	26.40652	1.32712E-11	0.49979	1.40088	1.40088	3.21631	3.21631	564.73667	25519.92	35.805	45.498
645.0	0.00221	0.99779	1.65166	15.00963	-0.86528	52.9636	75.79642	0.29678	3.36953	7.39376E-11	26.47452	2.465E-11	0.49975	1.41868	1.41868	3.15875	3.15875	566.44944	25341.554	35.6732	53.044
640.0	0.00251	0.99749	1.65295	14.99795	-0.94241	52.93095	75.46421	0.29646	3.37313	1.23808E-10	26.54284	4.12771E-11	0.49972	1.43693	1.43693	3.10165	3.10165	568.16421	25164.174	35.476	60.263
635.0	0.0028	0.9972	1.65423	14.98644	-1.01843	52.90447	75.13233	0.29614	3.37678	1.92054E-10	26.61139	6.40312E-11	0.49969	1.45564	1.45564	3.04503	3.04503	569.8795	24987.76	35.2828	67.166
630.0	0.00307	0.99693	1.65551	14.97479	-1.09537	52.87197	74.79928	0.29582	3.38043	2.80802E-10	26.6797	9.36221E-11	0.49966	1.47482	1.47482	2.98888	2.98888	571.59533	24812.293	35.0934	73.763
625.0	0.00333	0.99667	1.65678	14.96331	-1.17124	52.84549	74.46652	0.2955	3.38412	3.91788E-10	26.74825	1.30628E-10	0.49963	1.49449	1.49449	2.93322	2.93322	573.31165	24637.753	34.908	80.064
620.0	0.00358	0.99642	1.65805	14.95183	-1.24706	52.81889	74.13333	0.29517	3.38784	5.26193E-10	26.81679	1.75444E-10	0.4996	1.51466	1.51466	2.87803	2.87803	575.02846	24464.122	34.7262	86.079
615.0	0.00382	0.99618	1.65932	14.94035	-1.32286	52.79202	73.7997	0.29485	3.39158	6.84809E-10	26.88531	2.28335E-10	0.49957	1.53536	1.53536	2.82334	2.82334	576.74575	24291.379	34.5486	91.818
610.0	0.00405	0.99595	1.66058	14.92903	-1.39762	52.77118	73.46635	0.29452	3.39538	8.67659E-10	26.95406	2.89307E-10	0.49955	1.5566	1.5566	2.76914	2.76914	578.46347	24119.507	34.3744	97.289
608.5	0.00411	0.99589	1.66095	14.92568	-1.41975	52.76673	73.36648	0.29442	3.39653	9.27141E-10	26.97475	3.09142E-10	0.49954	1.56307	1.56307	2.75298	2.75298	578.97881	24068.122	 	98.877
605.0	0.10672	0.89328	1.66801	14.86265	-1.83602	50.43417	77.5289	0.27751	3.60354	0.0029672	27.04482	0.00100083	0.48237	1.57976	2.29431	2.71309	1.86811	580.62637	23113.868	201.128	937.121
600.0	0.22371	0.77629	1.67627	14.78926	-2.32076	47.75891	82.46037	0.25942	3.8547	0.063819	27.24504	0.0218173	0.46258	1.60418	12.63426	2.65657	0.33731	582.97858	21999.974	222.779	1885.794
595.0	0.31492	0.68508	1.68294	14.73073	-2.70737	45.67256	86.5774	0.24567	4.07046	0.26154	27.43412	0.0903749	0.44696	1.62928	48.26503	2.60068	0.0877908	585.32897	21102.199	179.555	2618.924
590.0	0.38776	0.61224	1.68846	14.68249	-3.02599	43.99379	90.09663	0.23472	4.26046	0.61822	27.61421	0.21551	0.43435	1.65505	119.48089	2.54544	0.0352594	587.67735	20358.134	148.813	3198.913
585.0	0.44711	0.55289	1.69312	14.642	-3.29336	42.62304	93.13247	0.22575	4.42967	1.11645	27.78749	0.39202	0.42397	1.68149	231.66839	2.49089	0.0180794	590.02355	19726.821	126.263	3666.709
580.0	0.49627	0.50373	1.69714	14.60731	-3.52249	41.4821	95.75587	0.21829	4.58114	1.72498	27.95502	0.60941	0.41529	1.70864	388.03368	2.43704	0.0107311	592.36754	19180.37	109.29	4050.195
575.0	0.53758	0.46242	1.70064	14.57708	-3.72219	40.51809	97.97872	0.21208	4.71512	2.41178	28.11775	0.85651	0.40792	1.73649	591.2495	2.3839	0.00700146	594.70935	18699.19	96.236	4368.954
570.0	0.57271	0.42729	1.70375	14.55037	-3.89859	39.6943	99.9301	0.20672	4.83755	3.14968	28.27636	1.12362	0.40158	1.76506	844.59625	2.33148	0.00487239	597.04902	18269.155	86.007	4637.103
565.0	0.60292	0.39708	1.70653	14.52652	-4.05612	38.98426	101.60929	0.20209	4.94818	3.91673	28.43158	1.40276	0.39608	1.79438	1152.20466	2.27979	0.00355041	599.38659	17879.849	77.8612	4865.05
560.0	0.62914	0.37086	1.70906	14.50498	-4.19833	38.36678	103.05296	0.19807	5.0486	4.69705	28.58363	1.68806	0.39126	1.82447	1519.58921	2.22881	0.00267599	601.72213	17523.441	71.2816	5060.619
555.0	0.65209	0.34791	1.71137	14.48524	-4.32871	37.82011	104.29012	0.19455	5.14006	5.4784	28.73262	1.97492	0.38699	1.85535	1953.36728	2.17856	0.00206924	604.05581	17193.942	65.8998	5229.791
550.0	0.67232	0.32768	1.7135	14.46704	-4.44895	37.33435	105.34973	0.19143	5.22382	6.25294	28.87888	2.26035	0.38318	1.88706	2462.29923	2.12902	0.00163164	606.38768	16886.7	61.4484	5377.211
545.0	0.69029	0.30971	1.71548	14.45014	-4.56054	36.90069	106.25418	0.18865	5.30087	7.01444	29.02287	2.54191	0.37976	1.91961	3056.40275	2.0802	0.0013065	608.7178	16598.058	57.7284	5506.529
540.0	0.70634	0.29366	1.71733	14.43437	-4.66475	36.51156	107.02493	0.18615	5.37215	7.75973	29.16462	2.81831	0.37666	1.95305	3748.3657	2.03209	0.0010588	611.04626	16325.101	54.5914	5620.653
535.0	0.72075	0.27925	1.71908	14.41955	-4.76264	36.16053	107.67812	0.18388	5.43838	8.48599	29.30425	3.08841	0.37385	1.98741	4552.51564	1.98469	8.66418E-4	613.37311	16065.482	51.9238	5721.921
530.91	0.73149	0.26851	1.72043	14.40802	-4.83874	35.89725	108.13625	0.18217	5.4893	9.06421	29.417	3.30395	0.37173	2.01621	5305.40312	1.94644	7.39702E-4	615.27541	15861.761	 	5796.464
530.91	0.73149	0.26851	1.72043	14.40802	-4.83874	35.89725	108.13625	0.18217	5.4893	9.06421	29.417	3.30395	0.37173	2.01621	5305.40312	1.94644	7.39702E-4	615.27541	15861.761	 	5796.464
530.0	0.73378	0.26622	1.72073	14.40551	-4.85532	35.84064	108.23205	0.18181	5.50039	9.19183	29.44184	3.35158	0.37127	2.02268	5486.28802	1.93801	7.14504E-4	615.6983	15817.098	49.6768	5812.431
525.0	0.74574	0.25426	1.72231	14.3921	-4.94391	35.5446	108.70135	0.17989	5.55884	9.88394	29.57732	3.61024	0.36887	2.05887	6575.0237	1.89209	5.9248E-4	618.02121	15577.217	47.9762	5894.908
523.34	0.74944	0.25056	1.72282	14.38778	-4.97241	35.4518	108.8402	0.17929	5.57754	10.10809	29.62188	3.69415	0.36812	2.07111	6973.33174	1.87699	5.57477E-4	618.79228	15499.72	 	5920.247
520.0	0.75724	0.24276	1.72384	14.37913	-5.02956	35.26453	109.12078	0.17808	5.61547	10.59002	29.71546	3.87471	0.36656	2.09544	7864.24113	1.84742	4.92249E-4	620.35114	15337.898	47.8638	5977.285
515.0	0.76803	0.23197	1.72531	14.36662	-5.11221	35.00136	109.47224	0.17639	5.66929	11.29239	29.85336	4.13836	0.36436	2.13278	9377.37449	1.80364	4.10218E-4	622.68376	15103.552	46.8692	6055.146
510.0	0.77786	0.22214	1.72672	14.35469	-5.191	34.76217	109.75189	0.17482	5.72007	11.96944	29.98912	4.39302	0.36233	2.17124	11134.53227	1.76045	3.43289E-4	625.01501	14877.716	45.1672	6124.947
505.0	0.78686	0.21314	1.72808	14.3432	-5.26691	34.54016	109.9699	0.17336	5.76825	12.62382	30.12257	4.63962	0.36044	2.21086	13178.32975	1.71787	2.88197E-4	627.34509	14659.283	43.6866	6187.788
500.0	0.79512	0.20488	1.72939	14.33213	-5.34001	34.33527	110.13237	0.17199	5.81414	13.25506	30.25401	4.87794	0.35867	2.25168	15556.06484	1.67588	2.42578E-4	629.67393	14447.336	42.3894	6244.581
495.0	0.80273	0.19727	1.73066	14.32141	-5.41077	34.14442	110.24644	0.17071	5.85804	13.8651	30.38344	5.10864	0.35702	2.29376	18326.24006	1.6345	2.04578E-4	632.00164	14241.103	41.2466	6296.091
490.0	0.80978	0.19022	1.73189	14.31101	-5.47946	33.96594	110.31689	0.16949	5.90019	14.45512	30.51095	5.33214	0.35547	2.33715	21556.92192	1.59371	1.72787E-4	634.32828	14039.931	40.2344	6342.965
485.0	0.81633	0.18367	1.73308	14.3009	-5.54629	33.79855	110.34947	0.16833	5.94086	15.02628	30.63659	5.54883	0.354	2.38189	25330.09419	1.55353	1.46085E-4	636.65393	13843.266	39.333	6385.751
480.0	0.82241	0.17759	1.73425	14.29105	-5.61133	33.64196	110.34816	0.16722	5.98022	15.58034	30.76055	5.75934	0.35261	2.42805	29743.49242	1.51395	1.23588E-4	638.97859	13650.634	38.5264	6424.917
475.0	0.8281	0.1719	1.73539	14.28143	-5.67486	33.49426	110.31538	0.16616	6.0184	16.11719	30.88275	5.9636	0.3513	2.47568	34910.13655	1.47496	1.04598E-4	641.30239	13461.626	37.8016	6460.869
470.0	0.83343	0.16657	1.73651	14.27203	-5.73695	33.35526	110.25496	0.16514	6.05558	16.63837	31.00335	6.16218	0.35004	2.52484	40968.87515	1.43658	8.85338E-5	643.62536	13275.887	37.1478	6493.952
465.0	0.83843	0.16157	1.73761	14.26281	-5.79783	33.22326	110.16963	0.16415	6.09188	17.14532	31.12235	6.35558	0.34884	2.57561	48085.41983	1.39879	7.49235E-5	645.94763	13093.11	36.5554	6524.471
460.0	0.84312	0.15688	1.73868	14.25378	-5.85747	33.09868	110.06163	0.1632	6.12741	17.63879	31.23981	6.54409	0.34769	2.62805	56457.31702	1.36159	6.3381E-5	648.26922	12913.027	36.0166	6552.687
455.0	0.84756	0.15244	1.73974	14.2449	-5.91612	32.97975	109.93259	0.16228	6.16225	18.11913	31.35574	6.7278	0.34659	2.68223	66319.70507	1.32499	5.35877E-5	650.59026	12735.401	35.5252	6578.832
