T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
700.0	0.0	1.0	1.64217	15.06501	0.0	53.8383	78.7933	0.30259	3.30479	0.0	26.29698	0.0	0.5	1.23504	1.23504	3.8458	3.8458	549.24982	27131.703	 	0.0
695.0	1.0E-5	0.99999	1.64347	15.05303	-0.0795103	53.80138	78.45988	0.30232	3.3078	7.97996E-20	26.36524	2.65999E-20	0.5	1.24943	1.24943	3.78197	3.78197	550.97245	26960.807	34.1792	0.234
690.0	2.0E-5	0.99998	1.64477	15.04113	-0.15855	53.7665	78.1265	0.30204	3.31084	4.43338E-19	26.43338	1.4778E-19	0.5	1.26414	1.26414	3.71866	3.71866	552.6952	26789.927	34.176	0.453
685.0	2.0E-5	0.99998	1.64606	15.02941	-0.23631	53.73832	77.79385	0.30175	3.31395	1.3469E-18	26.50172	4.48966E-19	0.5	1.27918	1.27918	3.65585	3.65585	554.41807	26619.059	34.1736	0.653
684.88	2.0E-5	0.99998	1.64609	15.02914	-0.23812	53.73758	77.78612	0.30175	3.31402	1.37177E-18	26.5033	4.57256E-19	0.5	1.27953	1.27953	3.6544	3.6544	554.45805	26615.094	34.1693	0.657
684.88	2.0E-5	0.99998	1.64609	15.02914	-0.23812	53.73758	77.78612	0.30175	3.31402	1.37177E-18	26.5033	4.57256E-19	0.5	1.27953	1.27953	3.6544	3.6544	554.45806	26615.092	 	0.658
680.0	3.0E-5	0.99997	1.64735	15.0176	-0.31473	53.70595	77.46048	0.30147	3.31706	1.39278E-18	26.56988	4.64263E-19	0.5	1.29456	1.29456	3.59356	3.59356	556.14087	26448.154	34.1813	0.885
675.0	4.0E-5	0.99996	1.64863	15.00598	-0.39186	53.68039	77.12783	0.30118	3.32023	1.54254E-18	26.63823	5.14179E-19	0.5	1.31029	1.31029	3.53179	3.53179	557.86381	26277.266	34.1776	1.095
670.0	4.0E-5	0.99996	1.64992	14.99425	-0.46968	53.65051	76.79442	0.3009	3.3234	2.03718E-18	26.70635	6.79063E-19	0.49999	1.32639	1.32639	3.47054	3.47054	559.58694	26106.393	34.1746	1.284
665.0	5.0E-5	0.99995	1.6512	14.98259	-0.54708	53.62255	76.46106	0.30061	3.32661	3.07714E-18	26.77451	1.02572E-18	0.49999	1.34285	1.34285	3.40981	3.40981	561.31025	25935.534	34.1718	1.454
664.71	5.0E-5	0.99995	1.65127	14.98191	-0.55161	53.62101	76.44148	0.30059	3.3268	3.15845E-18	26.77853	1.05282E-18	0.49999	1.34383	1.34383	3.40626	3.40626	561.41151	25925.495	 	1.464
660.0	3.7E-4	0.99963	1.6525	14.97081	-0.62528	53.58955	76.13297	0.30029	3.33008	3.23395E-14	26.84187	1.07801E-14	0.49996	1.35933	1.35933	3.35052	3.35052	563.0193	25757.215	35.6638	9.078
655.0	6.9E-4	0.99931	1.6538	14.95901	-0.7036	53.55526	75.80467	0.29998	3.33359	5.40555E-13	26.90912	1.80194E-13	0.49992	1.37619	1.37619	3.29174	3.29174	564.72807	25578.782	35.6866	16.828
650.0	0.0010	0.999	1.6551	14.94726	-0.78165	53.52207	75.47604	0.29966	3.33711	2.63129E-12	26.97649	8.77165E-13	0.49988	1.39347	1.39347	3.23342	3.23342	566.43743	25400.712	35.614	24.238
645.0	0.0013	0.9987	1.65639	14.93566	-0.85864	53.49466	75.14769	0.29934	3.34069	7.83591E-12	27.04406	2.61223E-12	0.49985	1.41117	1.41117	3.17557	3.17557	568.14471	25223.298	35.4828	31.322
640.0	0.00159	0.99841	1.65768	14.92408	-0.93546	53.4678	74.81897	0.29902	3.34429	1.78819E-11	27.11167	5.96135E-12	0.49982	1.42931	1.42931	3.11819	3.11819	569.85538	25046.856	35.2884	38.09
635.0	0.00186	0.99814	1.65896	14.91252	-1.01221	53.44094	74.48981	0.29869	3.34791	3.45266E-11	27.17929	1.15105E-11	0.49979	1.44791	1.44791	3.06128	3.06128	571.56659	24871.37	35.0972	44.552
630.0	0.00212	0.99788	1.66024	14.90097	-1.0889	53.41398	74.16023	0.29837	3.35155	5.94035E-11	27.2469	1.98044E-11	0.49976	1.46698	1.46698	3.00485	3.00485	573.27834	24696.817	34.9106	50.72
