T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
700.0	4.9E-4	0.99951	1.64962	15.02769	0.0	53.86629	78.52032	0.30364	3.29334	2.76236E-13	26.51478	9.20827E-14	0.49994	1.2403	1.2403	3.82949	3.82949	549.88076	27050.113	 	0.0
695.12	5.0E-4	0.9995	1.65089	15.01603	-0.0775593	53.83086	78.19628	0.30337	3.29628	2.94496E-13	26.58148	9.81696E-14	0.49993	1.25441	1.25441	3.76741	3.76741	551.56071	26883.341	34.1586	0.243
695.12	5.0E-4	0.9995	1.65089	15.01603	-0.0775604	53.83085	78.19628	0.30337	3.29628	2.94496E-13	26.58148	9.81696E-14	0.49993	1.25441	1.25441	3.76741	3.76741	551.56071	26883.34	 	0.243
695.0	5.0E-4	0.9995	1.65093	15.01575	-0.0794226	53.83004	78.18847	0.30337	3.29635	2.94548E-13	26.58309	9.81871E-14	0.49993	1.25475	1.25475	3.76592	3.76592	551.60121	26879.318	34.1743	0.251
690.0	5.1E-4	0.99949	1.65223	15.004	-0.15762	53.80004	77.85735	0.30308	3.29944	2.96769E-13	26.65161	9.89273E-14	0.49993	1.26953	1.26953	3.70286	3.70286	553.32151	26708.475	34.1686	0.548
685.0	5.2E-4	0.99948	1.65352	14.99216	-0.23642	53.76622	77.52551	0.3028	3.30252	2.98999E-13	26.71995	9.96709E-14	0.49993	1.28464	1.28464	3.64031	3.64031	555.04201	26537.655	34.164	0.816
683.06	5.2E-4	0.99948	1.65403	14.98772	-0.26593	53.75928	77.39728	0.30269	3.30376	2.99849E-13	26.74676	9.99538E-14	0.49993	1.29061	1.29061	3.61613	3.61613	555.71087	26471.258	 	0.91
680.0	7.7E-4	0.99923	1.65484	14.98023	-0.31582	53.72852	77.1977	0.3025	3.3058	3.13407E-13	26.78754	1.04476E-13	0.4999	1.29982	1.29982	3.57903	3.57903	556.75244	26361.049	35.3212	6.865
675.0	0.00117	0.99883	1.65617	14.96825	-0.39555	53.68837	76.87215	0.30219	3.30922	8.41114E-13	26.85477	2.80398E-13	0.49986	1.31518	1.31518	3.51868	3.51868	558.45692	26181.069	35.996	16.281
670.0	0.00155	0.99845	1.65749	14.95631	-0.47496	53.64935	76.54629	0.30187	3.31266	3.74266E-12	26.92209	1.24771E-12	0.49981	1.3309	1.3309	3.45876	3.45876	560.16205	26001.481	35.9176	25.301
665.0	0.00191	0.99809	1.6588	14.94457	-0.55307	53.61733	76.22084	0.30155	3.31616	1.19618E-11	26.98976	3.98786E-12	0.49978	1.34701	1.34701	3.39928	3.39928	561.8678	25822.27	35.8422	33.938
660.0	0.00226	0.99774	1.66011	14.93272	-0.63195	53.58028	75.8943	0.30124	3.31964	2.9036E-11	27.05724	9.68039E-12	0.49973	1.36351	1.36351	3.34025	3.34025	563.57421	25643.421	35.7698	42.206
655.0	0.00259	0.99741	1.66142	14.92089	-0.71064	53.54371	75.56736	0.30092	3.32315	5.86978E-11	27.12475	1.95699E-11	0.49969	1.38042	1.38042	3.28167	3.28167	565.28121	25464.942	35.6958	50.117
650.0	0.00291	0.99709	1.66272	14.90925	-0.78812	53.51382	75.2408	0.3006	3.32671	1.04622E-10	27.19257	3.48819E-11	0.49966	1.39774	1.39774	3.22354	3.22354	566.98878	25286.834	35.6216	57.683
645.0	0.00322	0.99678	1.66402	14.89764	-0.86539	53.48463	74.91387	0.30027	3.33029	1.70164E-10	27.26044	5.67357E-11	0.49962	1.41549	1.41549	3.16588	3.16588	568.6943	25109.386	35.4896	64.916
640.0	0.00351	0.99649	1.66532	14.88604	-0.94255	53.45562	74.58652	0.29995	3.3339	2.58298E-10	27.32832	8.6123E-11	0.49959	1.43368	1.43368	3.10869	3.10869	570.40316	24932.912	35.2948	71.827
635.0	0.00379	0.99621	1.6666	14.87461	-1.01863	53.4327	74.25948	0.29962	3.33755	3.71479E-10	27.39643	1.23863E-10	0.49956	1.45233	1.45233	3.05197	3.05197	572.11253	24757.395	35.1034	78.428
630.0	0.00405	0.99595	1.66789	14.86304	-1.09564	53.40369	73.93129	0.29929	3.3412	5.11608E-10	27.4643	1.7059E-10	0.49952	1.47145	1.47145	2.99572	2.99572	573.82244	24582.814	34.9162	84.729
625.0	0.0043	0.9957	1.66917	14.85179	-1.17052	53.38738	73.60415	0.29896	3.34493	6.79828E-10	27.53269	2.26685E-10	0.4995	1.49106	1.49106	2.93996	2.93996	575.5328	24409.148	34.7332	90.74
620.0	0.00455	0.99545	1.67044	14.84037	-1.24646	53.36417	73.27581	0.29863	3.34865	8.77031E-10	27.60076	2.92447E-10	0.49947	1.51117	1.51117	2.88469	2.88469	577.24368	24236.38	34.5536	96.471
615.0	0.00477	0.99523	1.67171	14.82912	-1.32136	53.34704	72.94775	0.29829	3.35243	1.1033E-9	27.66906	3.67904E-10	0.49944	1.5318	1.5318	2.8299	2.8299	578.95501	24064.49	34.378	101.933
610.0	0.00499	0.99501	1.67298	14.81786	-1.39629	53.3295	72.61923	0.29795	3.35623	1.35839E-9	27.73734	4.52972E-10	0.49942	1.55296	1.55296	2.77562	2.77562	580.66681	23893.459	34.2062	107.134
