T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
700.0	0.0	1.0	1.58867	15.41283	0.0	52.55332	81.70937	0.29179	3.42709	0.0	24.35329	0.0	0.5	1.24319	1.24319	3.82057	3.82057	542.13928	28116.074	 	0.0
695.0	0.0	1.0	1.58993	15.40056	-0.0796506	52.50707	81.36111	0.29154	3.43011	0.0	24.42203	0.0	0.5	1.25788	1.25788	3.75657	3.75657	543.88613	27944.451	34.3246	0.0
690.0	0.0	1.0	1.5912	15.38833	-0.15898	52.46191	81.01285	0.29128	3.43316	0.0	24.49077	0.0	0.5	1.27289	1.27289	3.69309	3.69309	545.63297	27772.83	34.3242	0.0
685.0	0.0	1.0	1.59246	15.37615	-0.23798	52.41788	80.66459	0.29102	3.43624	0.0	24.55951	0.0	0.5	1.28824	1.28824	3.63014	3.63014	547.3798	27601.212	34.3236	0.0
680.0	0.0	1.0	1.59372	15.36403	-0.31666	52.37499	80.31633	0.29075	3.43935	0.0	24.62825	0.0	0.5	1.30394	1.30394	3.56771	3.56771	549.12663	27429.596	34.3232	0.0
675.0	0.0	1.0	1.59497	15.35195	-0.39502	52.33327	79.96807	0.29049	3.4425	0.0	24.69699	0.0	0.5	1.32	1.32	3.50582	3.50582	550.87345	27257.983	34.3226	0.0
670.0	0.0	1.0	1.59622	15.33992	-0.47306	52.29276	79.61981	0.29022	3.44567	0.0	24.76573	0.0	0.5	1.33643	1.33643	3.44445	3.44445	552.62026	27086.371	34.3224	0.0
665.0	0.0	1.0	1.59747	15.32794	-0.55077	52.25347	79.27156	0.28995	3.44889	0.0	24.83447	0.0	0.5	1.35325	1.35325	3.38362	3.38362	554.36707	26914.762	34.3218	0.0
660.0	0.0	1.0	1.59871	15.31602	-0.62816	52.21545	78.9233	0.28968	3.45213	0.0	24.90321	0.0	0.5	1.37046	1.37046	3.32332	3.32332	556.11387	26743.156	34.3212	0.0
655.0	0.0	1.0	1.59995	15.30414	-0.70522	52.17871	78.57504	0.2894	3.45542	0.0	24.97195	0.0	0.5	1.38807	1.38807	3.26356	3.26356	557.86066	26571.552	34.3208	0.0
650.0	0.0	1.0	1.60119	15.29231	-0.78196	52.14329	78.22678	0.28912	3.45873	0.0	25.0407	0.0	0.5	1.40611	1.40611	3.20434	3.20434	559.60745	26399.95	34.3204	0.0
649.89	0.0	1.0	1.60122	15.29205	-0.78363	52.14253	78.21918	0.28912	3.45881	0.0	25.04219	0.0	0.5	1.40651	1.40651	3.20306	3.20306	559.64555	26396.207	34.3237	0.0
645.0	0.92933	0.0706694	1.65869	14.76206	-4.22226	32.09918	169.20727	0.13294	7.5221	18.81506	25.60532	6.98696	0.34644	1.43502	1310.79508	3.12279	0.00341874	561.92528	18441.841	1626.34	7786.841
640.0	0.96649	0.0335127	1.66185	14.73381	-4.40554	31.26109	175.71642	0.12732	7.85424	22.32052	25.78305	8.33021	0.33973	1.46616	1675.64796	3.03981	0.00265978	564.288	17974.131	93.542	8083.979
638.93	0.97016	0.0298396	1.66226	14.73019	-4.42908	31.17389	176.34813	0.12672	7.89168	22.71457	25.81881	8.48173	0.33903	1.47293	1734.06227	3.02232	0.00256719	564.79208	17909.641	 	8112.225
635.0	1.0	0.0	1.66461	14.70863	-4.56893	30.52947	181.53041	0.12257	8.15879	25.92916	25.97661	9.72121	0.33364	 	2100.45687	 	0.00211023	 	17519.491	90.928	8368.733
630.0	1.0	0.0	1.66546	14.7011	-4.61782	30.48372	181.30764	0.12204	8.19389	26.14316	26.13527	9.80405	0.33328	 	2301.2195	 	0.00191553	 	17312.023	41.4936	 
625.0	1.0	0.0	1.66631	14.69358	-4.66659	30.43796	181.08493	0.12152	8.22938	26.35627	26.29235	9.8866	0.33293	 	2523.73483	 	0.00173697	 	17152.457	31.9132	 
620.0	1.0	0.0	1.66716	14.68608	-4.71524	30.3922	180.86227	0.12099	8.26528	26.56848	26.44788	9.96886	0.33257	 	2770.62795	 	0.00157338	 	16993.265	31.8384	 
615.0	1.0	0.0	1.66801	14.6786	-4.76377	30.34644	180.63967	0.12046	8.30158	26.77979	26.60186	10.05083	0.33222	 	3044.87236	 	0.00142365	 	16834.432	31.7666	 
610.0	1.0	0.0	1.66886	14.67114	-4.81216	30.30069	180.41714	0.11993	8.33829	26.99021	26.7543	10.1325	0.33186	 	3349.84041	 	0.00128676	 	16675.958	31.6948	 
605.0	1.0	0.0	1.66971	14.6637	-4.86044	30.25493	180.19466	0.1194	8.37543	27.19973	26.90522	10.21388	0.33151	 	3689.36153	 	0.00116173	 	16517.839	31.6238	 
600.0	1.0	0.0	1.67055	14.65628	-4.90859	30.20917	179.97224	0.11886	8.41299	27.40836	27.05461	10.29496	0.33115	 	4067.78972	 	0.00104765	 	16360.074	31.553	 
595.0	1.0	0.0	1.6714	14.64888	-4.95662	30.16341	179.74989	0.11833	8.45099	27.61609	27.2025	10.37575	0.3308	 	4490.08179	 	9.43685E-4	 	16202.661	31.4826	 
590.0	1.0	0.0	1.67224	14.64149	-5.00452	30.11766	179.5276	0.11779	8.48944	27.82293	27.34888	10.45625	0.33044	 	4961.88824	 	8.49036E-4	 	16045.598	31.4126	 
585.0	1.0	0.0	1.67308	14.63413	-5.0523	30.0719	179.30537	0.11726	8.52833	28.02886	27.49378	10.53646	0.33009	 	5489.65887	 	7.62965E-4	 	15888.884	31.3428	 
580.0	1.0	0.0	1.67392	14.62678	-5.09996	30.02614	179.08321	0.11672	8.56768	28.23391	27.63719	10.61637	0.32973	 	6080.76588	 	6.84784E-4	 	15732.516	31.2736	 
575.0	1.0	0.0	1.67476	14.61946	-5.14749	29.98039	178.86112	0.11618	8.6075	28.43805	27.77914	10.69598	0.32938	 	6743.64737	 	6.13853E-4	 	15576.493	31.2046	 
