T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
700.0	0.0	1.0	1.60524	15.38425	0.0	52.55448	81.37996	0.29297	3.41328	0.0	24.70937	0.0	0.5	1.26057	1.26057	3.76789	3.76789	542.70222	28173.416	 	0.0
695.0	0.0	1.0	1.60652	15.37201	-0.0795701	52.50867	81.03317	0.29272	3.41629	0.0	24.77906	0.0	0.5	1.27552	1.27552	3.70461	3.70461	544.44721	28001.728	34.3376	0.0
690.0	0.0	1.0	1.60779	15.35982	-0.15882	52.46397	80.68637	0.29246	3.41932	0.0	24.84875	0.0	0.5	1.2908	1.2908	3.64185	3.64185	546.19218	27830.044	34.3368	0.0
685.0	0.0	1.0	1.60906	15.34768	-0.23774	52.42039	80.33958	0.29219	3.42239	0.0	24.91843	0.0	0.5	1.30642	1.30642	3.57962	3.57962	547.93712	27658.364	34.336	0.0
680.0	0.0	1.0	1.61033	15.33559	-0.31634	52.37797	79.99278	0.29193	3.4255	0.0	24.98812	0.0	0.5	1.3224	1.3224	3.51791	3.51791	549.68202	27486.688	34.3352	0.0
675.0	0.0	1.0	1.6116	15.32354	-0.39462	52.33672	79.64599	0.29166	3.42863	0.0	25.05781	0.0	0.5	1.33875	1.33875	3.45672	3.45672	551.42689	27315.016	34.3344	0.0
670.0	0.0	1.0	1.61286	15.31155	-0.47258	52.29668	79.29919	0.29139	3.4318	0.0	25.12749	0.0	0.5	1.35547	1.35547	3.39607	3.39607	553.17174	27143.347	34.3338	0.0
669.49	0.0	1.0	1.61299	15.31033	-0.48054	52.29265	79.26368	0.29136	3.43213	0.0	25.13463	0.0	0.5	1.35721	1.35721	3.38988	3.38988	553.35041	27125.769	34.3327	0.0
665.0	5.3E-4	0.99947	1.61414	15.29947	-0.55109	52.25282	78.94911	0.29113	3.43486	2.91017E-14	25.18795	9.70073E-15	0.49998	1.37163	1.37163	3.33828	3.33828	554.89296	26962.96	36.2764	8.723
660.0	0.00111	0.99889	1.61542	15.28739	-0.62965	52.20798	78.59851	0.29087	3.43793	5.62185E-13	25.24741	1.87401E-13	0.49995	1.38806	1.38806	3.28118	3.28118	556.61211	26781.75	36.242	18.273
655.0	0.00168	0.99832	1.61669	15.27527	-0.70839	52.16139	78.2476	0.29061	3.44102	2.956E-12	25.30689	9.85385E-13	0.49992	1.40489	1.40489	3.2245	3.2245	558.3319	26600.718	36.2064	27.647
650.0	0.00224	0.99776	1.61797	15.26329	-0.78631	52.11887	77.89714	0.29035	3.44416	9.35794E-12	25.36663	3.11953E-12	0.4999	1.42214	1.42214	3.16824	3.16824	560.05232	26419.864	36.1708	36.849
648.99	0.00236	0.99764	1.61822	15.26087	-0.80201	52.11044	77.82627	0.29029	3.44479	1.13762E-11	25.37848	3.79233E-12	0.49989	1.42567	1.42768	3.15693	3.15249	560.39963	26383.35	 	38.713
648.99	0.00236	0.99764	1.61822	15.26087	-0.80201	52.11044	77.82627	0.29029	3.44479	1.13762E-11	25.37848	3.79233E-12	0.49989	1.42567	1.42768	3.15693	3.15249	560.39963	26383.35	 	38.713
645.0	0.71731	0.28269	1.66281	14.85129	-3.46435	36.60887	131.87409	0.17058	5.86246	6.60798	25.8345	2.39056	0.3821	1.44778	471.25776	3.09526	0.00950915	562.19308	20243.498	1235.27	6041.896
640.0	0.85147	0.14853	1.67205	14.7682	-4.00444	33.6676	150.12186	0.14903	6.7102	13.5072	26.06252	4.96945	0.35902	1.47762	1019.04011	3.01625	0.00437358	564.47424	18972.547	254.19	7142.221
635.0	0.89934	0.10066	1.67583	14.73381	-4.228	32.59194	157.25147	0.14149	7.06759	17.07138	26.24593	6.32033	0.35051	1.50842	1386.54256	2.93847	0.00319677	566.76001	18419.168	110.676	7525.658
630.93	0.9203	0.0797014	1.67776	14.71598	-4.34391	32.10524	160.40686	0.13809	7.24184	18.90119	26.38503	7.01788	0.34665	1.53402	1636.63688	2.8765	0.00269614	568.61884	18117.668	 	7689.399
630.0	0.92819	0.0718095	1.67834	14.71036	-4.38043	31.93211	161.56752	0.13695	7.30177	19.61119	26.42403	7.28916	0.34523	1.54025	1722.32022	2.8619	0.00255937	569.05159	18018.461	80.1414	7757.098
625.0	0.95359	0.0464051	1.68048	14.68927	-4.51751	31.35557	165.32528	0.1331	7.51319	22.10815	26.61196	8.24605	0.34053	1.57314	2102.57395	2.78656	0.0020849	571.35899	17636.414	76.4094	7970.541
624.11	0.95638	0.0436249	1.68076	14.68645	-4.53584	31.28912	165.72871	0.13264	7.53896	22.40813	26.64301	8.3613	0.33999	1.57898	2162.32957	2.77352	0.00202528	571.76776	17583.898	 	7993.244
620.0	0.96612	0.0338769	1.68186	14.67502	-4.61011	31.04511	167.09674	0.13096	7.6362	23.51983	26.78175	8.78895	0.33803	1.60426	2430.74908	2.7173	0.00179337	573.61651	17367.65	53.7528	8071.354
615.0	0.9736	0.0264045	1.68295	14.66349	-4.68508	30.83953	168.0713	0.12947	7.72398	24.47163	26.94403	9.15579	0.3364	1.63551	2754.06473	2.65046	0.00157398	575.86361	17143.711	44.7878	8127.986
610.0	0.97857	0.0214334	1.6839	14.65331	-4.75128	30.68579	168.64823	0.1283	7.79437	25.18608	27.10198	9.4316	0.3352	1.66738	3091.56004	2.58515	0.00139426	578.11082	16942.147	40.3128	8162.877
605.0	0.98212	0.0178751	1.68476	14.6439	-4.81243	30.56147	168.99944	0.12731	7.85508	25.76281	27.25683	9.65454	0.33423	1.69994	3454.13146	2.52128	0.00124084	580.3582	16753.345	37.7604	8185.63
600.0	0.98481	0.0151932	1.68559	14.63498	-4.87039	30.45549	169.20982	0.12642	7.90989	26.2522	27.40921	9.84394	0.33342	1.73323	3849.71029	2.45878	0.001107	582.60587	16572.581	36.1528	8200.96
595.0	0.98691	0.0130935	1.68638	14.6264	-4.92617	30.36174	169.32642	0.12561	7.96093	26.68256	27.55945	10.01068	0.3327	1.76729	4285.27807	2.39758	9.88786E-4	584.85397	16397.261	35.064	8211.452
590.0	0.9886	0.0113986	1.68715	14.61806	-4.98039	30.27648	169.37747	0.12485	8.00946	27.07112	27.70775	10.16137	0.33206	1.80218	4767.74873	2.33762	8.83608E-4	587.10268	16225.843	34.2836	8218.638
585.0	0.99	0.0100007	1.68791	14.6099	-5.03342	30.19756	169.38074	0.12413	8.05628	27.42871	27.85424	10.3002	0.33147	1.83795	5304.37724	2.27885	7.89615E-4	589.35209	16057.351	33.6984	8223.487
581.97	0.99074	0.0092647	1.68836	14.60502	-5.06513	30.152	169.36459	0.1237	8.08408	27.63376	27.94225	10.37986	0.33112	1.86009	5659.57502	2.24377	7.37443E-4	590.71688	15956.302	 	8225.563
580.0	0.99453	0.00547481	1.68879	14.601	-5.0913	30.08498	169.04549	0.12365	8.08746	28.09594	27.98918	10.56015	0.33028	1.88345	5969.15699	2.21085	6.97588E-4	591.63424	15865.299	38.4104	8252.474
577.46	0.99772	0.00227837	1.68929	14.59644	-5.12093	30.02525	168.92717	0.12337	8.10588	28.52508	28.05224	10.72766	0.32951	1.91443	6358.21284	2.16861	6.52957E-4	592.81544	15761.254	 	8274.061
577.46	0.99772	0.00227837	1.68929	14.59644	-5.12093	30.02524	168.9271	0.12337	8.10589	28.5251	28.05225	10.72767	0.32951	1.91443	6358.26547	2.1686	6.52951E-4	592.81563	15761.238	 	8274.064
