T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
700.0	0.00336	0.99664	1.66436	15.32526	0.0	66.7624	81.47675	0.29263	3.41734	2.66413E-11	23.6137	8.88137E-12	0.49984	1.28184	1.28184	3.70538	3.70538	543.79337	27448.031	 	0.0
695.0	0.0035	0.9965	1.66569	15.3131	-0.0793427	66.90443	81.12737	0.29238	3.42026	3.1498E-11	23.68765	1.05005E-11	0.49984	1.29661	1.29661	3.64436	3.64436	545.53078	27273.559	34.8944	1.233
690.0	0.00363	0.99637	1.66701	15.30099	-0.15833	67.05416	80.77807	0.29212	3.42321	3.69505E-11	23.76161	1.23182E-11	0.49983	1.3117	1.3117	3.58381	3.58381	547.26825	27099.053	34.9012	2.456
685.0	0.00377	0.99623	1.66833	15.28878	-0.23802	67.20097	80.428	0.29187	3.42616	4.30162E-11	23.83532	1.43404E-11	0.49982	1.32714	1.32714	3.52375	3.52375	549.00578	26924.514	34.9078	3.663
680.0	0.0039	0.9961	1.66964	15.27679	-0.31627	67.36725	80.07889	0.29161	3.42918	4.97473E-11	23.9093	1.65844E-11	0.49982	1.34292	1.34292	3.46416	3.46416	550.74336	26749.941	34.9146	4.856
675.0	0.00403	0.99597	1.67096	15.26485	-0.39416	67.54237	79.72985	0.29135	3.43224	5.71805E-11	23.98329	1.90625E-11	0.49981	1.35907	1.35907	3.40505	3.40505	552.48099	26575.334	34.9214	6.036
670.0	0.00416	0.99584	1.67227	15.25282	-0.47268	67.71597	79.3801	0.2911	3.4353	6.5352E-11	24.05705	2.17868E-11	0.4998	1.37558	1.37558	3.34642	3.34642	554.21869	26400.694	34.928	7.201
665.0	0.00429	0.99571	1.67357	15.24099	-0.54985	67.90989	79.03125	0.29083	3.43843	7.42726E-11	24.13106	2.47608E-11	0.4998	1.39248	1.39248	3.28828	3.28828	555.95643	26226.021	34.9346	8.353
660.0	0.00442	0.99558	1.67487	15.22907	-0.62763	68.10295	78.68168	0.29057	3.44157	8.40001E-11	24.20483	2.80039E-11	0.49979	1.40978	1.40978	3.23063	3.23063	557.69424	26051.314	34.9414	9.49
655.0	0.00455	0.99545	1.67617	15.21736	-0.70406	68.31755	78.33298	0.2903	3.44477	9.45579E-11	24.27887	3.15237E-11	0.49979	1.42748	1.42748	3.17347	3.17347	559.43209	25876.573	34.9482	10.614
650.0	0.00467	0.99533	1.67747	15.20555	-0.78111	68.53185	77.98359	0.29002	3.44798	1.0596E-10	24.35266	3.53253E-11	0.49978	1.44561	1.44561	3.1168	3.1168	561.17001	25701.799	34.9548	11.723
645.0	0.00479	0.99521	1.67876	15.1938	-0.8578	68.75746	77.63428	0.28975	3.45123	1.18254E-10	24.42647	3.9424E-11	0.49977	1.46417	1.46417	3.06062	3.06062	562.90753	25527.317	34.8964	12.819
640.0	0.00491	0.99509	1.68005	15.18224	-0.9332	69.00608	77.28578	0.28947	3.45455	1.31468E-10	24.50051	4.38292E-11	0.49977	1.48317	1.48317	3.00494	3.00494	564.64557	25353.479	34.7676	13.902
635.0	0.00503	0.99497	1.68133	15.1706	-1.00915	69.25636	76.93664	0.28919	3.45788	1.45603E-10	24.57434	4.8542E-11	0.49976	1.50265	1.50265	2.94976	2.94976	566.38368	25180.278	34.6402	14.97
633.25	0.00508	0.99492	1.68178	15.16653	-1.03572	69.34611	76.81444	0.2891	3.45905	1.50779E-10	24.60015	5.02678E-11	0.49976	1.50957	1.50957	2.93057	2.93057	566.99184	25119.828	34.5539	15.339
633.25	0.00508	0.99492	1.68178	15.16654	-1.03567	69.34673	76.81446	0.2891	3.45905	1.50781E-10	24.60015	5.02684E-11	0.49976	1.50958	1.51245	2.93057	2.925	566.9919	25119.771	 	15.391
630.0	0.11858	0.88142	1.68974	15.09511	-1.50175	64.36744	82.68975	0.26759	3.73702	0.00443901	24.71166	0.00149906	0.48059	1.52695	2.24355	2.88683	1.96477	568.34768	24031.259	334.887	992.47
