T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	7.05587	7.88822	0.0	26.24003	30.8383	1.87358	0.53374	0.0	107.84505	0.0	0.5	6.99533	6.99533	1.23715	1.23715	1769.51293	65547.908	 	0.0
1495.0	0.0	1.0	7.05977	7.88386	-0.0553187	26.18928	30.76183	1.87294	0.53392	0.0	108.03183	0.0	0.5	7.05737	7.05737	1.22282	1.22282	1771.29068	65326.886	44.2044	0.0
1490.0	0.0	1.0	7.06367	7.87951	-0.11048	26.13857	30.68536	1.8723	0.5341	0.0	108.21861	0.0	0.5	7.12031	7.12031	1.20859	1.20859	1773.06538	65106.36	44.1052	0.0
1485.0	0.0	1.0	7.06757	7.87517	-0.16549	26.08791	30.60889	1.87166	0.53429	0.0	108.4054	0.0	0.5	7.18417	7.18417	1.19444	1.19444	1774.83699	64886.326	44.0068	0.0
1480.0	0.0	1.0	7.07145	7.87084	-0.22035	26.0373	30.53242	1.87101	0.53447	0.0	108.59218	0.0	0.5	7.24898	7.24898	1.1804	1.1804	1776.60546	64666.781	43.909	0.0
1475.0	0.0	1.0	7.07533	7.86653	-0.27505	25.98674	30.45596	1.87036	0.53466	0.0	108.77896	0.0	0.5	7.31475	7.31475	1.16645	1.16645	1778.37078	64447.722	43.8118	0.0
1470.0	0.0	1.0	7.0792	7.86222	-0.32959	25.93623	30.37949	1.8697	0.53484	0.0	108.96574	0.0	0.5	7.38149	7.38149	1.1526	1.1526	1780.13289	64229.147	43.715	0.0
1465.0	0.0	1.0	7.08307	7.85793	-0.38398	25.88576	30.30302	1.86904	0.53503	0.0	109.15253	0.0	0.5	7.44924	7.44924	1.13884	1.13884	1781.89177	64011.051	43.6192	0.0
1460.0	0.0	1.0	7.08693	7.85365	-0.43821	25.83535	30.22655	1.86838	0.53522	0.0	109.33931	0.0	0.5	7.518	7.518	1.12518	1.12518	1783.64737	63793.432	43.5238	0.0
1455.0	0.0	1.0	7.09078	7.84939	-0.49229	25.78498	30.15008	1.86772	0.53541	0.0	109.52609	0.0	0.5	7.5878	7.5878	1.11161	1.11161	1785.39967	63576.286	43.4292	0.0
1450.0	0.0	1.0	7.09462	7.84513	-0.54622	25.73467	30.07361	1.86705	0.53561	0.0	109.71288	0.0	0.5	7.65866	7.65866	1.09814	1.09814	1787.14861	63359.641	43.329	0.0
