T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.99049	7.87127	0.0	29.73852	31.04108	1.86134	0.53725	0.0	106.62143	0.0	0.49542	6.60358	6.60358	1.31055	1.31055	1766.6915	64257.488	 	0.0
1495.0	0.0	1.0	6.99439	7.86689	-0.0556581	29.69686	30.96539	1.86063	0.53745	0.0	106.80551	0.0	0.49542	6.66143	6.66143	1.2955	1.2955	1768.49196	64038.278	43.842	0.0
1490.0	0.0	1.0	6.99827	7.86252	-0.11116	29.65531	30.8897	1.85992	0.53766	0.0	106.9896	0.0	0.49542	6.72012	6.72012	1.28056	1.28056	1770.28937	63819.549	43.7458	0.0
1485.0	0.0	1.0	7.00215	7.85817	-0.16651	29.61387	30.81401	1.8592	0.53787	0.0	107.17368	0.0	0.49542	6.77967	6.77967	1.26571	1.26571	1772.08368	63601.299	43.65	0.0
1480.0	0.0	1.0	7.00603	7.85382	-0.22171	29.57254	30.73831	1.85848	0.53808	0.0	107.35777	0.0	0.49542	6.84008	6.84008	1.25096	1.25096	1773.87485	63383.523	43.5552	0.0
1475.0	0.0	1.0	7.00989	7.84949	-0.27675	29.53133	30.66262	1.85775	0.53829	0.0	107.54186	0.0	0.49542	6.90139	6.90139	1.23631	1.23631	1775.66286	63166.218	43.461	0.0
1470.0	0.0	1.0	7.01375	7.84517	-0.33164	29.49024	30.58693	1.85702	0.5385	0.0	107.72594	0.0	0.49542	6.9636	6.9636	1.22177	1.22177	1777.44766	62949.383	43.367	0.0
1465.0	0.0	1.0	7.01761	7.84086	-0.38637	29.44927	30.51124	1.85629	0.53871	0.0	107.91003	0.0	0.49542	7.02673	7.02673	1.20731	1.20731	1779.22921	62733.014	43.2738	0.0
1460.0	0.0	1.0	7.02145	7.83656	-0.44095	29.40842	30.43555	1.85555	0.53892	0.0	108.09411	0.0	0.49542	7.09081	7.09081	1.19296	1.19296	1781.00746	62517.107	43.1814	0.0
1455.0	0.0	1.0	7.02529	7.83228	-0.49537	29.36769	30.35985	1.85481	0.53914	0.0	108.2782	0.0	0.49542	7.15585	7.15585	1.17871	1.17871	1782.78237	62301.66	43.0894	0.0
1450.0	0.0	1.0	7.02913	7.82801	-0.54964	29.32708	30.28416	1.85407	0.53936	0.0	108.46229	0.0	0.49542	7.22186	7.22186	1.16456	1.16456	1784.5539	62086.703	42.9914	0.0
1445.0	0.0	1.0	7.03295	7.82375	-0.60376	29.28659	30.20847	1.85332	0.53957	0.0	108.64637	0.0	0.49542	7.28888	7.28888	1.1505	1.1505	1786.32201	61872.284	42.8838	0.0
1440.0	0.0	1.0	7.03678	7.8195	-0.65772	29.24623	30.13278	1.85257	0.53979	0.0	108.83046	0.0	0.49542	7.35691	7.35691	1.13655	1.13655	1788.08665	61658.396	42.7776	0.0
1435.0	0.0	1.0	7.04059	7.81527	-0.71153	29.206	30.05709	1.85181	0.54001	0.0	109.01454	0.0	0.49542	7.42598	7.42598	1.12269	1.12269	1789.84778	61445.035	42.6722	0.0
1430.0	0.0	1.0	7.0444	7.81104	-0.76518	29.16589	29.9814	1.85105	0.54023	0.0	109.19863	0.0	0.49542	7.49611	7.49611	1.10893	1.10893	1791.60534	61232.196	42.5678	0.0
