T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	7.025	7.89324	0.0	28.53664	30.79156	1.87643	0.53293	0.0	107.7491	0.0	0.49974	6.81731	6.81731	1.26946	1.26946	1768.72981	64654.038	 	0.0
1495.0	0.0	1.0	7.02892	7.88884	-0.055714	28.49142	30.71474	1.87582	0.5331	0.0	107.93359	0.0	0.49974	6.87755	6.87755	1.25479	1.25479	1770.54753	64433.768	44.054	0.0
1490.0	0.0	1.0	7.03283	7.88445	-0.11127	28.44628	30.63792	1.8752	0.53328	0.0	108.11808	0.0	0.49974	6.93865	6.93865	1.24023	1.24023	1772.36249	64213.98	43.9576	0.0
1485.0	0.0	1.0	7.03673	7.88008	-0.16668	28.40123	30.5611	1.87458	0.53345	0.0	108.30256	0.0	0.49974	7.00066	7.00066	1.22576	1.22576	1774.17469	63994.67	43.862	0.0
1480.0	0.0	1.0	7.04063	7.87572	-0.22193	28.35627	30.48428	1.87396	0.53363	0.0	108.48705	0.0	0.49974	7.06358	7.06358	1.21138	1.21138	1775.9841	63775.835	43.767	0.0
1475.0	0.0	1.0	7.04452	7.87137	-0.27703	28.31139	30.40746	1.87334	0.53381	0.0	108.67154	0.0	0.49974	7.12742	7.12742	1.19711	1.19711	1777.79068	63557.472	43.6726	0.0
1470.0	0.0	1.0	7.0484	7.86703	-0.33197	28.26661	30.33064	1.87271	0.53399	0.0	108.85603	0.0	0.49974	7.19222	7.19222	1.18293	1.18293	1779.5944	63339.578	43.5788	0.0
1465.0	0.0	1.0	7.05228	7.86271	-0.38676	28.22192	30.25382	1.87208	0.53416	0.0	109.04052	0.0	0.49974	7.25798	7.25798	1.16885	1.16885	1781.39522	63122.15	43.4856	0.0
1460.0	0.0	1.0	7.05615	7.8584	-0.44139	28.17733	30.17701	1.87145	0.53435	0.0	109.22501	0.0	0.49974	7.32473	7.32473	1.15487	1.15487	1783.19313	62905.184	43.3932	0.0
1455.0	0.0	1.0	7.06001	7.8541	-0.49587	28.13282	30.10019	1.87081	0.53453	0.0	109.4095	0.0	0.49974	7.39248	7.39248	1.14098	1.14098	1784.98807	62688.679	43.301	0.0
