T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	1.0E-4	0.9999	6.99717	7.84906	0.0	22.53681	32.43018	1.78161	0.56129	9.37364E-14	104.07417	3.12547E-14	0.49956	7.18587	7.18587	1.20435	1.20435	1780.45876	67812.337	 	0.0
1498.9	1.0E-4	0.9999	6.99801	7.84814	-0.0116651	22.52457	32.41374	1.78142	0.56135	1.09943E-13	104.11679	3.66585E-14	0.49956	7.19961	7.19961	1.20131	1.20131	1780.96174	67762.163	45.76	0.987
1495.0	0.28107	0.71893	7.04281	7.79812	-0.64896	20.99515	32.93146	1.74955	0.57158	0.28581	90.84492	0.0979735	0.4586	7.22899	29.06069	1.19379	0.29696	1774.82689	64846.621	746.897	2741.651
1490.0	0.48228	0.51772	7.07618	7.76131	-1.11794	19.89333	33.2917	1.72572	0.57947	2.54927	81.43496	0.89207	0.42885	7.26571	186.48207	1.1844	0.0461465	1768.93558	62678.986	433.527	4685.828
1485.0	0.6014	0.3986	7.09694	7.73869	-1.40617	19.23776	33.48927	1.71068	0.58456	6.29001	75.99714	2.22888	0.41102	7.30243	460.28428	1.1751	0.018643	1764.51345	61320.682	271.661	5821.277
1480.0	0.67956	0.32044	7.11145	7.72289	-1.60736	18.79699	33.60217	1.70008	0.58821	10.42317	72.55619	3.72471	0.39919	7.33838	785.35988	1.16602	0.0108952	1761.12991	60364.507	191.235	6555.194
1475.0	0.73447	0.26553	7.12234	7.71115	-1.75694	18.48365	33.66609	1.69201	0.59101	14.42231	70.25901	5.18492	0.39079	7.37449	1126.7344	1.157	0.00757258	1758.51172	59635.583	145.785	7062.453
1470.0	0.77497	0.22503	7.13103	7.70182	-1.87587	18.24591	33.69885	1.68553	0.59328	18.10241	68.67273	6.53739	0.38453	7.41023	1469.942	1.14813	0.0057879	1756.47832	59046.819	117.753	7430.143
1465.0	0.80594	0.19406	7.13821	7.69413	-1.97382	18.05991	33.71083	1.6801	0.5952	21.42159	67.55965	7.76324	0.37968	7.44618	1809.81983	1.13931	0.00468747	1754.90234	58550.2	99.3238	7706.273
1460.0	0.83031	0.16969	7.14439	7.68753	-2.05788	17.90811	33.70821	1.6754	0.59687	24.39973	66.77526	8.86737	0.37582	7.48178	2145.80467	1.13062	0.00394215	1753.6929	58117.187	86.6026	7919.378
1455.0	0.84992	0.15008	7.14982	7.68176	-2.13142	17.7822	33.69508	1.67122	0.59837	27.07292	66.22931	9.86148	0.37266	7.5176	2478.95037	1.12199	0.00340252	1752.78135	57729.793	77.4788	8087.442
1450.0	0.86601	0.13399	7.15471	7.67658	-2.19742	17.67481	33.67405	1.66742	0.59973	29.48229	65.86108	10.75971	0.37003	7.55337	2811.13479	1.11345	0.00299177	1752.11637	57376.137	70.7312	8222.342
1445.0	0.87943	0.12057	7.15919	7.67185	-2.25766	17.58153	33.64696	1.66392	0.60099	31.66461	65.62938	11.57496	0.36781	7.58907	3144.24492	1.10499	0.00266705	1751.65774	57048.073	65.6128	8332.219
1440.0	0.89074	0.10926	7.16334	7.66747	-2.31349	17.49903	33.6152	1.66065	0.60217	33.65583	65.50396	12.3201	0.36589	7.62471	3480.62587	1.09663	0.00240229	1751.37388	56739.842	61.6462	8422.829
1435.0	0.90043	0.0995745	7.16723	7.66338	-2.3656	17.42561	33.5797	1.65755	0.6033	35.48169	65.46423	13.00434	0.36423	7.66063	3821.991	1.0883	0.00218134	1751.23894	56447.263	58.5158	8498.35
1430.0	0.90877	0.0912253	7.17092	7.65951	-2.41486	17.3591	33.54119	1.6546	0.60438	37.16748	65.49371	13.63686	0.36276	7.69647	4170.3471	1.08006	0.00199328	1751.23275	56167.235	56.0056	8561.877
1425.0	0.91605	0.0839529	7.17443	7.65583	-2.46175	17.29832	33.50021	1.65176	0.60542	38.73333	65.58026	14.22499	0.36145	7.73258	4527.50682	1.07186	0.00183064	1751.33828	55897.415	53.964	8615.751
