T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	7.03629	7.90845	0.0	29.30502	33.24036	1.73819	0.57531	0.0	106.82111	0.0	0.49974	6.68722	6.68722	1.29415	1.29415	1582.73073	65157.84	 	0.0
1495.0	0.0	1.0	7.04021	7.90405	-0.0556717	29.26208	33.16459	1.73725	0.57562	0.0	107.01255	0.0	0.49974	6.74617	6.74617	1.27923	1.27923	1583.14737	64938.821	43.8038	0.0
1490.0	0.0	1.0	7.04412	7.89966	-0.11119	29.21925	33.08879	1.73631	0.57594	0.0	107.20398	0.0	0.49974	6.80598	6.80598	1.2644	1.2644	1583.54989	64720.262	43.7118	0.0
1485.0	0.0	1.0	7.04803	7.89528	-0.16655	29.17653	33.01298	1.73536	0.57625	0.0	107.39541	0.0	0.49974	6.86666	6.86666	1.24968	1.24968	1583.93822	64502.16	43.6204	0.0
1480.0	0.0	1.0	7.05193	7.89091	-0.22176	29.13391	32.93714	1.73441	0.57657	0.0	107.58685	0.0	0.49974	6.92823	6.92823	1.23505	1.23505	1584.31225	64284.512	43.5296	0.0
1475.0	0.0	1.0	7.05582	7.88656	-0.27682	29.0914	32.86129	1.73345	0.57688	0.0	107.77828	0.0	0.49974	6.99071	6.99071	1.22052	1.22052	1584.67189	64067.316	43.4392	0.0
1470.0	0.0	1.0	7.05971	7.88222	-0.33172	29.04899	32.78541	1.73249	0.5772	0.0	107.96971	0.0	0.49974	7.05411	7.05411	1.20609	1.20609	1585.01704	63850.568	43.3496	0.0
1465.0	0.0	1.0	7.06359	7.87789	-0.38646	29.0067	32.70952	1.73153	0.57752	0.0	108.16115	0.0	0.49974	7.11847	7.11847	1.19176	1.19176	1585.34762	63634.266	43.2604	0.0
1460.0	0.0	1.0	7.06746	7.87357	-0.44105	28.96451	32.6336	1.73057	0.57784	0.0	108.35258	0.0	0.49974	7.18378	7.18378	1.17752	1.17752	1585.66353	63418.407	43.1718	0.0
1455.0	0.0	1.0	7.07133	7.86927	-0.49549	28.92244	32.55767	1.7296	0.57817	0.0	108.54401	0.0	0.49974	7.25008	7.25008	1.16339	1.16339	1585.96467	63202.988	43.0838	0.0
1450.0	0.0	1.0	7.07519	7.86497	-0.54977	28.88048	32.48171	1.72863	0.57849	0.0	108.73545	0.0	0.49974	7.31738	7.31738	1.14936	1.14936	1586.25096	62988.043	42.989	0.0
1445.0	0.0	1.0	7.07904	7.86069	-0.6039	28.83863	32.40574	1.72765	0.57882	0.0	108.92688	0.0	0.49974	7.3857	7.3857	1.13542	1.13542	1586.5223	62773.631	42.8824	0.0
1440.0	0.0	1.0	7.08289	7.85642	-0.65788	28.79689	32.32974	1.72668	0.57915	0.0	109.11831	0.0	0.49974	7.45506	7.45506	1.12158	1.12158	1586.77861	62559.742	42.7778	0.0
1435.0	0.0	1.0	7.08673	7.85217	-0.7117	28.75528	32.25373	1.72569	0.57948	0.0	109.30975	0.0	0.49974	7.52549	7.52549	1.10784	1.10784	1587.01979	62346.374	42.6736	0.0
1430.0	0.0	1.0	7.09056	7.84792	-0.76536	28.71378	32.1777	1.72471	0.57981	0.0	109.50118	0.0	0.49974	7.597	7.597	1.0942	1.0942	1587.24575	62133.522	42.5704	0.0
1425.0	0.0	1.0	7.09438	7.84369	-0.81888	28.6724	32.10164	1.72372	0.58014	0.0	109.69261	0.0	0.49974	7.66962	7.66962	1.08066	1.08066	1587.45641	61921.182	42.468	0.0
1420.0	0.0	1.0	7.0982	7.83947	-0.87223	28.63114	32.02557	1.72273	0.58048	0.0	109.88405	0.0	0.49974	7.74337	7.74337	1.06722	1.06722	1587.65169	61709.353	42.3658	0.0
1415.0	0.0	1.0	7.10201	7.83526	-0.92544	28.59	31.94947	1.72173	0.58081	0.0	110.07548	0.0	0.49974	7.81827	7.81827	1.05387	1.05387	1587.83149	61498.03	42.2646	0.0
1410.0	0.0	1.0	7.10582	7.83107	-0.97848	28.54898	31.87336	1.72073	0.58115	0.0	110.26691	0.0	0.49974	7.89435	7.89435	1.04062	1.04062	1587.99574	61287.209	42.1642	0.0
1405.0	0.0	1.0	7.10962	7.82689	-1.03138	28.50808	31.79723	1.71973	0.58149	0.0	110.45835	0.0	0.49974	7.97162	7.97162	1.02747	1.02747	1588.14435	61076.887	42.0644	0.0
1400.0	0.0	1.0	7.11341	7.82271	-1.08412	28.46731	31.72107	1.71872	0.58183	0.0	110.64978	0.0	0.49974	8.05013	8.05013	1.01442	1.01442	1588.27723	60867.06	41.9654	0.0
1395.96	0.0	1.0	7.11646	7.81935	-1.12662	28.43446	31.65954	1.7179	0.58211	0.0	110.80442	0.0	0.49974	8.11445	8.11445	1.00395	1.00395	1588.37305	60697.934	41.8729	0.0
1395.0	0.02824	0.97176	7.12124	7.81415	-1.19236	28.27369	31.71034	1.71416	0.58338	4.97302E-5	110.61609	1.66222E-5	0.4959	8.12789	8.44717	1.00172	0.96385	1586.99181	60337.5	375.073	320.222
1390.0	0.16301	0.83699	7.144	7.78924	-1.50733	27.50836	31.95378	1.696	0.58962	0.0561275	109.72724	0.0189949	0.47743	8.19941	20.74286	0.99	0.39134	1579.98579	58607.232	346.054	1841.643
1385.0	0.27254	0.72746	7.16308	7.76842	-1.7707	26.88028	32.14682	1.68075	0.59497	0.4451	109.05562	0.1522	0.46225	8.27145	99.49268	0.97843	0.0813428	1573.29168	57170.067	287.433	3070.448
1380.0	0.36267	0.63733	7.17921	7.751	-1.99087	26.36761	32.30031	1.66772	0.59962	1.41352	108.55621	0.48754	0.44964	8.34469	304.78133	0.96692	0.0264735	1566.88053	55957.957	242.422	4074.679
1375.0	0.43765	0.56235	7.19305	7.73612	-2.17912	25.94019	32.42138	1.65647	0.60369	3.03239	108.19013	1.05361	0.43904	8.41922	670.15632	0.95546	0.0120035	1560.73383	54921.155	207.36	4904.085
1370.0	0.50068	0.49932	7.20516	7.72312	-2.34348	25.57646	32.51564	1.64665	0.60729	5.24801	107.93055	1.8349	0.43005	8.49426	1206.72371	0.94414	0.00664593	1554.83555	54022.692	179.693	5595.626
1365.0	0.55412	0.44588	7.21581	7.71168	-2.48813	25.26539	32.58779	1.63801	0.6105	7.94871	107.75641	2.79421	0.42235	8.57057	1912.61861	0.93289	0.00418034	1549.16703	53234.687	157.601	6177.184
1360.0	0.5998	0.4002	7.22532	7.70151	-2.61673	24.9973	32.64147	1.63032	0.61337	11.00827	107.65294	3.8879	0.41571	8.64776	2780.08415	0.92174	0.00286718	1543.71244	52535.869	139.764	6670.026
1355.0	0.63913	0.36087	7.23389	7.69237	-2.73228	24.7641	32.6797	1.62343	0.61598	14.30895	107.60713	5.07432	0.40994	8.72592	3799.89628	0.91069	0.00209127	1538.45764	51909.699	125.234	7090.687
1350.0	0.67323	0.32677	7.24167	7.68411	-2.83676	24.56063	32.70488	1.6172	0.61835	17.75153	107.60915	6.31778	0.40489	8.80538	4963.91968	0.8997	0.00159595	1533.38852	51343.278	113.284	7452.066
1345.0	0.70298	0.29702	7.24883	7.67649	-2.93306	24.37896	32.71877	1.61153	0.62053	21.25744	107.65042	7.58959	0.40043	8.88579	6265.90719	0.88881	0.00126044	1528.49676	50826.408	103.374	7764.354
1340.0	0.72907	0.27093	7.25545	7.66948	-3.02172	24.21776	32.72318	1.60634	0.62253	24.76504	107.72558	8.86688	0.39649	8.96719	7701.87096	0.87802	0.00102227	1523.76856	50350.955	95.0906	8035.686
1335.0	0.75207	0.24793	7.26161	7.66295	-3.1043	24.07283	32.71934	1.60155	0.6244	28.22767	107.82863	10.13214	0.39298	9.04995	9269.68299	0.8673	8.46737E-4	1519.19573	49910.366	88.1178	8272.609
1334.78	0.75298	0.24702	7.26187	7.66269	-3.10753	24.06762	32.71894	1.60135	0.62447	28.3733	107.83458	10.18543	0.39284	9.05357	9340.38651	0.86683	8.40211E-4	1518.99469	49891.975	 	8281.953
1330.0	0.7741	0.2259	7.26762	7.65661	-3.18447	23.93373	32.73223	1.59594	0.62659	31.11518	107.87122	11.19616	0.38955	9.1208	11020.71477	0.85788	7.09988E-4	1513.76754	49492.629	83.5474	8487.135
1325.0	0.79351	0.20649	7.27324	7.65069	-3.25926	23.80915	32.73602	1.59078	0.62862	33.84745	107.94911	12.20612	0.3865	9.1919	12901.30235	0.84859	6.04604E-4	1508.51304	49102.863	77.9532	8674.141
1320.0	0.81057	0.18943	7.27852	7.64513	-3.32959	23.69656	32.73088	1.58605	0.6305	36.43698	108.05991	13.16574	0.38378	9.26389	14908.82645	0.83936	5.21555E-4	1503.46683	48737.629	73.0468	8837.065
1315.0	0.82565	0.17435	7.28352	7.63988	-3.39601	23.59454	32.71819	1.58169	0.63224	38.88903	108.19815	14.07642	0.38135	9.33671	17048.75136	0.8302	4.54659E-4	1498.61442	48393.181	68.8896	8979.648
1310.0	0.83902	0.16098	7.28825	7.63492	-3.45874	23.50252	32.69912	1.57762	0.63386	41.21186	108.3596	14.94079	0.37917	9.4109	19329.23065	0.82107	3.99755E-4	1493.94137	48066.464	65.3434	9104.943
1305.0	0.85093	0.14907	7.29278	7.63015	-3.51898	23.4171	32.67448	1.57383	0.63539	43.41602	108.54004	15.76241	0.3772	9.48554	21759.61505	0.81203	3.53984E-4	1489.44047	47754.965	62.2998	9215.461
1303.09	0.85514	0.14486	7.29445	7.62842	-3.5409	23.38749	32.66375	1.57244	0.63595	44.22352	108.61379	16.06372	0.3765	9.51482	22726.73246	0.80855	3.38511E-4	1487.75909	47639.758	 	9254.078
1300.0	0.86317	0.13683	7.29789	7.62481	-3.58661	23.30919	32.6502	1.57001	0.63694	45.72163	108.7213	16.62388	0.37518	9.56998	24513.88014	0.80232	3.13217E-4	1484.86592	47435.967	63.7996	9333.915
1295.0	0.87495	0.12505	7.30316	7.6193	-3.65627	23.19441	32.62368	1.56629	0.63845	48.06422	108.91179	17.50058	0.37322	9.66015	27550.58441	0.7923	2.77807E-4	1480.34745	47119.901	63.2132	9449.874
1290.0	0.88532	0.11468	7.3081	7.61414	-3.72148	23.09197	32.59186	1.56282	0.63987	50.3007	109.11997	18.33832	0.37146	9.7513	30765.573	0.78239	2.47983E-4	1476.01599	46819.619	60.0564	9550.481
1285.0	0.89448	0.10552	7.31276	7.60927	-3.78311	22.99943	32.55546	1.55956	0.6412	52.45887	109.34241	19.14719	0.36988	9.84381	34177.83216	0.77256	2.22511E-4	1471.85994	46532.727	57.3784	9638.129
1280.0	0.90262	0.0973785	7.31719	7.60465	-3.84151	22.91584	32.51521	1.55648	0.64247	54.55549	109.57704	19.93322	0.36846	9.93734	37803.77722	0.76283	2.00523E-4	1467.86669	46257.271	55.0912	9714.769
1275.0	0.90989	0.0901099	7.32142	7.60024	-3.89723	22.83966	32.4717	1.55355	0.64369	56.61051	109.82154	20.70374	0.36716	10.03234	41666.15025	0.75318	1.8135E-4	1464.02626	45991.644	53.1254	9782.005
1270.0	0.9164	0.0835991	7.32548	7.59602	-3.95062	22.7699	32.42535	1.55075	0.64485	58.63417	110.07445	21.46248	0.36597	10.1285	45786.18888	0.74362	1.64498E-4	1460.3291	45734.477	51.4334	9841.204
1265.0	0.92225	0.0777466	7.3294	7.59195	-4.00211	22.70534	32.37657	1.54805	0.64597	60.63486	110.33419	22.21255	0.36488	10.22575	50188.38556	0.73416	1.49583E-4	1456.76786	45484.706	49.9542	9893.428
1260.0	0.92753	0.0724655	7.33318	7.58802	-4.05177	22.64586	32.32567	1.54545	0.64706	62.61498	110.59988	22.95485	0.36387	10.32467	54898.94391	0.72476	1.36304E-4	1453.33245	45241.4	48.6612	9939.606
1255.0	0.93231	0.0676856	7.33685	7.58422	-4.09982	22.59081	32.27296	1.54293	0.64812	64.57484	110.87049	23.68951	0.36294	10.42531	59946.73628	0.71542	1.24419E-4	1450.0157	45003.774	47.5252	9980.52
1250.0	0.93665	0.0633466	7.34043	7.58051	-4.14668	22.53897	32.21862	1.54047	0.64915	66.51286	111.14505	24.416	0.36208	10.52718	65363.06206	0.70618	1.13736E-4	1446.81377	44771.161	46.5226	10016.834
1245.0	0.94061	0.0593901	7.34393	7.5769	-4.19238	22.49029	32.16287	1.53808	0.65016	68.42546	111.42306	25.13302	0.36127	10.63039	71183.25148	0.69703	1.04093E-4	1443.7188	44542.947	45.6428	10049.161
1240.0	0.94425	0.0557547	7.34736	7.57336	-4.23715	22.44409	32.10589	1.53573	0.65116	70.31529	111.70375	25.84161	0.3605	10.73546	77450.22505	0.68794	9.53556E-5	1440.72549	44318.474	44.8946	10078.163
1235.0	0.94759	0.0524053	7.35073	7.56989	-4.28106	22.40018	32.0478	1.53343	0.65213	72.17607	111.98677	26.53949	0.35979	10.84237	84205.56457	0.6789	8.74159E-5	1437.82798	44097.342	44.2264	10104.244
1230.0	0.95069	0.0493104	7.35405	7.56646	-4.32436	22.35782	31.98871	1.53117	0.6531	74.00264	112.27154	27.22477	0.3591	10.95079	91494.02686	0.66995	8.01856E-5	1435.02402	43879.22	43.6244	10127.731
1225.0	0.95355	0.0464452	7.35733	7.56309	-4.36693	22.31738	31.92874	1.52894	0.65405	75.78705	112.55797	27.89451	0.35846	11.06119	99363.77057	0.66106	7.35892E-5	1432.30637	43663.818	43.0804	10148.911
1220.0	0.95622	0.0437842	7.36056	7.55977	-4.40895	22.27835	31.86801	1.52674	0.65499	77.52615	112.84563	28.54756	0.35784	11.17318	107869.2067	0.65225	6.75605E-5	1429.6726	43450.886	42.5864	10168.032
1215.0	0.95869	0.0413098	7.36376	7.55648	-4.45054	22.24036	31.80655	1.52457	0.65592	79.21437	113.13417	29.18187	0.35725	11.28722	117067.4341	0.6435	6.20436E-5	1427.12059	43240.202	42.1368	10185.316
1210.0	0.961	0.0390026	7.36693	7.55323	-4.49161	22.2037	31.74454	1.52242	0.65685	80.84905	113.42359	29.79645	0.35669	11.40293	127023.2118	0.63483	5.69887E-5	1424.64437	43031.576	41.7252	10200.95
1205.0	0.96315	0.0368481	7.37007	7.55002	-4.53226	22.16807	31.68193	1.52028	0.65777	82.42768	113.71359	30.39036	0.35615	11.5209	137806.3256	0.62621	5.23523E-5	1422.24157	42824.839	41.3474	10215.101
1200.95	0.96522	0.0347842	7.37279	7.54725	-4.56725	22.13236	31.6307	1.51857	0.65851	83.90956	113.94716	30.94789	0.35566	11.61829	147457.6936	0.61926	4.87917E-5	1420.34473	42654.553	 	10229.692
1200.0	0.9662	0.0337967	7.37352	7.54647	-4.57716	22.11849	31.61992	1.51811	0.65871	84.57838	114.00475	31.19939	0.35545	11.65328	150127.4419	0.617	4.78932E-5	1419.75198	42606.06	43.7558	10241.696
1195.0	0.97085	0.0291541	7.37728	7.54246	-4.62782	22.04996	31.56163	1.51575	0.65974	87.78241	114.30744	32.40537	0.35444	11.83638	164667.1274	0.60539	4.35161E-5	1416.87879	42358.854	49.4412	10297.12
1190.0	0.97465	0.0253514	7.38087	7.53863	-4.67633	21.9878	31.50089	1.5135	0.66072	90.46515	114.60949	33.41697	0.35358	12.0176	180079.4766	0.59423	3.96562E-5	1414.34594	42123.691	47.0326	10340.899
1185.0	0.97781	0.0221915	7.38435	7.53491	-4.72326	21.93024	31.43833	1.51133	0.66167	92.72557	114.91072	34.27099	0.35283	12.19606	196516.3286	0.58354	3.62151E-5	1412.1028	41897.738	45.1906	10375.865
1180.0	0.98047	0.0195307	7.38774	7.53131	-4.76884	21.87656	31.37424	1.50923	0.66259	94.65181	115.21134	35.00015	0.35216	12.37323	214127.2457	0.57321	3.31227E-5	1410.10323	41678.97	43.7536	10404.041
1175.0	0.98274	0.0172647	7.39106	7.52779	-4.81339	21.82581	31.30897	1.50717	0.66349	96.31732	115.51123	35.63179	0.35156	12.54879	233064.5029	0.56325	3.03266E-5	1408.31481	41465.908	42.6124	10426.904
1170.0	0.98468	0.015317	7.39432	7.52433	-4.85713	21.77727	31.24263	1.50516	0.66438	97.7795	115.81046	36.18729	0.35102	12.72315	253486.4362	0.55361	2.77871E-5	1406.71095	41257.448	41.692	10445.555
1165.0	0.98637	0.0136263	7.39753	7.52093	-4.90008	21.73093	31.17557	1.50317	0.66526	99.0812	116.10898	36.68262	0.35052	12.89685	275559.1233	0.54426	2.54728E-5	1405.26437	41052.758	40.938	10460.825
1160.0	0.98785	0.0121473	7.40071	7.51758	-4.94245	21.68606	31.10785	1.5012	0.66613	100.25654	116.40673	37.13054	0.35006	13.06971	299462.0284	0.5352	2.33581E-5	1403.96061	40851.196	40.3124	10473.354
1155.0	0.98916	0.0108436	7.40385	7.51427	-4.98431	21.64255	31.03957	1.49926	0.667	101.64219	116.7037	37.65585	0.34962	13.24243	325388.8704	0.52637	2.14219E-5	1402.78168	40652.261	39.787	10483.64
1150.0	0.99031	0.00968724	7.40696	7.511	-5.02569	21.60021	30.97087	1.49732	0.66786	102.56452	116.99986	38.0091	0.34921	13.41528	353547.5736	0.51777	1.96467E-5	1401.71492	40455.558	39.3406	10492.076
1145.0	0.99134	0.00865543	7.41005	7.50775	-5.0667	21.55878	30.90173	1.4954	0.66872	103.43775	117.29526	38.34376	0.34882	13.58778	384167.3768	0.5094	1.80172E-5	1400.74983	40260.774	38.9568	10498.975
1140.0	0.99227	0.0077295	7.41312	7.50454	-5.10737	21.5181	30.83232	1.49348	0.66958	104.26898	117.58975	38.66254	0.34845	13.76022	417499.5469	0.50124	1.65203E-5	1399.87952	40067.653	38.6242	10504.59
1137.74	0.99266	0.00734289	7.41449	7.5031	-5.1256	21.50002	30.80086	1.49262	0.66996	104.6314	117.72239	38.8016	0.34829	13.83841	433498.1367	0.49762	1.58852E-5	1399.51327	39981.011	 	10506.75
1135.0	0.99315	0.00684713	7.4164	7.50114	-5.15028	21.46944	30.76057	1.49167	0.67039	105.08279	117.87951	38.97495	0.34808	13.92016	453948.5601	0.49373	1.51401E-5	1398.97446	39874.118	38.707	10510.996
1134.56	0.99323	0.00677022	7.4167	7.50083	-5.15422	21.46462	30.75411	1.49151	0.67046	105.15428	117.90474	39.0024	0.34805	13.93376	457323.0483	0.4931	1.50237E-5	1398.89023	39857.016	 	10511.63
1130.0	0.99436	0.00564036	7.4202	7.49738	-5.19791	21.40429	30.68676	1.48995	0.67116	105.95786	118.16347	39.31149	0.34767	14.20849	494482.5355	0.482	1.38497E-5	1399.14769	39673.187	40.1862	10525.173
1126.3	0.99516	0.00484199	7.42297	7.49464	-5.23251	21.3578	30.63298	1.48863	0.67176	106.56951	118.37331	39.54688	0.34738	14.43494	526747.6768	0.47318	1.29671E-5	1399.37051	39526.279	 	10534.308
1126.3	0.99516	0.00484199	7.42297	7.49464	-5.23251	21.3578	30.63298	1.48863	0.67176	106.56951	118.37331	39.54688	0.34738	14.43494	526747.6768	0.47318	1.29671E-5	1399.37051	39526.279	 	10534.308
1125.0	0.99543	0.00456961	7.42393	7.4937	-5.24439	21.34248	30.61415	1.48816	0.67197	106.78407	118.44909	39.62944	0.34728	14.51012	538658.4279	0.47029	1.26686E-5	1399.40899	39474.643	39.7088	10537.335
1120.0	0.99638	0.0036235	7.42754	7.49014	-5.28938	21.2852	30.54042	1.48642	0.67276	107.57411	118.73873	39.93354	0.34691	14.80285	586843.1022	0.45935	1.15868E-5	1399.58344	39278.467	39.2352	10547.502
1115.0	0.99719	0.00280831	7.43109	7.48665	-5.33353	21.23033	30.46808	1.4846	0.67358	108.32141	119.02748	40.22134	0.34657	15.1025	639387.9164	0.44862	1.05964E-5	1399.78794	39084.7	38.7534	10555.63
