T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.64602	8.00995	0.0	30.58341	29.74778	1.94227	0.51486	0.0	102.72994	0.0	0.49984	5.95443	5.95443	1.45342	1.45342	1763.10014	56367.053	 	0.0
1495.0	0.0	1.0	6.64991	8.00526	-0.0585804	30.53662	29.67935	1.94125	0.51513	0.0	102.90583	0.0	0.49984	6.00514	6.00514	1.43709	1.43709	1765.00188	56151.509	43.1088	0.0
1490.0	0.0	1.0	6.6538	8.00058	-0.11701	30.48989	29.61092	1.94024	0.5154	0.0	103.08171	0.0	0.49984	6.05657	6.05657	1.42085	1.42085	1766.90057	55936.416	43.0186	0.0
1485.0	0.0	1.0	6.65769	7.99591	-0.1753	30.44323	29.54249	1.93922	0.51567	0.0	103.25759	0.0	0.49984	6.10874	6.10874	1.40472	1.40472	1768.79617	55721.771	42.929	0.0
1480.0	0.0	1.0	6.66157	7.99125	-0.23344	30.39663	29.47407	1.93819	0.51594	0.0	103.43348	0.0	0.49984	6.16167	6.16167	1.3887	1.3887	1770.68866	55507.571	42.84	0.0
1475.0	0.0	1.0	6.66544	7.98661	-0.29143	30.35008	29.40564	1.93716	0.51622	0.0	103.60936	0.0	0.49984	6.21535	6.21535	1.37278	1.37278	1772.578	55293.813	42.7516	0.0
1470.0	0.0	1.0	6.66931	7.98197	-0.34928	30.3036	29.33721	1.93613	0.5165	0.0	103.78524	0.0	0.49984	6.26982	6.26982	1.35696	1.35696	1774.46415	55080.495	42.6636	0.0
1465.0	0.0	1.0	6.67318	7.97735	-0.40698	30.25719	29.26879	1.93509	0.51677	0.0	103.96112	0.0	0.49984	6.32508	6.32508	1.34124	1.34124	1776.34709	54867.613	42.5764	0.0
1460.0	0.0	1.0	6.67703	7.97274	-0.46453	30.21084	29.20036	1.93404	0.51705	0.0	104.13701	0.0	0.49984	6.38115	6.38115	1.32563	1.32563	1778.22678	54655.166	42.4894	0.0
1455.0	0.0	1.0	6.68089	7.96814	-0.52193	30.16455	29.13193	1.93299	0.51733	0.0	104.31289	0.0	0.49984	6.43805	6.43805	1.31013	1.31013	1780.10318	54443.149	42.4034	0.0
1450.0	0.0	1.0	6.68473	7.96356	-0.57919	30.11833	29.06351	1.93194	0.51762	0.0	104.48877	0.0	0.49984	6.49579	6.49579	1.29473	1.29473	1781.97626	54231.593	42.3112	0.0
1445.0	0.0	1.0	6.68858	7.95898	-0.6363	30.07218	28.99508	1.93088	0.5179	0.0	104.66466	0.0	0.49984	6.55439	6.55439	1.27943	1.27943	1783.84598	54020.552	42.2082	0.0
1440.0	0.0	1.0	6.69241	7.95442	-0.69326	30.02609	28.92665	1.92981	0.51819	0.0	104.84054	0.0	0.49984	6.61386	6.61386	1.26423	1.26423	1785.71231	53810.015	42.1074	0.0
1435.0	0.0	1.0	6.69624	7.94987	-0.75008	29.98007	28.85823	1.92874	0.51847	0.0	105.01642	0.0	0.49984	6.67422	6.67422	1.24914	1.24914	1787.57521	53599.98	42.007	0.0
1430.0	0.0	1.0	6.70007	7.94533	-0.80675	29.93412	28.7898	1.92767	0.51876	0.0	105.1923	0.0	0.49984	6.7355	6.7355	1.23416	1.23416	1789.43464	53390.443	41.9074	0.0
1425.0	0.0	1.0	6.70389	7.9408	-0.86327	29.88823	28.72137	1.92659	0.51905	0.0	105.36819	0.0	0.49984	6.7977	6.7977	1.21927	1.21927	1791.29056	53181.4	41.8086	0.0
1420.0	0.0	1.0	6.7077	7.93629	-0.91965	29.84242	28.65295	1.9255	0.51935	0.0	105.54407	0.0	0.49984	6.86085	6.86085	1.20449	1.20449	1793.14294	52972.849	41.7102	0.0
1415.0	0.0	1.0	6.71151	7.93178	-0.97588	29.79668	28.58452	1.92441	0.51964	0.0	105.71995	0.0	0.49984	6.92497	6.92497	1.18982	1.18982	1794.99174	52764.787	41.6124	0.0
1410.0	0.0	1.0	6.71532	7.92729	-1.03196	29.75101	28.51609	1.92332	0.51994	0.0	105.89584	0.0	0.49984	6.99007	6.99007	1.17524	1.17524	1796.83691	52557.206	41.5162	0.0
1405.0	0.0	1.0	6.71911	7.92281	-1.08789	29.70541	28.44766	1.92221	0.52023	0.0	106.07172	0.0	0.49984	7.05618	7.05618	1.16077	1.16077	1798.67843	52350.102	41.4208	0.0
1400.0	0.0	1.0	6.72291	7.91834	-1.14368	29.65988	28.37924	1.92111	0.52053	0.0	106.2476	0.0	0.49984	7.12332	7.12332	1.14641	1.14641	1800.51624	52143.47	41.3264	0.0
1395.0	0.0	1.0	6.72669	7.91388	-1.19932	29.61443	28.31081	1.92	0.52083	0.0	106.42348	0.0	0.49984	7.1915	7.1915	1.13215	1.13215	1802.35032	51937.308	41.2324	0.0
1390.0	0.0	1.0	6.73047	7.90944	-1.25482	29.56905	28.24238	1.91888	0.52114	0.0	106.59937	0.0	0.49984	7.26075	7.26075	1.11799	1.11799	1804.1806	51731.612	41.1392	0.0
1385.0	0.0	1.0	6.73425	7.90501	-1.31016	29.52375	28.17396	1.91776	0.52144	0.0	106.77525	0.0	0.49984	7.33109	7.33109	1.10393	1.10393	1806.00707	51526.38	41.0464	0.0
1383.04	0.0	1.0	6.73572	7.90327	-1.33178	29.50605	28.14719	1.91732	0.52156	0.0	106.84406	0.0	0.49984	7.35891	7.35891	1.09846	1.09846	1806.72062	51446.219	40.9771	0.0
1380.0	0.0650202	0.93498	6.74912	7.88748	-1.52891	29.02175	28.38153	1.89799	0.52687	0.00100257	104.52837	3.36406E-4	0.49012	7.38474	8.15442	1.09261	0.98948	1806.26756	50755.99	226.769	565.615
