T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.91003	7.98568	0.0	27.47724	30.97798	1.86513	0.53615	0.0	106.29539	0.0	0.49974	6.6503	6.6503	1.30134	1.30134	1665.26217	64377.807	 	0.0
1495.0	0.0	1.0	6.91396	7.98114	-0.0568279	27.42617	30.90509	1.86426	0.53641	0.0	106.48867	0.0	0.49974	6.70893	6.70893	1.28633	1.28633	1666.69566	64156.856	44.1902	0.0
1490.0	0.0	1.0	6.91788	7.97662	-0.1135	27.37515	30.83219	1.86339	0.53666	0.0	106.68195	0.0	0.49974	6.76842	6.76842	1.27142	1.27142	1668.12494	63936.357	44.0998	0.0
1485.0	0.0	1.0	6.9218	7.9721	-0.17002	27.32417	30.75929	1.8625	0.53691	0.0	106.87523	0.0	0.49974	6.82878	6.82878	1.25661	1.25661	1669.54996	63716.306	44.0102	0.0
1480.0	0.0	1.0	6.92571	7.9676	-0.22638	27.27325	30.68639	1.86162	0.53717	0.0	107.06851	0.0	0.49974	6.89002	6.89002	1.2419	1.2419	1670.97069	63496.702	43.9208	0.0
1475.0	0.0	1.0	6.92961	7.96311	-0.28259	27.22237	30.6135	1.86073	0.53742	0.0	107.26179	0.0	0.49974	6.95217	6.95217	1.22728	1.22728	1672.38709	63277.542	43.832	0.0
1470.0	0.0	1.0	6.93351	7.95864	-0.33864	27.17155	30.5406	1.85984	0.53768	0.0	107.45507	0.0	0.49974	7.01525	7.01525	1.21277	1.21277	1673.79911	63058.823	43.7438	0.0
1465.0	0.0	1.0	6.9374	7.95417	-0.39454	27.12077	30.4677	1.85894	0.53794	0.0	107.64835	0.0	0.49974	7.07926	7.07926	1.19836	1.19836	1675.20673	62840.543	43.656	0.0
1460.0	0.0	1.0	6.94128	7.94972	-0.45028	27.07004	30.39481	1.85804	0.5382	0.0	107.84163	0.0	0.49974	7.14423	7.14423	1.18404	1.18404	1676.6099	62622.699	43.5688	0.0
1455.0	0.0	1.0	6.94516	7.94528	-0.50586	27.01936	30.32191	1.85713	0.53846	0.0	108.03491	0.0	0.49974	7.21018	7.21018	1.16983	1.16983	1678.00859	62405.289	43.482	0.0
1450.0	0.0	1.0	6.94903	7.94086	-0.5613	26.96874	30.24901	1.85622	0.53873	0.0	108.22819	0.0	0.49974	7.27712	7.27712	1.15571	1.15571	1679.40274	62188.341	43.3896	0.0
1445.0	0.0	1.0	6.9529	7.93644	-0.61657	26.91817	30.17612	1.85531	0.53899	0.0	108.42147	0.0	0.49974	7.34509	7.34509	1.1417	1.1417	1680.79232	61971.904	43.2874	0.0
1440.0	0.0	1.0	6.95676	7.93204	-0.67169	26.86765	30.10322	1.85439	0.53926	0.0	108.61475	0.0	0.49974	7.41409	7.41409	1.12778	1.12778	1682.17729	61755.971	43.1866	0.0
1435.0	0.0	1.0	6.96061	7.92765	-0.72666	26.81718	30.03032	1.85346	0.53953	0.0	108.80803	0.0	0.49974	7.48414	7.48414	1.11396	1.11396	1683.55761	61540.537	43.0868	0.0
1430.0	0.0	1.0	6.96445	7.92327	-0.78147	26.76677	29.95742	1.85253	0.5398	0.0	109.00131	0.0	0.49974	7.55528	7.55528	1.10024	1.10024	1684.93323	61325.6	42.9874	0.0
1425.0	0.0	1.0	6.96829	7.91891	-0.83613	26.71641	29.88453	1.8516	0.54007	0.0	109.19459	0.0	0.49974	7.62752	7.62752	1.08662	1.08662	1686.30411	61111.157	42.8886	0.0
1420.0	0.0	1.0	6.97212	7.91456	-0.89063	26.6661	29.81163	1.85066	0.54035	0.0	109.38787	0.0	0.49974	7.70088	7.70088	1.0731	1.0731	1687.67021	60897.205	42.7904	0.0
1415.0	0.0	1.0	6.97595	7.91022	-0.94497	26.61586	29.73873	1.84972	0.54062	0.0	109.58115	0.0	0.49974	7.77538	7.77538	1.05968	1.05968	1689.03149	60683.741	42.6928	0.0
1410.0	0.0	1.0	6.97977	7.90589	-0.99916	26.56566	29.66584	1.84877	0.5409	0.0	109.77444	0.0	0.49974	7.85106	7.85106	1.04636	1.04636	1690.3879	60470.762	42.5958	0.0
1405.0	0.0	1.0	6.98358	7.90157	-1.0532	26.51553	29.59294	1.84782	0.54118	0.0	109.96772	0.0	0.49974	7.92793	7.92793	1.03314	1.03314	1691.7394	60258.263	42.4998	0.0
