T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.91368	7.86786	0.0	27.96973	30.4402	1.89809	0.52685	0.0	108.84689	0.0	0.49987	6.51877	6.51877	1.3276	1.3276	1761.19712	61980.147	 	0.0
1495.0	0.0	1.0	6.91759	7.86341	-0.0564801	27.92094	30.37141	1.89702	0.52714	0.0	109.03111	0.0	0.49987	6.57669	6.57669	1.3122	1.3122	1763.00727	61760.658	43.8978	0.0
1490.0	0.0	1.0	6.92149	7.85898	-0.11281	27.87221	30.30263	1.89595	0.52744	0.0	109.21532	0.0	0.49987	6.63545	6.63545	1.2969	1.2969	1764.81516	61541.591	43.8134	0.0
1485.0	0.0	1.0	6.92539	7.85456	-0.16898	27.82354	30.23384	1.89487	0.52774	0.0	109.39954	0.0	0.49987	6.69507	6.69507	1.2817	1.2817	1766.62076	61322.945	43.7292	0.0
1480.0	0.0	1.0	6.92927	7.85015	-0.225	27.77493	30.16505	1.89379	0.52804	0.0	109.58376	0.0	0.49987	6.75558	6.75558	1.26661	1.26661	1768.42406	61104.715	43.646	0.0
1475.0	0.0	1.0	6.93316	7.84576	-0.28087	27.72639	30.09626	1.89271	0.52834	0.0	109.76798	0.0	0.49987	6.81698	6.81698	1.25162	1.25162	1770.22502	60886.902	43.5626	0.0
1470.0	0.0	1.0	6.93703	7.84137	-0.33658	27.6779	30.02748	1.89162	0.52865	0.0	109.95219	0.0	0.49987	6.8793	6.8793	1.23674	1.23674	1772.02363	60669.501	43.4802	0.0
1465.0	0.0	1.0	6.9409	7.837	-0.39214	27.62948	29.95869	1.89052	0.52895	0.0	110.13641	0.0	0.49987	6.94255	6.94255	1.22195	1.22195	1773.81987	60452.511	43.398	0.0
1460.0	0.0	1.0	6.94476	7.83264	-0.44754	27.58112	29.8899	1.88942	0.52926	0.0	110.32063	0.0	0.49987	7.00675	7.00675	1.20727	1.20727	1775.61371	60235.931	43.316	0.0
1455.0	0.0	1.0	6.94862	7.8283	-0.5028	27.53282	29.82112	1.88832	0.52957	0.0	110.50485	0.0	0.49987	7.07193	7.07193	1.1927	1.1927	1777.40514	60019.756	43.235	0.0
