T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	7.09663	7.82397	0.0	26.68506	30.52742	1.89266	0.52836	0.0	111.1455	0.0	0.4969	6.89338	6.89338	1.25545	1.25545	1765.02384	65535.88	 	0.0
1495.0	0.0	1.0	7.10054	7.81967	-0.054975	26.63644	30.45661	1.89171	0.52862	0.0	111.33366	0.0	0.4969	6.95571	6.95571	1.24069	1.24069	1766.79955	65315.686	44.0388	0.0
1490.0	0.0	1.0	7.10443	7.81538	-0.10979	26.58789	30.38579	1.89076	0.52889	0.0	111.52181	0.0	0.4969	7.01895	7.01895	1.22604	1.22604	1768.57312	65095.917	43.9538	0.0
1485.0	0.0	1.0	7.10832	7.8111	-0.16446	26.5394	30.31498	1.8898	0.52916	0.0	111.70997	0.0	0.4969	7.08314	7.08314	1.21148	1.21148	1770.34452	64876.571	43.8692	0.0
1480.0	0.0	1.0	7.11221	7.80684	-0.21897	26.49098	30.24417	1.88884	0.52943	0.0	111.89812	0.0	0.4969	7.14828	7.14828	1.19703	1.19703	1772.11374	64657.646	43.785	0.0
1475.0	0.0	1.0	7.11608	7.80259	-0.27332	26.44263	30.17335	1.88787	0.5297	0.0	112.08627	0.0	0.4969	7.2144	7.2144	1.18267	1.18267	1773.88074	64439.139	43.7014	0.0
1470.0	0.0	1.0	7.11995	7.79835	-0.32752	26.39434	30.10254	1.8869	0.52997	0.0	112.27443	0.0	0.4969	7.28152	7.28152	1.16842	1.16842	1775.6455	64221.048	43.6182	0.0
1465.0	0.0	1.0	7.12381	7.79412	-0.38156	26.34612	30.03173	1.88593	0.53024	0.0	112.46258	0.0	0.4969	7.34965	7.34965	1.15427	1.15427	1777.40801	64003.371	43.5354	0.0
1460.0	0.0	1.0	7.12767	7.7899	-0.43545	26.29796	29.96092	1.88495	0.53052	0.0	112.65074	0.0	0.4969	7.41882	7.41882	1.14022	1.14022	1779.16822	63786.106	43.453	0.0
1455.0	0.0	1.0	7.13152	7.7857	-0.48918	26.24988	29.8901	1.88396	0.5308	0.0	112.83889	0.0	0.4969	7.48904	7.48904	1.12627	1.12627	1780.92613	63569.25	43.3712	0.0
1450.0	0.0	1.0	7.13536	7.78151	-0.54275	26.20186	29.81929	1.88297	0.53108	0.0	113.02705	0.0	0.4969	7.56035	7.56035	1.11242	1.11242	1782.68169	63352.853	43.2794	0.0
1445.0	0.0	1.0	7.13919	7.77733	-0.59617	26.15392	29.74848	1.88198	0.53136	0.0	113.2152	0.0	0.4969	7.63275	7.63275	1.09867	1.09867	1784.43489	63136.997	43.1712	0.0
1440.0	0.0	1.0	7.14302	7.77316	-0.64944	26.10604	29.67766	1.88098	0.53164	0.0	113.40335	0.0	0.4969	7.70628	7.70628	1.08502	1.08502	1786.1857	62921.669	43.0656	0.0
1435.0	0.0	1.0	7.14684	7.769	-0.70254	26.05824	29.60685	1.87997	0.53192	0.0	113.59151	0.0	0.4969	7.78095	7.78095	1.07147	1.07147	1787.93409	62706.867	42.9604	0.0
1430.0	0.0	1.0	7.15065	7.76486	-0.7555	26.01051	29.53604	1.87896	0.53221	0.0	113.77966	0.0	0.4969	7.85679	7.85679	1.05802	1.05802	1789.68003	62492.587	42.856	0.0
1425.0	0.0	1.0	7.15446	7.76073	-0.80829	25.96285	29.46522	1.87795	0.5325	0.0	113.96782	0.0	0.4969	7.93382	7.93382	1.04467	1.04467	1791.4235	62278.827	42.752	0.0
1420.0	0.0	1.0	7.15826	7.75661	-0.86094	25.91527	29.39441	1.87693	0.53278	0.0	114.15597	0.0	0.4969	8.01207	8.01207	1.03142	1.03142	1793.16447	62065.584	42.6486	0.0
1415.0	0.0	1.0	7.16205	7.75251	-0.91342	25.86776	29.3236	1.87591	0.53308	0.0	114.34413	0.0	0.4969	8.09156	8.09156	1.01828	1.01828	1794.9029	61852.853	42.5462	0.0
1410.0	0.0	1.0	7.16584	7.74841	-0.96575	25.82032	29.25278	1.87488	0.53337	0.0	114.53228	0.0	0.4969	8.17232	8.17232	1.00523	1.00523	1796.63877	61640.633	42.444	0.0
1405.0	0.0	1.0	7.16961	7.74433	-1.01793	25.77297	29.18197	1.87385	0.53366	0.0	114.72043	0.0	0.4969	8.25437	8.25437	0.99228	0.99228	1798.37205	61428.92	42.3426	0.0
1400.0	0.0	1.0	7.17338	7.74026	-1.06995	25.72569	29.11116	1.87281	0.53396	0.0	114.90859	0.0	0.4969	8.33774	8.33774	0.97943	0.97943	1800.1027	61217.71	42.242	0.0
1395.0	0.0	1.0	7.17715	7.7362	-1.12182	25.67848	29.04034	1.87176	0.53426	0.0	115.09674	0.0	0.4969	8.42247	8.42247	0.96668	0.96668	1801.83071	61007.001	42.1418	0.0
1393.05	0.0	1.0	7.17861	7.73462	-1.14198	25.66012	29.01276	1.87136	0.53437	0.0	115.17005	0.0	0.4969	8.45585	8.45585	0.96174	0.96174	1802.50321	60925.069	42.06	0.0
1390.0	0.11294	0.88706	7.19358	7.71854	-1.34753	25.15626	29.2643	1.85187	0.53999	0.0142052	114.43292	0.00479586	0.48098	8.51172	12.44039	0.95368	0.65251	1801.51988	59508.801	464.043	1287.987
1385.0	0.26789	0.73211	7.21447	7.69622	-1.63276	24.46712	29.61085	1.8247	0.54804	0.45677	113.42007	0.15654	0.45893	8.60424	98.08312	0.94058	0.0825118	1800.00393	57533.963	394.968	3053.11
1380.0	0.38914	0.61086	7.23136	7.67828	-1.86205	23.92673	29.87993	1.80281	0.55469	2.06061	112.65491	0.71475	0.44148	8.69809	418.78808	0.92763	0.0192666	1798.57601	55943.222	318.148	4434.628
1375.0	0.48553	0.51447	7.2453	7.66344	-2.0518	23.4915	30.08945	1.78484	0.56027	5.05108	112.07844	1.76925	0.42746	8.7933	1053.41594	0.91481	0.00763631	1797.23524	54635.214	261.602	5533.903
1370.0	0.56327	0.43673	7.25706	7.65106	-2.21004	23.14035	30.25268	1.76983	0.56503	9.24017	111.65105	3.26267	0.41605	8.88988	2006.5884	0.90213	0.00399674	1795.9749	53538.967	219.249	6421.903
1367.71	0.59254	0.40746	7.26168	7.64621	-2.27199	23.00779	30.31048	1.764	0.56689	11.36298	111.51109	4.02452	0.41172	8.93463	2519.21554	0.89636	0.00317903	1795.41125	53108.009	 	6757.822
1365.0	0.64285	0.35715	7.26955	7.63798	-2.37718	22.76182	30.4985	1.75022	0.57136	14.34074	111.10026	5.10625	0.40423	8.96482	3535.12875	0.89186	0.0022617	1794.10274	52456.094	216.575	7297.014
1360.0	0.71876	0.28124	7.28211	7.62485	-2.54496	22.37867	30.76977	1.7295	0.5782	20.13331	110.55466	7.22734	0.39286	9.01999	5726.23097	0.8837	0.00139202	1791.87381	51421.507	206.917	8124.319
1355.0	0.77596	0.22404	7.29247	7.61415	-2.68183	22.07929	30.95646	1.7138	0.5835	26.03429	110.23665	9.40403	0.38421	9.07566	8139.43154	0.87559	9.76308E-4	1789.80647	50573.726	169.556	8765.298
1350.0	0.82035	0.17965	7.30137	7.60499	-2.79883	21.83349	31.08407	1.70153	0.58771	32.30014	110.07208	11.72477	0.37743	9.13197	10696.55322	0.86752	7.4063E-4	1787.8875	49854.15	143.915	9278.547
1345.0	0.85571	0.14429	7.30932	7.59691	-2.90207	21.6247	31.16974	1.69162	0.59115	39.28137	110.0147	14.3156	0.37198	9.18915	13365.58206	0.85947	5.90905E-4	1786.09943	49225.187	125.793	9701.656
1340.0	0.88455	0.11545	7.31663	7.58955	-2.99614	21.44034	31.22484	1.68342	0.59403	47.20381	110.03344	17.25938	0.36748	9.2477	16141.26698	0.85139	4.8778E-4	1784.42951	48661.93	112.651	10059.531
1335.0	0.9086	0.0914036	7.32354	7.58264	-3.08453	21.27068	31.2573	1.67646	0.5965	56.00677	110.1073	20.53502	0.36369	9.30688	19037.43327	0.84335	4.12292E-4	1782.86964	48147.219	102.942	10369.328
1330.0	0.929	0.0710046	7.3302	7.57604	-3.16893	21.11115	31.27242	1.67044	0.59865	65.23381	110.22255	23.9754	0.36043	9.36764	22069.34001	0.83528	3.54545E-4	1781.40577	47669.576	95.5286	10642.522
1325.0	0.94661	0.0533888	7.33674	7.56962	-3.25097	20.95716	31.27408	1.66514	0.60055	74.22963	110.36903	27.33889	0.35758	9.42966	25261.49338	0.8272	3.08777E-4	1780.02869	47220.437	89.8278	10887.675
