T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.87656	7.95513	0.0	25.28677	30.37743	1.90201	0.52576	0.0	104.02153	0.0	0.49974	6.76421	6.76421	1.27943	1.27943	1766.44636	62881.877	 	0.0
1495.0	0.0	1.0	6.8804	7.9507	-0.0557498	25.23222	30.30768	1.90101	0.52604	0.0	104.20944	0.0	0.49974	6.82297	6.82297	1.26483	1.26483	1768.1748	62662.244	43.9266	0.0
1490.0	0.0	1.0	6.88422	7.94628	-0.11135	25.17768	30.23793	1.90001	0.52631	0.0	104.39736	0.0	0.49974	6.88258	6.88258	1.25033	1.25033	1769.89909	62443.138	43.8212	0.0
1485.0	0.0	1.0	6.88805	7.94186	-0.1668	25.12314	30.16817	1.899	0.52659	0.0	104.58528	0.0	0.49974	6.94305	6.94305	1.23593	1.23593	1771.61921	62224.556	43.7164	0.0
1480.0	0.0	1.0	6.89187	7.93747	-0.2221	25.06861	30.09842	1.89799	0.52687	0.0	104.77319	0.0	0.49974	7.0044	7.0044	1.22162	1.22162	1773.33511	62006.493	43.6126	0.0
1475.0	0.0	1.0	6.89568	7.93308	-0.27724	25.0141	30.02867	1.89697	0.52716	0.0	104.96111	0.0	0.49974	7.06665	7.06665	1.2074	1.2074	1775.04674	61788.946	43.5094	0.0
1470.0	0.0	1.0	6.89948	7.9287	-0.33224	24.95959	29.95892	1.89595	0.52744	0.0	105.14902	0.0	0.49974	7.12981	7.12981	1.19328	1.19328	1776.75404	61571.913	43.4066	0.0
1465.0	0.0	1.0	6.90328	7.92434	-0.38708	24.90509	29.88917	1.89492	0.52773	0.0	105.33694	0.0	0.49974	7.19391	7.19391	1.17926	1.17926	1778.45698	61355.389	43.3048	0.0
1460.0	0.0	1.0	6.90707	7.91999	-0.44178	24.8506	29.81942	1.89389	0.52801	0.0	105.52485	0.0	0.49974	7.25895	7.25895	1.16533	1.16533	1780.15549	61139.371	43.2036	0.0
1459.7	0.0	1.0	6.9073	7.91973	-0.4451	24.84729	29.81518	1.89383	0.52803	0.0	105.53628	0.0	0.49974	7.26294	7.26294	1.16449	1.16449	1780.2586	61126.243	43.1913	0.013
1455.0	0.21654	0.78346	6.94636	7.8752	-1.00475	23.47838	30.58924	1.8409	0.54321	0.11992	97.2626	0.0408553	0.46764	7.28213	16.25196	1.15827	0.51899	1777.38881	58967.182	459.761	1956.671
1450.0	0.3789	0.6211	6.9769	7.84072	-1.43826	22.43323	31.18497	1.80051	0.5554	1.15029	91.10714	0.39851	0.44325	7.30397	76.69696	1.15146	0.10966	1774.52918	57289.409	335.555	3419.441
1445.0	0.49582	0.50418	6.99992	7.81499	-1.76165	21.66814	31.62276	1.77043	0.56483	3.43723	86.74954	1.20564	0.42548	7.32742	212.67256	1.14445	0.0394309	1771.84572	56027.415	252.399	4466.96
1440.0	0.58276	0.41724	7.01793	7.79499	-2.01314	21.08598	31.9498	1.74721	0.57234	6.66642	83.59306	2.36042	0.41212	7.35201	412.74961	1.1373	0.0202579	1769.32049	55040.228	197.437	5240.2
