T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.88092	7.95648	0.0	25.5711	30.35464	1.90344	0.52537	0.0	104.26314	0.0	0.49975	6.74636	6.74636	1.28281	1.28281	1767.46977	62812.939	 	0.0
1495.0	0.0	1.0	6.88477	7.95204	-0.0558491	25.51711	30.2841	1.90249	0.52563	0.0	104.45023	0.0	0.49975	6.80499	6.80499	1.26817	1.26817	1769.21507	62593.401	43.9076	0.0
1490.0	0.0	1.0	6.88861	7.9476	-0.11155	25.46312	30.21356	1.90154	0.52589	0.0	104.63733	0.0	0.49975	6.86448	6.86448	1.25363	1.25363	1770.9564	62374.384	43.8034	0.0
1485.0	0.0	1.0	6.89244	7.94318	-0.16709	25.40916	30.14303	1.90058	0.52615	0.0	104.82442	0.0	0.49975	6.92482	6.92482	1.23918	1.23918	1772.69372	62155.886	43.6996	0.0
1480.0	0.0	1.0	6.89627	7.93878	-0.22249	25.3552	30.07249	1.89962	0.52642	0.0	105.01152	0.0	0.49975	6.98604	6.98604	1.22483	1.22483	1774.42698	61937.902	43.5968	0.0
1475.0	0.0	1.0	6.90009	7.93438	-0.27774	25.30126	30.00195	1.89866	0.52669	0.0	105.19861	0.0	0.49975	7.04816	7.04816	1.21057	1.21057	1776.15614	61720.43	43.4944	0.0
1470.0	0.0	1.0	6.9039	7.93	-0.33283	25.24733	29.93142	1.89769	0.52696	0.0	105.38571	0.0	0.49975	7.11119	7.11119	1.19641	1.19641	1777.88116	61503.465	43.393	0.0
1465.0	0.0	1.0	6.90771	7.92563	-0.38778	25.19342	29.86088	1.89672	0.52723	0.0	105.5728	0.0	0.49975	7.17516	7.17516	1.18234	1.18234	1779.60198	61287.005	43.292	0.0
1460.0	0.0	1.0	6.91151	7.92127	-0.44257	25.13952	29.79034	1.89574	0.5275	0.0	105.7599	0.0	0.49975	7.24007	7.24007	1.16837	1.16837	1781.31855	61071.047	43.1916	0.0
1455.0	0.0	1.0	6.91531	7.91692	-0.49721	25.08564	29.7198	1.89476	0.52777	0.0	105.947	0.0	0.49975	7.30595	7.30595	1.15449	1.15449	1783.03084	60855.586	43.0922	0.0
1454.47	0.0	1.0	6.91571	7.91646	-0.50296	25.07995	29.71237	1.89465	0.5278	0.0	105.9667	0.0	0.49975	7.31295	7.31295	1.15304	1.15304	1783.21095	60832.907	43.0611	0.011
1450.0	0.19647	0.80353	6.95161	7.87551	-1.01765	23.81852	30.43564	1.84484	0.54205	0.0815815	98.48627	0.0277368	0.47063	7.33359	14.15435	1.14681	0.59418	1780.66537	58865.972	439.703	1774.661
1445.0	0.35573	0.64427	6.98183	7.84143	-1.44597	22.78316	31.03779	1.8038	0.55439	0.89707	92.47539	0.31003	0.44675	7.35847	64.36895	1.13962	0.13028	1777.98986	57217.141	329.766	3209.071
1440.0	0.47203	0.52797	7.00492	7.81563	-1.77029	22.01322	31.48729	1.77287	0.56406	2.83481	88.16214	0.99182	0.4291	7.38455	184.64871	1.13229	0.0452831	1775.47683	55961.194	251.189	4251.123
1435.0	0.55955	0.44045	7.02316	7.79535	-2.02517	21.42055	31.82836	1.74876	0.57183	5.68994	84.99952	2.00962	0.41568	7.41173	368.97017	1.12485	0.0225955	1773.10956	54969.267	198.385	5029.676
1430.0	0.62707	0.37293	7.03792	7.7791	-2.22935	20.95754	32.08985	1.72943	0.57823	9.10443	82.64639	3.23948	0.40523	7.44049	601.12099	1.11722	0.0138286	1770.86681	54160.822	161.689	5625.264
