T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.86865	7.91332	0.0	25.13252	31.89424	1.81155	0.55201	0.0	101.96327	0.0	0.49974	6.69563	6.69563	1.29253	1.29253	1795.47196	65407.409	 	0.0
1495.0	0.0	1.0	6.87249	7.90891	-0.0557906	25.07742	31.81976	1.81067	0.55228	0.0	102.14853	0.0	0.49974	6.75264	6.75264	1.278	1.278	1797.43531	65185.363	44.4092	0.0
1493.62	0.0	1.0	6.87354	7.90769	-0.0711285	25.06225	31.79925	1.81043	0.55236	0.0	102.19955	0.0	0.49974	6.76849	6.76849	1.27402	1.27402	1797.97541	65124.306	44.3396	0.01
1490.0	0.24547	0.75453	6.92245	7.85191	-0.7761	23.34182	32.26807	1.78047	0.56165	0.1483	89.82278	0.0506526	0.46389	6.7695	17.18367	1.27122	0.5008	1795.34077	62417.003	747.261	2546.907
1485.0	0.45499	0.54501	6.96606	7.80309	-1.39297	21.85675	32.66237	1.75399	0.57013	1.81141	79.28846	0.63214	0.43276	6.7732	109.41805	1.26692	0.0784248	1792.31069	60044.071	474.586	4698.977
1480.0	0.58567	0.41433	6.99492	7.77139	-1.79353	20.91215	32.89666	1.73654	0.57586	5.10028	72.81538	1.80471	0.41304	6.77858	293.38164	1.26231	0.0291657	1789.74162	58504.023	308.01	6018.746
1475.0	0.67409	0.32591	7.01577	7.74896	-2.07703	20.26005	33.04167	1.72399	0.58005	9.13546	68.54853	3.26377	0.39953	6.78551	527.95821	1.25743	0.0161609	1787.51504	57409.44	218.917	6893.633
1470.0	0.73734	0.26266	7.03176	7.73206	-2.29054	19.78285	33.13166	1.71439	0.5833	13.30918	65.60729	4.78838	0.38974	6.79394	783.76873	1.25228	0.0108551	1785.5539	56578.807	166.127	7505.146
1465.0	0.78449	0.21551	7.04466	7.71867	-2.45981	19.41612	33.18551	1.7067	0.58593	17.3217	63.52101	6.2653	0.38235	6.80312	1045.69846	1.247	0.00811274	1783.80773	55916.02	132.557	7949.385
1460.0	0.82077	0.17923	7.05541	7.70767	-2.59881	19.12498	33.21468	1.70029	0.58813	21.05601	62.01393	7.64786	0.37659	6.81345	1307.40813	1.24153	0.00647011	1782.23502	55365.647	110.075	8281.778
1455.0	0.84935	0.15065	7.06463	7.69839	-2.71614	18.88795	33.22613	1.6948	0.59004	24.47158	60.92073	8.91821	0.372	6.82473	1566.17912	1.2359	0.00538551	1780.80583	54894.298	94.2698	8535.711
1450.0	0.87233	0.12767	7.07272	7.69033	-2.81799	18.68948	33.22445	1.68999	0.59172	27.57666	60.1302	10.07732	0.36825	6.83665	1821.83928	1.23017	0.00461636	1779.50154	54480.153	82.829	8733.001
1445.0	0.89108	0.10892	7.07994	7.68322	-2.90779	18.52105	33.21293	1.68567	0.59324	30.39308	59.56896	11.13178	0.36515	6.8494	2075.03699	1.22432	0.00404131	1778.30113	54108.563	74.318	8888.291
