T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.9942	7.8812	0.0	29.65676	30.96843	1.86571	0.53599	0.0	106.86313	0.0	0.49541	6.66605	6.66605	1.29827	1.29827	1768.9738	64301.264	 	0.0
1495.0	0.0	1.0	6.99809	7.87681	-0.0556009	29.61501	30.89278	1.865	0.53619	0.0	107.04763	0.0	0.49541	6.72458	6.72458	1.28334	1.28334	1770.76487	64081.83	43.8868	0.0
1490.0	0.0	1.0	7.00197	7.87244	-0.11105	29.57337	30.81713	1.8643	0.5364	0.0	107.23213	0.0	0.49541	6.78396	6.78396	1.26851	1.26851	1772.55282	63862.879	43.7902	0.0
1485.0	0.0	1.0	7.00585	7.86809	-0.16634	29.53184	30.74149	1.86358	0.5366	0.0	107.41664	0.0	0.49541	6.84421	6.84421	1.25377	1.25377	1774.33761	63644.407	43.6944	0.0
1480.0	0.0	1.0	7.00972	7.86374	-0.22148	29.49043	30.66584	1.86287	0.53681	0.0	107.60114	0.0	0.49541	6.90534	6.90534	1.23914	1.23914	1776.11922	63426.411	43.5992	0.0
1475.0	0.0	1.0	7.01359	7.85941	-0.27646	29.44913	30.5902	1.86215	0.53701	0.0	107.78564	0.0	0.49541	6.96738	6.96738	1.22461	1.22461	1777.89759	63208.888	43.5046	0.0
1470.0	0.0	1.0	7.01745	7.85509	-0.33129	29.40795	30.51455	1.86142	0.53722	0.0	107.97015	0.0	0.49541	7.03033	7.03033	1.21017	1.21017	1779.6727	62991.834	43.4108	0.0
1465.0	0.0	1.0	7.0213	7.85078	-0.38597	29.36689	30.43891	1.8607	0.53743	0.0	108.15465	0.0	0.49541	7.09421	7.09421	1.19583	1.19583	1781.44448	62775.248	43.3172	0.0
1460.0	0.0	1.0	7.02514	7.84648	-0.44049	29.32594	30.36326	1.85997	0.53764	0.0	108.33916	0.0	0.49541	7.15905	7.15905	1.18159	1.18159	1783.21292	62559.125	43.2246	0.0
1455.0	0.0	1.0	7.02898	7.84219	-0.49486	29.28512	30.28761	1.85923	0.53786	0.0	108.52366	0.0	0.49541	7.22486	7.22486	1.16745	1.16745	1784.97795	62343.463	43.1324	0.0
1450.0	0.0	1.0	7.03281	7.83792	-0.54907	29.24441	30.21197	1.8585	0.53807	0.0	108.70816	0.0	0.49541	7.29167	7.29167	1.15341	1.15341	1786.73953	62128.291	43.0344	0.0
1445.0	0.0	1.0	7.03664	7.83366	-0.60313	29.20383	30.13632	1.85776	0.53828	0.0	108.89267	0.0	0.49541	7.35949	7.35949	1.13946	1.13946	1788.49763	61913.66	42.9262	0.0
1440.0	0.0	1.0	7.04046	7.82941	-0.65704	29.16338	30.06068	1.85701	0.5385	0.0	109.07717	0.0	0.49541	7.42834	7.42834	1.12562	1.12562	1790.2522	61699.56	42.82	0.0
1435.0	0.0	1.0	7.04427	7.82518	-0.71079	29.12304	29.98503	1.85626	0.53872	0.0	109.26167	0.0	0.49541	7.49824	7.49824	1.11187	1.11187	1792.00319	61485.987	42.7146	0.0
1430.0	0.0	1.0	7.04807	7.82095	-0.76439	29.08284	29.90938	1.85551	0.53894	0.0	109.44618	0.0	0.49541	7.56921	7.56921	1.09822	1.09822	1793.75055	61272.94	42.6094	0.0
1425.0	0.0	1.0	7.05187	7.81674	-0.81783	29.04276	29.83374	1.85475	0.53916	0.0	109.63068	0.0	0.49541	7.64129	7.64129	1.08467	1.08467	1795.49424	61060.413	42.5054	0.0
1420.0	0.0	1.0	7.05566	7.81254	-0.87112	29.00281	29.75809	1.85399	0.53938	0.0	109.81518	0.0	0.49541	7.71448	7.71448	1.07121	1.07121	1797.2342	60848.403	42.402	0.0
1415.0	0.0	1.0	7.05945	7.80835	-0.92426	28.96299	29.68245	1.85323	0.5396	0.0	109.99969	0.0	0.49541	7.78881	7.78881	1.05786	1.05786	1798.97039	60636.908	42.299	0.0
1413.62	0.0	1.0	7.06049	7.8072	-0.93887	28.95205	29.66161	1.85302	0.53966	0.0	110.05052	0.0	0.49541	7.80949	7.80949	1.05419	1.05419	1799.44804	60578.742	42.2255	0.0
1410.0	0.1392	0.8608	7.08428	7.78106	-1.27058	28.12467	29.87362	1.83592	0.54469	0.0292397	109.03354	0.00989989	0.47677	7.85815	13.16715	1.04542	0.6239	1798.12741	58816.975	486.341	1608.946
1405.0	0.29337	0.70663	7.11125	7.75159	-1.6445	27.20485	30.10589	1.81634	0.55056	0.589	107.95763	0.20228	0.45586	7.92652	89.28665	1.03332	0.0917341	1796.43361	56825.262	398.343	3390.179
