T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	7.4E-4	0.99926	6.50326	8.13795	0.0	34.42371	31.53228	1.83235	0.54575	1.58644E-10	97.41773	5.30083E-11	0.49641	5.46424	5.46424	1.58381	1.58381	1546.36948	57025.246	 	0.0
1495.0	7.4E-4	0.99926	6.50725	8.13306	-0.060057	34.38387	31.46005	1.83138	0.54604	1.65957E-10	97.60547	5.54516E-11	0.49642	5.5094	5.5094	1.5664	1.5664	1547.12336	56807.738	43.5016	1.579
1490.0	7.5E-4	0.99925	6.51122	8.12811	-0.12094	34.34159	31.38755	1.83041	0.54632	1.73249E-10	97.79206	5.7888E-11	0.49642	5.55517	5.55517	1.5491	1.5491	1547.86746	56590.747	43.3982	3.086
1485.0	7.6E-4	0.99924	6.51519	8.12309	-0.18256	34.29708	31.31482	1.82946	0.54661	1.80505E-10	97.97758	6.03125E-11	0.49641	5.60156	5.60156	1.53191	1.53191	1548.60145	56374.269	43.2956	4.523
1480.0	7.7E-4	0.99923	6.51916	8.11817	-0.24303	34.2553	31.24235	1.82849	0.5469	1.8769E-10	98.16414	6.27131E-11	0.49642	5.64862	5.64862	1.51483	1.51483	1549.32266	56158.297	43.1944	5.893
1475.0	7.7E-4	0.99923	6.52312	8.11326	-0.30341	34.21348	31.16985	1.82752	0.54719	1.9479E-10	98.35065	6.50853E-11	0.49642	5.69634	5.69634	1.49785	1.49785	1550.0322	55942.826	43.0942	7.2
1470.0	7.8E-4	0.99922	6.52707	8.1083	-0.3644	34.16974	31.09716	1.82655	0.54748	2.01851E-10	98.53617	6.7445E-11	0.49641	5.74472	5.74472	1.48099	1.48099	1550.73078	55727.849	42.9954	8.446
1465.0	7.9E-4	0.99921	6.53102	8.10343	-0.42425	34.12875	31.02473	1.82556	0.54778	2.08845E-10	98.72275	6.97816E-11	0.49642	5.7938	5.7938	1.46423	1.46423	1551.4159	55513.362	42.8974	9.634
1460.0	7.9E-4	0.99921	6.53495	8.09848	-0.48507	34.08486	30.95202	1.82459	0.54807	2.15771E-10	98.90807	7.20959E-11	0.49641	5.84358	5.84358	1.44758	1.44758	1552.09012	55299.359	42.8006	10.766
1455.0	8.0E-4	0.9992	6.5389	8.09371	-0.5436	34.04683	30.87987	1.82358	0.54837	2.22518E-10	99.09579	7.435E-11	0.49642	5.8941	5.8941	1.43104	1.43104	1552.74895	55085.834	42.705	11.845
1450.0	8.0E-4	0.9992	6.54282	8.0888	-0.60392	34.0037	30.80719	1.82259	0.54867	2.29238E-10	99.28124	7.65957E-11	0.49642	5.94532	5.94532	1.4146	1.4146	1553.39757	54872.801	42.6066	12.874
1445.0	8.1E-4	0.99919	6.54675	8.08399	-0.66309	33.96338	30.73476	1.82158	0.54897	2.35894E-10	99.46766	7.88196E-11	0.49642	5.99729	5.99729	1.39828	1.39828	1554.03191	54660.286	42.503	13.854
1440.0	8.1E-4	0.99919	6.55067	8.07911	-0.72302	33.9207	30.66213	1.82058	0.54927	2.42421E-10	99.65314	8.10005E-11	0.49642	6.05001	6.05001	1.38206	1.38206	1554.65434	54448.28	42.4012	14.789
1435.0	8.2E-4	0.99918	6.55458	8.07433	-0.78174	33.88103	30.58973	1.81957	0.54958	2.48857E-10	99.83969	8.31507E-11	0.49642	6.10351	6.10351	1.36594	1.36594	1555.26204	54236.778	42.3004	15.68
1430.0	8.2E-4	0.99918	6.55849	8.06947	-0.8415	33.83822	30.51706	1.81856	0.54989	2.55202E-10	100.02496	8.5271E-11	0.49642	6.15779	6.15779	1.34994	1.34994	1555.85787	54025.775	42.2006	16.53
1425.0	8.3E-4	0.99917	6.56239	8.06472	-0.89984	33.79901	30.44468	1.81753	0.5502	2.61441E-10	100.21152	8.73553E-11	0.49642	6.21288	6.21288	1.33404	1.33404	1556.43834	53815.265	42.102	17.341
1420.0	8.3E-4	0.99917	6.56628	8.0599	-0.95913	33.7569	30.37201	1.81652	0.5505	2.67654E-10	100.39682	8.94314E-11	0.49642	6.26878	6.26878	1.31825	1.31825	1557.00651	53605.244	42.0042	18.114
1415.0	8.4E-4	0.99916	6.57017	8.05509	-1.01815	33.71523	30.2994	1.81549	0.55081	2.73743E-10	100.58227	9.14662E-11	0.49642	6.32552	6.32552	1.30257	1.30257	1557.56057	53395.706	41.9076	18.853
1410.0	8.4E-4	0.99916	6.57406	8.05037	-1.07616	33.67607	30.22698	1.81445	0.55113	2.79679E-10	100.76863	9.34493E-11	0.49642	6.38312	6.38312	1.28699	1.28699	1558.09935	53186.644	41.8124	19.559
