T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.97561	7.91395	0.0	27.21361	30.72664	1.88039	0.5318	0.0	106.88119	0.0	0.49974	6.78685	6.78685	1.27516	1.27516	1718.24287	64188.085	 	0.0
1495.0	0.0	1.0	6.97948	7.90957	-0.0553547	27.16554	30.65064	1.87974	0.53199	0.0	107.06575	0.0	0.49974	6.84671	6.84671	1.26044	1.26044	1720.00953	63967.542	44.1086	0.0
1490.0	0.0	1.0	6.98333	7.9052	-0.11056	27.11753	30.57464	1.87908	0.53217	0.0	107.25031	0.0	0.49974	6.90745	6.90745	1.24583	1.24583	1721.7804	63747.484	44.0116	0.0
1485.0	0.0	1.0	6.98718	7.90085	-0.1656	27.06958	30.49863	1.87842	0.53236	0.0	107.43487	0.0	0.49974	6.96907	6.96907	1.23131	1.23131	1723.55544	63527.907	43.9154	0.0
1480.0	0.0	1.0	6.99103	7.8965	-0.2205	27.0217	30.42263	1.87776	0.53255	0.0	107.61944	0.0	0.49974	7.03161	7.03161	1.21689	1.21689	1725.33458	63308.809	43.8196	0.0
1475.0	0.0	1.0	6.99487	7.89217	-0.27524	26.97388	30.34663	1.87709	0.53274	0.0	107.804	0.0	0.49974	7.09506	7.09506	1.20257	1.20257	1727.11778	63090.187	43.7244	0.0
1470.0	0.0	1.0	6.9987	7.88785	-0.32983	26.92612	30.27063	1.87642	0.53293	0.0	107.98856	0.0	0.49974	7.15946	7.15946	1.18834	1.18834	1728.90498	62872.037	43.63	0.0
1465.0	0.0	1.0	7.00252	7.88354	-0.38426	26.87844	30.19462	1.87575	0.53312	0.0	108.17312	0.0	0.49974	7.22481	7.22481	1.17421	1.17421	1730.69612	62654.358	43.5358	0.0
1460.0	0.0	1.0	7.00634	7.87925	-0.43855	26.83082	30.11862	1.87508	0.53331	0.0	108.35769	0.0	0.49974	7.29115	7.29115	1.16018	1.16018	1732.49115	62437.145	43.4426	0.0
1455.0	0.0	1.0	7.01015	7.87496	-0.49267	26.78326	30.04262	1.8744	0.53351	0.0	108.54225	0.0	0.49974	7.35848	7.35848	1.14625	1.14625	1734.29	62220.397	43.3496	0.0
1450.0	0.0	1.0	7.01396	7.87069	-0.54665	26.73578	29.96662	1.87371	0.5337	0.0	108.72681	0.0	0.49974	7.42683	7.42683	1.13242	1.13242	1736.0926	62004.141	43.2512	0.0
1445.0	0.0	1.0	7.01775	7.86643	-0.60047	26.68836	29.89061	1.87303	0.5339	0.0	108.91137	0.0	0.49974	7.49622	7.49622	1.11868	1.11868	1737.89889	61788.43	43.1422	0.0
