T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.96292	7.88063	0.0	30.25893	35.69214	1.61879	0.61775	0.0	103.13442	0.0	0.49975	6.41398	6.41398	1.34929	1.34929	1521.40986	65857.612	 	0.0
1495.0	0.0	1.0	6.96682	7.87621	-0.0559986	30.21787	35.61661	1.61765	0.61818	0.0	103.3301	0.0	0.49975	6.4692	6.4692	1.334	1.334	1521.58904	65638.237	43.875	0.0
1490.0	0.0	1.0	6.97071	7.87181	-0.11184	30.17693	35.54104	1.6165	0.61862	0.0	103.52578	0.0	0.49975	6.52522	6.52522	1.3188	1.3188	1521.75499	65419.356	43.7762	0.0
1485.0	0.0	1.0	6.9746	7.86742	-0.16753	30.13611	35.46543	1.61536	0.61906	0.0	103.72145	0.0	0.49975	6.58205	6.58205	1.30371	1.30371	1521.90769	65200.965	43.6782	0.0
1480.0	0.0	1.0	6.97848	7.86305	-0.22306	30.09542	35.3898	1.6142	0.6195	0.0	103.91713	0.0	0.49975	6.6397	6.6397	1.28872	1.28872	1522.04711	64983.062	43.5806	0.0
1475.0	0.0	1.0	6.98236	7.85868	-0.27844	30.05485	35.31414	1.61305	0.61994	0.0	104.1128	0.0	0.49975	6.69819	6.69819	1.27382	1.27382	1522.17322	64765.642	43.484	0.0
1470.0	0.0	1.0	6.98623	7.85433	-0.33366	30.0144	35.23844	1.61189	0.62039	0.0	104.30848	0.0	0.49975	6.75754	6.75754	1.25902	1.25902	1522.28597	64548.704	43.3876	0.0
1465.0	0.0	1.0	6.99009	7.84999	-0.38872	29.97409	35.16272	1.61073	0.62084	0.0	104.50416	0.0	0.49975	6.81776	6.81776	1.24432	1.24432	1522.38535	64332.243	43.2922	0.0
1460.0	0.0	1.0	6.99394	7.84567	-0.44363	29.9339	35.08696	1.60956	0.62129	0.0	104.69983	0.0	0.49975	6.87886	6.87886	1.22972	1.22972	1522.47131	64116.257	43.1972	0.0
1455.0	0.0	1.0	6.99779	7.84135	-0.49839	29.89384	35.01117	1.60839	0.62174	0.0	104.89551	0.0	0.49975	6.94087	6.94087	1.21522	1.21522	1522.54384	63900.742	43.103	0.0
1450.0	0.0	1.0	7.00163	7.83705	-0.55299	29.85392	34.93535	1.60722	0.62219	0.0	105.09118	0.0	0.49975	7.00381	7.00381	1.20081	1.20081	1522.60291	63685.719	43.0046	0.0
1445.0	0.0	1.0	7.00547	7.83276	-0.60743	29.81412	34.8595	1.60604	0.62265	0.0	105.28686	0.0	0.49975	7.06769	7.06769	1.18651	1.18651	1522.6485	63471.226	42.8986	0.0
1440.0	0.0	1.0	7.0093	7.82848	-0.66172	29.77446	34.78361	1.60486	0.62311	0.0	105.48254	0.0	0.49975	7.13253	7.13253	1.1723	1.1723	1522.68058	63257.255	42.7942	0.0
1435.0	0.0	1.0	7.01312	7.82421	-0.71585	29.73494	34.7077	1.60368	0.62357	0.0	105.67821	0.0	0.49975	7.19835	7.19835	1.15819	1.15819	1522.69914	63043.801	42.6908	0.0
1430.0	0.0	1.0	7.01693	7.81996	-0.76983	29.69555	34.63175	1.60249	0.62403	0.0	105.87389	0.0	0.49975	7.26516	7.26516	1.14418	1.14418	1522.70416	62830.863	42.5876	0.0
1425.0	0.0	1.0	7.02074	7.81572	-0.82365	29.65631	34.55577	1.6013	0.62449	0.0	106.06957	0.0	0.49975	7.333	7.333	1.13027	1.13027	1522.69562	62618.435	42.4856	0.0
1420.0	0.0	1.0	7.02454	7.81149	-0.87731	29.6172	34.47976	1.60011	0.62496	0.0	106.26524	0.0	0.49975	7.40187	7.40187	1.11645	1.11645	1522.67351	62406.516	42.3838	0.0
1415.0	0.0	1.0	7.02834	7.80727	-0.93082	29.57823	34.40372	1.59891	0.62543	0.0	106.46092	0.0	0.49975	7.47181	7.47181	1.10274	1.10274	1522.63782	62195.101	42.283	0.0
1410.0	0.0	1.0	7.03213	7.80307	-0.98418	29.53941	34.32765	1.5977	0.6259	0.0	106.65659	0.0	0.49975	7.54283	7.54283	1.08912	1.08912	1522.58855	61984.187	42.1828	0.0
1405.0	0.0	1.0	7.03591	7.79887	-1.03738	29.50073	34.25154	1.5965	0.62637	0.0	106.85227	0.0	0.49975	7.61495	7.61495	1.0756	1.0756	1522.52568	61773.77	42.0834	0.0
1400.7	0.0	1.0	7.03915	7.79528	-1.08297	29.46761	34.18612	1.59546	0.62678	0.0	107.02044	0.0	0.49975	7.67784	7.67784	1.06406	1.06406	1522.46078	61593.319	41.992	0.0010
1400.0	0.01844	0.98156	7.04247	7.79158	-1.12992	29.35362	34.21808	1.5933	0.62763	8.31407E-6	106.86101	2.77638E-6	0.49728	7.68404	7.87489	1.06275	1.037	1521.50666	61356.928	336.39	206.914
1395.0	0.13995	0.86005	7.06454	7.76716	-1.43975	28.60597	34.42942	1.57879	0.6334	0.028088	105.83187	0.0094831	0.48095	7.72827	14.01911	1.05351	0.58077	1514.91838	59790.074	313.371	1564.336
1390.0	0.24046	0.75954	7.08318	7.74685	-1.69753	27.99698	34.59837	1.56637	0.63842	0.24848	105.03929	0.0846726	0.4673	7.77368	54.37248	1.04422	0.14929	1508.67549	58465.61	264.893	2679.853
1385.0	0.32453	0.67547	7.09928	7.72927	-1.92065	27.47981	34.73179	1.55566	0.64281	0.83575	104.42911	0.28705	0.45576	7.81922	165.66984	1.03502	0.0488503	1502.75646	57330.432	227.036	3606.568
1380.0	0.39557	0.60443	7.11325	7.71412	-2.1128	27.04522	34.83665	1.5463	0.64671	1.8677	103.96588	0.64586	0.44591	7.86592	372.81702	1.02577	0.0216423	1497.12882	56345.059	197.075	4383.961
1375.0	0.45616	0.54384	7.12562	7.70075	-2.28251	26.67023	34.91763	1.53805	0.65018	3.34007	103.62067	1.16182	0.43743	7.91279	688.52198	1.01661	0.0116833	1491.77313	55479.691	173.074	5041.825
1370.0	0.50825	0.49175	7.13658	7.68901	-2.43153	26.35061	34.97914	1.53068	0.6533	5.20134	103.37285	1.81855	0.43008	7.96082	1117.3337	1.00741	0.00717763	1486.66364	54711.519	153.634	5602.968
1365.0	0.55339	0.44661	7.14647	7.67845	-2.56548	26.07113	35.02401	1.52407	0.65614	7.38034	103.20396	2.59206	0.42364	8.00935	1659.14981	0.99826	0.00481898	1481.78482	54022.865	137.731	6085.065
1360.0	0.59274	0.40726	7.15542	7.66892	-2.68646	25.82624	35.05481	1.51809	0.65872	9.80329	103.10052	3.45678	0.41798	8.05873	2312.09082	0.98911	0.00344753	1477.11859	53399.869	124.599	6501.975
1355.0	0.62728	0.37272	7.16365	7.66017	-2.79744	25.60795	35.07366	1.51262	0.6611	12.40182	103.05126	4.3886	0.41296	8.1086	3073.69141	0.98002	0.00258536	1472.65146	52831.551	113.664	6864.672
1350.0	0.65777	0.34223	7.17122	7.65218	-2.89883	25.41537	35.08251	1.5076	0.66331	15.11659	103.04871	5.36625	0.40849	8.15933	3942.138	0.97094	0.00200962	1468.36658	52309.121	104.486	7181.944
1345.0	0.68481	0.31519	7.17828	7.64475	-2.99316	25.24152	35.08256	1.50295	0.66536	17.89945	103.08478	6.37227	0.40448	8.21063	4916.57721	0.9619	0.00160636	1464.25447	51825.5	96.7242	7460.868
1340.0	0.70891	0.29109	7.18487	7.63782	-3.08105	25.08489	35.07511	1.49863	0.66728	20.70906	103.15382	7.39149	0.40087	8.26277	5996.72555	0.95287	0.00131295	1460.30249	51374.897	90.1206	7707.23
1335.0	0.73048	0.26952	7.19106	7.63134	-3.16324	24.94351	35.0612	1.49457	0.66909	23.51587	103.25124	8.41289	0.39761	8.31584	7184.42581	0.94386	0.0010925	1456.49958	50952.579	84.4636	7925.764
1330.0	0.74988	0.25012	7.19693	7.62522	-3.24093	24.81405	35.04165	1.49076	0.6708	26.29779	103.37291	9.42814	0.39464	8.36945	8482.74843	0.9349	9.22411E-4	1452.83802	50554.633	79.5892	8120.377
1325.0	0.76739	0.23261	7.2025	7.61944	-3.31431	24.69615	35.01719	1.48715	0.67243	29.03591	103.51569	10.43002	0.39194	8.424	9895.40397	0.92595	7.88262E-4	1449.30765	50177.806	75.3654	8294.321
1320.0	0.78323	0.21677	7.20781	7.61394	-3.38408	24.58785	34.98843	1.48371	0.67398	31.71748	103.67656	11.41357	0.38946	8.47947	11427.54341	0.91701	6.80441E-4	1445.90127	49819.373	71.6866	8450.317
1315.0	0.79764	0.20236	7.21292	7.60865	-3.45116	24.48664	34.95579	1.48044	0.67548	34.33362	103.85287	12.37528	0.38719	8.53554	13085.3703	0.90813	5.92369E-4	1442.61378	49477.043	68.466	8590.656
1310.0	0.81076	0.18924	7.21781	7.60363	-3.51487	24.3945	34.91996	1.47729	0.67691	36.8782	104.04337	13.31258	0.38509	8.59293	14876.86897	0.89922	5.19394E-4	1439.43427	49148.874	65.6338	8717.273
1305.0	0.82277	0.17723	7.22256	7.59873	-3.57713	24.30596	34.88093	1.47427	0.6783	39.35052	104.24505	14.22505	0.38314	8.65058	16811.09912	0.89041	4.58183E-4	1436.36355	48833.216	63.1316	8831.819
1300.0	0.83377	0.16623	7.22715	7.59405	-3.63642	24.2255	34.83951	1.47135	0.67965	41.74498	104.45796	15.11032	0.38134	8.7096	18897.65745	0.88157	4.06302E-4	1433.38837	48528.659	60.9114	8935.701
1295.0	0.84387	0.15613	7.23161	7.58949	-3.69433	24.14853	34.7956	1.46852	0.68096	44.06345	104.67959	15.96895	0.37966	8.76926	21147.81865	0.87279	3.61917E-4	1430.50986	48233.99	58.9338	9030.127
1290.0	0.85318	0.14682	7.23594	7.58508	-3.75034	24.07664	34.74966	1.46578	0.68223	46.30436	104.90952	16.80015	0.37809	8.83001	23573.69988	0.86402	3.23638E-4	1427.71997	47948.166	57.1648	9116.14
1289.09	0.85478	0.14522	7.23672	7.58428	-3.76049	24.06369	34.74098	1.46529	0.68246	46.7026	104.95241	16.948	0.37782	8.8411	24035.39681	0.86244	3.17236E-4	1427.21953	47896.965	 	9130.882
1285.0	0.86261	0.13739	7.24075	7.58017	-3.81256	23.98554	34.70113	1.46313	0.68347	48.68481	105.14383	17.6842	0.37651	8.89923	26293.16147	0.85456	2.89237E-4	1425.0867	47656.545	58.3242	9208.379
1280.0	0.87148	0.12852	7.24553	7.57532	-3.87418	23.89552	34.65075	1.46056	0.68467	51.03317	105.38405	18.55762	0.37499	8.97096	29251.18743	0.84501	2.59153E-4	1422.55424	47370.638	57.1814	9295.33
1275.0	0.87964	0.12036	7.25013	7.57068	-3.93304	23.81311	34.59881	1.45804	0.68585	53.28855	105.63096	19.39765	0.37358	9.04418	32435.83425	0.83547	2.32956E-4	1420.09837	47093.251	55.4774	9374.184
1273.21	0.8821	0.1179	7.25164	7.56911	-3.95298	23.78681	34.58004	1.45715	0.68627	53.99781	105.72219	19.66209	0.37315	9.07025	33586.39236	0.83211	2.24717E-4	1419.24116	46999.341	 	9397.274
1270.0	0.8866	0.1134	7.25437	7.56631	-3.98842	23.74064	34.5468	1.45552	0.68704	55.12691	105.87618	20.08502	0.37234	9.1132	35758.54584	0.82646	2.10627E-4	1417.53928	46830.902	52.4698	9438.422
1265.0	0.89318	0.10682	7.25851	7.56209	-4.04208	23.67281	34.49446	1.453	0.68823	56.83215	106.12145	20.72433	0.37115	9.1809	39353.67804	0.81771	1.90766E-4	1414.96786	46573.73	51.4344	9497.902
1260.0	0.89926	0.10074	7.26255	7.55797	-4.09436	23.60865	34.4407	1.45054	0.6894	58.46826	106.37285	21.3384	0.37002	9.24915	43225.06311	0.80904	1.73115E-4	1412.48543	46322.359	50.2742	9551.997
1255.0	0.90488	0.0951205	7.26646	7.55398	-4.14491	23.54928	34.38575	1.44812	0.69055	60.03787	106.62991	21.9281	0.36897	9.31881	47396.55749	0.80037	1.57364E-4	1410.08387	46076.211	49.2296	9601.284
1250.0	0.9101	0.0899031	7.27031	7.55007	-4.19454	23.49225	34.32963	1.44574	0.69169	61.55072	106.89142	22.49704	0.36797	9.3887	51897.75184	0.79182	1.43245E-4	1407.76373	45834.787	48.2848	9646.258
1245.0	0.91494	0.0850581	7.27406	7.54627	-4.24274	23.43921	34.27259	1.4434	0.69281	63.00468	107.15724	23.04433	0.36703	9.46002	56754.1609	0.78327	1.30558E-4	1405.51672	45597.655	47.4264	9687.349
1240.0	0.91945	0.0805479	7.27774	7.54254	-4.29003	23.38856	34.21467	1.44108	0.69393	64.40607	107.4265	23.5723	0.36614	9.532	61998.36166	0.77479	1.19121E-4	1403.34245	45364.428	46.6454	9724.951
1235.0	0.92365	0.0763451	7.28135	7.5389	-4.33632	23.34061	34.15598	1.43878	0.69503	65.75673	107.69887	24.0816	0.36529	9.60509	67663.99759	0.76635	1.08786E-4	1401.23645	45134.781	45.9294	9759.389
1230.0	0.92758	0.0724232	7.2849	7.53531	-4.38184	23.29468	34.0966	1.43651	0.69613	67.06062	107.9738	24.57365	0.36448	9.67887	73788.64973	0.75799	9.94259E-5	1399.19691	44908.422	45.2718	9790.954
1225.0	0.93124	0.0687608	7.28839	7.53179	-4.42644	23.25126	34.03665	1.43425	0.69723	68.31926	108.25104	25.049	0.36371	9.75417	80412.48442	0.74964	9.09324E-5	1397.21924	44685.102	44.664	9819.893
1220.0	0.93466	0.0653366	7.29183	7.52834	-4.47029	23.20988	33.97619	1.43201	0.69832	69.53556	108.53033	25.50868	0.36298	9.83032	87579.73729	0.74135	8.32121E-5	1395.30166	44464.602	44.1	9846.417
1217.82	0.93644	0.0635642	7.29346	7.52675	-4.4904	23.18866	33.94915	1.43106	0.69879	70.16531	108.65121	25.74661	0.36261	9.86373	91030.89128	0.73776	7.99402E-5	1394.48203	44365.035	 	9861.359
1215.0	0.9428	0.0572028	7.29618	7.52385	-4.52731	23.12629	33.91916	1.42962	0.69949	71.97332	108.81438	26.43383	0.36139	9.93602	97355.80478	0.73101	7.46056E-5	1392.66909	44174.393	58.0418	9943.062
1210.0	0.95214	0.0478608	7.30066	7.51905	-4.58816	23.02976	33.86259	1.42719	0.70068	74.80842	109.10508	27.51213	0.35955	10.05464	108780.8369	0.71995	6.65456E-5	1389.89748	43863.706	62.1374	10060.59
1205.0	0.95951	0.0404856	7.30478	7.51462	-4.64438	22.94729	33.80151	1.42495	0.70178	77.33894	109.39714	28.47398	0.35806	10.16109	120559.7047	0.71001	5.98416E-5	1387.60921	43580.762	56.5888	10150.778
1200.04	0.96542	0.0345792	7.30861	7.51049	-4.69677	22.87559	33.73746	1.42287	0.70281	79.73864	109.68822	29.38415	0.35683	10.25388	132751.514	0.70123	5.41635E-5	1385.74409	43319.909	 	10220.896
1200.0	0.96552	0.0344809	7.30866	7.51044	-4.69738	22.87443	33.73662	1.42286	0.70281	79.77417	109.69019	29.39763	0.35681	10.25559	132884.465	0.70109	5.41077E-5	1385.74772	43316.909	52.7706	10222.276
1195.0	0.975	0.0249987	7.31367	7.50533	-4.76223	22.76268	33.64711	1.42181	0.70333	83.95271	109.94185	30.97671	0.35509	10.45791	148380.1313	0.68519	4.82927E-5	1386.13359	42992.712	64.8394	10354.517
1190.0	0.98117	0.0188264	7.31811	7.50084	-4.81928	22.67528	33.5696	1.42024	0.70411	87.56519	110.21575	32.33825	0.3539	10.66655	163620.2263	0.6695	4.36454E-5	1386.53701	42717.477	55.047	10438.194
1185.0	0.98547	0.0145263	7.32221	7.4967	-4.87179	22.60195	33.49528	1.41852	0.70496	90.41768	110.50139	33.41401	0.35299	10.8806	179204.8219	0.65409	3.97136E-5	1386.9593	42470.076	49.4802	10494.43
1180.0	0.98862	0.0113786	7.32611	7.49279	-4.92142	22.53738	33.42323	1.41671	0.70586	92.62439	110.79354	34.24783	0.35227	11.09975	195500.5507	0.63898	3.62785E-5	1387.40299	42239.908	46.0336	10533.828
1175.0	0.99102	0.00898353	7.32985	7.48903	-4.96907	22.47877	33.35271	1.41482	0.70681	94.37213	111.08948	34.90972	0.35166	11.32355	212770.4624	0.62419	3.32192E-5	1387.86716	42021.119	43.7578	10562.235
1170.0	0.99289	0.0071061	7.3335	7.48539	-5.01526	22.42444	33.28324	1.41287	0.70778	95.81538	111.38763	35.45738	0.35113	11.55231	231228.5388	0.60972	3.04619E-5	1388.35048	41810.24	42.1758	10583.123
1165.0	0.9944	0.00559806	7.33706	7.48184	-5.06032	22.37339	33.21463	1.41089	0.70877	97.06323	111.6869	35.9316	0.35067	11.78613	251064.7754	0.59555	2.79579E-5	1388.85185	41605.091	41.0298	10598.667
1160.0	0.99564	0.00436091	7.34055	7.47836	-5.10452	22.32476	33.14709	1.40885	0.7098	98.1925	111.98664	36.36109	0.35024	12.02411	272466.3214	0.58174	2.56723E-5	1389.37295	41404.239	40.1704	10610.297
1155.0	0.99667	0.00333033	7.344	7.47493	-5.148	22.27813	33.07964	1.40679	0.71084	99.3818	112.30042	36.81221	0.34985	12.26629	295619.168	0.56826	2.35791E-5	1389.91157	41206.71	39.5058	10618.989
1150.0	0.99754	0.00245758	7.34739	7.47156	-5.19084	22.23322	32.99962	1.40527	0.71161	100.34005	112.60046	37.17729	0.34948	12.51332	320719.418	0.55509	2.16577E-5	1390.46525	41011.813	38.9794	10625.428
1145.0	0.99829	0.00171047	7.35075	7.46822	-5.23315	22.18967	32.93455	1.4031	0.71271	101.27622	112.89998	37.53384	0.34913	12.7651	347978.5631	0.54223	1.9891E-5	1391.03358	40819.053	38.552	10630.11
1140.0	0.99894	0.00106411	7.35407	7.46492	-5.275	22.14731	32.8707	1.40087	0.71384	102.15848	113.19881	37.87016	0.3488	13.02197	377622.3437	0.52966	1.82649E-5	1391.61548	40628.06	38.1986	10633.401
1135.0	0.9995	4.98761E-4	7.35736	7.46166	-5.31642	22.10604	32.80788	1.39858	0.71501	102.9552	113.49689	38.17455	0.34848	13.28384	409892.7636	0.51738	1.67674E-5	1392.21083	40438.559	37.9002	10635.576
1130.0	1.0	0.0	7.36063	7.45842	-5.35748	22.06563	32.74554	1.39627	0.71619	103.66389	113.7941	38.44614	0.34817	 	445063.0932	 	1.53875E-5	 	40250.334	37.645	10636.848
1125.0	1.0	0.0	7.36327	7.45574	-5.39147	22.04914	32.67822	1.39416	0.71728	104.08512	114.09055	38.60868	0.34795	 	482616.87	 	1.41396E-5	 	40027.844	44.498	 
1120.0	1.0	0.0	7.36592	7.45307	-5.42541	22.03268	32.61086	1.39205	0.71837	104.506	114.38577	38.77116	0.34773	 	523644.3566	 	1.29852E-5	 	39847.699	36.029	 
1115.0	1.0	0.0	7.36856	7.4504	-5.45929	22.01623	32.54348	1.38992	0.71947	104.92653	114.67975	38.93355	0.34751	 	568494.2828	 	1.19178E-5	 	39667.829	35.974	 
1110.0	1.0	0.0	7.37119	7.44773	-5.49313	21.99981	32.47606	1.38779	0.72057	105.34672	114.9725	39.09587	0.34729	 	617553.0822	 	1.09315E-5	 	39488.227	35.9204	 
1105.0	1.0	0.0	7.37383	7.44507	-5.52692	21.98342	32.40862	1.38565	0.72168	105.76655	115.26403	39.25811	0.34707	 	671249.2556	 	1.00207E-5	 	39308.892	35.867	 
1100.0	1.0	0.0	7.37647	7.44241	-5.56066	21.96704	32.34115	1.3835	0.7228	106.18604	115.55433	39.42028	0.34685	 	730058.2714	 	9.18009E-6	 	39129.827	35.813	 
1095.0	1.0	0.0	7.3791	7.43976	-5.59435	21.95069	32.27364	1.38135	0.72393	106.60518	115.84342	39.58237	0.34662	 	794508.0748	 	8.4047E-6	 	38951.034	35.7586	 
1090.0	1.0	0.0	7.38173	7.43711	-5.62799	21.93436	32.20611	1.37919	0.72506	107.02397	116.13131	39.74438	0.3464	 	865185.2847	 	7.68991E-6	 	38772.513	35.7042	 
1085.0	1.0	0.0	7.38436	7.43446	-5.66158	21.91805	32.13855	1.37702	0.72621	107.44241	116.41798	39.90632	0.34618	 	942742.169	 	7.0314E-6	 	38594.268	35.649	 
1080.0	1.0	0.0	7.38698	7.43182	-5.69512	21.90177	32.07096	1.37484	0.72736	107.8605	116.70346	40.06818	0.34596	 	1027904.504	 	6.4251E-6	 	38416.294	35.5948	 
1075.0	1.0	0.0	7.38961	7.42918	-5.72861	21.88551	32.00334	1.37265	0.72852	108.27824	116.98774	40.22996	0.34574	 	1121480.433	 	5.86723E-6	 	38238.589	35.541	 
1070.0	1.0	0.0	7.39223	7.42654	-5.76205	21.86927	31.93569	1.37046	0.72968	108.69563	117.27083	40.39167	0.34552	 	1224370.465	 	5.35425E-6	 	38061.151	35.4876	 
1065.0	1.0	0.0	7.39485	7.42391	-5.79544	21.85305	31.86801	1.36826	0.73086	109.11267	117.55273	40.55329	0.3453	 	1337578.759	 	4.88284E-6	 	37883.979	35.4344	 
1060.0	1.0	0.0	7.39747	7.42128	-5.82879	21.83685	31.80029	1.36605	0.73204	109.52935	117.83346	40.71484	0.34508	 	1462225.883	 	4.44991E-6	 	37707.075	35.3808	 
1055.0	1.0	0.0	7.40008	7.41866	-5.86208	21.82068	31.73255	1.36383	0.73323	109.94568	118.113	40.87631	0.34486	 	1599563.237	 	4.05259E-6	 	37530.436	35.3278	 
1050.0	1.0	0.0	7.4027	7.41604	-5.89533	21.80453	31.66478	1.3616	0.73443	110.36166	118.39137	41.03771	0.34464	 	1750989.378	 	3.68818E-6	 	37354.062	35.2748	 
1045.0	1.0	0.0	7.40531	7.41342	-5.92852	21.7884	31.59698	1.35937	0.73564	110.77729	118.66858	41.19902	0.34442	 	1918068.518	 	3.35419E-6	 	37177.953	35.2218	 
1040.0	1.0	0.0	7.40792	7.41081	-5.96167	21.7723	31.52915	1.35712	0.73685	111.19256	118.94462	41.36026	0.3442	 	2102551.489	 	3.04828E-6	 	37002.109	35.1688	 
1035.0	1.0	0.0	7.41053	7.4082	-5.99477	21.75622	31.46129	1.35487	0.73808	111.60748	119.2195	41.52142	0.34397	 	2306399.528	 	2.76828E-6	 	36826.529	35.116	 
1030.0	1.0	0.0	7.41314	7.4056	-6.02782	21.74016	31.3934	1.35261	0.73931	112.02205	119.49323	41.6825	0.34375	 	2531811.295	 	2.51217E-6	 	36651.213	35.0632	 
1025.0	1.0	0.0	7.41574	7.403	-6.06082	21.72412	31.32548	1.35035	0.74055	112.43626	119.76581	41.8435	0.34353	 	2781253.568	 	2.27809E-6	 	36476.16	35.0106	 
1020.0	1.0	0.0	7.41834	7.4004	-6.09378	21.7081	31.25753	1.34807	0.7418	112.85011	120.03724	42.00442	0.34331	 	3057496.165	 	2.06429E-6	 	36301.369	34.9582	 
1015.0	1.0	0.0	7.42094	7.39781	-6.12668	21.69211	31.18955	1.34578	0.74306	113.26361	120.30753	42.16526	0.34309	 	3363651.699	 	1.86914E-6	 	36126.84	34.9058	 
1010.0	1.0	0.0	7.42354	7.39522	-6.15954	21.67614	31.12154	1.34349	0.74433	113.67675	120.57668	42.32602	0.34287	 	3703220.877	 	1.69116E-6	 	35952.573	34.8534	 
1005.0	1.0	0.0	7.42614	7.39263	-6.19235	21.66019	31.0535	1.34119	0.74561	114.08953	120.8447	42.4867	0.34265	 	4080144.159	 	1.52895E-6	 	35778.568	34.801	 
1000.0	1.0	0.0	7.42873	7.39005	-6.22511	21.64427	30.98543	1.33887	0.7469	114.50196	121.11159	42.6473	0.34243	 	4498860.727	 	1.38122E-6	 	35604.823	34.749	 
995.0	1.0	0.0	7.43132	7.38747	-6.25783	21.62837	30.91733	1.33655	0.74819	114.91402	121.37735	42.80782	0.34221	 	4964375.851	 	1.24679E-6	 	35431.338	34.697	 
