T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.92926	7.8524	0.0	27.19311	31.67629	1.82402	0.54824	0.0	104.22488	0.0	0.49926	6.58725	6.58725	1.3138	1.3138	1762.44562	64989.753	 	0.0
1495.0	0.0	1.0	6.93315	7.848	-0.0560441	27.14323	31.6006	1.82323	0.54848	0.0	104.41012	0.0	0.49926	6.64405	6.64405	1.29889	1.29889	1764.2327	64768.282	44.2942	0.0
1490.0	0.0	1.0	6.93703	7.84361	-0.11193	27.0934	31.52491	1.82244	0.54871	0.0	104.59536	0.0	0.49926	6.70168	6.70168	1.28408	1.28408	1766.01627	64547.343	44.1878	0.0
1485.0	0.0	1.0	6.9409	7.83924	-0.16767	27.04364	31.44921	1.82165	0.54895	0.0	104.7806	0.0	0.49926	6.76014	6.76014	1.26937	1.26937	1767.79629	64326.933	44.082	0.0
1480.0	0.0	1.0	6.94477	7.83487	-0.22324	26.99393	31.37352	1.82085	0.54919	0.0	104.96584	0.0	0.49926	6.81944	6.81944	1.25475	1.25475	1769.57271	64107.047	43.9772	0.0
1475.0	0.0	1.0	6.94863	7.83052	-0.27866	26.94427	31.29782	1.82005	0.54944	0.0	105.15108	0.0	0.49926	6.87961	6.87961	1.24023	1.24023	1771.34548	63887.684	43.8726	0.0
1470.0	0.0	1.0	6.95248	7.82618	-0.33393	26.89468	31.22213	1.81924	0.54968	0.0	105.33633	0.0	0.49926	6.94066	6.94066	1.2258	1.2258	1773.11457	63668.838	43.7692	0.0
1465.0	0.0	1.0	6.95633	7.82186	-0.38904	26.84514	31.14644	1.81843	0.54992	0.0	105.52157	0.0	0.49926	7.0026	7.0026	1.21147	1.21147	1774.87993	63450.506	43.6664	0.0
1460.0	0.0	1.0	6.96016	7.81754	-0.44399	26.79567	31.07074	1.81762	0.55017	0.0	105.70681	0.0	0.49926	7.06547	7.06547	1.19724	1.19724	1776.64151	63232.686	43.564	0.0
1455.0	0.0	1.0	6.964	7.81324	-0.49879	26.74626	30.99505	1.8168	0.55042	0.0	105.89205	0.0	0.49926	7.12926	7.12926	1.18311	1.18311	1778.39926	63015.373	43.4626	0.0
1450.0	0.0	1.0	6.96782	7.80895	-0.55343	26.69691	30.91936	1.81598	0.55067	0.0	106.07729	0.0	0.49926	7.19401	7.19401	1.16907	1.16907	1780.15315	62798.582	43.3582	0.0
1445.0	0.0	1.0	6.97164	7.80467	-0.60792	26.64762	30.84366	1.81515	0.55092	0.0	106.26253	0.0	0.49926	7.25972	7.25972	1.15512	1.15512	1781.90312	62582.34	43.2484	0.0
1444.97	0.0	1.0	6.97167	7.80464	-0.60825	26.64732	30.8432	1.81515	0.55092	0.0	106.26366	0.0	0.49926	7.26013	7.26013	1.15504	1.15504	1781.9138	62581.018	43.2309	0.0010
1440.0	0.15046	0.84954	6.99948	7.77353	-1.00447	25.69521	31.27078	1.78515	0.56018	0.0268441	100.13054	0.00908652	0.47714	7.27908	10.57919	1.1487	0.79037	1780.2197	60992.87	319.584	1373.767
1435.0	0.26812	0.73188	7.02197	7.74879	-1.3195	24.95195	31.60404	1.76117	0.5678	0.27614	95.416	0.0945906	0.45968	7.29872	28.58979	1.14226	0.29161	1778.68581	59709.755	256.623	2441.721
