T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.72423	8.01403	0.0	32.86374	32.48658	1.77852	0.56226	0.0	99.47524	0.0	0.49494	5.90328	5.90328	1.46602	1.46602	1585.38445	64267.219	 	0.0
1495.0	0.0	1.0	6.72822	8.00927	-0.0594119	32.82121	32.40751	1.77783	0.56248	0.0	99.66839	0.0	0.49494	5.95273	5.95273	1.44974	1.44974	1586.59053	64045.56	44.3318	0.0
1490.0	0.0	1.0	6.73222	8.00452	-0.11866	32.7788	32.32845	1.77714	0.5627	0.0	99.86155	0.0	0.49494	6.00287	6.00287	1.43356	1.43356	1587.79122	63824.386	44.2348	0.0
1485.0	0.0	1.0	6.7362	7.99978	-0.17776	32.73652	32.24938	1.77645	0.56292	0.0	100.05471	0.0	0.49494	6.05372	6.05372	1.41749	1.41749	1588.98646	63603.695	44.1382	0.0
1480.0	0.0	1.0	6.74018	7.99506	-0.23669	32.69437	32.17031	1.77575	0.56314	0.0	100.24786	0.0	0.49494	6.1053	6.1053	1.40152	1.40152	1590.17622	63383.485	44.042	0.0
1475.0	0.0	1.0	6.74415	7.99035	-0.29547	32.65235	32.09124	1.77505	0.56337	0.0	100.44102	0.0	0.49494	6.15762	6.15762	1.38565	1.38565	1591.36046	63163.751	43.9468	0.0
1470.0	0.0	1.0	6.74812	7.98565	-0.35408	32.61046	32.01218	1.77434	0.56359	0.0	100.63418	0.0	0.49494	6.21068	6.21068	1.36988	1.36988	1592.53912	62944.49	43.8522	0.0
1465.0	0.0	1.0	6.75208	7.98097	-0.41254	32.56869	31.93311	1.77363	0.56381	0.0	100.82733	0.0	0.49494	6.26452	6.26452	1.35421	1.35421	1593.71217	62725.7	43.758	0.0
1460.0	0.0	1.0	6.75604	7.97629	-0.47083	32.52706	31.85404	1.77292	0.56404	0.0	101.02049	0.0	0.49494	6.31913	6.31913	1.33864	1.33864	1594.87956	62507.378	43.6644	0.0
1455.0	0.0	1.0	6.75999	7.97163	-0.52897	32.48557	31.77497	1.7722	0.56427	0.0	101.21365	0.0	0.49494	6.37455	6.37455	1.32318	1.32318	1596.04125	62289.52	43.5716	0.0
1450.0	0.0	1.0	6.76393	7.96699	-0.58695	32.44421	31.69591	1.77149	0.5645	0.0	101.4068	0.0	0.49494	6.43077	6.43077	1.30782	1.30782	1597.19719	62072.137	43.4766	0.0
1445.0	0.0	1.0	6.76786	7.96235	-0.64477	32.40299	31.61684	1.77076	0.56473	0.0	101.59996	0.0	0.49494	6.48782	6.48782	1.29255	1.29255	1598.34733	61855.248	43.3778	0.0
1440.0	0.0	1.0	6.77179	7.95773	-0.70243	32.3619	31.53777	1.77004	0.56496	0.0	101.79312	0.0	0.49494	6.54572	6.54572	1.27739	1.27739	1599.49164	61638.848	43.28	0.0
