T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.91703	7.85036	0.0	23.64712	31.46591	1.83621	0.5446	0.0	104.30071	0.0	0.49974	6.80926	6.80926	1.27096	1.27096	1732.91827	65054.585	 	0.0
1495.0	0.0	1.0	6.92079	7.84609	-0.0544127	23.59126	31.39445	1.8352	0.5449	0.0	104.48836	0.0	0.49974	6.86853	6.86853	1.25644	1.25644	1734.77683	64832.595	44.398	0.0
1490.0	0.0	1.0	6.92455	7.84183	-0.10867	23.5354	31.323	1.83419	0.5452	0.0	104.67602	0.0	0.49974	6.92866	6.92866	1.24201	1.24201	1736.64049	64611.149	44.2892	0.0
1485.0	0.0	1.0	6.92831	7.83759	-0.16278	23.47954	31.25154	1.83317	0.5455	0.0	104.86368	0.0	0.49974	6.98966	6.98966	1.22768	1.22768	1738.5092	64390.245	44.1808	0.0
1480.0	0.0	1.0	6.93205	7.83335	-0.21673	23.42369	31.18008	1.83214	0.54581	0.0	105.05134	0.0	0.49974	7.05155	7.05155	1.21345	1.21345	1740.38294	64169.88	44.073	0.0
1475.0	0.0	1.0	6.93579	7.82913	-0.27053	23.36785	31.10862	1.83112	0.54612	0.0	105.239	0.0	0.49974	7.11435	7.11435	1.19931	1.19931	1742.26168	63950.049	43.9662	0.0
1470.0	0.0	1.0	6.93952	7.82492	-0.32417	23.31201	31.03716	1.83008	0.54642	0.0	105.42665	0.0	0.49974	7.17807	7.17807	1.18526	1.18526	1744.14539	63730.749	43.86	0.0
1465.0	0.0	1.0	6.94325	7.82072	-0.37767	23.25617	30.96571	1.82904	0.54673	0.0	105.61431	0.0	0.49974	7.24273	7.24273	1.17131	1.17131	1746.03402	63511.978	43.7542	0.0
1460.0	0.0	1.0	6.94697	7.81653	-0.43101	23.20034	30.89425	1.828	0.54705	0.0	105.80197	0.0	0.49974	7.30835	7.30835	1.15745	1.15745	1747.92755	63293.732	43.6492	0.0
1455.0	0.0	1.0	6.95068	7.81235	-0.48419	23.14451	30.82279	1.82695	0.54736	0.0	105.98963	0.0	0.49974	7.37496	7.37496	1.14369	1.14369	1749.82592	63076.007	43.545	0.0
1452.32	0.0	1.0	6.95267	7.81012	-0.51268	23.11453	30.78443	1.82639	0.54753	0.0	106.09037	0.0	0.49974	7.41113	7.41113	1.13634	1.13634	1750.84704	62959.333	43.4665	0.0050
1450.0	0.0690002	0.931	6.96415	7.79722	-0.67693	22.72769	30.97677	1.81261	0.55169	0.0012272	103.49422	4.11901E-4	0.48968	7.42497	8.24377	1.1327	1.0202	1750.13061	62254.376	304.416	604.434
1445.0	0.19513	0.80487	6.98557	7.7734	-0.98043	22.02072	31.32765	1.78711	0.55956	0.0799559	98.79984	0.027174	0.47118	7.45508	17.62675	1.12485	0.47575	1748.8399	60935.504	263.774	1706.664
1440.0	0.2956	0.7044	7.00327	7.75376	-1.2306	21.44755	31.60335	1.76636	0.56613	0.428	95.13179	0.14695	0.45632	7.4849	55.88232	1.11711	0.14963	1747.83967	59845.317	218.037	2580.751
