T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
700.0	0.0	1.0	2.47268	11.31704	0.0	66.46319	87.293	0.27313	3.66129	0.0	51.90819	0.0	0.5	1.3613	1.3613	3.48909	3.48909	856.63866	27840.529	 	0.0
690.0	0.0	1.0	2.47607	11.30154	-0.13698	66.68359	86.95319	0.27138	3.6849	0.0	52.04992	0.0	0.5	1.39209	1.39209	3.37687	3.37687	859.99943	27524.299	31.623	0.0
683.64	0.0	1.0	2.47822	11.29173	-0.22369	66.82998	86.73691	0.27026	3.70018	0.0	52.14012	0.0	0.5	1.41239	1.41239	3.30635	3.30635	862.13631	27323.079	31.6208	0.0
680.0	1.5E-4	0.99985	2.47946	11.28612	-0.27323	66.91495	86.61666	0.2696	3.70915	1.60934E-14	52.19183	5.36459E-15	0.49996	1.42409	1.42409	3.26672	3.26672	863.36513	27205.07	32.4515	3.028
670.0	5.2E-4	0.99948	2.48287	11.27059	-0.41045	67.14781	86.28381	0.2678	3.73407	2.62237E-12	52.33343	8.74198E-13	0.49987	1.45728	1.45728	3.15882	3.15882	866.7421	26881.146	32.3924	10.778
660.0	8.6E-4	0.99914	2.48626	11.25526	-0.54593	67.39835	85.95071	0.26599	3.75952	1.95133E-11	52.47572	6.50536E-12	0.49979	1.49203	1.49203	3.05254	3.05254	870.1145	26558.026	32.312	17.741
650.0	0.00116	0.99884	2.48964	11.24001	-0.68065	67.66157	85.61652	0.26417	3.78546	6.60124E-11	52.61813	2.20083E-11	0.49972	1.52843	1.52843	2.94791	2.94791	873.48222	26236.353	32.1673	23.98
649.6	0.00117	0.99883	2.48977	11.23938	-0.68623	67.67102	85.60298	0.2641	3.7865	6.86887E-11	52.62371	2.29006E-11	0.49971	1.52992	1.52992	2.94377	2.94377	873.61664	26223.554	 	24.215
640.0	0.01116	0.98884	2.49511	11.21526	-0.89942	67.41642	85.31287	0.26224	3.81335	4.39979E-7	52.81043	1.46932E-7	0.49721	1.56079	1.56079	2.85552	2.85552	876.9241	25772.492	46.3861	173.764
632.5	0.01809	0.98191	2.49909	11.19752	-1.05618	67.2726	85.0846	0.26078	3.83463	3.66501E-6	52.95996	1.22536E-6	0.49549	1.58625	1.58625	2.78661	2.78661	879.502	25434.212	 	277.456
632.5	0.01809	0.98191	2.49909	11.19751	-1.05619	67.27257	85.08462	0.26078	3.83463	3.66515E-6	52.95995	1.2254E-6	0.49549	1.58625	1.62116	2.78661	2.72661	879.50199	25434.206	 	277.462
630.0	0.06642	0.93358	2.50803	11.15747	-1.41003	65.33883	87.28349	0.25351	3.94463	1.75326E-4	52.84827	5.8865E-5	0.48922	1.60261	1.83121	2.75054	2.40718	879.42821	24815.347	95.7145	818.225
625.58	0.17686	0.82314	2.52831	11.068	-2.20062	60.84147	92.80733	0.23725	4.21491	0.0217894	53.15825	0.00738691	0.47486	1.64147	7.10717	2.67227	0.61719	878.43449	23449.221	 	2046.493
620.0	0.35081	0.64919	2.55885	10.93597	-3.36726	53.99636	102.62223	0.21323	4.68976	0.45009	53.68411	0.1551	0.45101	1.68073	90.70334	2.59367	0.0480604	875.6478	21302.701	351.265	4019.574
610.0	0.54678	0.45322	2.59493	10.78389	-4.71104	46.23196	116.18879	0.18622	5.36987	3.30394	54.4238	1.16072	0.42322	1.75968	643.12323	2.44955	0.00670235	871.48842	18774.853	252.785	6237.517
600.0	0.65471	0.34529	2.6163	10.6958	-5.48942	41.91634	125.93655	0.16986	5.88704	7.5449	55.03701	2.68063	0.4073	1.84538	1625.62477	2.30935	0.00262153	868.6457	17241.064	153.379	7462.779
594.55	0.69423	0.30577	2.62465	10.66176	-5.79024	40.32013	129.96647	0.16357	6.1136	9.90302	55.34264	3.53352	0.4013	1.8951	2306.81634	2.23471	0.00183587	867.51911	16622.442	 	7913.744
590.0	0.72069	0.27931	2.63049	10.6381	-5.9993	39.2452	132.80992	0.15923	6.28027	11.79533	55.58725	4.22106	0.3972	1.93825	2953.84957	2.17351	0.00142621	866.7734	16179.912	106.115	8216.774
583.8	0.74993	0.25007	2.63727	10.61076	-6.24086	38.04582	136.08384	0.15428	6.48165	14.22608	55.9086	5.10781	0.39258	1.99954	3963.09776	2.09176	0.00105538	866.00652	15654.502	 	8552.405
580.0	0.76472	0.23528	2.64089	10.59622	-6.36939	37.43041	137.79497	0.15169	6.59237	15.61062	56.09957	5.61457	0.39019	2.03871	4658.82673	2.04247	8.9379E-4	865.65757	15367.329	81.2583	8723.557
