T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
700.0	0.0	1.0	2.45982	11.32824	0.0	66.60831	88.61271	0.26906	3.71664	0.0	51.39232	0.0	0.5	1.29081	1.29081	3.67963	3.67963	778.18745	28875.712	 	0.0
695.0	0.0	1.0	2.46151	11.32046	-0.0687013	66.71749	88.44153	0.2682	3.72861	0.0	51.46379	0.0	0.5	1.30489	1.30489	3.62123	3.62123	779.47244	28717.934	31.5556	0.0
692.46	0.0	1.0	2.46236	11.31652	-0.10347	66.77397	88.35468	0.26776	3.73474	0.0	51.50004	0.0	0.5	1.31215	1.31215	3.59176	3.59176	780.12332	28637.9	31.5547	0.0
690.0	1.2E-4	0.99988	2.46321	11.31263	-0.13782	66.82594	88.27261	0.26732	3.74081	7.12E-15	51.53508	2.37338E-15	0.49997	1.31915	1.31915	3.56358	3.56358	780.74953	28557.724	32.5437	2.44
685.0	3.6E-4	0.99964	2.46492	11.30476	-0.20735	66.93368	88.10589	0.26644	3.75323	5.46561E-13	51.60632	1.82198E-13	0.49991	1.3336	1.3336	3.50668	3.50668	782.02211	28395.192	32.5064	7.205
680.0	5.8E-4	0.99942	2.46663	11.29695	-0.27621	67.04688	87.93916	0.26555	3.76578	3.87305E-12	51.67781	1.29114E-12	0.49986	1.34837	1.34837	3.45016	3.45016	783.29271	28232.902	32.458	11.734
675.0	7.9E-4	0.99921	2.46833	11.28907	-0.34578	67.15777	87.7714	0.26466	3.77842	1.36076E-11	51.7489	4.53646E-12	0.4998	1.36347	1.36347	3.39404	3.39404	784.56149	28070.844	32.4116	16.036
670.0	9.9E-4	0.99901	2.47003	11.28139	-0.41363	67.28041	87.60454	0.26377	3.79123	3.39568E-11	51.82085	1.13208E-11	0.49976	1.37892	1.37892	3.33832	3.33832	785.82783	27909.01	32.3668	20.118
665.0	0.00119	0.99881	2.47172	11.27362	-0.48221	67.40071	87.43667	0.26287	3.80413	6.91801E-11	51.89237	2.30645E-11	0.49971	1.39473	1.39473	3.28299	3.28299	787.09207	27747.39	32.324	23.993
660.0	0.00137	0.99863	2.47341	11.26589	-0.55045	67.52487	87.26871	0.26197	3.81717	1.23111E-10	51.96402	4.10464E-11	0.49966	1.4109	1.4109	3.22807	3.22807	788.35382	27585.965	32.285	27.668
655.0	0.00154	0.99846	2.4751	11.25823	-0.61808	67.65466	87.10073	0.26107	3.83034	1.99191E-10	52.0359	6.6414E-11	0.49962	1.42744	1.42744	3.17356	3.17356	789.61298	27424.931	32.2068	31.151
650.0	0.0017	0.9983	2.47678	11.25062	-0.68526	67.78927	86.93269	0.26017	3.84366	2.99917E-10	52.10794	1.0E-10	0.49958	1.44437	1.44437	3.11946	3.11946	790.8694	27264.412	32.1038	34.45
645.0	0.00185	0.99815	2.47845	11.24303	-0.75221	67.92751	86.76452	0.25926	3.85711	4.27129E-10	52.18	1.4242E-10	0.49954	1.4617	1.4617	3.06578	3.06578	791.75049	27104.408	32.0008	37.573
640.0	0.0020	0.998	2.48013	11.23541	-0.81951	68.06579	86.59551	0.25835	3.87068	5.81866E-10	52.25184	1.94019E-10	0.49951	1.47945	1.47945	3.01252	3.01252	793.02301	26944.919	31.8978	40.527
638.48	0.00204	0.99796	2.48064	11.23313	-0.83959	68.11043	86.54448	0.25808	3.87484	6.34394E-10	52.27388	2.11536E-10	0.4995	1.48492	1.48492	2.99642	2.99642	793.40981	26896.578	 	41.392
638.48	0.00204	0.99796	2.48064	11.23313	-0.83959	68.11042	86.54449	0.25807	3.87484	6.34394E-10	52.27387	2.11536E-10	0.4995	1.48492	1.48842	2.99642	2.98937	793.40977	26896.576	 	41.393
635.0	0.0784602	0.92154	2.49421	11.17203	-1.37898	65.15413	90.36432	0.24622	4.06138	0.001211	52.54792	4.06256E-4	0.49044	1.50464	1.83956	2.94586	2.40952	792.12635	25956.96	197.592	872.294
632.5	0.14228	0.85772	2.50555	11.1214	-1.82588	62.6394	93.73912	0.2367	4.22469	0.0140195	52.79725	0.00472747	0.48277	1.52146	3.76082	2.90527	1.17534	790.79238	25185.466	 	1565.807
630.0	0.21665	0.78335	2.51893	11.06238	-2.34691	59.64031	97.80455	0.22624	4.42011	0.0754852	53.0356	0.0256179	0.47329	1.53901	12.86259	2.86422	0.3427	789.05086	24286.76	334.04	2386.648
625.0	0.35057	0.64943	2.54346	10.95564	-3.28918	54.19641	106.12329	0.20735	4.82276	0.54302	53.4963	0.18649	0.45591	1.57901	84.21516	2.7762	0.0520529	785.50564	22655.242	326.304	3862.665
620.0	0.45037	0.54963	2.56234	10.87483	-4.0025	50.1166	113.49317	0.19281	5.18656	1.55072	53.89826	0.53746	0.44264	1.62197	248.78081	2.68763	0.0175224	782.50677	21399.908	251.067	4962.843
615.0	0.52519	0.47481	2.57696	10.81302	-4.54815	47.04275	119.63284	0.18189	5.49791	2.98129	54.25421	1.04062	0.43246	1.66706	506.27884	2.60029	0.00856216	780.05263	20419.359	196.11	5788.579
