T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.94841	7.85396	0.0	29.0306	31.33808	1.8437	0.54239	0.0	106.16373	0.0	0.49779	6.6249	6.6249	1.30633	1.30633	1765.93266	64445.297	 	0.0
1495.0	0.0	1.0	6.9523	7.84956	-0.056013	28.98601	31.26305	1.84292	0.54262	0.0	106.34866	0.0	0.49779	6.68272	6.68272	1.29138	1.29138	1767.72195	64224.111	44.2372	0.0
1490.0	0.0	1.0	6.95619	7.84518	-0.11187	28.94152	31.18802	1.84213	0.54285	0.0	106.53358	0.0	0.49779	6.74137	6.74137	1.27652	1.27652	1769.50811	64003.422	44.1378	0.0
1485.0	0.0	1.0	6.96007	7.8408	-0.16757	28.89712	31.11299	1.84133	0.54309	0.0	106.7185	0.0	0.49779	6.80087	6.80087	1.26176	1.26176	1771.29111	63783.23	44.0384	0.0
1480.0	0.0	1.0	6.96394	7.83644	-0.22312	28.85283	31.03795	1.84053	0.54332	0.0	106.90343	0.0	0.49779	6.86124	6.86124	1.2471	1.2471	1773.07091	63563.528	43.9404	0.0
1475.0	0.0	1.0	6.96781	7.83209	-0.27851	28.80863	30.96292	1.83973	0.54356	0.0	107.08835	0.0	0.49779	6.9225	6.9225	1.23254	1.23254	1774.84747	63344.316	43.8424	0.0
1470.0	0.0	1.0	6.97167	7.82775	-0.33374	28.76453	30.88789	1.83893	0.5438	0.0	107.27327	0.0	0.49779	6.98466	6.98466	1.21808	1.21808	1776.62074	63125.589	43.7454	0.0
1465.0	0.0	1.0	6.97553	7.82342	-0.38882	28.72053	30.81286	1.83812	0.54404	0.0	107.4582	0.0	0.49779	7.04774	7.04774	1.20372	1.20372	1778.3907	62907.345	43.6488	0.0
1460.0	0.0	1.0	6.97938	7.81911	-0.44374	28.67664	30.73783	1.8373	0.54428	0.0	107.64312	0.0	0.49779	7.11177	7.11177	1.18945	1.18945	1780.1573	62689.58	43.553	0.0
1455.0	0.0	1.0	6.98322	7.81481	-0.49851	28.63284	30.6628	1.83649	0.54452	0.0	107.82804	0.0	0.49779	7.17674	7.17674	1.17528	1.17528	1781.9205	62472.291	43.4578	0.0
