T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.86536	7.94678	0.0	25.44424	30.50627	1.89397	0.52799	0.0	103.49371	0.0	0.4978	6.65362	6.65362	1.30069	1.30069	1767.00932	62719.615	 	0.0
1495.0	0.0	1.0	6.86919	7.94234	-0.0558354	25.38992	30.43605	1.89299	0.52826	0.0	103.68065	0.0	0.4978	6.71113	6.71113	1.28591	1.28591	1768.74321	62500.476	43.8278	0.0
1490.0	0.0	1.0	6.87302	7.93791	-0.11152	25.33561	30.36582	1.892	0.52854	0.0	103.86759	0.0	0.4978	6.76947	6.76947	1.27122	1.27122	1770.47285	62281.863	43.7226	0.0
1485.0	0.0	1.0	6.87685	7.9335	-0.16705	25.28131	30.29559	1.89101	0.52882	0.0	104.05454	0.0	0.4978	6.82865	6.82865	1.25663	1.25663	1772.19819	62063.775	43.6176	0.0
1480.0	0.0	1.0	6.88066	7.9291	-0.22244	25.22703	30.22536	1.89002	0.5291	0.0	104.24148	0.0	0.4978	6.88869	6.88869	1.24214	1.24214	1773.91919	61846.207	43.5136	0.0
1475.0	0.0	1.0	6.88447	7.92471	-0.27767	25.17275	30.15514	1.88901	0.52938	0.0	104.42842	0.0	0.4978	6.94961	6.94961	1.22774	1.22774	1775.63579	61629.156	43.4102	0.0
1470.0	0.0	1.0	6.88828	7.92033	-0.33275	25.11848	30.08491	1.88801	0.52966	0.0	104.61536	0.0	0.4978	7.01142	7.01142	1.21343	1.21343	1777.34794	61412.619	43.3074	0.0
1465.0	0.0	1.0	6.89208	7.91597	-0.38768	25.06423	30.01468	1.887	0.52994	0.0	104.80231	0.0	0.4978	7.07414	7.07414	1.19922	1.19922	1779.05558	61196.591	43.2056	0.0
1460.0	0.0	1.0	6.89587	7.91162	-0.44246	25.00999	29.94445	1.88598	0.53023	0.0	104.98925	0.0	0.4978	7.13779	7.13779	1.18511	1.18511	1780.75867	60981.07	43.1042	0.0
1455.0	0.0	1.0	6.89966	7.90727	-0.49709	24.95575	29.87423	1.88496	0.53051	0.0	105.17619	0.0	0.4978	7.20238	7.20238	1.17109	1.17109	1782.45714	60766.052	43.0036	0.0
1451.8	0.0	1.0	6.90207	7.90451	-0.53192	24.92111	29.82935	1.88431	0.5307	0.0	105.29565	0.0	0.4978	7.24416	7.24416	1.16219	1.16219	1783.54008	60628.912	42.9213	0.0030
1450.0	0.0750103	0.92499	6.91572	7.88889	-0.7284	24.44132	30.08272	1.86648	0.53577	0.00168075	102.40276	5.65241E-4	0.48675	7.2503	8.09473	1.15999	1.03898	1782.61913	59870.657	420.121	680.886
1445.0	0.25023	0.74977	6.94852	7.85173	-1.19602	23.30609	30.68464	1.82456	0.54808	0.21345	95.6737	0.0730628	0.46074	7.2682	22.77145	1.15377	0.36826	1780.18674	58068.465	360.438	2269.1
1440.0	0.38262	0.61738	6.97442	7.82272	-1.56115	22.43146	31.14775	1.7922	0.55797	1.1919	90.6581	0.4136	0.44087	7.28725	84.72576	1.14741	0.0986885	1777.89678	56661.106	281.472	3463.004
1435.0	0.48528	0.51472	6.99543	7.79946	-1.85376	21.74137	31.51154	1.76634	0.56614	3.14143	86.84756	1.10202	0.42531	7.30766	210.85273	1.14087	0.0395397	1775.73033	55528.977	226.426	4382.197
1430.0	0.56656	0.43344	7.01297	7.78026	-2.09541	21.18088	31.79996	1.7452	0.573	5.93229	83.91216	2.09935	0.41289	7.32878	398.90235	1.13425	0.0208388	1773.67602	54595.207	186.754	5103.55
1425.0	0.63205	0.36795	7.02788	7.76412	-2.29846	20.71865	32.02997	1.72758	0.57885	9.32644	81.62807	3.32423	0.4028	7.35086	639.32876	1.12752	0.012964	1771.71927	53807.891	157.463	5678.958
1420.0	0.68568	0.31432	7.04081	7.75024	-2.47317	20.32843	32.21362	1.71267	0.58388	13.09584	79.83667	4.69564	0.39447	7.37376	921.87154	1.12071	0.0089642	1769.85183	53130.698	135.439	6144.754
1415.0	0.73008	0.26992	7.05218	7.73815	-2.62533	19.99558	32.35991	1.69989	0.58827	17.04948	78.43039	6.1439	0.38751	7.39749	1237.28456	1.11382	0.00665929	1768.06319	52538.671	118.405	6525.889
1410.0	0.76728	0.23272	7.06232	7.72747	-2.75964	19.70812	32.47603	1.6888	0.59214	21.05085	77.32755	7.61805	0.38164	7.42196	1578.73263	1.10685	0.00520356	1766.3446	52013.265	105.081	6840.905
1405.0	0.79872	0.20128	7.07145	7.71796	-2.87932	19.45791	32.56751	1.67905	0.59557	25.00663	76.46719	9.0825	0.37664	7.44746	1941.42806	1.09979	0.00421887	1764.68718	51540.716	94.5098	7103.559
1400.0	0.82557	0.17443	7.07981	7.70934	-2.98781	19.23604	32.63872	1.6704	0.59866	28.8584	75.80239	10.51438	0.37233	7.47337	2322.30051	1.09271	0.00351644	1763.08759	51110.403	86.0626	7324.472
1395.0	0.84866	0.15134	7.08749	7.70146	-3.08694	19.03789	32.69301	1.66264	0.60145	32.5688	75.29763	11.89865	0.36859	7.50018	2719.41184	1.08555	0.00299397	1761.53889	50714.569	79.1668	7511.398
1390.0	0.86859	0.13141	7.09461	7.69424	-3.17782	18.86072	32.73292	1.65563	0.604	36.10652	74.92807	13.22258	0.36534	7.52793	3130.90491	1.07831	0.00259268	1760.03435	50347.369	73.44	7670.175
1385.0	0.88589	0.11411	7.10125	7.68754	-3.26217	18.70005	32.76074	1.64926	0.60633	39.4645	74.67082	14.48262	0.36248	7.55597	3556.53817	1.07108	0.00227553	1758.57264	50003.937	68.6864	7805.669
1380.0	0.90099	0.0990118	7.10749	7.68128	-3.34089	18.55359	32.77813	1.64341	0.60849	42.63716	74.50866	15.67591	0.35996	7.58482	3996.11034	1.06378	0.00201912	1757.14901	49680.401	64.7072	7921.747
1378.16	0.90649	0.0935072	7.10985	7.67894	-3.37037	18.49809	32.7843	1.64127	0.60929	43.84917	74.45404	16.13244	0.35904	7.59558	4169.88719	1.06109	0.00193281	1756.62905	49562.71	 	7963.019
1375.0	0.91864	0.08136	7.11507	7.67383	-3.43474	18.36449	32.80728	1.63698	0.61088	46.57736	74.2646	17.16141	0.35704	7.61759	4537.55154	1.05601	0.00177281	1756.2926	49335.485	68.9832	8059.683
1370.0	0.93535	0.0646548	7.12261	7.66649	-3.527	18.17837	32.83186	1.6308	0.6132	50.60207	74.06978	18.68256	0.35426	7.65324	5125.962	1.0479	0.00156455	1755.7517	48999.175	67.262	8189.489
1365.0	0.9494	0.0506017	7.1294	7.65995	-3.60937	18.01822	32.8439	1.62524	0.61529	54.26769	73.98465	20.07104	0.35189	7.6894	5721.21859	1.0398	0.0013975	1755.20649	48687.564	62.3222	8295.067
1360.0	0.9613	0.0387017	7.13558	7.65404	-3.68374	17.8791	32.84564	1.62019	0.61721	57.6058	73.98881	21.33779	0.34985	7.72588	6325.41552	1.03173	0.00126015	1754.65767	48395.707	58.3714	8381.361
1357.44	0.96922	0.0307812	7.13949	7.65045	-3.72885	17.78787	32.8553	1.61718	0.61836	59.85502	73.93016	22.19275	0.34853	7.74483	6709.06273	1.02759	0.00118623	1754.37317	48237.276	 	8434.85
1355.0	0.97351	0.0264875	7.14197	7.64801	-3.75959	17.73481	32.84422	1.6153	0.61908	61.22233	74.03218	22.7121	0.34779	7.77499	7010.53885	1.02207	0.00113352	1753.95255	48103.006	58.5402	8468.966
1350.0	0.98071	0.0192913	7.14658	7.64345	-3.81701	17.64104	32.8156	1.61174	0.62045	63.66149	74.29201	23.63922	0.34652	7.83802	7617.36637	1.01074	0.00104002	1753.14055	47842.764	52.0484	8524.576
1345.0	0.98617	0.0138303	7.15067	7.63937	-3.86833	17.56366	32.78052	1.6085	0.6217	65.6857	74.60435	24.40918	0.34551	7.90374	8215.20558	0.99925	9.61362E-4	1752.3656	47598.655	48.8218	8564.513
1340.0	0.99024	0.00976227	7.15431	7.63569	-3.91468	17.49972	32.74012	1.60551	0.62286	67.35841	74.95932	25.04569	0.34471	7.97207	8808.79032	0.98762	8.9381E-4	1751.61884	47366.969	46.3372	8592.486
1335.0	0.99318	0.00681638	7.1576	7.63232	-3.957	17.44671	32.69515	1.60273	0.62393	68.73455	75.34906	25.56939	0.34408	8.04226	9402.584	0.97597	8.34768E-4	1750.90771	47144.861	44.4216	8611.335
1330.0	0.99474	0.00525911	7.16037	7.62939	-3.9939	17.40869	32.6441	1.60025	0.6249	69.71751	75.78291	25.94311	0.34366	8.11498	9981.48563	0.96421	7.83909E-4	1750.22106	46933.811	42.21	8619.58
1325.0	0.99611	0.00388825	7.16311	7.6265	-4.03022	17.37203	32.59256	1.59778	0.62587	70.65537	76.2228	26.29975	0.34327	8.1902	10590.47196	0.95238	7.36527E-4	1749.55646	46724.86	41.7902	8626.176
1320.36	0.99719	0.00280655	7.16559	7.62388	-4.06324	17.33975	32.54417	1.59551	0.62676	71.47625	76.63664	26.61194	0.34294	8.26179	11182.6236	0.94138	6.955E-4	1748.95962	46532.905	 	8630.674
1320.0	0.99728	0.00272462	7.16578	7.62368	-4.0658	17.33721	32.54052	1.59533	0.62683	71.53922	76.6682	26.63591	0.34291	8.26832	11229.472	0.94043	6.92443E-4	1748.86034	46518.233	41.3254	8630.892
1315.0	0.99833	0.0016708	7.16842	7.62086	-4.10125	17.30249	32.48925	1.59283	0.62781	72.39777	77.11226	26.96267	0.34256	8.35929	11902.40771	0.92728	6.51243E-4	1747.56034	46314.35	40.7766	8633.312
1310.0	0.99923	7.73089E-4	7.17101	7.61809	-4.1361	17.26922	32.43739	1.59035	0.62879	73.21509	77.56241	27.27376	0.34223	8.45135	12611.70346	0.91429	6.12682E-4	1746.32373	46112.065	40.457	8634.576
1305.0	1.0	0.0	7.17358	7.61536	-4.1705	17.23703	32.38507	1.58789	0.62977	74.00063	78.01771	27.57277	0.34191	 	13361.00489	 	5.76495E-4	 	45911.031	40.2068	8635.028
1300.0	1.0	0.0	7.17582	7.61298	-4.20041	17.21761	32.3295	1.58558	0.63068	74.53641	78.49046	27.77625	0.34173	 	14111.87253	 	5.44092E-4	 	45669.352	48.3358	 
1295.0	1.0	0.0	7.17805	7.61061	-4.23028	17.19819	32.27393	1.58326	0.63161	75.07508	78.96515	27.98085	0.34154	 	14910.16318	 	5.13324E-4	 	45473.693	39.1318	 
1290.0	1.0	0.0	7.18029	7.60824	-4.26009	17.17876	32.21836	1.58094	0.63254	75.61661	79.44173	28.18658	0.34136	 	15759.18858	 	4.84121E-4	 	45278.3	39.0786	 
1285.0	1.0	0.0	7.18252	7.60587	-4.28985	17.15933	32.16279	1.5786	0.63347	76.16096	79.92016	28.39342	0.34117	 	16662.51322	 	4.5641E-4	 	45083.172	39.0256	 
1280.0	1.0	0.0	7.18475	7.60351	-4.31956	17.1399	32.10723	1.57626	0.63441	76.7081	80.40039	28.60135	0.34099	 	17623.97524	 	4.30127E-4	 	44888.309	38.9726	 
1275.0	1.0	0.0	7.18698	7.60115	-4.34922	17.12047	32.05166	1.57391	0.63536	77.25798	80.88238	28.81037	0.3408	 	18647.70915	 	4.05204E-4	 	44693.707	38.9204	 
1270.0	1.0	0.0	7.1892	7.5988	-4.37882	17.10104	31.99609	1.57155	0.63631	77.81057	81.36608	29.02045	0.34062	 	19738.17067	 	3.81582E-4	 	44499.367	38.868	 
1265.0	1.0	0.0	7.19143	7.59645	-4.40838	17.0816	31.94052	1.56919	0.63727	78.36584	81.85145	29.23159	0.34043	 	20900.16367	 	3.59199E-4	 	44305.288	38.8158	 
1260.0	1.0	0.0	7.19365	7.59411	-4.43788	17.06217	31.88495	1.56681	0.63824	78.92375	82.33845	29.44377	0.34025	 	22138.8697	 	3.37999E-4	 	44111.467	38.7642	 
1255.0	1.0	0.0	7.19586	7.59177	-4.46733	17.04273	31.82938	1.56443	0.63921	79.48425	82.82702	29.65698	0.34006	 	23459.88007	 	3.17927E-4	 	43917.903	38.7128	 
1250.0	1.0	0.0	7.19808	7.58943	-4.49673	17.02329	31.77381	1.56204	0.64019	80.04732	83.31713	29.87121	0.33987	 	24869.23096	 	2.98928E-4	 	43724.596	38.6614	 
1245.0	1.0	0.0	7.20029	7.5871	-4.52607	17.00385	31.71824	1.55964	0.64118	80.61292	83.80874	30.08644	0.33969	 	26373.4417	 	2.80954E-4	 	43531.544	38.6104	 
1240.0	1.0	0.0	7.2025	7.58477	-4.55537	16.98441	31.66267	1.55723	0.64217	81.18101	84.3018	30.30266	0.3395	 	27979.55664	 	2.63954E-4	 	43338.745	38.5598	 
1235.0	1.0	0.0	7.20471	7.58245	-4.58461	16.96496	31.6071	1.55481	0.64316	81.75156	84.79626	30.51985	0.33932	 	29695.19087	 	2.47882E-4	 	43146.2	38.509	 
1230.0	1.0	0.0	7.20691	7.58013	-4.6138	16.94552	31.55153	1.55239	0.64417	82.32452	85.29209	30.73801	0.33913	 	31528.58026	 	2.32694E-4	 	42953.906	38.4588	 
1225.0	1.0	0.0	7.20912	7.57781	-4.64294	16.92607	31.49596	1.54995	0.64518	82.89986	85.78924	30.95712	0.33895	 	33488.63619	 	2.18346E-4	 	42761.862	38.4088	 
