T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
700.0	0.0	1.0	2.41801	11.25953	0.0	58.94217	85.95693	0.27737	3.60525	0.0	50.61591	0.0	0.5	1.30215	1.30215	3.64758	3.64758	789.15079	31024.079	 	0.0
695.0	0.0	1.0	2.41969	11.25173	-0.0693017	58.9961	85.79432	0.27647	3.61701	0.0	50.67925	0.0	0.5	1.31639	1.31639	3.58959	3.58959	790.32688	30866.987	31.4184	0.0
690.0	0.0	1.0	2.42136	11.24395	-0.13839	59.05203	85.63171	0.27557	3.6289	0.0	50.7426	0.0	0.5	1.33093	1.33093	3.53203	3.53203	791.49927	30709.902	31.417	0.0
685.0	0.0	1.0	2.42303	11.2362	-0.20727	59.11	85.46909	0.27466	3.64091	0.0	50.80594	0.0	0.5	1.3458	1.3458	3.47489	3.47489	792.66838	30552.825	31.4154	0.0
680.0	0.0	1.0	2.4247	11.22846	-0.27594	59.17006	85.30648	0.27374	3.65304	0.0	50.86928	0.0	0.5	1.36098	1.36098	3.41819	3.41819	793.83409	30395.756	31.4138	0.0
675.0	0.0	1.0	2.42637	11.22076	-0.34439	59.23226	85.14386	0.27283	3.66531	0.0	50.93262	0.0	0.5	1.3765	1.3765	3.36192	3.36192	794.99628	30238.694	31.4124	0.0
670.0	0.0	1.0	2.42803	11.21307	-0.41264	59.29665	84.98125	0.27191	3.6777	0.0	50.99596	0.0	0.5	1.39236	1.39236	3.30609	3.30609	796.15484	30081.64	31.4108	0.0
665.0	0.0	1.0	2.42969	11.20541	-0.48067	59.36327	84.81863	0.27099	3.69023	0.0	51.05931	0.0	0.5	1.40858	1.40858	3.2507	3.2507	797.30962	29924.594	31.4092	0.0
660.0	0.0	1.0	2.43135	11.19778	-0.54849	59.4322	84.65601	0.27006	3.70289	0.0	51.12265	0.0	0.5	1.42516	1.42516	3.19575	3.19575	798.46045	29767.545	31.4098	0.0
655.0	0.0	1.0	2.433	11.19016	-0.6161	59.50346	84.49338	0.26913	3.71568	0.0	51.18599	0.0	0.5	1.44213	1.44213	3.14124	3.14124	799.60731	29610.695	31.37	0.0
650.0	0.0	1.0	2.43465	11.18258	-0.6835	59.57713	84.33076	0.2682	3.72862	0.0	51.24933	0.0	0.5	1.45948	1.45948	3.08718	3.08718	800.75	29454.174	31.3042	0.0
645.0	0.0	1.0	2.4363	11.17501	-0.75068	59.65327	84.16814	0.26726	3.74169	0.0	51.31268	0.0	0.5	1.47723	1.47723	3.03356	3.03356	801.48266	29297.982	31.2384	0.0
640.0	0.0	1.0	2.43795	11.16747	-0.81766	59.73192	84.00551	0.26632	3.75491	0.0	51.37602	0.0	0.5	1.49539	1.49539	2.98039	2.98039	802.64049	29142.121	31.1722	0.0
635.0	0.0	1.0	2.43959	11.15995	-0.88442	59.81316	83.84288	0.26537	3.76827	0.0	51.43936	0.0	0.5	1.51398	1.51398	2.92768	2.92768	803.79289	28986.591	31.106	0.0
630.0	0.0	1.0	2.44123	11.15246	-0.95097	59.89704	83.68025	0.26443	3.78179	0.0	51.5027	0.0	0.5	1.53302	1.53302	2.87541	2.87541	804.93972	28831.393	31.0396	0.0
625.0	0.0	1.0	2.44286	11.14499	-1.01731	59.98364	83.51762	0.26347	3.79545	0.0	51.56604	0.0	0.5	1.55251	1.55251	2.8236	2.8236	806.08085	28676.526	30.9734	0.0
622.24	0.0	1.0	2.44377	11.14087	-1.0539	60.03271	83.4277	0.26295	3.80307	0.0	51.60107	0.0	0.5	1.56348	1.56348	2.79514	2.79514	806.70933	28591.042	30.921	0.0
620.0	0.0469601	0.95304	2.45186	11.10412	-1.3803	58.21144	85.63733	0.25552	3.91357	1.60998E-4	51.76506	5.38649E-5	0.49446	1.57799	1.707	2.76253	2.55375	806.001	28021.399	254.827	500.593
615.0	0.14379	0.85621	2.46884	11.02773	-2.05872	54.41441	90.4046	0.24069	4.15469	0.0146052	52.1081	0.00492464	0.48287	1.61275	4.61175	2.68785	0.93996	804.45101	26835.496	237.181	1532.292
