T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
700.0	0.00238	0.99762	2.45858	11.38854	0.0	66.94319	88.66206	0.26891	3.71871	6.21165E-10	49.46381	2.07123E-10	0.4995	1.26421	1.26421	3.75705	3.75705	724.40395	29553.607	 	0.0
695.0	0.00253	0.99747	2.46031	11.38052	-0.0703512	67.04531	88.49051	0.26805	3.73068	7.99925E-10	49.53395	2.66736E-10	0.49947	1.27758	1.27758	3.69863	3.69863	725.3742	29392.097	32.302	2.52
690.0	0.00267	0.99733	2.46204	11.37256	-0.14032	67.15113	88.31905	0.26718	3.74278	1.00531E-9	49.60413	3.35229E-10	0.49944	1.29124	1.29124	3.64061	3.64061	726.34411	29230.7	32.2794	4.926
685.0	0.00281	0.99719	2.46376	11.36463	-0.20992	67.26068	88.14768	0.26631	3.75501	1.23673E-9	49.67435	4.12406E-10	0.49941	1.3052	1.3052	3.58298	3.58298	727.31368	29069.412	32.2576	7.224
680.0	0.00294	0.99706	2.46547	11.35675	-0.27914	67.37411	87.97639	0.26544	3.76737	1.4944E-9	49.74461	4.98338E-10	0.49939	1.31946	1.31946	3.52575	3.52575	728.2829	28908.228	32.2368	9.422
675.0	0.00306	0.99694	2.46719	11.34879	-0.349	67.48559	87.80431	0.26456	3.77983	1.77693E-9	49.8144	5.92564E-10	0.49936	1.33404	1.33404	3.46893	3.46893	729.25182	28747.144	32.2168	11.519
670.0	0.00318	0.99682	2.46889	11.34099	-0.41749	67.60675	87.63318	0.26368	3.79247	2.0838E-9	49.88472	6.9491E-10	0.49933	1.34894	1.34894	3.41251	3.41251	730.22033	28586.156	32.1976	13.525
666.71	0.00326	0.99674	2.47001	11.33583	-0.46278	67.68631	87.5203	0.2631	3.80084	2.29783E-9	49.93084	7.66291E-10	0.49932	1.35893	1.35893	3.37561	3.37561	730.85758	28480.253	32.182	14.794
665.0	0.0038	0.9962	2.47069	11.3327	-0.49028	67.70444	87.46686	0.26278	3.80544	2.4243E-9	49.95719	8.08542E-10	0.49918	1.36383	1.36383	3.35737	3.35737	731.19067	28416.825	37.1087	23.875
660.0	0.00532	0.99468	2.47265	11.32371	-0.56918	67.76724	87.31034	0.26185	3.81899	3.58571E-9	50.03521	1.1962E-9	0.49879	1.37842	1.37842	3.30413	3.30413	732.16453	28232.334	36.8982	49.375
