T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.86624	7.68995	0.0	28.34997	32.75548	1.76392	0.56692	0.0	99.03145	0.0	0.49976	5.85938	5.85938	1.477	1.477	1778.37639	64936.194	 	0.0
1495.0	0.0	1.0	6.87008	7.68565	-0.0558959	28.30375	32.68307	1.76284	0.56727	0.0	99.21328	0.0	0.49976	5.90793	5.90793	1.46073	1.46073	1780.37862	64718.091	43.6206	0.0
1490.0	0.0	1.0	6.87391	7.68136	-0.11164	28.25761	32.61067	1.76176	0.56761	0.0	99.39512	0.0	0.49976	5.95716	5.95716	1.44456	1.44456	1782.37853	64500.548	43.5086	0.0
1485.0	0.0	1.0	6.87774	7.67709	-0.16722	28.21156	32.53826	1.76068	0.56796	0.0	99.57695	0.0	0.49976	6.00709	6.00709	1.4285	1.4285	1784.37608	64283.561	43.3974	0.0
1480.0	0.0	1.0	6.88156	7.67282	-0.22265	28.16559	32.46585	1.75958	0.56832	0.0	99.75878	0.0	0.49976	6.05772	6.05772	1.41253	1.41253	1786.37125	64067.125	43.2872	0.0
1475.0	0.0	1.0	6.88537	7.66857	-0.27792	28.11971	32.39345	1.75849	0.56867	0.0	99.94061	0.0	0.49976	6.10907	6.10907	1.39666	1.39666	1788.364	63851.239	43.1772	0.0
1470.0	0.0	1.0	6.88918	7.66433	-0.33304	28.07391	32.32104	1.75739	0.56903	0.0	100.12244	0.0	0.49976	6.16115	6.16115	1.38089	1.38089	1790.3543	63635.897	43.0684	0.0
1465.0	0.0	1.0	6.89298	7.66011	-0.388	28.0282	32.24863	1.75628	0.56939	0.0	100.30427	0.0	0.49976	6.21399	6.21399	1.36522	1.36522	1792.34212	63421.096	42.9602	0.0
1460.0	0.0	1.0	6.89678	7.65589	-0.44281	27.98258	32.17622	1.75517	0.56975	0.0	100.4861	0.0	0.49976	6.26758	6.26758	1.34966	1.34966	1794.32742	63206.833	42.8526	0.0
1455.0	0.0	1.0	6.90057	7.65169	-0.49746	27.93705	32.10382	1.75405	0.57011	0.0	100.66794	0.0	0.49976	6.32195	6.32195	1.33419	1.33419	1796.31017	62993.103	42.746	0.0
1450.0	0.0	1.0	6.90435	7.6475	-0.55196	27.89161	32.03141	1.75293	0.57047	0.0	100.84977	0.0	0.49976	6.37711	6.37711	1.31882	1.31882	1798.29032	62779.905	42.6396	0.0
1445.0	0.0	1.0	6.90812	7.64332	-0.6063	27.84626	31.959	1.7518	0.57084	0.0	101.0316	0.0	0.49976	6.43308	6.43308	1.30355	1.30355	1800.26785	62567.237	42.5336	0.0
1440.0	0.0	1.0	6.91189	7.63915	-0.66048	27.801	31.8866	1.75067	0.57121	0.0	101.21343	0.0	0.49976	6.48987	6.48987	1.28839	1.28839	1802.24272	62355.096	42.4282	0.0
1435.0	0.0	1.0	6.91565	7.635	-0.71451	27.75583	31.81419	1.74954	0.57158	0.0	101.39526	0.0	0.49976	6.5475	6.5475	1.27332	1.27332	1804.21489	62143.477	42.3238	0.0
1430.0	0.0	1.0	6.91941	7.63086	-0.76838	27.71076	31.74178	1.74839	0.57195	0.0	101.57709	0.0	0.49976	6.60598	6.60598	1.25835	1.25835	1806.18432	61932.378	42.2198	0.0
1425.0	0.0	1.0	6.92315	7.62673	-0.8221	27.66578	31.66938	1.74725	0.57233	0.0	101.75892	0.0	0.49976	6.66534	6.66534	1.24348	1.24348	1808.15097	61721.795	42.1166	0.0
1420.0	0.0	1.0	6.92689	7.62261	-0.87566	27.6209	31.59697	1.74609	0.57271	0.0	101.94075	0.0	0.49976	6.72558	6.72558	1.22872	1.22872	1810.11481	61511.725	42.014	0.0
1415.0	0.0	1.0	6.93063	7.6185	-0.92907	27.57611	31.52456	1.74494	0.57309	0.0	102.12259	0.0	0.49976	6.78673	6.78673	1.21405	1.21405	1812.07579	61302.164	41.9122	0.0
1410.0	0.0	1.0	6.93436	7.61441	-0.98232	27.53143	31.45216	1.74377	0.57347	0.0	102.30442	0.0	0.49976	6.84881	6.84881	1.19948	1.19948	1814.03387	61093.108	41.8112	0.0
1405.0	0.0	1.0	6.93808	7.61032	-1.03542	27.48684	31.37975	1.74261	0.57385	0.0	102.48625	0.0	0.49976	6.91182	6.91182	1.18502	1.18502	1815.98902	60884.554	41.7108	0.0
1400.0	0.0	1.0	6.94179	7.60625	-1.08836	27.44235	31.30734	1.74143	0.57424	0.0	102.66808	0.0	0.49976	6.9758	6.9758	1.17065	1.17065	1817.94118	60676.497	41.6114	0.0
1399.79	0.0	1.0	6.94195	7.60608	-1.0906	27.44047	31.30428	1.74138	0.57426	0.0	102.67577	0.0	0.49976	6.97853	6.97853	1.17005	1.17005	1818.02373	60667.703	41.5615	0.0010
1395.0	0.0513901	0.94861	6.9527	7.59426	-1.24428	27.11555	31.36116	1.73325	0.57695	3.54141E-4	100.60413	1.18677E-4	0.49204	6.98249	7.48795	1.16604	1.08732	1818.25345	60003.222	138.769	465.711
