T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	7.01142	7.89561	0.0	28.99405	30.8588	1.87234	0.53409	0.0	107.26953	0.0	0.49776	6.78376	6.78376	1.27574	1.27574	1770.28583	64581.803	 	0.0
1495.0	0.0	1.0	7.01532	7.89121	-0.0556464	28.9503	30.78221	1.8717	0.53427	0.0	107.45416	0.0	0.49776	6.84351	6.84351	1.26103	1.26103	1772.08415	64361.744	44.0118	0.0
1490.0	0.0	1.0	7.01922	7.88683	-0.11114	28.90665	30.70561	1.87107	0.53445	0.0	107.6388	0.0	0.49776	6.90414	6.90414	1.24642	1.24642	1773.87942	64142.172	43.9144	0.0
1485.0	0.0	1.0	7.02311	7.88246	-0.16648	28.86309	30.62902	1.87043	0.53464	0.0	107.82343	0.0	0.49776	6.96566	6.96566	1.23191	1.23191	1775.67162	63923.084	43.8176	0.0
1480.0	0.0	1.0	7.02699	7.8781	-0.22166	28.81963	30.55242	1.86978	0.53482	0.0	108.00807	0.0	0.49776	7.02808	7.02808	1.2175	1.2175	1777.4607	63704.476	43.7216	0.0
1475.0	0.0	1.0	7.03087	7.87376	-0.27669	28.77628	30.47583	1.86914	0.53501	0.0	108.19271	0.0	0.49776	7.09142	7.09142	1.20318	1.20318	1779.24663	63486.345	43.6262	0.0
1470.0	0.0	1.0	7.03474	7.86943	-0.33157	28.73302	30.39923	1.86849	0.53519	0.0	108.37734	0.0	0.49776	7.1557	7.1557	1.18897	1.18897	1781.02937	63268.688	43.5314	0.0
1465.0	0.0	1.0	7.03861	7.86511	-0.38629	28.68987	30.32263	1.86783	0.53538	0.0	108.56198	0.0	0.49776	7.22094	7.22094	1.17484	1.17484	1782.80888	63051.502	43.4372	0.0
1460.0	0.0	1.0	7.04246	7.8608	-0.44085	28.64682	30.24604	1.86718	0.53557	0.0	108.74662	0.0	0.49776	7.28715	7.28715	1.16082	1.16082	1784.58513	62834.784	43.3436	0.0
1455.0	0.0	1.0	7.04631	7.8565	-0.49527	28.60387	30.16944	1.86652	0.53576	0.0	108.93125	0.0	0.49776	7.35436	7.35436	1.14689	1.14689	1786.35807	62618.531	43.2506	0.0
1450.0	0.0	1.0	7.05016	7.85222	-0.54952	28.56103	30.09285	1.86585	0.53595	0.0	109.11589	0.0	0.49776	7.42258	7.42258	1.13306	1.13306	1788.12766	62402.772	43.1518	0.0
1445.0	0.0	1.0	7.054	7.84795	-0.60363	28.5183	30.01625	1.86519	0.53614	0.0	109.30053	0.0	0.49776	7.49185	7.49185	1.11933	1.11933	1789.89386	62187.558	43.0428	0.0
1440.0	0.0	1.0	7.05783	7.84369	-0.65758	28.47568	29.93966	1.86452	0.53633	0.0	109.48516	0.0	0.49776	7.56216	7.56216	1.1057	1.1057	1791.65663	61972.878	42.936	0.0
1435.0	0.0	1.0	7.06165	7.83944	-0.71137	28.43316	29.86306	1.86384	0.53653	0.0	109.6698	0.0	0.49776	7.63356	7.63356	1.09216	1.09216	1793.41593	61758.731	42.8294	0.0
1430.0	0.0	1.0	7.06547	7.8352	-0.76502	28.39075	29.78647	1.86317	0.53672	0.0	109.85443	0.0	0.49776	7.70605	7.70605	1.07872	1.07872	1795.1717	61545.112	42.7238	0.0
1425.0	0.0	1.0	7.06928	7.83098	-0.8185	28.34846	29.70987	1.86249	0.53692	0.0	110.03907	0.0	0.49776	7.77966	7.77966	1.06537	1.06537	1796.92391	61332.018	42.6188	0.0
1420.0	0.0	1.0	7.07308	7.82677	-0.87184	28.30628	29.63328	1.8618	0.53711	0.0	110.22371	0.0	0.49776	7.85442	7.85442	1.05213	1.05213	1798.67252	61119.445	42.5146	0.0
1417.8	0.0	1.0	7.07475	7.82492	-0.89523	28.28778	29.59961	1.8615	0.5372	0.0	110.30486	0.0	0.49776	7.88765	7.88765	1.04633	1.04633	1799.43992	61026.198	42.4305	0.0
1415.0	0.11076	0.88924	7.09352	7.80417	-1.15807	27.63361	29.77149	1.84769	0.54122	0.0115612	109.43835	0.00389823	0.48288	7.92922	10.69341	1.03912	0.77052	1798.36303	59634.092	496.762	1273.294
1410.85	0.24822	0.75178	7.11729	7.77815	-1.48756	26.82227	29.98451	1.83005	0.54643	0.29695	108.39967	0.1014	0.46423	7.99122	51.21484	1.02852	0.16048	1796.86219	57884.028	 	2847.575
1410.0	0.27804	0.72196	7.12255	7.77241	-1.56029	26.64113	30.06355	1.82432	0.54815	0.40825	107.91015	0.13981	0.46004	8.00005	74.05691	1.02687	0.11093	1796.3937	57532.973	420.224	3162.873
1405.0	0.43254	0.56746	7.15013	7.74241	-1.94023	25.7022	30.47363	1.79442	0.55728	1.60658	105.5122	0.55854	0.4382	8.05285	378.47485	1.01711	0.0216412	1793.79282	55688.186	368.957	4796.628
1400.0	0.54535	0.45465	7.1712	7.71968	-2.22814	25.00813	30.76596	1.77207	0.56431	3.64028	103.93159	1.27992	0.42208	8.10666	968.29938	1.00735	0.00843358	1791.38163	54282.92	281.053	5991.369
1395.0	0.6301	0.3699	7.18788	7.70181	-2.45454	24.47789	30.97594	1.7548	0.56986	6.47534	102.88829	2.29646	0.40985	8.16153	1792.96077	0.99759	0.00454099	1789.14214	53174.174	221.749	6890.091
1390.0	0.69536	0.30464	7.20157	7.68721	-2.6394	24.0582	31.12273	1.74129	0.57429	10.1459	102.20882	3.62265	0.40034	8.2172	2788.10534	0.98786	0.00291145	1787.05923	52271.568	180.521	7583.173
1385.0	0.74672	0.25328	7.21313	7.67493	-2.79496	23.71646	31.22547	1.73034	0.57792	14.70022	101.78259	5.27728	0.39279	8.27401	3903.28253	0.97812	0.00207339	1785.11722	51516.629	150.988	8129.085
1380.0	0.78789	0.21211	7.22316	7.66433	-2.92919	23.4314	31.29563	1.72126	0.58097	20.11559	101.53756	7.25323	0.38666	8.33199	5105.47939	0.96839	0.00158038	1783.30123	50870.203	129.285	8566.978
1375.0	0.82143	0.17857	7.23207	7.65497	-3.04772	23.18797	31.34113	1.71356	0.58358	26.24729	101.42471	9.49872	0.38162	8.39116	6375.38555	0.95865	0.00126176	1781.59803	50305.355	112.97	8923.782
1370.0	0.84916	0.15084	7.24013	7.64654	-3.15451	22.97556	31.36764	1.70692	0.58585	32.84178	101.40969	11.9216	0.37741	8.45184	7703.58686	0.94888	0.00104105	1779.9957	49803.096	100.452	9218.484
1365.0	0.87237	0.12763	7.24756	7.63879	-3.2527	22.7857	31.3792	1.7011	0.58786	39.59415	101.46851	14.41013	0.37383	8.51371	9087.13737	0.93912	8.79859E-4	1778.48638	49349.741	90.671	9464.766
1360.0	0.89201	0.10799	7.25451	7.63158	-3.34402	22.61378	31.37897	1.69592	0.58965	46.2183	101.58409	16.85861	0.37076	8.57673	10526.89335	0.92938	7.57203E-4	1777.05821	48935.226	82.903	9672.689
1355.0	0.9088	0.0911954	7.26108	7.62478	-3.43007	22.45546	31.36913	1.69126	0.59128	52.49577	101.74347	19.18563	0.3681	8.6413	12026.29588	0.91961	6.60768E-4	1775.70386	48552.016	76.642	9849.784
1350.3	0.92255	0.0774474	7.26702	7.61866	-3.50757	22.31522	31.35295	1.68724	0.59268	57.9957	101.9243	21.23001	0.36589	8.70323	13500.6044	0.91042	5.8691E-4	1774.48812	48214.4	 	9993.923
1350.0	0.92371	0.0762895	7.26753	7.61813	-3.51428	22.30115	31.35304	1.68693	0.59279	58.46922	101.9321	21.40622	0.36571	8.70818	13615.7113	0.90974	5.81842E-4	1774.49341	48189.441	72.515	10006.72
1345.0	0.94211	0.0578937	7.27591	7.60955	-3.62299	22.0759	31.35049	1.68187	0.59458	66.13693	102.0853	24.26551	0.36278	8.79493	15626.80052	0.89799	5.054E-4	1774.57818	47782.709	81.3464	10208.283
1340.0	0.9575	0.042498	7.28359	7.60171	-3.72232	21.87573	31.33687	1.6774	0.59616	72.68136	102.2831	26.71563	0.36028	8.8835	17696.95988	0.88629	4.449E-4	1774.6687	47410.857	74.3704	10375.436
1335.0	0.97055	0.0294465	7.29075	7.59442	-3.8146	21.6943	31.31442	1.6734	0.59759	78.26219	102.51412	28.81279	0.35812	8.97395	19840.16778	0.87464	3.95611E-4	1774.76589	47066.41	68.8894	10515.651
1330.0	0.98175	0.0182526	7.2975	7.58757	-3.90134	21.52745	31.28487	1.66977	0.59888	83.07554	102.77044	30.62758	0.35622	9.0663	22070.99176	0.86304	3.54519E-4	1774.86583	46743.842	64.5136	10634.449
1325.0	0.99145	0.008552	7.30394	7.58106	-3.98377	21.37177	31.2495	1.66645	0.60008	87.30429	103.04637	32.22652	0.35454	9.16108	24404.59865	0.85145	3.19619E-4	1774.96647	46438.998	60.9688	10735.984
1320.0	1.0	0.0	7.31016	7.57479	-4.06327	21.22339	31.20953	1.66336	0.60119	91.12745	103.33699	33.67544	0.35303	 	26863.49938	 	2.89455E-4	 	46148.15	58.1696	10823.98
1315.0	1.0	0.0	7.31276	7.5721	-4.09733	21.20636	31.14368	1.66165	0.60181	91.57183	103.69185	33.84494	0.35281	 	28584.9803	 	2.71169E-4	 	45940.446	41.5408	 
1310.0	1.0	0.0	7.31535	7.56941	-4.13133	21.18934	31.07783	1.65993	0.60244	92.01644	104.04596	34.01458	0.3526	 	30428.90768	 	2.53935E-4	 	45748.029	38.4834	 
