T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.40805	7.88871	0.0	32.16774	30.19704	1.35749	0.73665	0.0	124.67065	0.0	0.5	7.04725	7.04725	1.15878	1.15878	1804.05932	45815.484	 	0.0
1395.0	0.0	1.0	7.41222	7.88427	-0.0562639	32.13008	30.11428	1.35715	0.73684	0.0	124.81225	0.0	0.5	7.12357	7.12357	1.14294	1.14294	1807.42792	45613.581	40.3806	0.0
1390.0	0.0	1.0	7.41638	7.87984	-0.11237	32.09259	30.03152	1.35681	0.73702	0.0	124.95386	0.0	0.5	7.20118	7.20118	1.12723	1.12723	1810.82409	45412.135	40.2892	0.0
1385.0	0.0	1.0	7.42054	7.87543	-0.16831	32.05526	29.94876	1.35647	0.73721	0.0	125.09546	0.0	0.5	7.28012	7.28012	1.11166	1.11166	1814.24767	45211.145	40.198	0.0
1380.0	0.0	1.0	7.42468	7.87103	-0.22409	32.01811	29.866	1.35613	0.73739	0.0	125.23706	0.0	0.5	7.3604	7.3604	1.09622	1.09622	1817.69839	45010.606	40.1078	0.0
1375.0	0.0	1.0	7.42883	7.86664	-0.27972	31.98113	29.78324	1.35579	0.73758	0.0	125.37866	0.0	0.5	7.44206	7.44206	1.08091	1.08091	1821.176	44810.516	40.018	0.0
1370.0	0.0	1.0	7.43296	7.86226	-0.33518	31.94433	29.70047	1.35544	0.73777	0.0	125.52026	0.0	0.5	7.52514	7.52514	1.06574	1.06574	1824.68022	44610.874	39.9284	0.0
1365.0	0.0	1.0	7.43709	7.8579	-0.39048	31.9077	29.61771	1.35509	0.73796	0.0	125.66186	0.0	0.5	7.60966	7.60966	1.05069	1.05069	1828.21077	44411.675	39.8398	0.0
1364.48	0.0	1.0	7.43751	7.85745	-0.3962	31.90392	29.60914	1.35505	0.73798	0.0	125.67653	0.0	0.5	7.61849	7.61849	1.04914	1.04914	1828.57801	44391.062	39.79497	0.0010
1360.0	0.16816	0.83184	7.49133	7.801	-1.11183	29.9871	30.09455	1.32955	0.75213	0.077869	128.94255	0.0263283	0.47881	7.69498	23.86114	1.03587	0.33406	1826.60254	41693.42	601.88085	2519.496
