T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
700.0	0.0	1.0	1.61767	15.18769	0.0	52.40631	79.77188	0.29888	3.34583	0.0	25.56539	0.0	0.5	1.25005	1.25005	3.79962	3.79962	547.00891	27384.632	 	0.0
695.0	0.0	1.0	1.61896	15.17564	-0.0793021	52.36099	79.43371	0.29861	3.34885	0.0	25.63328	0.0	0.5	1.26476	1.26476	3.73613	3.73613	548.74655	27214.08	34.1104	0.0
690.0	0.0	1.0	1.62024	15.16365	-0.15829	52.31676	79.09555	0.29834	3.35191	0.0	25.70116	0.0	0.5	1.2798	1.2798	3.67315	3.67315	550.48421	27043.53	34.11	0.0
686.6	0.0	1.0	1.62111	15.15551	-0.21185	52.28728	78.86543	0.29815	3.354	0.0	25.74735	0.0	0.5	1.29023	1.29023	3.63059	3.63059	551.66668	26927.473	34.1097	0.0
685.0	0.0	1.0	1.62151	15.15168	-0.23705	52.27307	78.75733	0.29806	3.35499	0.0	25.76892	0.0	0.5	1.29517	1.29517	3.61071	3.61071	552.2198	26872.89	34.1669	0.086
680.0	1.0E-5	0.99999	1.62279	15.13985	-0.31496	52.23357	78.41974	0.29778	3.35813	4.1327E-20	25.83694	1.37757E-20	0.5	1.31089	1.31089	3.5488	3.5488	553.9511	26702.074	34.1632	0.355
675.0	2.0E-5	0.99998	1.62406	15.12793	-0.39346	52.19004	78.08138	0.29751	3.36128	3.30775E-19	25.90466	1.10259E-19	0.5	1.32697	1.32697	3.48742	3.48742	555.68268	26531.284	34.158	0.6
670.0	2.0E-5	0.99998	1.62533	15.11607	-0.47156	52.1482	77.74307	0.29722	3.36446	1.16544E-18	25.97243	3.88481E-19	0.49999	1.34342	1.34342	3.42655	3.42655	557.41449	26360.518	34.1532	0.822
665.0	3.0E-5	0.99997	1.6266	15.1044	-0.54837	52.11307	77.4055	0.29694	3.3677	2.81066E-18	26.04039	9.36888E-19	0.5	1.36025	1.36025	3.36621	3.36621	559.14649	26189.774	34.1488	1.024
663.68	3.0E-5	0.99997	1.62693	15.10131	-0.56876	52.10286	77.31638	0.29686	3.36855	3.40385E-18	26.05828	1.13462E-18	0.5	1.36475	1.36475	3.3504	3.3504	559.60291	26144.787	 	1.074
660.0	3.7E-4	0.99963	1.62789	15.09237	-0.62762	52.06328	77.07268	0.29663	3.37119	3.74315E-14	26.10699	1.24775E-14	0.49996	1.37706	1.37706	3.3074	3.3074	560.85683	26011.02	35.7508	9.237
655.0	8.3E-4	0.99917	1.62919	15.08046	-0.70605	52.01746	76.74237	0.29631	3.37482	1.0708E-12	26.17348	3.56954E-13	0.49991	1.39413	1.39413	3.2494	3.2494	562.56018	25829.805	36.243	19.922
650.0	0.00126	0.99874	1.63048	15.06845	-0.78507	51.96744	76.41098	0.29599	3.37845	6.11261E-12	26.23984	2.03772E-12	0.49986	1.41162	1.41162	3.19183	3.19183	564.26452	25649.054	36.1502	30.159
645.0	0.00167	0.99833	1.63177	15.05654	-0.86355	51.91983	76.07936	0.29567	3.38211	1.96662E-11	26.30639	6.55618E-12	0.49982	1.42956	1.42956	3.13471	3.13471	565.9662	25469.067	35.9974	39.964
640.0	0.00207	0.99793	1.63305	15.04466	-0.94172	51.87329	75.74738	0.29535	3.38579	4.70001E-11	26.373	1.56691E-11	0.49977	1.44795	1.44795	3.07804	3.07804	567.67261	25290.172	35.779	49.35
635.0	0.00245	0.99755	1.63433	15.03301	-1.01847	51.83457	75.41587	0.29503	3.38953	9.35818E-11	26.43998	3.11994E-11	0.49974	1.46681	1.46681	3.02182	3.02182	569.37985	25112.346	35.5652	58.331
630.87	0.00275	0.99725	1.63538	15.02319	-1.08309	51.79486	75.14056	0.29476	3.39259	1.50385E-10	26.49503	5.01385E-11	0.4997	1.48277	1.48277	2.97571	2.97571	570.7915	24966.172	 	65.456
630.0	0.00323	0.99677	1.6356	15.02116	-1.09649	51.78748	75.08288	0.2947	3.39324	1.69446E-10	26.50726	5.6496E-11	0.49963	1.48591	1.48591	2.96656	2.96656	571.07711	24924.883	37.4926	77.604
625.0	0.00589	0.99411	1.63688	15.00949	-1.1733	51.74701	74.75125	0.29437	3.39706	2.11293E-9	26.61604	7.04666E-10	0.49924	1.50436	1.50436	2.91397	2.91397	572.72588	24689.602	47.0562	145.34
620.0	0.00842	0.99158	1.63814	14.99796	-1.24924	51.71126	74.41972	0.29404	3.40093	1.97846E-8	26.73184	6.59981E-9	0.49887	1.52335	1.52335	2.86162	2.86162	574.37952	24458.688	46.1828	209.344
616.81	0.00995	0.99005	1.63895	14.99052	-1.29823	51.68451	74.20757	0.29383	3.40338	5.1294E-8	26.80451	1.71135E-8	0.49864	1.53575	1.53575	2.82839	2.82839	575.43587	24313.714	 	248.27
