T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
700.0	0.0	1.0	1.61736	15.1955	0.0	52.50421	79.83398	0.29865	3.34844	0.0	25.51281	0.0	0.5	1.24812	1.24812	3.80549	3.80549	546.65747	27409.032	 	0.0
695.0	0.0	1.0	1.61864	15.18345	-0.079306	52.45952	79.49541	0.29838	3.35145	0.0	25.58078	0.0	0.5	1.2628	1.2628	3.74193	3.74193	548.39565	27238.382	34.13	0.0
690.0	0.0	1.0	1.61992	15.17145	-0.15829	52.41593	79.15683	0.29811	3.3545	0.0	25.64876	0.0	0.5	1.2778	1.2778	3.67888	3.67888	550.13398	27067.734	34.1296	0.0
688.44	0.0	1.0	1.62032	15.1677	-0.18294	52.40253	79.05092	0.29802	3.35547	0.0	25.67002	0.0	0.5	1.28257	1.28257	3.65927	3.65927	550.67782	27014.349	34.1299	0.0
685.0	1.0E-5	0.99999	1.62119	15.15961	-0.23616	52.37797	78.81894	0.29783	3.35762	0.0	25.71671	0.0	0.5	1.29314	1.29314	3.61638	3.61638	551.86831	26896.892	34.1859	0.189
680.0	1.0E-5	0.99999	1.62247	15.14761	-0.31514	52.3331	78.48013	0.29756	3.36072	1.02647E-19	25.78465	3.42158E-20	0.5	1.30882	1.30882	3.5544	3.5544	553.60104	26725.985	34.1814	0.449
675.0	2.0E-5	0.99998	1.62374	15.13568	-0.39364	52.29028	78.14136	0.29728	3.36386	5.54141E-19	25.85245	1.84714E-19	0.5	1.32487	1.32487	3.49295	3.49295	555.33404	26555.102	34.1766	0.686
670.0	2.0E-5	0.99998	1.62501	15.12397	-0.47071	52.255	77.80342	0.29699	3.36707	1.6512E-18	25.92056	5.50402E-19	0.5	1.34128	1.34128	3.43201	3.43201	557.06728	26384.242	34.172	0.901
666.08	3.0E-5	0.99997	1.626	15.11471	-0.53168	52.22356	77.53804	0.29677	3.36958	3.11833E-18	25.9737	1.03945E-18	0.5	1.3544	1.3544	3.38464	3.38464	558.42534	26250.399	 	1.055
665.0	1.3E-4	0.99987	1.62629	15.11212	-0.54868	52.21397	77.46658	0.2967	3.37036	2.90727E-16	25.98811	9.69098E-17	0.49999	1.35795	1.35795	3.3719	3.3719	558.79451	26211.014	34.6456	3.483
660.0	5.9E-4	0.99941	1.62759	15.10006	-0.62806	52.16414	77.13558	0.29639	3.37394	2.65004E-13	26.05445	8.83384E-14	0.49994	1.37458	1.37458	3.31337	3.31337	560.49975	26029.434	36.316	14.419
655.0	0.00103	0.99897	1.62888	15.08792	-0.70794	52.11054	76.80355	0.29608	3.37751	2.70379E-12	26.12071	9.01332E-13	0.49989	1.39162	1.39162	3.25526	3.25526	562.20597	25848.318	36.2232	24.9
650.0	0.00146	0.99854	1.63017	15.07601	-0.78633	52.06488	76.47202	0.29576	3.38115	1.1099E-11	26.18736	3.70005E-12	0.49984	1.40908	1.40908	3.19759	3.19759	563.91309	25667.658	36.132	34.941
645.0	0.00186	0.99814	1.63146	15.06416	-0.86434	52.0208	76.14017	0.29544	3.38481	3.03359E-11	26.2541	1.01133E-11	0.4998	1.42699	1.42699	3.14037	3.14037	565.61758	25487.755	35.9806	44.556
640.0	0.00225	0.99775	1.63274	15.05237	-0.94191	51.97855	75.80804	0.29512	3.3885	6.57759E-11	26.32098	2.19288E-11	0.49976	1.44535	1.44535	3.08359	3.08359	567.32672	25308.937	35.7636	53.759
