T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.94383	7.86031	0.0	26.75875	31.35	1.843	0.54259	0.0	105.72692	0.0	0.49974	6.69271	6.69271	1.29309	1.29309	1763.33202	64740.323	 	0.0
1495.0	0.0	1.0	6.94771	7.85591	-0.0558986	26.708	31.27553	1.84218	0.54284	0.0	105.91301	0.0	0.49974	6.75107	6.75107	1.2783	1.2783	1765.11206	64518.679	44.3288	0.0
1490.0	0.0	1.0	6.95159	7.85153	-0.11164	26.65731	31.20105	1.84136	0.54308	0.0	106.0991	0.0	0.49974	6.81026	6.81026	1.26361	1.26361	1766.88887	64297.547	44.2264	0.0
1485.0	0.0	1.0	6.95546	7.84716	-0.16723	26.60666	31.12658	1.84053	0.54332	0.0	106.28519	0.0	0.49974	6.87032	6.87032	1.24901	1.24901	1768.66243	64076.924	44.1246	0.0
1480.0	0.0	1.0	6.95933	7.8428	-0.22266	26.55606	31.0521	1.83969	0.54357	0.0	106.47128	0.0	0.49974	6.93125	6.93125	1.23451	1.23451	1770.43269	63856.805	44.0238	0.0
1475.0	0.0	1.0	6.96318	7.83846	-0.27794	26.50552	30.97763	1.83886	0.54382	0.0	106.65737	0.0	0.49974	6.99308	6.99308	1.2201	1.2201	1772.19963	63637.187	43.9236	0.0
1470.0	0.0	1.0	6.96703	7.83413	-0.33306	26.45502	30.90315	1.83802	0.54406	0.0	106.84346	0.0	0.49974	7.05581	7.05581	1.2058	1.2058	1773.9632	63418.068	43.8238	0.0
1465.0	0.0	1.0	6.97088	7.82981	-0.38802	26.40458	30.82868	1.83717	0.54431	0.0	107.02955	0.0	0.49974	7.11948	7.11948	1.19159	1.19159	1775.72335	63199.444	43.7248	0.0
1460.0	0.0	1.0	6.97472	7.8255	-0.44283	26.35419	30.7542	1.83632	0.54457	0.0	107.21564	0.0	0.49974	7.18409	7.18409	1.17747	1.17747	1777.48006	62981.311	43.6266	0.0
1455.0	0.0	1.0	6.97855	7.8212	-0.49749	26.30385	30.67973	1.83547	0.54482	0.0	107.40173	0.0	0.49974	7.24967	7.24967	1.16346	1.16346	1779.23329	62763.667	43.5288	0.0
1450.0	0.0	1.0	6.98237	7.81692	-0.55199	26.25357	30.60525	1.83461	0.54507	0.0	107.58782	0.0	0.49974	7.31623	7.31623	1.14954	1.14954	1780.98298	62546.534	43.4266	0.0
1445.0	0.0	1.0	6.98619	7.81265	-0.60633	26.20334	30.53078	1.83375	0.54533	0.0	107.77391	0.0	0.49974	7.3838	7.3838	1.13571	1.13571	1782.7291	62329.949	43.317	0.0
1440.0	0.0	1.0	6.99	7.80839	-0.66052	26.15317	30.4563	1.83289	0.54559	0.0	107.96	0.0	0.49974	7.45239	7.45239	1.12198	1.12198	1784.47161	62113.905	43.2088	0.0
1438.67	0.0	1.0	6.99102	7.80725	-0.67496	26.13977	30.43643	1.83266	0.54566	0.0	108.00966	0.0	0.49974	7.47087	7.47087	1.11834	1.11834	1784.93601	62056.331	43.1489	0.013
1435.0	0.12258	0.87742	7.01294	7.78296	-0.98405	25.3905	30.86096	1.80358	0.55445	0.0127364	103.45854	0.00429763	0.48179	7.4949	9.60711	1.11236	0.8678	1783.85515	60819.018	337.539	1079.38
1430.0	0.25646	0.74354	7.03761	7.75557	-1.33249	24.55631	31.32936	1.77141	0.56452	0.24904	98.55604	0.0851708	0.462	7.52778	26.80344	1.10426	0.31013	1782.51658	59429.9	277.824	2253.525
1425.0	0.36081	0.63919	7.05748	7.73383	-1.60907	23.9075	31.69789	1.74568	0.57284	0.99305	94.82359	0.34327	0.44645	7.5616	78.9657	1.0961	0.10496	1781.30422	58305.528	224.874	3163.454
1420.44	0.43696	0.56304	7.07257	7.71738	-1.81832	23.42665	31.96667	1.72634	0.57926	2.1672	92.17508	0.75511	0.43502	7.59245	163.54582	1.08871	0.0505422	1780.29847	57450.321	 	3823.38
1420.0	0.44746	0.55254	7.07447	7.71527	-1.84522	23.3621	31.99064	1.72461	0.57984	2.34632	91.96864	0.81837	0.43353	7.59486	182.88253	1.08808	0.0451866	1780.02911	57322.74	196.558	3932.327
1415.0	0.55286	0.44714	7.09365	7.69454	-2.10886	22.73904	32.22779	1.70686	0.58587	5.07174	90.06893	1.78767	0.41853	7.62424	500.18287	1.08069	0.0164729	1777.19584	56017.726	261.003	5023.949
1410.0	0.63022	0.36978	7.10849	7.67863	-2.31131	22.27619	32.38825	1.69337	0.59054	8.72339	88.86062	3.09911	0.4074	7.65401	945.07104	1.0733	0.00869251	1774.64691	55010.625	201.42	5818.177
1405.0	0.68872	0.31128	7.12039	7.66595	-2.47262	21.92115	32.49627	1.68273	0.59427	12.97146	88.08863	4.63632	0.39889	7.68416	1475.09943	1.06591	0.0055526	1772.34469	54203.609	161.403	6412.835
1400.0	0.734	0.266	7.13021	7.65553	-2.60516	21.64149	32.56698	1.67408	0.59734	17.47332	87.60978	6.2753	0.39223	7.71503	2058.57996	1.05848	0.00396692	1770.25811	53536.07	133.508	6868.529
1395.0	0.7698	0.2302	7.13855	7.6468	-2.71622	21.41827	32.61074	1.66683	0.59994	21.966	87.33731	7.91908	0.3869	7.74666	2675.92989	1.05101	0.00304262	1768.35649	52968.64	113.486	7224.621
1390.0	0.79858	0.20142	7.14576	7.63928	-2.81192	21.23535	32.63419	1.66064	0.60218	26.28229	87.21258	9.50489	0.38257	7.77931	3316.20207	1.04346	0.00244781	1766.62006	52474.822	98.7636	7507.607
