T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.95766	7.86478	0.0	27.50447	31.22551	1.85035	0.54044	0.0	106.54246	0.0	0.49974	6.72537	6.72537	1.28682	1.28682	1765.80226	64625.405	 	0.0
1495.0	0.0	1.0	6.96155	7.86038	-0.0559637	27.45567	31.15055	1.84957	0.54067	0.0	106.72804	0.0	0.49974	6.78427	6.78427	1.27204	1.27204	1767.59172	64403.729	44.3352	0.0
1490.0	0.0	1.0	6.96544	7.85599	-0.11177	27.40694	31.0756	1.84879	0.54089	0.0	106.91362	0.0	0.49974	6.84403	6.84403	1.25737	1.25737	1769.37814	64182.552	44.2354	0.0
1485.0	0.0	1.0	6.96933	7.85161	-0.16742	27.35828	31.00065	1.848	0.54112	0.0	107.0992	0.0	0.49974	6.90467	6.90467	1.2428	1.2428	1771.16151	63961.873	44.1358	0.0
1480.0	0.0	1.0	6.9732	7.84725	-0.22292	27.30968	30.9257	1.84721	0.54136	0.0	107.28479	0.0	0.49974	6.96619	6.96619	1.22832	1.22832	1772.94178	63741.687	44.0372	0.0
1475.0	0.0	1.0	6.97707	7.8429	-0.27826	27.26115	30.85075	1.84642	0.54159	0.0	107.47037	0.0	0.49974	7.02861	7.02861	1.21394	1.21394	1774.71892	63521.992	43.939	0.0
1470.0	0.0	1.0	6.98094	7.83856	-0.33345	27.21268	30.7758	1.84562	0.54182	0.0	107.65595	0.0	0.49974	7.09196	7.09196	1.19965	1.19965	1776.4929	63302.784	43.8416	0.0
1465.0	0.0	1.0	6.98479	7.83423	-0.38848	27.16428	30.70084	1.84482	0.54206	0.0	107.84153	0.0	0.49974	7.15624	7.15624	1.18547	1.18547	1778.26367	63084.06	43.7448	0.0
1460.0	0.0	1.0	6.98864	7.82991	-0.44335	27.11595	30.62589	1.84402	0.54229	0.0	108.02711	0.0	0.49974	7.22149	7.22149	1.17138	1.17138	1780.03121	62865.817	43.6486	0.0
1455.0	0.0	1.0	6.99249	7.82561	-0.49807	27.06769	30.55094	1.84321	0.54253	0.0	108.21269	0.0	0.49974	7.28771	7.28771	1.15738	1.15738	1781.79547	62648.053	43.5528	0.0
1450.0	0.0	1.0	6.99632	7.82132	-0.55263	27.0195	30.47599	1.8424	0.54277	0.0	108.39827	0.0	0.49974	7.35493	7.35493	1.14349	1.14349	1783.55642	62430.792	43.4522	0.0
1445.0	0.0	1.0	7.00015	7.81704	-0.60704	26.97138	30.40104	1.84158	0.54301	0.0	108.58385	0.0	0.49974	7.42317	7.42317	1.12969	1.12969	1785.31402	62214.083	43.3418	0.0
1440.0	0.0	1.0	7.00397	7.81277	-0.66129	26.92333	30.32609	1.84076	0.54325	0.0	108.76943	0.0	0.49974	7.49244	7.49244	1.11599	1.11599	1787.06823	61997.915	43.2336	0.0
1435.0	0.0	1.0	7.00779	7.80852	-0.71538	26.87535	30.25113	1.83993	0.5435	0.0	108.95502	0.0	0.49974	7.56277	7.56277	1.10238	1.10238	1788.81901	61782.285	43.126	0.0
1432.73	0.0	1.0	7.00952	7.80659	-0.73992	26.85357	30.21708	1.83956	0.54361	0.0	109.03933	0.0	0.49974	7.59508	7.59508	1.09623	1.09623	1789.61332	61684.489	43.0497	0.0040
1430.0	0.0960808	0.90392	7.02675	7.78742	-0.98365	26.25709	30.57772	1.81495	0.55098	0.00493419	105.58129	0.00166057	0.48569	7.61726	8.96235	1.09129	0.92751	1788.90747	60728.059	350.559	839.13
