T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1500.0	0.0	1.0	6.97753	7.85767	0.0	26.69762	31.3895	1.84068	0.54328	0.0	106.55595	0.0	0.49974	6.79913	6.79913	1.27286	1.27286	1764.98454	65360.634	 	0.0
1495.0	0.0	1.0	6.98142	7.85329	-0.0557108	26.64717	31.3141	1.83991	0.5435	0.0	106.74255	0.0	0.49974	6.85874	6.85874	1.25823	1.25823	1766.75704	65138.447	44.4374	0.0
1490.0	0.0	1.0	6.9853	7.84893	-0.11127	26.59678	31.2387	1.83914	0.54373	0.0	106.92916	0.0	0.49974	6.91922	6.91922	1.24371	1.24371	1768.52638	64916.769	44.3356	0.0
1485.0	0.0	1.0	6.98918	7.84458	-0.16666	26.54644	31.1633	1.83836	0.54396	0.0	107.11577	0.0	0.49974	6.98058	6.98058	1.22928	1.22928	1770.29251	64695.597	44.2344	0.0
1480.0	0.0	1.0	6.99305	7.84023	-0.22191	26.49616	31.0879	1.83758	0.5442	0.0	107.30238	0.0	0.49974	7.04284	7.04284	1.21495	1.21495	1772.05541	64474.927	44.134	0.0
1475.0	0.0	1.0	6.99691	7.83591	-0.27699	26.44593	31.0125	1.83679	0.54443	0.0	107.48898	0.0	0.49974	7.10601	7.10601	1.20071	1.20071	1773.81504	64254.757	44.034	0.0
1470.0	0.0	1.0	7.00077	7.83159	-0.33192	26.39576	30.9371	1.836	0.54466	0.0	107.67559	0.0	0.49974	7.17012	7.17012	1.18657	1.18657	1775.57135	64035.083	43.9348	0.0
1465.0	0.0	1.0	7.00462	7.82729	-0.38669	26.34564	30.8617	1.83521	0.5449	0.0	107.8622	0.0	0.49974	7.23519	7.23519	1.17253	1.17253	1777.32431	63815.901	43.8364	0.0
1460.0	0.0	1.0	7.00846	7.82299	-0.44131	26.29558	30.78629	1.83441	0.54513	0.0	108.04881	0.0	0.49974	7.30122	7.30122	1.15858	1.15858	1779.07389	63597.209	43.7384	0.0
1455.0	0.0	1.0	7.0123	7.81871	-0.49577	26.24558	30.71089	1.83361	0.54537	0.0	108.23542	0.0	0.49974	7.36824	7.36824	1.14473	1.14473	1780.82003	63379.004	43.641	0.0
1450.0	0.0	1.0	7.01613	7.81445	-0.55008	26.19563	30.63549	1.8328	0.54561	0.0	108.42202	0.0	0.49974	7.43628	7.43628	1.13098	1.13098	1782.56271	63161.309	43.539	0.0
1445.0	0.0	1.0	7.01995	7.81019	-0.60423	26.14575	30.56009	1.83199	0.54585	0.0	108.60863	0.0	0.49974	7.50534	7.50534	1.11732	1.11732	1784.30187	62944.167	43.4284	0.0
1440.0	0.0	1.0	7.02376	7.80595	-0.65822	26.09592	30.48469	1.83118	0.5461	0.0	108.79524	0.0	0.49974	7.57545	7.57545	1.10376	1.10376	1786.03749	62727.57	43.3194	0.0
1439.14	0.0	1.0	7.02442	7.80522	-0.66747	26.08736	30.47176	1.83104	0.54614	0.0	108.82725	0.0	0.49974	7.58758	7.58758	1.10144	1.10144	1786.33481	62690.469	43.2624	0.0060
1435.0	0.15338	0.84662	7.05152	7.77525	-1.04891	25.15572	31.0347	1.79348	0.55758	0.0319266	103.22024	0.0108057	0.47731	7.6208	11.31592	1.09399	0.73675	1785.15484	61164.978	368.261	1346.534
