T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
700.0	0.0015	0.9985	1.62182	15.26359	0.0	52.92718	80.49344	0.2962	3.37609	1.29816E-11	25.02744	4.32767E-12	0.49984	1.24774	1.24774	3.80665	3.80665	604.84034	27599.44	 	0.0
695.0	0.00213	0.99787	1.62316	15.25099	-0.0825677	52.86735	80.16167	0.2959	3.37954	5.29248E-11	25.09436	1.76443E-11	0.49977	1.26168	1.26168	3.74525	3.74525	605.28405	27412.655	37.357	15.244
690.0	0.00273	0.99727	1.6245	15.23852	-0.16427	52.81144	79.8298	0.29559	3.38302	1.44652E-10	25.16159	4.82267E-11	0.49971	1.27595	1.27595	3.68423	3.68423	605.7353	27226.434	37.2442	29.915
685.0	0.00331	0.99669	1.62583	15.226	-0.24628	52.75291	79.49694	0.29529	3.3865	3.14532E-10	25.22878	1.04869E-10	0.49965	1.29057	1.29057	3.6236	3.6236	606.19466	27040.762	37.1344	44.031
680.0	0.00387	0.99613	1.62716	15.21359	-0.32756	52.69767	79.16393	0.29499	3.39	5.89737E-10	25.29623	1.96633E-10	0.49959	1.30553	1.30553	3.56336	3.56336	606.66227	26855.622	37.028	57.605
675.0	0.00441	0.99559	1.62848	15.20113	-0.40919	52.6395	78.82992	0.29468	3.3935	9.96373E-10	25.36362	3.32229E-10	0.49953	1.32086	1.32086	3.50353	3.50353	607.13868	26670.999	36.9246	70.653
670.0	0.00492	0.99508	1.6298	15.18893	-0.48915	52.59008	78.49651	0.29437	3.39706	1.55879E-9	25.43148	5.19777E-10	0.49948	1.33657	1.33657	3.4441	3.4441	607.62387	26486.879	36.824	83.191
665.0	0.00542	0.99458	1.63111	15.17666	-0.56952	52.53747	78.16209	0.29406	3.40062	2.29821E-9	25.49928	7.66367E-10	0.49942	1.35266	1.35266	3.38509	3.38509	608.11855	26303.246	36.7266	95.232
660.0	0.00589	0.99411	1.63242	15.16448	-0.64933	52.48728	77.82743	0.29375	3.4042	3.23234E-9	25.56724	1.0779E-9	0.49937	1.36915	1.36915	3.3265	3.3265	608.6229	26120.086	36.632	106.792
655.0	0.00635	0.99365	1.63372	15.15238	-0.7286	52.43947	77.49252	0.29344	3.40781	4.37503E-9	25.63536	1.459E-9	0.49932	1.38605	1.38605	3.26834	3.26834	609.13726	25937.393	36.5386	117.884
