T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
700.0	0.0	1.0	1.61675	15.27258	0.0	52.73932	80.6088	0.29578	3.38093	0.0	24.85432	0.0	0.5	1.24098	1.24098	3.82738	3.82738	544.91591	27544.278	 	0.0
695.0	0.0	1.0	1.61803	15.26045	-0.0794162	52.69559	80.2659	0.29551	3.38394	0.0	24.92343	0.0	0.5	1.25552	1.25552	3.76362	3.76362	546.65231	27372.779	34.2998	0.0
690.0	0.0	1.0	1.61931	15.24837	-0.15851	52.65299	79.923	0.29525	3.38697	0.0	24.99255	0.0	0.5	1.27038	1.27038	3.70038	3.70038	548.38875	27201.269	34.302	0.0
685.0	0.0	1.0	1.62059	15.23634	-0.23729	52.61153	79.5801	0.29498	3.39004	0.0	25.06166	0.0	0.5	1.28558	1.28558	3.63765	3.63765	550.12524	27029.75	34.3038	0.0
680.0	0.0	1.0	1.62187	15.22436	-0.31574	52.57125	79.2372	0.29471	3.39314	0.0	25.13077	0.0	0.5	1.30112	1.30112	3.57544	3.57544	551.86178	26858.22	34.306	0.0
675.0	0.0	1.0	1.62314	15.21243	-0.39388	52.53216	78.8943	0.29444	3.39627	0.0	25.19989	0.0	0.5	1.31702	1.31702	3.51375	3.51375	553.59838	26686.68	34.308	0.0
670.0	0.0	1.0	1.62441	15.20054	-0.47169	52.4943	78.5514	0.29417	3.39944	0.0	25.269	0.0	0.5	1.33328	1.33328	3.45259	3.45259	555.33503	26515.131	34.3098	0.0
665.0	0.0	1.0	1.62568	15.18871	-0.54918	52.4577	78.2085	0.29389	3.40264	0.0	25.33811	0.0	0.5	1.34992	1.34992	3.39195	3.39195	557.07175	26343.571	34.312	0.0
660.0	0.0	1.0	1.62694	15.17692	-0.62635	52.42239	77.8656	0.29361	3.40587	0.0	25.40723	0.0	0.5	1.36695	1.36695	3.33184	3.33184	558.80852	26172.001	34.314	0.0
655.0	0.0	1.0	1.6282	15.16519	-0.70321	52.38839	77.5227	0.29333	3.40914	0.0	25.47634	0.0	0.5	1.38438	1.38438	3.27226	3.27226	560.54536	26000.428	34.3146	0.0
650.0	0.0	1.0	1.62945	15.1535	-0.77974	52.35574	77.1798	0.29305	3.41244	0.0	25.54545	0.0	0.5	1.40223	1.40223	3.21321	3.21321	562.28227	25828.856	34.3144	0.0
645.0	0.0	1.0	1.63071	15.14186	-0.85595	52.32447	76.8369	0.29276	3.41578	0.0	25.61457	0.0	0.5	1.4205	1.4205	3.1547	3.1547	564.01839	25657.605	34.2502	0.0
640.0	0.0	1.0	1.63196	15.13027	-0.93184	52.29462	76.494	0.29247	3.41916	0.0	25.68368	0.0	0.5	1.43922	1.43922	3.09672	3.09672	565.75548	25487.025	34.116	0.0
635.0	0.0	1.0	1.6332	15.11873	-1.00741	52.26622	76.1511	0.29218	3.42257	0.0	25.7528	0.0	0.5	1.45839	1.45839	3.03927	3.03927	567.49265	25317.105	33.984	0.0
630.0	0.0	1.0	1.63444	15.10723	-1.08265	52.2393	75.8082	0.29188	3.42602	0.0	25.82191	0.0	0.5	1.47804	1.47804	2.98236	2.98236	569.2299	25147.837	33.8536	0.0
629.1	0.0	1.0	1.63467	15.10518	-1.09611	52.23463	75.74672	0.29183	3.42665	0.0	25.8343	0.0	0.5	1.48161	1.48161	2.97222	2.97222	569.54139	25117.557	33.7777	0.0
625.92	2.1E-4	0.99979	1.63547	15.0977	-1.14509	52.21033	75.53204	0.29163	3.42902	5.92889E-15	25.87748	1.97633E-15	0.49998	1.49412	1.49412	2.93695	2.93695	570.63592	25005.107	 	5.213
625.0	0.0498301	0.95017	1.63867	15.06822	-1.33809	51.10397	77.80458	0.28282	3.53582	1.46739E-4	25.9186	4.91808E-5	0.49184	1.49837	1.61737	2.92561	2.71036	571.06591	24558.534	136.229	420.676
620.0	0.25987	0.74013	1.65251	14.94199	-2.16461	46.40856	88.16979	0.24818	4.0293	0.11449	26.14366	0.0392911	0.45697	1.52205	15.28596	2.86406	0.28518	573.3953	22641.184	383.47	2170.031
615.0	0.39778	0.60222	1.66199	14.85681	-2.72239	43.31402	96.28271	0.226	4.42482	0.64771	26.34548	0.22589	0.43368	1.54663	81.88953	2.80276	0.0529352	575.72752	21335.567	261.123	3308.274
610.0	0.49456	0.50544	1.66893	14.79496	-3.12732	41.13049	102.92529	0.21022	4.75687	1.58328	26.53275	0.55864	0.41709	1.57202	211.30002	2.74198	0.0203996	578.06011	20378.221	191.469	4098.858
605.0	0.56582	0.43418	1.67427	14.74759	-3.43751	39.51199	108.35278	0.19856	5.03623	2.76298	26.71005	0.98346	0.40472	1.59817	396.17627	2.68185	0.0108185	580.39178	19636.358	148.373	4674.563
600.0	0.62024	0.37976	1.67855	14.70981	-3.68487	38.26844	112.81255	0.18963	5.27354	4.05164	26.88021	1.45205	0.39515	1.62505	628.61595	2.62246	0.00677938	582.72187	19036.255	120.021	5109.101
595.0	0.663	0.337	1.68208	14.67867	-3.88873	37.28467	116.46013	0.18263	5.47541	5.36162	27.04489	1.93206	0.38754	1.65266	903.99252	2.56389	0.00468723	585.05002	18533.926	100.466	5446.45
590.0	0.69737	0.30263	1.68508	14.65231	-4.06133	36.48758	119.44944	0.17704	5.64848	6.64298	27.20513	2.40455	0.38134	1.68099	1220.96919	2.50616	0.00345039	587.37608	18101.615	86.4622	5714.359
585.0	0.72554	0.27446	1.68768	14.62947	-4.21089	35.82805	121.90652	0.17247	5.79826	7.86949	27.36168	2.85917	0.37619	1.71005	1580.73069	2.4493	0.00264967	589.7	17721.004	76.1222	5931.133
580.0	0.74898	0.25102	1.68997	14.60932	-4.34285	35.27362	123.93372	0.16866	5.92923	9.02952	27.51504	3.29103	0.37184	1.73984	1986.57446	2.39333	0.00209608	592.02175	17379.558	68.2892	6109.303
575.0	0.76876	0.23124	1.69203	14.59125	-4.46119	34.80051	125.61227	0.16543	6.04496	10.11983	27.66561	3.69848	0.3681	1.77039	2443.43167	2.33824	0.00169418	594.34139	17068.427	62.2262	6257.707
570.0	0.78566	0.21434	1.6939	14.57481	-4.56882	34.39117	127.00544	0.16265	6.14825	11.14118	27.81364	4.08142	0.36487	1.80171	2957.6353	2.28406	0.00139138	596.65897	16781.204	57.4446	6382.746
565.0	0.80023	0.19977	1.69562	14.55972	-4.66762	34.0346	128.16373	0.16022	6.24133	12.09682	27.95942	4.44076	0.36202	1.83382	3536.91729	2.23076	0.0011566	598.97453	16513.142	53.6124	6489.159
560.0	0.81292	0.18708	1.69722	14.5457	-4.7594	33.71979	129.12764	0.15808	6.32601	12.9913	28.10308	4.77796	0.3595	1.86674	4190.66071	2.17834	9.70348E-4	601.28815	16260.658	50.4968	6580.52
556.62	0.82059	0.17941	1.69824	14.53673	-4.81811	33.52687	129.68761	0.15676	6.37934	13.56357	28.19909	4.99412	0.35795	1.88948	4680.30177	2.14339	8.65305E-4	602.85222	16097.38	 	6635.1
555.0	0.82449	0.17551	1.69873	14.53242	-4.84636	33.43255	129.96739	0.15611	6.40559	13.86052	28.24703	5.1064	0.35717	1.90016	4940.33948	2.12719	8.18161E-4	603.60514	16015.575	49.0166	6664.999
550.0	0.83559	0.16441	1.70019	14.51959	-4.93037	33.16058	130.72005	0.15428	6.48182	14.73978	28.39338	5.43935	0.35492	1.93374	5813.55219	2.07763	6.91073E-4	605.93077	15771.385	48.838	6749.096
545.0	0.84535	0.15465	1.70157	14.5075	-5.00953	32.91781	131.33431	0.15262	6.55208	15.56063	28.53694	5.75084	0.3529	1.96821	6802.52887	2.02884	5.87015E-4	608.25437	15539.059	46.4652	6821.833
540.0	0.85399	0.14601	1.70287	14.49601	-5.08473	32.69872	131.83347	0.15112	6.61742	16.32965	28.67803	6.04323	0.35107	2.00361	7925.40588	1.98082	5.00767E-4	610.57603	15316.632	44.4854	6885.167
535.0	0.86169	0.13831	1.70412	14.48505	-5.15651	32.49999	132.23522	0.14973	6.67866	17.05163	28.81676	6.31822	0.3494	2.03995	9202.80139	1.93356	4.28606E-4	612.89578	15102.549	42.8166	6940.647
