T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
700.0	8.8E-4	0.99912	1.63395	15.16048	0.0	53.23099	79.66165	0.29929	3.34121	2.7177E-12	25.57893	9.05967E-13	0.49989	1.24083	1.24083	3.82784	3.82784	547.11059	27287.184	 	0.0
695.0	8.9E-4	0.99911	1.63525	15.14842	-0.0795832	53.18962	79.32353	0.29902	3.34421	2.82148E-12	25.648	9.40566E-13	0.49989	1.25532	1.25532	3.76421	3.76421	548.83827	27115.793	34.2782	0.236
690.0	8.9E-4	0.99911	1.63654	15.13654	-0.15789	53.1547	78.98614	0.29875	3.34727	2.92075E-12	25.71724	9.73657E-13	0.49989	1.27014	1.27014	3.70109	3.70109	550.56603	26944.414	34.2758	0.456
685.0	9.0E-4	0.9991	1.63783	15.12458	-0.23681	53.11586	78.64802	0.29848	3.35033	3.01572E-12	25.7863	1.00532E-12	0.49989	1.28528	1.28528	3.63849	3.63849	552.2939	26773.045	34.2738	0.656
680.0	9.0E-4	0.9991	1.63911	15.11267	-0.31539	53.07833	78.3099	0.2982	3.35343	3.10631E-12	25.85536	1.03552E-12	0.49988	1.30077	1.30077	3.5764	3.5764	554.02188	26601.684	34.2722	0.838
675.0	9.1E-4	0.99909	1.64039	15.10096	-0.39261	53.04791	77.97256	0.29792	3.35659	3.19271E-12	25.92466	1.06432E-12	0.49989	1.31662	1.31662	3.51483	3.51483	555.74994	26430.329	34.271	1.003
670.0	9.1E-4	0.99909	1.64167	15.08916	-0.47045	53.01354	77.6345	0.29764	3.35976	3.27494E-12	25.99378	1.09173E-12	0.49988	1.33283	1.33283	3.45377	3.45377	557.47812	26258.981	34.2696	1.153
665.0	9.2E-4	0.99908	1.64295	15.0774	-0.54801	52.98017	77.2964	0.29736	3.36295	3.35311E-12	26.06284	1.11779E-12	0.49988	1.34941	1.34941	3.39324	3.39324	559.20642	26087.636	34.269	1.289
660.0	9.2E-4	0.99908	1.64422	15.0657	-0.62518	52.94859	76.95835	0.29707	3.36619	3.42777E-12	26.13196	1.14268E-12	0.49988	1.36639	1.36639	3.33323	3.33323	560.93482	25916.294	34.2684	1.412
655.0	9.2E-4	0.99908	1.64549	15.05405	-0.70202	52.91846	76.62029	0.29678	3.36945	3.49884E-12	26.20108	1.16637E-12	0.49988	1.38376	1.38376	3.27374	3.27374	562.66333	25744.967	34.2654	1.523
653.7	9.2E-4	0.99908	1.64582	15.05104	-0.7219	52.91099	76.53251	0.29671	3.37031	3.51664E-12	26.21905	1.17231E-12	0.49988	1.38834	1.38834	3.25838	3.25838	563.11225	25700.475	34.2631	1.55
650.0	0.00117	0.99883	1.64678	15.04226	-0.77977	52.88242	76.28622	0.29648	3.37293	3.58058E-12	26.26936	1.19365E-12	0.49985	1.40124	1.40124	3.21549	3.21549	564.38104	25567.729	35.8631	7.555
645.0	0.0015	0.9985	1.64807	15.0306	-0.85668	52.85081	75.95398	0.29616	3.37653	3.95368E-12	26.33768	1.31805E-12	0.49982	1.41904	1.41904	3.15795	3.15795	566.09409	25389.041	35.7376	15.359
640.0	0.0018	0.9982	1.64936	15.01881	-0.93447	52.81342	75.62057	0.29585	3.38012	5.49467E-12	26.40578	1.83182E-12	0.49978	1.43729	1.43729	3.10088	3.10088	567.80924	25211.357	35.5368	22.82
635.0	0.0021	0.9979	1.65064	15.00719	-1.01112	52.78233	75.28752	0.29553	3.38376	9.4974E-12	26.47413	3.16632E-12	0.49975	1.456	1.456	3.04428	3.04428	569.52495	25034.656	35.3402	29.95
630.0	0.00238	0.99762	1.65191	14.9956	-1.08759	52.75181	74.95409	0.29521	3.38742	1.74563E-11	26.54254	5.81985E-12	0.49972	1.47518	1.47518	2.98815	2.98815	571.24122	24858.919	35.1474	36.759
625.0	0.00265	0.99735	1.65319	14.98402	-1.16397	52.72133	74.62024	0.29489	3.39111	3.09053E-11	26.61095	1.03039E-11	0.49969	1.49485	1.49485	2.9325	2.9325	572.95805	24684.125	34.9588	43.259
620.0	0.0029	0.9971	1.65445	14.9726	-1.23927	52.69703	74.28669	0.29456	3.39485	5.12823E-11	26.6796	1.70979E-11	0.49966	1.51503	1.51503	2.87733	2.87733	574.67537	24510.252	34.7746	49.459
615.0	0.00315	0.99685	1.65572	14.96105	-1.31546	52.6668	73.95202	0.29424	3.39858	7.98764E-11	26.74804	2.6632E-11	0.49963	1.53573	1.53573	2.82266	2.82266	576.39323	24337.283	34.5938	55.372
611.13	0.00333	0.99667	1.65669	14.95236	-1.37277	52.65304	73.69416	0.29399	3.40153	1.08308E-10	26.80128	3.6112E-11	0.49961	1.5521	1.5521	2.78073	2.78073	577.72145	24204.187	 	59.746
610.27	0.03219	0.96781	1.65864	14.93469	-1.48935	51.99512	74.88762	0.28902	3.46	1.80472E-5	26.7761	6.03661E-6	0.49481	1.55616	1.62536	2.77078	2.6528	578.12717	23938.28	 	296.966
610.27	0.03219	0.96781	1.65864	14.93469	-1.48935	51.99512	74.88762	0.28902	3.46	1.80472E-5	26.7761	6.03661E-6	0.49481	1.55616	1.62536	2.77078	2.6528	578.12717	23938.279	 	296.967
610.0	0.04096	0.95904	1.65924	14.92933	-1.52471	51.79606	75.24995	0.28754	3.47781	5.22285E-5	26.78788	1.7487E-5	0.49335	1.55744	1.6514	2.76765	2.61017	578.25512	23857.235	96.0096	368.967
605.0	0.18181	0.81819	1.66895	14.84256	-2.09704	48.59882	81.17767	0.26503	3.77313	0.0271921	26.99695	0.00925076	0.46972	1.5814	6.15085	2.71027	0.69682	580.60506	22541.008	263.245	1519.336
600.0	0.2885	0.7115	1.67656	14.77507	-2.5422	46.16261	86.00827	0.24872	4.02055	0.18142	27.19192	0.0624919	0.45158	1.60605	31.57918	2.65348	0.13495	582.95419	21511.822	205.837	2383.252
595.0	0.37174	0.62826	1.68272	14.72098	-2.89897	44.25624	90.09322	0.23609	4.23576	0.51548	27.37671	0.17933	0.43727	1.63138	91.92168	2.59732	0.046096	585.30178	20679.27	166.51	3051.111
590.0	0.43827	0.56173	1.68783	14.67645	-3.19271	42.72813	93.59715	0.22594	4.42599	1.01865	27.55363	0.35724	0.4257	1.65739	193.81241	2.54184	0.0217366	587.64748	19986.633	138.527	3579.623
585.0	0.49252	0.50748	1.69215	14.6388	-3.44105	41.47204	96.61122	0.21762	4.59513	1.65465	27.72395	0.5842	0.41617	1.68408	340.20083	2.48706	0.0123116	589.99116	19396.684	117.99	4006.009
580.0	0.53749	0.46251	1.69588	14.60653	-3.65392	40.4294	99.16795	0.21078	4.74438	2.38407	27.88919	0.8465	0.40819	1.71148	533.02597	2.433	0.00781203	592.33268	18884.059	102.525	4355.621
575.0	0.57529	0.42471	1.69915	14.57831	-3.84003	39.54737	101.39165	0.20494	4.87937	3.17256	28.04991	1.13192	0.40141	1.73958	774.47231	2.37966	0.00534507	594.67206	18430.939	90.624	4646.274
574.3	0.58007	0.41993	1.69957	14.57465	-3.86419	39.43549	101.6777	0.2042	4.89718	3.28537	28.07198	1.17289	0.40055	1.74358	812.19785	2.37224	0.00509258	595.00007	18371.633	 	4682.833
565.0	0.63555	0.36445	1.70468	14.53067	-4.15429	38.13079	104.92195	0.19571	5.1095	4.84062	28.36047	1.74068	0.39044	1.79804	1421.03959	2.27515	0.00287874	599.34408	17652.592	77.8347	5101.28
560.0	0.65954	0.34046	1.70705	14.51032	-4.28854	37.56054	106.31461	0.192	5.20839	5.67436	28.51084	2.04703	0.38599	1.8284	1833.17803	2.22402	0.00221822	601.67729	17313.549	67.8086	5279.434
555.0	0.68056	0.31944	1.70922	14.49169	-4.41138	37.05897	107.50402	0.18873	5.29846	6.49759	28.65858	2.3507	0.38206	1.85956	2314.86495	2.17363	0.0017461	604.0086	16999.064	62.897	5433.541
550.0	0.69908	0.30092	1.71123	14.4745	-4.52478	36.61432	108.51765	0.18584	5.3809	7.30383	28.80387	2.64912	0.37854	1.89155	2875.07389	2.12396	0.00139739	606.33806	16704.904	58.832	5567.822
545.0	0.71554	0.28446	1.7131	14.45846	-4.63057	36.21516	109.37911	0.18326	5.45677	8.08913	28.94677	2.9407	0.37537	1.92439	3524.75534	2.07504	0.0011329	608.66582	16427.739	55.433	5685.602
540.0	0.73025	0.26975	1.71486	14.44348	-4.72942	35.85797	110.10941	0.18093	5.52698	8.85117	29.08766	3.22444	0.37251	1.95813	4277.05897	2.02683	9.27923E-4	610.99186	16164.914	52.565	5789.526
535.0	0.74346	0.25654	1.71652	14.42929	-4.82299	35.53201	110.72515	0.17882	5.59227	9.58891	29.22626	3.49986	0.3699	1.99278	5147.43592	1.97934	7.6628E-4	613.31638	15914.293	50.1242	5881.72
530.0	0.7554	0.2446	1.71809	14.41588	-4.91147	35.23685	111.24187	0.17689	5.65335	10.30223	29.36309	3.76678	0.36751	2.02839	6154.38465	1.93256	6.3694E-4	615.63935	15674.138	48.031	5963.914
