T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
700.0	0.0	1.0	1.6568	15.10841	0.0	53.5139	79.36856	0.3004	3.32891	0.0	25.67226	0.0	0.5	1.25369	1.25369	3.78857	3.78857	548.0974	27156.598	 	0.0
695.0	0.0	1.0	1.65811	15.09645	-0.079157	53.47677	79.03201	0.30013	3.33192	0.0	25.74268	0.0	0.5	1.26832	1.26832	3.72565	3.72565	549.82141	26985.14	34.2916	0.0
690.0	0.0	1.0	1.65942	15.08454	-0.158	53.44084	78.69545	0.29985	3.33495	0.0	25.8131	0.0	0.5	1.28326	1.28326	3.66324	3.66324	551.54546	26813.662	34.2956	0.0
685.0	0.0	1.0	1.66072	15.07268	-0.23652	53.40615	78.35889	0.29958	3.33802	0.0	25.88351	0.0	0.5	1.29854	1.29854	3.60133	3.60133	553.26955	26642.164	34.2996	0.0
680.0	0.0	1.0	1.66203	15.06086	-0.31472	53.37272	78.02233	0.2993	3.34112	0.0	25.95393	0.0	0.5	1.31417	1.31417	3.53994	3.53994	554.99368	26470.645	34.3038	0.0
675.0	0.0	1.0	1.66333	15.0491	-0.39261	53.34059	77.68577	0.29902	3.34425	0.0	26.02435	0.0	0.5	1.33015	1.33015	3.47906	3.47906	556.71786	26299.107	34.3076	0.0
674.81	0.0	1.0	1.66338	15.04865	-0.39559	53.33938	77.67286	0.29901	3.34437	0.0	26.02705	0.0	0.5	1.33078	1.33078	3.47673	3.47673	556.78404	26292.522	34.3112	0.0010
670.0	3.8E-4	0.99962	1.66466	15.037	-0.47268	53.29542	77.35496	0.29872	3.34766	6.68067E-14	26.09332	2.22695E-14	0.49996	1.34605	1.34605	3.41983	3.41983	558.42786	26118.316	36.2319	9.232
665.0	7.6E-4	0.99924	1.66598	15.0251	-0.55143	53.25716	77.02487	0.29841	3.35114	1.07046E-12	26.16259	3.56841E-13	0.49992	1.36232	1.36232	3.36109	3.36109	560.1379	25937.522	36.1588	18.447
660.0	0.00113	0.99887	1.66731	15.01309	-0.6309	53.21414	76.69369	0.2981	3.35461	5.14687E-12	26.23168	1.71577E-12	0.49987	1.37898	1.37898	3.30279	3.30279	561.84859	25757.089	36.0866	27.282
655.0	0.00148	0.99852	1.66862	15.00128	-0.70908	53.17803	76.36291	0.29778	3.35814	1.52487E-11	26.30112	5.08346E-12	0.49983	1.39605	1.39605	3.24493	3.24493	563.55986	25577.017	36.0144	35.747
650.0	0.00181	0.99819	1.66994	14.98951	-0.787	53.14282	76.0318	0.29747	3.36168	3.47205E-11	26.37059	1.15751E-11	0.4998	1.41354	1.41354	3.18751	3.18751	565.27171	25397.305	35.9424	43.855
645.0	0.00213	0.99787	1.67125	14.97776	-0.86476	53.10806	75.70026	0.29715	3.36525	6.69628E-11	26.44012	2.23245E-11	0.49976	1.43146	1.43146	3.13055	3.13055	566.98331	25218.25	35.811	51.616
640.0	0.00244	0.99756	1.67255	14.96604	-0.94237	53.07358	75.36832	0.29684	3.36884	1.15244E-10	26.50966	3.84219E-11	0.49972	1.44983	1.44983	3.07405	3.07405	568.69633	25040.174	35.6152	59.041
635.0	0.00273	0.99727	1.67385	14.95449	-1.01878	53.04584	75.03675	0.29652	3.37249	1.82459E-10	26.5795	6.0832E-11	0.49969	1.46867	1.46867	3.01802	3.01802	570.40985	24863.059	35.423	66.142
630.0	0.00301	0.99699	1.67514	14.94295	-1.09515	53.01783	74.70472	0.2962	3.37615	2.71035E-10	26.6493	9.03654E-11	0.49966	1.48798	1.48798	2.96245	2.96245	572.12388	24686.885	35.2348	72.928
625.0	0.00327	0.99673	1.67643	14.93145	-1.1713	52.99076	74.37234	0.29587	3.37984	3.83001E-10	26.71919	1.27698E-10	0.49963	1.50778	1.50778	2.90735	2.90735	573.8384	24511.631	35.0508	79.409
620.0	0.00353	0.99647	1.67772	14.91994	-1.24745	52.96322	74.0395	0.29555	3.38355	5.19688E-10	26.78902	1.73275E-10	0.4996	1.52809	1.52809	2.85274	2.85274	575.55339	24337.28	34.8702	85.596
615.0	0.00377	0.99623	1.679	14.9086	-1.32255	52.94178	73.70695	0.29522	3.38732	6.82067E-10	26.85908	2.2742E-10	0.49957	1.54893	1.54893	2.79861	2.79861	577.26882	24163.811	34.6938	91.499
