T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
700.0	0.0	1.0	1.62452	15.1417	0.0	53.54801	79.35627	0.30044	3.3284	0.0	25.82565	0.0	0.5	1.22714	1.22714	3.87056	3.87056	547.8428	27262.158	 	0.0
695.0	0.0	1.0	1.6258	15.12972	-0.0791043	53.51139	79.01992	0.30017	3.33141	0.0	25.89335	0.0	0.5	1.24146	1.24146	3.80626	3.80626	549.57109	27091.413	34.149	0.0
690.0	0.0	1.0	1.62709	15.11779	-0.15789	53.47599	78.68357	0.2999	3.33445	0.0	25.96105	0.0	0.5	1.25609	1.25609	3.74248	3.74248	551.29946	26920.665	34.1496	0.0
685.0	0.0	1.0	1.62837	15.10591	-0.23636	53.44183	78.34722	0.29962	3.33752	0.0	26.02875	0.0	0.5	1.27106	1.27106	3.67921	3.67921	553.0279	26749.913	34.1504	0.0
680.0	0.0	1.0	1.62964	15.09407	-0.31451	53.40894	78.01086	0.29935	3.34063	0.0	26.09645	0.0	0.5	1.28636	1.28636	3.61647	3.61647	554.75642	26579.159	34.1508	0.0
675.0	0.0	1.0	1.63092	15.08229	-0.39234	53.37735	77.67451	0.29906	3.34376	0.0	26.16415	0.0	0.5	1.30201	1.30201	3.55425	3.55425	556.48502	26408.401	34.1516	0.0
670.0	0.0	1.0	1.63219	15.07055	-0.46986	53.3471	77.33816	0.29878	3.34693	0.0	26.23184	0.0	0.5	1.31802	1.31802	3.49256	3.49256	558.21371	26237.639	34.1524	0.0
665.0	0.0	1.0	1.63345	15.05886	-0.54706	53.3182	77.00181	0.2985	3.35014	0.0	26.29954	0.0	0.5	1.33441	1.33441	3.4314	3.4314	559.94249	26066.875	34.1528	0.0
660.0	0.0	1.0	1.63472	15.04722	-0.62394	53.2907	76.66546	0.29821	3.35338	0.0	26.36724	0.0	0.5	1.35117	1.35117	3.37076	3.37076	561.67135	25896.107	34.1536	0.0
655.0	0.0	1.0	1.63598	15.03563	-0.7005	53.26463	76.3291	0.29792	3.35665	0.0	26.43494	0.0	0.5	1.36833	1.36833	3.31066	3.31066	563.40031	25725.35	34.1514	0.0
650.0	0.0	1.0	1.63723	15.02408	-0.77674	53.24001	75.99275	0.29762	3.35996	0.0	26.50264	0.0	0.5	1.3859	1.3859	3.25109	3.25109	565.12937	25554.615	34.147	0.0
645.0	0.0	1.0	1.63849	15.01259	-0.85267	53.2169	75.6564	0.29733	3.3633	0.0	26.57034	0.0	0.5	1.40388	1.40388	3.19205	3.19205	566.85597	25384.211	34.0808	0.0
640.0	0.0	1.0	1.63974	15.00114	-0.92828	53.19532	75.32005	0.29703	3.36668	0.0	26.63803	0.0	0.5	1.4223	1.4223	3.13355	3.13355	568.58536	25214.474	33.9474	0.0
635.0	0.0	1.0	1.64099	14.98974	-1.00357	53.17531	74.9837	0.29673	3.3701	0.0	26.70573	0.0	0.5	1.44117	1.44117	3.07559	3.07559	570.31485	25045.395	33.8158	0.0
630.0	0.0	1.0	1.64223	14.97839	-1.07854	53.15691	74.64735	0.29642	3.37356	0.0	26.77343	0.0	0.5	1.46051	1.46051	3.01816	3.01816	572.04445	24876.965	33.686	0.0
625.0	0.0	1.0	1.64347	14.96708	-1.1532	53.14016	74.31099	0.29612	3.37705	0.0	26.84113	0.0	0.5	1.48032	1.48032	2.96128	2.96128	573.77416	24709.174	33.5582	0.0
620.0	0.0	1.0	1.64471	14.95583	-1.22753	53.1251	73.97464	0.29581	3.38059	0.0	26.90883	0.0	0.5	1.50063	1.50063	2.90495	2.90495	575.50398	24542.013	33.4322	0.0
615.0	0.0	1.0	1.64594	14.94462	-1.30155	53.11177	73.63829	0.29549	3.38416	0.0	26.97653	0.0	0.5	1.52145	1.52145	2.84916	2.84916	577.23393	24375.472	33.3082	0.0
610.0	0.0	1.0	1.64717	14.93346	-1.37526	53.10023	73.30194	0.29518	3.38778	0.0	27.04423	0.0	0.5	1.5428	1.5428	2.79391	2.79391	578.964	24209.542	33.186	0.0
606.92	0.0	1.0	1.64793	14.9266	-1.42054	53.09402	73.09454	0.29498	3.39003	0.0	27.08597	0.0	0.5	1.55623	1.55623	2.76012	2.76012	580.03084	24107.53	33.0881	0.0
605.0	0.0579901	0.94201	1.65183	14.89135	-1.65335	51.78642	75.34419	0.28555	3.50199	2.91823E-4	27.17266	9.79014E-5	0.49039	1.56484	1.73373	2.73896	2.47215	580.95056	23578.721	275.858	465.492
600.0	0.18539	0.81461	1.66059	14.81283	-2.17193	48.90451	80.38136	0.26613	3.75751	0.0312543	27.38763	0.0106372	0.46911	1.58769	6.99788	2.68417	0.60899	583.34593	22398.92	235.96	1480.559
595.0	0.28454	0.71546	1.66763	14.75023	-2.58535	46.6537	84.52675	0.25163	3.97405	0.17716	27.58824	0.060993	0.45234	1.61111	32.76467	2.63	0.12932	585.73691	21451.867	189.411	2263.461
594.8	0.288	0.712	1.66788	14.74808	-2.59954	46.57812	84.67892	0.25112	3.98213	0.1861	27.59612	0.064094	0.45175	1.61206	34.41285	2.62784	0.1231	585.83284	21418.025	 	2290.723
590.0	0.36415	0.63585	1.67349	14.69865	-2.92601	44.83882	88.07359	0.24011	4.16479	0.48326	27.77422	0.16795	0.43874	1.63468	92.69297	2.57715	0.0454492	588.11163	20662.289	157.916	2889.466
585.0	0.42885	0.57115	1.67842	14.65545	-3.2113	43.35687	91.11747	0.23074	4.33384	0.94407	27.9521	0.33066	0.42757	1.65886	194.38777	2.52488	0.0215467	590.48442	19995.525	133.353	3393.225
580.0	0.48225	0.51775	1.68264	14.61866	-3.45428	42.12989	93.73519	0.22299	4.48447	1.53102	28.12371	0.53975	0.41826	1.68367	342.0921	2.47318	0.0121722	592.85571	19421.734	114.758	3804.57
575.0	0.52696	0.47304	1.68632	14.58675	-3.66504	41.09707	95.97956	0.2165	4.61892	2.21104	28.28977	0.78384	0.41039	1.70912	538.94387	2.42207	0.00768097	595.22545	18919.176	100.512	4145.233
570.0	0.56487	0.43513	1.68956	14.55864	-3.85067	40.21565	97.90613	0.21099	4.73957	2.95434	28.45113	1.05238	0.40365	1.73525	788.31612	2.37154	0.00522025	597.59365	18472.231	89.389	4430.826
565.0	0.59735	0.40265	1.69246	14.53361	-4.01594	39.45716	99.55307	0.20627	4.84805	3.73623	28.60854	1.33646	0.39781	1.76206	1094.35437	2.3216	0.0037381	599.96031	18069.417	80.5628	4672.823
560.0	0.62546	0.37454	1.69508	14.51106	-4.1649	38.79723	100.95844	0.20218	4.94599	4.53843	28.76255	1.62936	0.3927	1.78958	1462.6394	2.27226	0.00278018	602.32549	17702.128	73.4578	4879.824
555.0	0.65001	0.34999	1.69747	14.49055	-4.30035	38.21893	102.15333	0.19862	5.03474	5.34646	28.91335	1.92568	0.3882	1.81784	1899.81459	2.22351	0.00212757	604.68923	17363.8	67.6656	5058.385
550.0	0.6716	0.3284	1.69968	14.4717	-4.42484	37.70685	103.16676	0.19548	5.11558	6.15076	29.06137	2.22179	0.38419	1.84687	2414.64641	2.17535	0.00166384	607.05165	17049.351	62.8898	5213.579
545.0	0.69073	0.30927	1.70172	14.45426	-4.54005	37.2508	104.02317	0.19269	5.18957	6.94442	29.20675	2.515	0.3806	1.87668	3017.57493	2.12779	0.00132331	609.41281	16754.794	58.9114	5349.387
541.0	0.70448	0.29552	1.70325	14.44116	-4.6265	36.92036	104.60952	0.19068	5.24445	7.56681	29.32115	2.7456	0.37799	1.90111	3570.64784	2.09018	0.00111287	611.30002	16531.568	 	5446.034
541.0	0.70448	0.29552	1.70325	14.44116	-4.6265	36.92036	104.60952	0.19068	5.24445	7.56681	29.32115	2.7456	0.37799	1.90111	3570.64784	2.09018	0.00111287	611.30002	16531.568	 	5446.034
540.0	0.70778	0.29222	1.70363	14.43801	-4.64734	36.84272	104.74761	0.19019	5.25784	7.722	29.34963	2.80318	0.37736	1.90728	3720.73806	2.08086	0.00106667	611.77238	16476.731	55.6126	5469.199
535.0	0.72326	0.27674	1.70543	14.4226	-4.74909	36.4668	105.35982	0.18792	5.32129	8.4903	29.48998	3.08877	0.37438	1.93863	4544.32858	2.03462	8.67978E-4	614.1295	16211.013	53.1436	5577.156
530.0	0.73718	0.26282	1.70713	14.40811	-4.84477	36.12776	105.8653	0.18587	5.38011	9.23647	29.62833	3.36686	0.37167	1.9709	5501.24132	1.98893	7.12562E-4	616.48625	15958.042	50.5942	5672.852
525.0	0.74976	0.25024	1.70875	14.3944	-4.93534	35.8198	106.27877	0.18399	5.43495	9.96057	29.76481	3.6374	0.36919	2.0041	6613.01766	1.9438	5.89076E-4	618.84258	15715.949	48.4186	5758.145
520.0	0.76118	0.23882	1.71029	14.38135	-5.02153	35.53823	106.61169	0.18227	5.48635	10.66224	29.89954	3.90015	0.3669	2.03828	7904.57474	1.89923	4.89738E-4	621.19847	15483.217	46.5464	5834.551
515.0	0.77162	0.22838	1.71176	14.36885	-5.10406	35.27862	106.87366	0.18068	5.53472	11.34199	30.03236	4.15524	0.36478	2.07346	9405.35608	1.85524	4.08997E-4	623.55395	15258.598	44.9238	5903.307
510.0	0.78117	0.21883	1.71318	14.3569	-5.18302	35.0408	107.07424	0.1792	5.58051	12.00079	30.16356	4.40295	0.36281	2.10969	11150.96584	1.81181	3.42783E-4	625.90897	15041.058	43.508	5965.441
505.0	0.78997	0.21003	1.71454	14.34536	-5.25924	34.8191	107.22008	0.17781	5.62402	12.63928	30.29304	4.64347	0.36097	2.14701	13182.52242	1.76895	2.88105E-4	628.2637	14829.732	42.2652	6021.816
500.0	0.79809	0.20191	1.71586	14.3342	-5.33289	34.61268	107.3173	0.17651	5.66552	13.25838	30.42095	4.8771	0.35925	2.18545	15548.99706	1.72667	2.42688E-4	630.61816	14623.894	41.1676	6073.146
495.0	0.80562	0.19438	1.71715	14.32341	-5.40419	34.42046	107.37175	0.17528	5.70529	13.85899	30.54726	5.10414	0.35762	2.22506	18308.71693	1.68496	2.04774E-4	632.97238	14422.927	40.1934	6120.043
490.0	0.81262	0.18738	1.71839	14.31293	-5.47342	34.24045	107.38714	0.17411	5.7435	14.44209	30.67206	5.3249	0.35609	2.26589	21530.06424	1.64383	1.73002E-4	635.32647	14226.305	39.3244	6163.028
485.0	0.81915	0.18085	1.7196	14.3027	-5.54093	34.07038	107.36885	0.173	5.78039	15.00919	30.79526	5.53994	0.35463	2.30799	25296.41249	1.60327	1.46279E-4	637.68059	14033.578	38.5454	6202.546
480.0	0.82526	0.17474	1.72079	14.29278	-5.60648	33.91249	107.31944	0.17194	5.81609	15.56073	30.91716	5.74938	0.35325	2.3514	29704.50742	1.56329	1.2375E-4	640.03463	13844.357	37.8442	6238.978
475.0	0.83099	0.16901	1.72195	14.28306	-5.67067	33.76226	107.24077	0.17092	5.85066	16.09705	31.03758	5.95333	0.35194	2.3962	34868.559	1.52389	1.04723E-4	642.38887	13658.306	37.2102	6272.656
470.0	0.83637	0.16363	1.72308	14.27354	-5.73357	33.61936	107.13832	0.16994	5.8844	16.62093	31.15646	6.15281	0.35068	2.44243	40932.99213	1.48505	8.86114E-5	644.74345	13475.131	36.635	6303.869
465.0	0.84146	0.15854	1.7242	14.26421	-5.79513	33.48443	107.01162	0.169	5.91725	17.13114	31.2741	6.34735	0.34947	2.49015	48058.43746	1.44679	7.49655E-5	647.09835	13294.576	36.111	6332.866
460.0	0.84626	0.15374	1.72529	14.25508	-5.85548	33.35674	106.86439	0.16808	5.94941	17.62984	31.39032	6.53774	0.34831	2.53943	56448.79895	1.40911	6.33906E-5	649.4537	13116.415	35.6322	6359.865
455.0	0.8508	0.1492	1.72637	14.24605	-5.91507	33.23258	106.69655	0.1672	5.98086	18.11713	31.50513	6.724	0.3472	2.59034	66340.00743	1.37199	5.35713E-5	651.80982	12940.452	35.1926	6385.063
450.0	0.85511	0.14489	1.72743	14.23724	-5.97325	33.11771	106.51213	0.16634	6.0118	18.59417	31.61877	6.90656	0.34612	2.64296	78026.13777	1.33544	4.5235E-5	654.16643	12766.509	34.7886	6408.628
445.0	0.85922	0.14078	1.72847	14.22853	-6.03081	33.00564	106.31028	0.1655	6.04218	19.0608	31.73101	7.08535	0.34509	2.69735	91848.66824	1.29946	3.81618E-5	656.52405	12594.432	34.4154	6430.712
440.79	0.86251	0.13749	1.72934	14.22128	-6.07867	32.91484	106.1292	0.16481	6.06749	19.44764	31.82455	7.23372	0.34423	2.74463	105469.8977	1.26959	3.30383E-5	658.51163	12450.787	 	6448.252
440.79	0.86251	0.13749	1.72934	14.22128	-6.07867	32.91484	106.1292	0.16481	6.06749	19.44764	31.82455	7.23372	0.34423	2.74463	105469.8977	1.26959	3.30383E-5	658.51163	12450.787	 	6448.252
440.0	0.86311	0.13689	1.7295	14.21995	-6.08748	32.89881	106.09474	0.16468	6.07221	19.51833	31.84192	7.26085	0.34408	2.7536	108232.9445	1.26406	3.21594E-5	658.8827	12424.108	34.0648	6451.421
435.0	0.86685	0.13315	1.73052	14.21148	-6.14339	32.79613	105.86399	0.16389	6.10179	19.96858	31.95159	7.43375	0.3431	2.8118	127698.1901	1.22922	2.70662E-5	661.24241	12255.315	33.7586	6470.971
432.42	0.86871	0.13129	1.73104	14.20718	-6.17181	32.74576	105.74091	0.16348	6.11694	20.19675	32.0076	7.52144	0.34261	2.84257	139121.2307	1.21148	2.47534E-5	662.45872	12168.971	 	6480.563
430.0	0.93758	0.0624163	1.73581	14.16673	-6.43893	30.50484	107.18602	0.16072	6.22192	27.03506	32.15891	10.15106	0.33164	2.8945	200846.7584	1.18566	1.70872E-5	663.11681	11658.597	119.344	6918.815
425.0	0.97988	0.0201208	1.73908	14.13761	-6.63123	29.10989	107.92889	0.15848	6.30991	32.12126	32.33096	12.12457	0.32463	3.00321	277110.0719	1.13462	1.22965E-5	664.86844	11245.078	82.7038	7183.824
420.0	0.99179	0.00821277	1.74039	14.12481	-6.71578	28.68752	107.93597	0.15734	6.35584	33.79474	32.45614	12.77775	0.32241	3.11406	338757.1342	1.08639	9.98678E-6	666.79043	11023.598	44.296	7257.153
415.0	0.99709	0.00291025	1.74128	14.11556	-6.77691	28.4761	107.77643	0.15643	6.39256	34.65582	32.56978	13.11512	0.32122	3.22705	404447.5905	1.04079	8.30439E-6	668.77622	10843.767	35.9662	7289.189
410.0	1.0	0.0	1.74201	14.10759	-6.82954	28.34093	107.55517	0.15561	6.42612	35.21363	32.6783	13.33443	0.3204	 	479533.47	 	6.95319E-6	 	10679.113	32.9308	7306.4
405.0	1.0	0.0	1.74282	14.10106	-6.87265	28.29463	107.2579	0.1549	6.45561	35.39139	32.77844	13.40535	0.32005	 	563645.2317	 	5.87228E-6	 	10491.815	37.4596	 
400.0	1.0	0.0	1.74362	14.09455	-6.91564	28.24834	106.96059	0.15419	6.48554	35.56824	32.87735	13.47596	0.31969	 	664102.9562	 	4.94724E-6	 	10345.65	29.233	 
395.0	1.0	0.0	1.74443	14.08806	-6.9585	28.20206	106.66323	0.15347	6.5159	35.74417	32.97506	13.54626	0.31934	 	784388.2173	 	4.15747E-6	 	10199.773	29.1754	 
390.0	1.0	0.0	1.74523	14.08159	-7.00124	28.15577	106.36583	0.15275	6.54673	35.91918	33.07156	13.61624	0.31898	 	928788.6391	 	3.48483E-6	 	10054.181	29.1184	 
385.0	1.0	0.0	1.74603	14.07514	-7.04385	28.10949	106.06838	0.15202	6.57802	36.09327	33.16687	13.68592	0.31863	 	1102599.42	 	2.91336E-6	 	9908.873	29.0616	 
