T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.53375	7.9457	0.0	34.59571	32.36049	1.26674	0.78943	0.0	124.44754	0.0	0.5	7.05938	7.05938	1.15679	1.15679	1866.35639	42037.326	 	0.0
1395.0	0.0	1.0	7.53814	7.94107	-0.058269	34.55996	32.27454	1.26631	0.78969	0.0	124.5822	0.0	0.5	7.1363	7.1363	1.1409	1.1409	1869.8865	41837.955	39.8742	0.0
1390.0	0.0	1.0	7.54252	7.93645	-0.11637	34.52441	32.18858	1.26589	0.78996	0.0	124.71685	0.0	0.5	7.21453	7.21453	1.12515	1.12515	1873.42731	41639.026	39.7858	0.0
1385.0	0.0	1.0	7.5469	7.93185	-0.17431	34.48907	32.10263	1.26546	0.79022	0.0	124.8515	0.0	0.5	7.2941	7.2941	1.10953	1.10953	1876.97883	41440.534	39.6984	0.0
1380.0	0.0	1.0	7.55127	7.92726	-0.23209	34.45392	32.01667	1.26503	0.79049	0.0	124.98615	0.0	0.5	7.37503	7.37503	1.09405	1.09405	1880.54103	41242.477	39.6114	0.0
1375.81	0.0	1.0	7.55493	7.92342	-0.28043	34.42459	31.94458	1.26467	0.79072	0.0	125.0991	0.0	0.5	7.44399	7.44399	1.08116	1.08116	1883.53716	41076.686	39.53127	0.0
1375.0	0.02464	0.97536	7.56406	7.91384	-0.40097	34.10503	32.00843	1.26153	0.79269	3.61877E-5	125.91124	1.20862E-5	0.49707	7.4566	7.70898	1.0788	1.04349	1883.69792	40658.874	518.32572	385.977
1370.0	0.16501	0.83499	7.61689	7.859	-1.0912	32.27708	32.37581	1.24343	0.80422	0.0751051	130.52644	0.0253705	0.48016	7.5379	18.13384	1.06393	0.44226	1884.57742	38273.604	477.054	2574.051
1365.0	0.27779	0.72221	7.66033	7.8144	-1.65246	30.80211	32.66723	1.22859	0.81394	0.61883	134.27137	0.21101	0.46635	7.62238	84.68045	1.04894	0.0944185	1885.33018	36331.458	388.4292	4319.426
1360.0	0.36969	0.63031	7.69654	7.77761	-2.11544	29.59651	32.89972	1.21619	0.82224	1.9821	137.35536	0.68117	0.45492	7.71004	254.7377	1.03385	0.031291	1885.96379	34725.465	321.1986	5729.073
1355.0	0.4455	0.5545	7.72703	7.74688	-2.50223	28.60004	33.08499	1.20567	0.82941	4.25461	139.92905	1.47181	0.44537	7.80065	549.79586	1.01871	0.0144537	1886.4851	33378.084	269.4762	6880.526
1350.0	0.50875	0.49125	7.75307	7.72081	-2.8303	27.76484	33.23181	1.19666	0.83566	7.34621	142.10506	2.55556	0.4373	7.89446	972.23746	1.00351	0.00814841	1886.90433	32232.255	229.1658	7830.845
1345.0	0.56205	0.43795	7.77546	7.69848	-3.11139	27.05888	33.34663	1.18887	0.84114	11.08649	143.96501	3.87525	0.43042	7.99119	1514.71968	0.98831	0.00521403	1887.22872	31245.394	197.3722	8622.611
1340.0	0.60737	0.39263	7.79493	7.67911	-3.35517	26.45565	33.43478	1.18207	0.84598	15.29198	145.57297	5.36746	0.42451	8.09098	2166.94822	0.97311	0.0036334	1887.467	30385.308	172.0172	9288.013
1335.0	0.64621	0.35379	7.81203	7.66214	-3.56875	25.9356	33.50041	1.1761	0.85027	19.79556	146.97671	6.9733	0.41938	8.19385	2918.72934	0.95791	0.00268918	1887.6271	29627.365	151.5886	9851.681
1330.0	0.67975	0.32025	7.82711	7.64717	-3.7571	25.48522	33.54702	1.17081	0.85411	24.45789	148.21367	8.64292	0.41491	8.29958	3761.61098	0.94277	0.00208011	1887.71409	28952.506	134.9718	10332.671
1325.0	0.70891	0.29109	7.84057	7.63382	-3.92507	25.09108	33.57743	1.1661	0.85756	29.17035	149.3135	10.33694	0.41098	8.40847	4689.25124	0.92766	0.00166342	1887.73809	28345.828	121.3356	10745.883
