T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.53989	7.92162	0.0	33.91141	32.59626	1.25757	0.79518	0.0	124.38249	0.0	0.5	7.23427	7.23427	1.12883	1.12883	1866.91495	40716.278	 	0.0
1395.0	0.0	1.0	7.54428	7.91702	-0.0580924	33.87405	32.51242	1.25705	0.79551	0.0	124.51595	0.0	0.5	7.31387	7.31387	1.1132	1.1132	1870.4274	40516.159	40.0238	0.0
1390.0	0.0	1.0	7.54865	7.91243	-0.11602	33.83689	32.42859	1.25652	0.79585	0.0	124.64942	0.0	0.5	7.39483	7.39483	1.09772	1.09772	1873.95169	40316.489	39.934	0.0
1385.0	0.0	1.0	7.55302	7.90786	-0.17379	33.7999	32.34475	1.25599	0.79618	0.0	124.78288	0.0	0.5	7.47719	7.47719	1.08236	1.08236	1877.48783	40117.265	39.8448	0.0
1380.0	0.0	1.0	7.55738	7.90329	-0.23139	33.76311	32.26091	1.25546	0.79652	0.0	124.91635	0.0	0.5	7.56097	7.56097	1.06714	1.06714	1881.03585	39918.483	39.7564	0.0
1376.75	0.0	1.0	7.56021	7.90034	-0.26873	33.73929	32.20642	1.25511	0.79674	0.0	125.00309	0.0	0.5	7.61619	7.61619	1.05732	1.05732	1883.34817	39789.527	39.68341	0.0
1375.0	0.0663404	0.93366	7.58417	7.87538	-0.5838	32.89626	32.36044	1.24781	0.8014	0.00184695	126.95103	6.18902E-4	0.49211	7.64116	8.576	1.05275	0.93799	1883.68795	38694.394	625.65443	1025.749
1370.0	0.23642	0.76358	7.64643	7.81124	-1.39342	30.7314	32.76015	1.22885	0.81377	0.30856	131.86906	0.10484	0.4716	7.71638	50.37554	1.03932	0.1592	1884.65675	35885.428	561.7932	3636.811
1365.0	0.36982	0.63018	7.69652	7.76044	-2.03478	29.02747	33.07169	1.21357	0.82402	1.90067	135.72036	0.65306	0.45519	7.79589	262.11806	1.02559	0.0305031	1885.55751	33660.893	444.907	5663.875
1360.0	0.4758	0.5242	7.73726	7.71953	-2.55119	27.66639	33.31463	1.20104	0.83261	5.32939	138.77859	1.848	0.44194	7.87951	730.33568	1.01161	0.0109142	1886.39348	31873.302	357.5182	7254.426
