T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Poisson's ratio-TOTAL	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.10678	0.0	34.71545	30.24025	0.73771	0.0	0.5	40128.358	 	0.0
1395.0	0.0	1.0	7.1109	-0.0578843	34.68114	30.15968	0.73795	0.0	0.5	39928.295	40.0126	0.0
1390.0	0.0	1.0	7.11501	-0.11561	34.64704	30.07911	0.73819	0.0	0.5	39728.674	39.9242	0.0
1385.0	0.0	1.0	7.11911	-0.17317	34.61313	29.99854	0.73843	0.0	0.5	39529.492	39.8364	0.0
1380.0	0.0	1.0	7.12321	-0.23056	34.57944	29.91797	0.73868	0.0	0.5	39330.746	39.7492	0.0
1375.0	0.0	1.0	7.12729	-0.2878	34.54596	29.8374	0.73892	0.0	0.5	39132.435	39.6622	0.0
1370.0	0.0	1.0	7.13138	-0.34487	34.51268	29.75683	0.73917	0.0	0.5	38934.554	39.5762	0.0
1365.0	0.0	1.0	7.13545	-0.40178	34.47962	29.67626	0.73942	0.0	0.5	38737.101	39.4906	0.0
1360.0	0.0	1.0	7.13952	-0.45853	34.44678	29.5957	0.73967	0.0	0.5	38540.073	39.4056	0.0
1355.0	0.0	1.0	7.14358	-0.51511	34.41415	29.51513	0.73992	0.0	0.5	38343.469	39.3208	0.0
1353.93	0.0	1.0	7.14444	-0.52716	34.40723	29.49794	0.73997	0.0	0.5	38301.592	39.26509	0.0
1350.0	0.15747	0.84253	7.19689	-1.25148	32.42623	29.92216	0.75243	0.054357	0.48103	35947.864	598.38311	2199.416
1345.0	0.32009	0.67991	7.25238	-2.00729	30.36713	30.37222	0.76611	0.96282	0.46101	33499.547	489.6634	4451.966
1340.0	0.44686	0.55314	7.29688	-2.60361	28.75455	30.73154	0.77758	3.76844	0.44509	31567.425	386.4244	6188.735
1335.0	0.54676	0.45324	7.3329	-3.08088	27.47598	31.01876	0.78728	8.65917	0.4323	30021.174	309.2502	7540.045
1330.0	0.62625	0.37375	7.36246	-3.46843	26.44957	31.24659	0.79554	15.21944	0.42196	28766.194	250.996	8600.494
1325.0	0.69003	0.30997	7.3869	-3.78611	25.62011	31.42486	0.80258	22.83808	0.41352	27733.112	206.6164	9439.452
1320.0	0.7416	0.2584	7.40737	-4.04936	24.94439	31.5615	0.8086	30.9444	0.40659	26870.564	172.5096	10108.281
1315.0	0.78359	0.21641	7.42465	-4.2707	24.38721	31.66355	0.81377	39.09682	0.40085	26140.163	146.0802	10645.364
1310.0	0.81801	0.18199	7.4394	-4.45804	23.92655	31.7368	0.81823	46.99022	0.39608	25512.977	125.4372	11079.631
1306.9	0.83585	0.16415	7.44735	-4.55864	23.68542	31.76793	0.82064	51.56687	0.39356	25170.707	 	11302.346
1305.0	0.84804	0.15196	7.45271	-4.62653	23.51841	31.79216	0.82225	54.88732	0.39184	24942.877	114.02	11457.209
1300.0	0.87664	0.12336	7.46564	-4.7894	23.12385	31.84343	0.8262	63.38713	0.38774	24390.845	110.4064	11817.114
1295.0	0.89929	0.10071	7.47649	-4.9253	22.80713	31.8698	0.82952	70.88994	0.38443	23918.404	94.4882	12097.821
1290.0	0.91746	0.082545	7.48575	-5.04087	22.54912	31.87672	0.83235	77.46079	0.38171	23505.513	82.5782	12319.367
1285.0	0.93217	0.0678343	7.49377	-5.14074	22.33656	31.86829	0.8348	83.19546	0.37945	23137.853	73.532	12496.069
1280.0	0.9442	0.0558024	7.50083	-5.22831	22.15965	31.84758	0.83694	88.19794	0.37756	22805.019	66.5668	12638.33
1276.56	0.95112	0.0488844	7.5052	-5.28237	22.05598	31.82689	0.83826	91.2227	0.37644	22593.515	 	12718.947
1275.0	0.95512	0.044877	7.50755	-5.31135	21.99513	31.82063	0.83894	92.98421	0.3758	22484.457	64.1124	12768.702
1270.0	0.96666	0.0333419	7.5146	-5.39817	21.81774	31.79568	0.841	98.25154	0.37394	22153.127	66.266	12910.222
1265.0	0.97565	0.0243469	7.52073	-5.47355	21.67408	31.75959	0.84277	102.61397	0.37244	21855.747	59.476	13018.17
1260.0	0.98277	0.0172287	7.52619	-5.54043	21.55545	31.71499	0.84433	106.26398	0.37119	21583.274	54.4946	13101.588
1255.0	0.98847	0.0115251	7.53113	-5.60096	21.45554	31.66377	0.84573	109.35004	0.37013	21329.441	50.7666	13166.738
1250.0	0.9931	0.00690459	7.53568	-5.65654	21.37021	31.60732	0.84699	111.98591	0.36923	21089.805	47.9272	13218.063
1245.0	0.99688	0.00312178	7.53991	-5.70829	21.29618	31.54665	0.84815	114.26126	0.36845	20861.157	45.7296	13258.769
1240.0	1.0	0.0	7.5439	-5.75702	21.23097	31.48296	0.84923	116.24512	0.36776	20641.131	44.0052	13291.22
1235.0	1.0	0.0	7.54639	-5.78807	21.22092	31.3996	0.84979	116.66201	0.36753	20433.55568	41.51506	 
1230.0	1.0	0.0	7.54888	-5.81915	21.21068	31.3162	0.85036	117.07805	0.3673	20252.67831	36.17547	 
1225.0	1.0	0.0	7.55137	-5.85018	21.20051	31.2328	0.85092	117.49321	0.36707	20072.04241	36.12718	 
1220.0	1.0	0.0	7.55385	-5.88116	21.19043	31.1494	0.85149	117.90751	0.36684	19891.64771	36.07894	 
1215.0	1.0	0.0	7.55634	-5.91209	21.18044	31.06599	0.85206	118.32094	0.36661	19711.49389	36.03076	 
1210.0	1.0	0.0	7.55882	-5.94296	21.17053	30.98257	0.85264	118.73349	0.36638	19531.58065	35.98265	 
1205.0	1.0	0.0	7.56129	-5.97378	21.1607	30.89916	0.85322	119.14518	0.36615	19351.90769	35.93459	 
1200.72	1.0	0.0	7.56341	-6.00014	21.15236	30.8277	0.85372	119.49715	0.36595	19198.18984	 	 
1200.0	1.0	0.0	7.56431	-6.01125	21.12923	30.77587	0.8527	119.67666	0.36578	19144.16137	41.54927	 
1195.0	1.0	0.0	7.57045	-6.08754	20.97107	30.42495	0.84585	120.89086	0.3646	18772.35049	74.36217	 
1190.0	1.0	0.0	7.57645	-6.16181	20.81812	30.089	0.83937	122.04368	0.36346	18408.91124	72.68785	 
1185.0	1.0	0.0	7.58229	-6.23418	20.67012	29.76719	0.83324	123.14061	0.36238	18053.40902	71.10044	 
1180.0	1.0	0.0	7.588	-6.30473	20.52682	29.45872	0.82744	124.18642	0.36134	17705.43943	69.59392	 
1175.0	1.0	0.0	7.59358	-6.37357	20.38796	29.16281	0.82196	125.18526	0.36034	17364.62336	68.16321	 
1170.0	1.0	0.0	7.59904	-6.44078	20.25331	28.87876	0.81677	126.14077	0.35938	17030.60527	66.80362	 
1165.0	1.0	0.0	7.60437	-6.50644	20.12265	28.60589	0.81187	127.05619	0.35846	16703.05134	65.51079	 
1160.0	1.0	0.0	7.6096	-6.57064	19.99578	28.34356	0.80723	127.93439	0.35757	16381.6479	64.28069	 
1155.0	1.0	0.0	7.61472	-6.63343	19.87251	28.09116	0.80284	128.77797	0.35671	16066.09999	63.10958	 
1153.39	1.0	0.0	7.61634	-6.65336	19.83355	28.01192	0.80148	129.04261	0.35645	15965.70017	 	 
1150.0	1.0	0.0	7.61976	-6.69518	19.75166	27.84798	0.79869	129.59243	0.35589	15754.55414	62.30917	 
1145.0	1.0	0.0	7.6247	-6.75575	19.63376	27.61363	0.79476	130.37766	0.35509	15447.82372	61.34608	 
1143.14	1.0	0.0	7.62652	-6.77792	19.59081	27.52879	0.79336	130.6618	0.3548	15335.29436	 	 
1140.0	1.0	0.0	7.62955	-6.81501	19.51927	27.38772	0.79105	131.13429	0.35432	15146.2826	60.30822	 
1135.0	1.0	0.0	7.63431	-6.87304	19.40797	27.16978	0.78754	131.86404	0.35357	14849.74417	59.30769	 
1130.0	1.0	0.0	7.63897	-6.92993	19.29959	26.95937	0.78422	132.56846	0.35286	14558.04942	58.33895	 
1125.0	1.0	0.0	7.64356	-6.98574	19.19397	26.75606	0.78109	133.24911	0.35217	14270.96481	57.41692	 
1120.0	1.0	0.0	7.64806	-7.04052	19.09098	26.55944	0.77813	133.90745	0.3515	13988.27152	56.53866	 
1115.0	1.0	0.0	7.65249	-7.09432	18.99048	26.36912	0.77534	134.54483	0.35086	13709.76429	55.70145	 
1110.0	1.0	0.0	7.65685	-7.14718	18.89234	26.18476	0.7727	135.16249	0.35023	13435.25033	54.90279	 
1105.0	1.0	0.0	7.66113	-7.19914	18.79646	26.00603	0.77021	135.76162	0.34963	13164.54836	54.14039	 
1100.0	1.0	0.0	7.66536	-7.25025	18.70273	25.83262	0.76786	136.34329	0.34905	12897.48774	53.41212	 
1095.0	1.0	0.0	7.66951	-7.30054	18.61102	25.66425	0.76565	136.90854	0.34848	12633.90816	52.71592	 
1090.0	1.0	0.0	7.67361	-7.35005	18.52126	25.50064	0.76356	137.45832	0.34793	12373.658	52.05003	 
1085.0	1.0	0.0	7.67765	-7.3988	18.43334	25.34154	0.76159	137.99352	0.3474	12116.59358	51.41288	 
1080.0	1.0	0.0	7.68164	-7.44684	18.34717	25.18672	0.75973	138.51499	0.34688	11862.57955	50.80281	 
1075.0	1.0	0.0	7.68557	-7.4942	18.26269	25.03596	0.75798	139.02354	0.34638	11611.48786	50.21834	 
1070.0	1.0	0.0	7.68945	-7.54089	18.1798	24.88904	0.75634	139.51989	0.3459	11363.19736	49.6581	 
1065.0	1.0	0.0	7.69328	-7.58695	18.09843	24.74553	0.75479	140.00477	0.34542	11117.59315	49.12084	 
1060.0	1.0	0.0	7.69707	-7.6324	18.01852	24.60573	0.75334	140.47884	0.34496	10874.56649	48.60533	 
1055.0	1.0	0.0	7.70081	-7.67727	17.93999	24.46924	0.75198	140.94273	0.34452	10634.014	48.1105	 
1050.0	1.0	0.0	7.70451	-7.72158	17.86278	24.33589	0.75071	141.39702	0.34408	10395.83764	47.63527	 
1045.0	1.0	0.0	7.70816	-7.76535	17.78682	24.20554	0.74952	141.84229	0.34366	10159.94433	47.17866	 
1040.0	1.0	0.0	7.71178	-7.8086	17.71207	24.07804	0.74841	142.27906	0.34324	9926.24548	46.73977	 
1035.0	1.0	0.0	7.71536	-7.85135	17.63846	23.95339	0.74738	142.70783	0.34284	9694.65688	46.31772	 
1030.0	1.0	0.0	7.7189	-7.89361	17.56594	23.83119	0.74642	143.12909	0.34245	9465.09835	45.91171	 
1025.0	1.0	0.0	7.7224	-7.93542	17.49447	23.71145	0.74553	143.54327	0.34206	9237.49372	45.52093	 
1020.0	1.0	0.0	7.72587	-7.97678	17.42398	23.59408	0.74471	143.9508	0.34169	9011.77018	45.14471	 
1015.0	1.0	0.0	7.72931	-8.01771	17.35444	23.47897	0.74395	144.35209	0.34132	8787.8585	44.78234	 
1010.0	1.0	0.0	7.73272	-8.05822	17.28581	23.36602	0.74326	144.74752	0.34097	8565.69267	44.43316	 
1005.0	1.0	0.0	7.73609	-8.09833	17.21803	23.25514	0.74263	145.13745	0.34062	8345.20967	44.0966	 
1000.0	1.0	0.0	7.73944	-8.13806	17.15107	23.14624	0.74205	145.52222	0.34027	8126.3494	43.77205	 
995.0	1.0	0.0	7.74276	-8.17741	17.08489	23.03923	0.74153	145.90217	0.33994	7909.05442	43.459	 
990.0	1.0	0.0	7.74604	-8.21639	17.01945	22.93405	0.74107	146.27758	0.33961	7693.26994	43.1569	 
985.0	1.0	0.0	7.74931	-8.25503	16.95471	22.83061	0.74066	146.64877	0.33929	7478.94359	42.86527	 
980.0	1.0	0.0	7.75254	-8.29333	16.89065	22.72885	0.7403	147.01601	0.33898	7266.02531	42.58366	 
975.0	1.0	0.0	7.75575	-8.33131	16.82723	22.62869	0.73999	147.37956	0.33867	7054.46724	42.31161	 
970.0	1.0	0.0	7.75894	-8.36896	16.76441	22.53009	0.73973	147.73967	0.33836	6844.2236	42.04873	 
965.0	1.0	0.0	7.76211	-8.40632	16.70217	22.43297	0.73952	148.09658	0.33807	6635.25057	41.79461	 
960.0	1.0	0.0	7.76525	-8.44337	16.64047	22.33729	0.73935	148.45051	0.33778	6427.50618	41.54888	 
955.0	1.0	0.0	7.76837	-8.48013	16.5793	22.24299	0.73922	148.80169	0.33749	6220.95034	41.31117	 
950.0	1.0	0.0	7.77146	-8.51662	16.51861	22.15003	0.73914	149.15031	0.33721	6015.54454	41.08116	 
945.0	1.0	0.0	7.77454	-8.55283	16.45838	22.05835	0.7391	149.49657	0.33693	5811.25191	40.85853	 
940.0	1.0	0.0	7.7776	-8.58878	16.39859	21.9679	0.73911	149.84065	0.33666	5608.03705	40.64297	 
935.0	1.0	0.0	7.78064	-8.62448	16.33921	21.87866	0.73915	150.18274	0.33639	5405.86611	40.43419	 
930.0	1.0	0.0	7.78366	-8.65993	16.28022	21.79058	0.73924	150.52298	0.33613	5204.70651	40.23192	 
925.0	1.0	0.0	7.78666	-8.69514	16.2216	21.70362	0.73936	150.86156	0.33587	5004.52707	40.03589	 
920.0	1.0	0.0	7.78964	-8.73011	16.16332	21.61774	0.73952	151.19861	0.33561	4805.29777	39.84586	 
915.0	1.0	0.0	7.79261	-8.76485	16.10536	21.53292	0.73972	151.53428	0.33536	4606.98975	39.6616	 
910.0	1.0	0.0	7.79556	-8.79938	16.0477	21.44912	0.73995	151.86871	0.33512	4409.57532	39.48289	 
905.0	1.0	0.0	7.79849	-8.83369	15.99031	21.3663	0.74022	152.20203	0.33487	4213.02791	39.30948	 
900.0	1.0	0.0	7.80141	-8.86778	15.93319	21.28445	0.74053	152.53437	0.33463	4017.32181	39.14122	 
895.0	1.0	0.0	7.80431	-8.90168	15.8763	21.20352	0.74087	152.86584	0.33439	3822.43242	38.97788	 
890.0	1.0	0.0	7.8072	-8.93537	15.81964	21.12351	0.74125	153.19656	0.33416	3628.33592	38.8193	 
