T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.10744	7.99179	0.0	34.71096	30.23148	1.35594	0.73749	0.0	121.77014	0.0	0.5	6.80496	6.80496	1.20004	1.20004	1809.31779	40122.27	 	0.0
1395.0	0.0	1.0	7.11156	7.98716	-0.057882	34.67665	30.15091	1.3555	0.73773	0.0	121.90712	0.0	0.5	6.87843	6.87843	1.18367	1.18367	1812.8287	39922.192	40.0156	0.0
1390.0	0.0	1.0	7.11567	7.98255	-0.1156	34.64254	30.07035	1.35506	0.73797	0.0	122.0441	0.0	0.5	6.95314	6.95314	1.16745	1.16745	1816.36855	39722.555	39.9274	0.0
1385.0	0.0	1.0	7.11977	7.97795	-0.17316	34.60863	29.98978	1.35462	0.73822	0.0	122.18107	0.0	0.5	7.02913	7.02913	1.15135	1.15135	1819.9371	39523.359	39.8392	0.0
1380.0	0.0	1.0	7.12387	7.97336	-0.23055	34.57493	29.90922	1.35417	0.73846	0.0	122.31805	0.0	0.5	7.1064	7.1064	1.1354	1.1354	1823.53409	39324.598	39.7522	0.0
1375.0	0.0	1.0	7.12795	7.96879	-0.28779	34.54144	29.82866	1.35372	0.7387	0.0	122.45503	0.0	0.5	7.18501	7.18501	1.11958	1.11958	1827.15927	39126.272	39.6652	0.0
1370.0	0.0	1.0	7.13204	7.96423	-0.34486	34.50816	29.74809	1.35327	0.73895	0.0	122.59201	0.0	0.5	7.26497	7.26497	1.1039	1.1039	1830.81235	38928.376	39.5792	0.0
1365.0	0.0	1.0	7.13611	7.95968	-0.40176	34.47509	29.66753	1.35281	0.7392	0.0	122.72899	0.0	0.5	7.34632	7.34632	1.08836	1.08836	1834.49305	38730.909	39.4934	0.0
1360.0	0.0	1.0	7.14018	7.95515	-0.45851	34.44224	29.58697	1.35236	0.73945	0.0	122.86596	0.0	0.5	7.42908	7.42908	1.07295	1.07295	1838.20106	38533.867	39.4084	0.0
1355.0	0.0	1.0	7.14424	7.95062	-0.51509	34.4096	29.5064	1.3519	0.7397	0.0	123.00294	0.0	0.5	7.51329	7.51329	1.05767	1.05767	1841.93609	38337.248	39.3238	0.0
1354.18	0.0	1.0	7.14491	7.94988	-0.52439	34.40425	29.49314	1.35182	0.73974	0.0	123.0255	0.0	0.5	7.5273	7.5273	1.05517	1.05517	1842.55369	38304.922	39.26441	0.0
1350.0	0.16854	0.83146	7.20102	7.88792	-1.29973	32.28289	29.94888	1.32784	0.75311	0.0714896	126.24236	0.0241572	0.47968	7.57567	19.81129	1.04574	0.39988	1840.73812	35787.271	602.78329	2353.774
1345.0	0.33046	0.66954	7.25633	7.82786	-2.05123	30.23571	30.3991	1.30414	0.76679	1.09629	129.35729	0.37551	0.45972	7.63529	172.31654	1.03438	0.045833	1838.43008	33349.463	487.5616	4595.8
1340.0	0.45661	0.54339	7.30059	7.78047	-2.64424	28.63225	30.75876	1.28491	0.77827	4.11718	131.8223	1.42576	0.44385	7.69659	627.84309	1.02297	0.0125404	1836.0018	31427.267	384.4392	6322.629
1335.0	0.55597	0.44403	7.3365	7.74244	-3.12005	27.35746	31.04611	1.26907	0.78798	9.27582	133.80386	3.24076	0.43112	7.75976	1433.05242	1.0115	0.00547711	1833.47172	29890.318	307.3898	7664.623
1330.0	0.63495	0.36505	7.3659	7.71171	-3.50463	26.33931	31.27389	1.25591	0.79624	16.11405	135.424	5.67068	0.42082	7.82475	2553.46533	0.99998	0.0030643	1830.85118	28644.019	249.2598	8716.377
1325.0	0.69827	0.30173	7.39024	7.68647	-3.8204	25.51502	31.45189	1.24491	0.80327	23.99369	136.76732	8.49375	0.41243	7.8916	3924.98335	0.98842	0.00198731	1828.15849	27619.017	205.0004	9547.241
1320.0	0.74941	0.25059	7.41059	7.66557	-4.08196	24.84387	31.58817	1.23566	0.80929	32.32574	137.89914	11.49933	0.40555	7.96049	5483.35663	0.9768	0.00141807	1825.40736	26763.977	171.008	10208.547
1315.0	0.79099	0.20901	7.42776	7.64802	-4.3015	24.29166	31.68971	1.22783	0.81444	40.66435	138.86588	14.52445	0.39986	8.03123	7177.30984	0.96515	0.00107998	1822.6137	26040.55	144.6854	10738.643
1310.0	0.82501	0.17499	7.4424	7.63318	-4.48726	23.83532	31.7623	1.22117	0.81889	48.70258	139.70403	17.45455	0.39513	8.10415	8969.64615	0.95346	8.61457E-4	1819.7886	25419.838	124.1424	11166.422
1305.0	0.85303	0.14697	7.455	7.62048	-4.64618	23.45532	31.81075	1.21546	0.82273	56.25413	140.44076	20.21839	0.39116	8.1792	10836.35239	0.94172	7.10807E-4	1816.94741	24879.89	107.9896	11513.835
1300.0	0.87622	0.12378	7.46595	7.60949	-4.78367	23.13639	31.83926	1.21052	0.82609	63.22874	141.09707	22.77988	0.38782	8.25659	12765.32513	0.92994	6.01485E-4	1814.10359	24403.898	95.1984	11797.686
1296.93	0.88822	0.11178	7.47191	7.60354	-4.85809	22.96924	31.84699	1.20787	0.8279	67.12458	141.4638	24.21417	0.38606	8.30522	13963.10167	0.92269	5.48817E-4	1812.38383	24140.947	 	11942.939
1295.0	0.89627	0.10373	7.47586	7.5996	-4.90744	22.85608	31.85392	1.20612	0.8291	69.84247	141.70941	25.21615	0.38488	8.34114	14800.95667	0.91759	5.17112E-4	1811.62746	23967.84	87.2116	12041.995
1290.0	0.915	0.0849968	7.48534	7.59014	-5.02574	22.59008	31.86355	1.20191	0.83201	76.53915	142.30362	27.68977	0.38208	8.43655	17033.18564	0.90432	4.47911E-4	1809.54819	23548.407	83.8866	12270.07
1285.0	0.93018	0.0698176	7.49356	7.58197	-5.12793	22.37067	31.85735	1.1983	0.83452	82.39681	142.83537	29.85901	0.37976	8.53486	19292.00633	0.89104	3.94202E-4	1807.38528	23175.393	74.6028	12452.113
1280.0	0.9426	0.0573955	7.50078	7.57482	-5.21747	22.18792	31.83859	1.19516	0.83671	87.51684	143.31927	31.75927	0.37782	8.63611	21592.95917	0.87777	3.51065E-4	1805.15877	22838.152	67.4482	12598.768
1275.88	0.95112	0.0488772	7.50612	7.56955	-5.28341	22.06019	31.81499	1.19287	0.83831	91.22327	143.68895	33.13735	0.37644	8.72192	23527.46794	0.86683	3.21344E-4	1803.30296	22582.21	 	12697.817
