T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.06697	8.00672	0.0	34.65881	29.65077	1.3825	0.72333	0.0	121.2239	0.0	0.5	6.58891	6.58891	1.23939	1.23939	1787.75459	40985.258	 	0.0
1395.0	0.0	1.0	7.07105	8.0021	-0.0577443	34.62472	29.56908	1.38218	0.7235	0.0	121.36203	0.0	0.5	6.65922	6.65922	1.22264	1.22264	1791.15892	40785.321	39.9874	0.0
1390.0	0.0	1.0	7.07513	7.99749	-0.11533	34.59083	29.48739	1.38185	0.72367	0.0	121.50016	0.0	0.5	6.7307	6.7307	1.20603	1.20603	1794.59517	40585.823	39.8996	0.0
1385.0	0.0	1.0	7.0792	7.99289	-0.17275	34.55714	29.40571	1.38152	0.72384	0.0	121.6383	0.0	0.5	6.80339	6.80339	1.18956	1.18956	1798.06333	40386.76	39.8126	0.0
1380.0	0.0	1.0	7.08326	7.98831	-0.23001	34.52366	29.32402	1.38119	0.72401	0.0	121.77643	0.0	0.5	6.87732	6.87732	1.17322	1.17322	1801.56339	40188.128	39.7264	0.0
1375.0	0.0	1.0	7.08732	7.98373	-0.2871	34.49039	29.24233	1.38086	0.72418	0.0	121.91456	0.0	0.5	6.9525	6.9525	1.15702	1.15702	1805.0953	39989.927	39.6402	0.0
1370.0	0.0	1.0	7.09137	7.97918	-0.34404	34.45733	29.16064	1.38053	0.72436	0.0	122.05269	0.0	0.5	7.02897	7.02897	1.14096	1.14096	1808.65899	39792.153	39.5548	0.0
1365.0	0.0	1.0	7.09541	7.97463	-0.40081	34.42449	29.07896	1.3802	0.72453	0.0	122.19082	0.0	0.5	7.10675	7.10675	1.12504	1.12504	1812.25438	39594.803	39.47	0.0
1360.0	0.0	1.0	7.09945	7.9701	-0.45742	34.39186	28.99727	1.37986	0.72471	0.0	122.32896	0.0	0.5	7.18588	7.18588	1.10926	1.10926	1815.88134	39397.875	39.3856	0.0
1355.0	0.0	1.0	7.10347	7.96558	-0.51387	34.35945	28.91558	1.37952	0.72489	0.0	122.46709	0.0	0.5	7.26639	7.26639	1.09361	1.09361	1819.53975	39201.367	39.3016	0.0
