T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.10218	7.96818	0.0	32.82328	28.40251	1.44326	0.69288	0.0	120.64221	0.0	0.5	6.79354	6.79354	1.20206	1.20206	1749.88331	43918.059	 	0.0
1395.0	0.0	1.0	7.10615	7.96373	-0.0558539	32.78878	28.32636	1.44281	0.69309	0.0	120.78695	0.0	0.5	6.86605	6.86605	1.18581	1.18581	1752.48254	43715.096	40.5926	0.0
1390.0	0.0	1.0	7.11011	7.9593	-0.11155	32.75446	28.2502	1.44237	0.6933	0.0	120.9317	0.0	0.5	6.93977	6.93977	1.1697	1.1697	1755.11005	43512.591	40.501	0.0
1385.0	0.0	1.0	7.11406	7.95487	-0.16709	32.72033	28.17405	1.44192	0.69352	0.0	121.07644	0.0	0.5	7.01474	7.01474	1.15372	1.15372	1757.76627	43310.539	40.4104	0.0
1380.0	0.0	1.0	7.11801	7.95046	-0.22247	32.68639	28.0979	1.44147	0.69374	0.0	121.22118	0.0	0.5	7.09098	7.09098	1.13787	1.13787	1760.45164	43108.94	40.3198	0.0
1375.0	0.0	1.0	7.12195	7.94606	-0.27769	32.65265	28.02175	1.44101	0.69396	0.0	121.36593	0.0	0.5	7.16851	7.16851	1.12216	1.12216	1763.16658	42907.791	40.2298	0.0
1370.0	0.0	1.0	7.12589	7.94167	-0.33275	32.61909	27.9456	1.44056	0.69418	0.0	121.51067	0.0	0.5	7.24738	7.24738	1.10658	1.10658	1765.9115	42707.088	40.1406	0.0
1365.0	0.0	1.0	7.12982	7.9373	-0.38765	32.58574	27.86945	1.4401	0.6944	0.0	121.65542	0.0	0.5	7.3276	7.3276	1.09114	1.09114	1768.68679	42506.83	40.0516	0.0
1360.0	0.0	1.0	7.13374	7.93293	-0.4424	32.55259	27.79329	1.43963	0.69462	0.0	121.80016	0.0	0.5	7.4092	7.4092	1.07582	1.07582	1771.49284	42307.015	39.963	0.0
1355.0	0.0	1.0	7.13765	7.92858	-0.49698	32.51963	27.71714	1.43917	0.69485	0.0	121.9449	0.0	0.5	7.49223	7.49223	1.06064	1.06064	1774.33001	42107.64	39.875	0.0
