T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
700.0	0.00401	0.99599	1.67493	15.42833	0.0	54.72918	81.18945	0.29366	3.40529	5.5355E-11	23.76986	1.8454E-11	0.49981	1.2706	1.2706	3.73815	3.73815	543.45823	27153.809	 	0.0
695.0	0.00413	0.99587	1.67626	15.41606	-0.0795095	54.6982	80.84124	0.29341	3.40819	6.31369E-11	23.84067	2.10484E-11	0.4998	1.28534	1.28534	3.6763	3.6763	545.19793	26980.14	34.7338	1.18
690.0	0.00426	0.99574	1.67758	15.40399	-0.15773	54.67391	80.49387	0.29315	3.41117	7.16401E-11	23.91171	2.38832E-11	0.4998	1.30041	1.30041	3.61495	3.61495	546.9377	26806.462	34.7356	2.347
685.0	0.00438	0.99562	1.6789	15.39183	-0.2366	54.64565	80.14578	0.2929	3.41414	8.08722E-11	23.98252	2.69611E-11	0.49979	1.31581	1.31581	3.55408	3.55408	548.67753	26632.776	34.7372	3.5
680.0	0.00451	0.99549	1.68021	15.37988	-0.31403	54.62505	79.79862	0.29264	3.41718	9.09132E-11	24.05359	3.03087E-11	0.49979	1.33157	1.33157	3.4937	3.4937	550.41742	26459.082	34.7388	4.639
675.0	0.00463	0.99537	1.68152	15.36782	-0.39218	54.60011	79.45069	0.29238	3.42022	1.01739E-10	24.12442	3.39178E-11	0.49978	1.34768	1.34768	3.43381	3.43381	552.15739	26285.38	34.7404	5.764
670.0	0.00475	0.99525	1.68283	15.35599	-0.46888	54.58303	79.10371	0.29211	3.42334	1.13402E-10	24.19551	3.78063E-11	0.49978	1.36417	1.36417	3.37442	3.37442	553.89741	26111.67	34.742	6.875
665.0	0.00487	0.99513	1.68413	15.34405	-0.54629	54.56161	78.75594	0.29185	3.42645	1.25931E-10	24.26636	4.19835E-11	0.49977	1.38104	1.38104	3.31553	3.31553	555.6375	25937.951	34.7438	7.972
660.0	0.00498	0.99502	1.68543	15.33216	-0.62334	54.54191	78.40825	0.29158	3.42961	1.39352E-10	24.33722	4.6458E-11	0.49976	1.39831	1.39831	3.25713	3.25713	557.37766	25764.225	34.7452	9.054
655.0	0.0051	0.9949	1.68673	15.32034	-0.69996	54.5245	78.06071	0.29131	3.4328	1.53646E-10	24.4081	5.12235E-11	0.49976	1.41599	1.41599	3.19923	3.19923	559.11788	25590.492	34.7466	10.123
