T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.22547	8.0489	0.0	35.02553	30.0207	1.36546	0.73235	0.0	122.24726	0.0	0.5	6.75147	6.75147	1.20955	1.20955	1798.27214	43289.711	 	0.0
1395.0	0.0	1.0	7.22959	8.04432	-0.0570091	34.99462	29.93481	1.36529	0.73245	0.0	122.38751	0.0	0.5	6.82351	6.82351	1.1932	1.1932	1801.6575	43091.215	39.6992	0.0
1390.0	0.0	1.0	7.2337	8.03974	-0.11386	34.96392	29.84892	1.36511	0.73254	0.0	122.52776	0.0	0.5	6.89676	6.89676	1.17699	1.17699	1805.06765	42893.148	39.6134	0.0
1385.0	0.0	1.0	7.23781	8.03518	-0.17055	34.93345	29.76303	1.36494	0.73263	0.0	122.66801	0.0	0.5	6.97125	6.97125	1.16091	1.16091	1808.50246	42695.506	39.5284	0.0
1380.0	0.0	1.0	7.24191	8.03063	-0.22707	34.9032	29.67714	1.36476	0.73273	0.0	122.80825	0.0	0.5	7.04699	7.04699	1.14497	1.14497	1811.96175	42498.287	39.4438	0.0
1375.0	0.0	1.0	7.246	8.02609	-0.28344	34.87319	29.59126	1.36458	0.73283	0.0	122.9485	0.0	0.5	7.12403	7.12403	1.12917	1.12917	1815.44537	42301.49	39.3594	0.0
1370.0	0.0	1.0	7.25009	8.02157	-0.33965	34.8434	29.50537	1.3644	0.73292	0.0	123.08875	0.0	0.5	7.20238	7.20238	1.11349	1.11349	1818.95312	42105.11	39.276	0.0
1365.0	0.0	1.0	7.25417	8.01706	-0.39569	34.81386	29.41948	1.36422	0.73302	0.0	123.229	0.0	0.5	7.28209	7.28209	1.09795	1.09795	1822.4848	41909.145	39.193	0.0
1360.0	0.0	1.0	7.25824	8.01256	-0.45158	34.78454	29.33359	1.36404	0.73312	0.0	123.36925	0.0	0.5	7.36317	7.36317	1.08255	1.08255	1826.0402	41713.593	39.1104	0.0
1355.0	0.0	1.0	7.26231	8.00807	-0.5073	34.75547	29.2477	1.36386	0.73321	0.0	123.5095	0.0	0.5	7.44566	7.44566	1.06728	1.06728	1829.61909	41518.451	39.0284	0.0
1350.0	0.0	1.0	7.26637	8.0036	-0.56287	34.72664	29.16182	1.36367	0.73331	0.0	123.64975	0.0	0.5	7.52959	7.52959	1.05214	1.05214	1833.22122	41323.716	38.947	0.0
1345.0	0.0	1.0	7.27042	7.99914	-0.61827	34.69806	29.07593	1.36349	0.73341	0.0	123.79	0.0	0.5	7.615	7.615	1.03714	1.03714	1836.84636	41129.387	38.8658	0.0
1340.0	0.0	1.0	7.27446	7.99469	-0.67352	34.66973	28.99004	1.3633	0.73351	0.0	123.93025	0.0	0.5	7.70191	7.70191	1.02226	1.02226	1840.49423	40935.46	38.7854	0.0
1336.15	0.0	1.0	7.27757	7.99128	-0.71592	34.64809	28.92395	1.36316	0.73359	0.0	124.03817	0.0	0.5	7.76984	7.76984	1.01091	1.01091	1843.31663	40786.505	38.71415	0.0
1335.0	0.02801	0.97199	7.28718	7.98072	-0.84707	34.29664	29.00765	1.35825	0.73624	5.69935E-5	124.63696	1.90415E-5	0.49656	7.79464	8.09997	1.00697	0.96901	1843.41861	40337.964	389.20985	403.968
1330.0	0.1417	0.8583	7.32647	7.93797	-1.37831	32.87505	29.3518	1.33815	0.7473	0.0382678	127.08342	0.0129069	0.48246	7.90377	15.95526	0.98998	0.49041	1843.891	38514.074	364.778	2034.729
1325.0	0.23814	0.76186	7.36046	7.90128	-1.83409	31.66397	29.64354	1.32085	0.75709	0.31204	129.20858	0.10611	0.47032	8.01541	64.87626	0.97315	0.12023	1844.39309	36947.712	313.2724	3408.356
