T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.19988	7.74257	0.0	30.22854	29.89548	1.37118	0.7293	0.0	124.22813	0.0	0.5	6.89261	6.89261	1.18478	1.18478	1756.94738	51238.419	 	0.0
1395.0	0.0	1.0	7.20385	7.73829	-0.0551957	30.18782	29.82537	1.3703	0.72977	0.0	124.38199	0.0	0.5	6.96635	6.96635	1.16874	1.16874	1759.16295	51030.575	41.5688	0.0
1390.0	0.0	1.0	7.20782	7.73403	-0.11023	30.14724	29.75526	1.36941	0.73024	0.0	124.53585	0.0	0.5	7.04134	7.04134	1.15282	1.15282	1761.38777	50823.231	41.4688	0.0
1385.0	0.0	1.0	7.21179	7.72978	-0.16511	30.1068	29.68516	1.36852	0.73072	0.0	124.68971	0.0	0.5	7.11759	7.11759	1.13704	1.13704	1763.62162	50616.383	41.3696	0.0
1380.0	0.0	1.0	7.21574	7.72555	-0.21983	30.06649	29.61505	1.36762	0.7312	0.0	124.84357	0.0	0.5	7.19514	7.19514	1.1214	1.1214	1765.86425	50410.028	41.271	0.0
1375.0	0.0	1.0	7.21969	7.72132	-0.27439	30.02633	29.54495	1.36672	0.73168	0.0	124.99743	0.0	0.5	7.27401	7.27401	1.10588	1.10588	1768.11537	50204.163	41.173	0.0
1370.0	0.0	1.0	7.22363	7.71711	-0.3288	29.98632	29.47484	1.36581	0.73216	0.0	125.15129	0.0	0.5	7.35424	7.35424	1.0905	1.0905	1770.37472	49998.787	41.0752	0.0
1365.0	0.0	1.0	7.22756	7.71291	-0.38304	29.94644	29.40474	1.36491	0.73265	0.0	125.30514	0.0	0.5	7.43584	7.43584	1.07525	1.07525	1772.64202	49793.896	40.9782	0.0
1360.0	0.0	1.0	7.23149	7.70872	-0.43713	29.90672	29.33463	1.36399	0.73314	0.0	125.459	0.0	0.5	7.51887	7.51887	1.06013	1.06013	1774.91696	49589.488	40.8816	0.0
1355.0	0.0	1.0	7.23541	7.70455	-0.49105	29.86714	29.26452	1.36307	0.73364	0.0	125.61286	0.0	0.5	7.60333	7.60333	1.04515	1.04515	1777.19926	49385.56	40.7856	0.0
1350.0	0.0	1.0	7.23932	7.70038	-0.54482	29.82771	29.19442	1.36215	0.73413	0.0	125.76672	0.0	0.5	7.68927	7.68927	1.03029	1.03029	1779.48862	49182.109	40.6902	0.0
1345.0	0.0	1.0	7.24322	7.69623	-0.59843	29.78844	29.12431	1.36122	0.73463	0.0	125.92058	0.0	0.5	7.77673	7.77673	1.01557	1.01557	1781.78473	48979.133	40.5952	0.0
