T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.47131	7.88691	0.0	30.15546	29.06388	1.41042	0.70901	0.0	123.14981	0.0	0.5	7.41624	7.41624	1.10113	1.10113	1776.2076	53073.527	 	0.0
1395.0	0.0	1.0	7.47535	7.88266	-0.0539576	30.1179	28.98577	1.40999	0.70922	0.0	123.30512	0.0	0.5	7.49536	7.49536	1.08625	1.08625	1779.27868	52869.574	40.7906	0.0
1390.0	0.0	1.0	7.47937	7.87841	-0.10776	30.08049	28.90766	1.40956	0.70944	0.0	123.46043	0.0	0.5	7.57581	7.57581	1.07149	1.07149	1782.39171	52666.082	40.6984	0.0
1385.0	0.0	1.0	7.48339	7.87418	-0.16141	30.04322	28.82955	1.40913	0.70966	0.0	123.61574	0.0	0.5	7.65762	7.65762	1.05686	1.05686	1785.54716	52463.049	40.6066	0.0
1380.0	0.0	1.0	7.48741	7.86996	-0.21491	30.0061	28.75145	1.4087	0.70987	0.0	123.77105	0.0	0.5	7.74081	7.74081	1.04235	1.04235	1788.74547	52260.471	40.5156	0.0
1375.0	0.0	1.0	7.49141	7.86575	-0.26826	29.96913	28.67334	1.40827	0.71009	0.0	123.92636	0.0	0.5	7.82542	7.82542	1.02796	1.02796	1791.98709	52058.348	40.4246	0.0
1370.0	0.0	1.0	7.49541	7.86156	-0.32145	29.93231	28.59523	1.40783	0.71031	0.0	124.08167	0.0	0.5	7.91147	7.91147	1.01369	1.01369	1795.27243	51856.676	40.3344	0.0
1365.0	0.0	1.0	7.4994	7.85738	-0.37449	29.89564	28.51713	1.40739	0.71054	0.0	124.23698	0.0	0.5	7.99901	7.99901	0.99955	0.99955	1798.60187	51655.453	40.2446	0.0
1360.0	0.0	1.0	7.50338	7.8532	-0.42738	29.85913	28.43902	1.40695	0.71076	0.0	124.39229	0.0	0.5	8.08806	8.08806	0.98553	0.98553	1801.97578	51454.678	40.155	0.0
1355.0	0.0	1.0	7.50736	7.84905	-0.48012	29.82278	28.36091	1.4065	0.71098	0.0	124.5476	0.0	0.5	8.17866	8.17866	0.97163	0.97163	1805.39449	51254.347	40.0662	0.0
1350.0	0.0	1.0	7.51133	7.8449	-0.5327	29.78658	28.2828	1.40605	0.71121	0.0	124.70291	0.0	0.5	8.27084	8.27084	0.95785	0.95785	1808.85831	51054.459	39.9776	0.0
