T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Poisson's ratio-TOTAL	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
400.0	0.0	1.0	7.13394	0.0	57.92653	32.46176	1.96831	0.0	0.5	18026.839	 	0.0
395.0	0.0	1.0	7.1377	-0.0527002	58.20361	32.35973	1.97681	0.0	0.5	17883.512	28.6654	0.0
390.0	0.0	1.0	7.14145	-0.10522	58.49004	32.25771	1.98544	0.0	0.5	17740.135	28.6754	0.0
385.0	0.0	1.0	7.14519	-0.15755	58.78624	32.15569	1.99419	0.0	0.5	17596.704	28.6862	0.0
380.0	0.0	1.0	7.14893	-0.20971	59.09259	32.05366	2.00308	0.0	0.5	17453.216	28.6976	0.0
375.0	0.0	1.0	7.15265	-0.26168	59.40955	31.95164	2.01211	0.0	0.5	17309.665	28.7102	0.0
370.0	0.0	1.0	7.15637	-0.31347	59.73758	31.84961	2.02128	0.0	0.5	17166.047	28.7236	0.0
365.0	0.0	1.0	7.16008	-0.36507	60.07715	31.74759	2.03059	0.0	0.5	17022.357	28.738	0.0
360.0	0.0	1.0	7.16377	-0.4165	60.42879	31.64557	2.04005	0.0	0.5	16878.59	28.7534	0.0
355.0	0.0	1.0	7.16746	-0.46774	60.79305	31.54354	2.04966	0.0	0.5	16734.739	28.7702	0.0
350.0	0.0	1.0	7.17114	-0.5188	61.1705	31.44152	2.05942	0.0	0.5	16590.799	28.788	0.0
345.0	0.0	1.0	7.17481	-0.56968	61.56178	31.33949	2.06934	0.0	0.5	16446.764	28.807	0.0
340.0	0.0	1.0	7.17847	-0.62038	61.96753	31.23747	2.07942	0.0	0.5	16302.627	28.8274	0.0
335.0	0.0	1.0	7.18212	-0.67089	62.38845	31.13545	2.08967	0.0	0.5	16158.382	28.849	0.0
330.0	0.0	1.0	7.18576	-0.72122	62.8253	31.03342	2.10009	0.0	0.5	16014.02	28.8724	0.0
325.0	0.0	1.0	7.18939	-0.77137	63.27886	30.9314	2.11068	0.0	0.5	15869.54	28.896	0.0
320.0	0.0	1.0	7.19301	-0.82134	63.75	30.82937	2.12146	0.0	0.5	15724.963	28.9154	0.0
315.0	0.0	1.0	7.19663	-0.87112	64.23961	30.72735	2.13241	0.0	0.5	15580.284	28.9358	0.0
310.0	0.0	1.0	7.20023	-0.92072	64.74867	30.62533	2.14355	0.0	0.5	15435.495	28.9578	0.0
305.0	0.0	1.0	7.20382	-0.97014	65.27822	30.5233	2.15489	0.0	0.5	15290.585	28.982	0.0
300.0	0.0	1.0	7.20741	-1.01938	65.82939	30.42128	2.16642	0.0	0.5	15145.543	29.0084	0.0
295.0	0.0	1.0	7.21098	-1.06844	66.40336	30.31925	2.17816	0.0	0.5	15000.36	29.0366	0.0
290.0	0.0	1.0	7.21454	-1.11731	67.00143	30.21723	2.1901	0.0	0.5	14855.023	29.0674	0.0
285.0	0.0	1.0	7.2181	-1.166	67.62499	30.11521	2.20226	0.0	0.5	14709.521	29.1004	0.0
280.0	0.0	1.0	7.22164	-1.21451	68.27555	30.01318	2.21464	0.0	0.5	14563.842	29.1358	0.0
275.0	0.0	1.0	7.22518	-1.26284	68.95471	29.91116	2.22724	0.0	0.5	14417.972	29.174	0.0
270.0	0.0	1.0	7.2287	-1.31098	69.66424	29.80913	2.24008	0.0	0.5	14271.899	29.2146	0.0
265.0	0.0	1.0	7.23222	-1.35894	70.40603	29.70711	2.25315	0.0	0.5	14125.608	29.2582	0.0
260.0	0.0	1.0	7.23572	-1.40672	71.18213	29.60509	2.26647	0.0	0.5	13979.084	29.3048	0.0
255.0	0.0	1.0	7.23922	-1.45432	71.99479	29.50306	2.28005	0.0	0.5	13832.314	29.354	0.0
250.0	0.0	1.0	7.2427	-1.50174	72.84645	29.40104	2.29388	0.0	0.5	13685.279	29.407	0.0
245.0	0.0	1.0	7.24618	-1.54897	73.73976	29.29901	2.30798	0.0	0.5	13537.965	29.4628	0.0
240.0	0.0	1.0	7.24964	-1.59602	74.67762	29.19699	2.32235	0.0	0.5	13390.353	29.5224	0.0
235.0	0.0	1.0	7.2531	-1.64289	75.66323	29.09497	2.33701	0.0	0.5	13242.425	29.5856	0.0
230.0	0.0	1.0	7.25654	-1.68957	76.70007	28.99294	2.35195	0.0	0.5	13094.197	29.6456	0.0
225.0	0.0	1.0	7.25997	-1.73608	77.792	28.89092	2.3672	0.0	0.5	12946.02	29.6354	0.0
220.0	0.0	1.0	7.2634	-1.7824	78.94323	28.78889	2.38276	0.0	0.5	12797.999	29.6042	0.0
216.5	0.0	1.0	7.26579	-1.81472	79.7869	28.71747	2.39384	0.0	0.5	12694.482	29.5754	0.0
215.0	0.10604	0.89396	7.29244	-2.17317	73.71837	30.44251	2.54543	0.00420401	0.48518	11889.782	536.506	760.368
210.0	0.34885	0.65115	7.3549	-3.00406	59.7641	34.99644	2.95649	0.51512	0.45092	10010.881	375.78	2491.605
205.0	0.4937	0.5063	7.39365	-3.5124	51.39707	38.50088	3.28655	2.13783	0.43026	8833.272	235.522	3521.751
200.0	0.58966	0.41034	7.42038	-3.86001	45.813	41.32311	3.56474	4.4719	0.4165	8003.917	165.871	4203.857
195.0	0.65792	0.34208	7.44023	-4.11653	41.80274	43.62124	3.80318	7.09734	0.40667	7370.706	126.642	4690.047
190.0	0.7091	0.2909	7.45581	-4.31694	38.75706	45.51893	4.01148	9.78385	0.39927	6857.735	102.594	5056.238
185.0	0.74906	0.25094	7.46857	-4.48044	36.33998	47.11164	4.19715	12.42457	0.39349	6423.029	86.9412	5344.418
183.0	0.76273	0.23727	7.47309	-4.53826	35.50082	47.68008	4.26642	13.45757	0.39151	6265.065	 	5443.823
183.0	1.0	0.0	7.51643	-5.08868	23.13173	57.0008	5.10044	34.35097	0.36568	4965.71	 	6743.178
175.0	1.0	0.0	7.52078	-5.14355	23.06658	57.19027	5.20874	35.14872	0.36568	4728.192	169.484	 
170.0	1.0	0.0	7.52349	-5.17769	23.02589	57.31125	5.27865	35.64081	0.36568	4580.3	29.5784	 
165.0	1.0	0.0	7.52619	-5.21172	22.98523	57.43427	5.35035	36.12787	0.36568	4432.85	29.49	 
160.0	1.0	0.0	7.52888	-5.24563	22.9446	57.55941	5.4239	36.6099	0.36568	4285.843	29.4014	 
155.0	1.0	0.0	7.53157	-5.27943	22.904	57.68673	5.49938	37.0869	0.36568	4139.282	29.3122	 
150.0	1.0	0.0	7.53425	-5.31311	22.86343	57.81632	5.57686	37.55887	0.36568	3993.168	29.2228	 
145.0	1.0	0.0	7.53692	-5.34668	22.82288	57.94826	5.65643	38.02581	0.36568	3847.502	29.1332	 
140.0	1.0	0.0	7.53958	-5.38013	22.78237	58.08264	5.73816	38.48773	0.36568	3702.287	29.043	 
135.0	1.0	0.0	7.54224	-5.41347	22.74188	58.21953	5.82214	38.94462	0.36568	3557.524	28.9526	 
130.0	1.0	0.0	7.54489	-5.44669	22.70143	58.35904	5.90848	39.39648	0.36568	3413.214	28.862	 
125.0	1.0	0.0	7.54753	-5.4798	22.661	58.50127	5.99725	39.84331	0.36568	3269.358	28.7712	 
120.0	1.0	0.0	7.55017	-5.51279	22.6206	58.64632	6.08859	40.28513	0.36568	3125.958	28.68	 
115.0	1.0	0.0	7.5528	-5.54567	22.58022	58.79429	6.18258	40.72192	0.36568	2983.014	28.5888	 
110.0	1.0	0.0	7.55542	-5.57844	22.53988	58.94531	6.27935	41.15369	0.36568	2840.526	28.4976	 
105.0	1.0	0.0	7.55803	-5.61109	22.49957	59.0995	6.37901	41.58043	0.36568	2698.496	28.406	 
100.0	1.0	0.0	7.56064	-5.64362	22.45928	59.25698	6.48172	42.00215	0.36568	2556.923	28.3146	 
95.0	1.0	0.0	7.56324	-5.67604	22.41902	59.41788	6.58759	42.41886	0.36568	2415.807	28.2232	 
90.0	1.0	0.0	7.56583	-5.70835	22.37879	59.58235	6.69677	42.83054	0.36568	2275.149	28.1316	 
85.0	1.0	0.0	7.56841	-5.74054	22.33859	59.75054	6.80943	43.2372	0.36568	2134.947	28.0404	 
80.0	1.0	0.0	7.57099	-5.77262	22.29842	59.9226	6.92573	43.63884	0.36567	1995.2	27.9494	 
75.0	1.0	0.0	7.57356	-5.80459	22.25828	60.09871	7.04584	44.03546	0.36567	1855.909	27.8582	 
70.0	1.0	0.0	7.57612	-5.83644	22.21817	60.27903	7.16995	44.42707	0.36567	1717.071	27.7676	 
65.0	1.0	0.0	7.57868	-5.86818	22.17808	60.46376	7.29827	44.81365	0.36567	1578.684	27.6774	 
60.0	1.0	0.0	7.58122	-5.89981	22.13803	60.6531	7.431	45.19522	0.36567	1440.747	27.5874	 
55.0	1.0	0.0	7.58376	-5.93132	22.098	60.84725	7.56837	45.57176	0.36567	1303.257	27.498	 
50.0	1.0	0.0	7.58629	-5.96272	22.058	61.04644	7.71063	45.94329	0.36567	1166.211	27.4092	 
