T (C)	Fraction solid (wt)-TOTAL	Fraction liquid (wt)-LIQUID	Density (g/(cm)^3)-TOTAL	Molar volume (cm^3)-TOTAL	Volume change (%)-  	Average expansion coeff. (10e-6 1/K)-  	Thermal conductivity (W/(m*K))-TOTAL	Electrical resistivity (10e-6 Ohm*m)-TOTAL	Electrical conductivity (10e6 1/(Ohm*m))-TOTAL	Young's modulus (GPa)-TOTAL	Bulk modulus (GPa)-TOTAL	Shear modulus(GPa)-TOTAL	Poisson's ratio-TOTAL	Liquid viscosity (mPa s)-  	Total viscosity (mPa s)-  	Liquid diffusivity (10e-9 (m^2)/s)-  	Total diffusivity (10e-9 (m^2)/s)-  	Surface Tension (mN/m)-  	Enthalpy (J/mole)-TOTAL	Specific heat (J/(mole K))-TOTAL	Latent heat (J/mole)-TOTAL
1400.0	0.0	1.0	7.91573	7.79509	0.0	25.36142	28.62061	1.43226	0.6982	0.0	133.53863	0.0	0.5	9.52203	9.52203	0.85761	0.85761	1881.05421	62755.848	 	0.0
1395.0	0.0	1.0	7.91974	7.79114	-0.0506573	25.31783	28.54881	1.43157	0.69853	0.0	133.7137	0.0	0.5	9.6299	9.6299	0.84547	0.84547	1883.167	62550.456	41.0784	0.0
1390.0	0.0	1.0	7.92374	7.78721	-0.10116	25.27433	28.477	1.43088	0.69887	0.0	133.88877	0.0	0.5	9.73964	9.73964	0.83344	0.83344	1885.2836	62345.549	40.9814	0.0
1385.0	0.0	1.0	7.92774	7.78328	-0.15152	25.23093	28.4052	1.43018	0.69921	0.0	134.06384	0.0	0.5	9.85131	9.85131	0.82152	0.82152	1887.40407	62141.125	40.8848	0.0
1380.0	0.0	1.0	7.93173	7.77937	-0.20172	25.18761	28.33339	1.42949	0.69955	0.0	134.23892	0.0	0.5	9.96495	9.96495	0.8097	0.8097	1889.52845	61937.18	40.789	0.0
1375.0	0.0	1.0	7.9357	7.77547	-0.25177	25.14439	28.26158	1.42878	0.6999	0.0	134.41399	0.0	0.5	10.0806	10.0806	0.79799	0.79799	1891.65681	61733.712	40.6936	0.0
1372.92	0.0	1.0	7.93736	7.77385	-0.27254	25.12644	28.23173	1.42849	0.70004	0.0	134.48678	0.0	0.5	10.12929	10.12929	0.79315	0.79315	1892.54298	61649.249	40.62616	0.0
1370.0	0.12628	0.87372	7.96582	7.74608	-0.62877	24.2058	28.66051	1.40462	0.71194	0.0281848	134.64388	0.00951208	0.48153	10.27266	24.92746	0.78069	0.32173	1894.73277	59610.055	698.1222	1920.664
1365.0	0.30587	0.69413	8.00666	7.70661	-1.13517	22.90463	29.28158	1.37065	0.72958	0.99198	134.82425	0.34091	0.45489	10.52341	482.40771	0.75977	0.016574	1898.49388	56698.017	582.4076	4630.181
1360.0	0.44132	0.55868	8.03803	7.67648	-1.52161	21.92458	29.75929	1.34453	0.74376	4.37505	134.96977	1.52493	0.43451	10.78039	2166.73246	0.7394	0.00367881	1902.25791	54469.819	445.6396	6656.325
